person_id,assessment_context,occasion,trait_extraversion,trait_conscientiousness,trait_neuroticism,state_extraversion,state_conscientiousness,state_neuroticism,situation_valence,situation_sociality,situation_demand,situation_evaluation,positive_affect,negative_affect,goal_pressure,autonomy_support,state_inertia_marker,dynamic_signature_score
PDY00021,experience_sampling_research_context,2,4.254,3.839,5.761,4.155,5.028,4.101,4.446,2.672,4.548,3.367,4.262,2.481,4.003,5.941,0.387,1.861
PDY00021,experience_sampling_research_context,3,4.254,3.839,5.761,4.291,4.067,3.513,3.584,2.297,2.634,1.373,2.755,1.653,2.210,6.187,0.562,2.290
PDY00021,experience_sampling_research_context,4,4.254,3.839,5.761,4.518,4.514,4.880,5.407,3.874,2.121,2.658,4.076,1.907,3.009,3.213,0.680,1.909
PDY00021,experience_sampling_research_context,5,4.254,3.839,5.761,4.226,3.949,4.096,4.971,1.148,2.362,2.265,3.453,3.050,3.317,3.759,0.547,2.029
PDY00021,experience_sampling_research_context,6,4.254,3.839,5.761,4.372,4.834,3.679,4.337,3.023,3.826,2.020,3.688,1.639,1.977,4.709,0.482,2.478
PDY00021,experience_sampling_research_context,7,4.254,3.839,5.761,4.037,4.304,4.203,3.725,3.630,2.606,3.004,2.475,2.347,2.298,4.554,0.463,2.091
PDY00021,experience_sampling_research_context,8,4.254,3.839,5.761,4.957,4.297,3.551,5.781,4.541,3.369,1.000,4.433,1.022,2.629,3.934,0.526,2.678
PDY00021,experience_sampling_research_context,9,4.254,3.839,5.761,4.426,4.661,3.563,5.093,3.538,3.902,1.000,2.564,1.294,3.811,4.633,0.302,2.343
PDY00021,experience_sampling_research_context,10,4.254,3.839,5.761,2.983,5.505,4.605,4.202,2.143,4.575,2.209,2.022,2.140,3.520,4.895,1.110,2.690
PDY00021,experience_sampling_research_context,11,4.254,3.839,5.761,3.135,4.505,4.794,4.125,2.646,4.593,3.669,3.038,3.520,3.576,4.528,0.447,2.077
PDY00021,experience_sampling_research_context,12,4.254,3.839,5.761,3.430,4.045,4.979,3.330,1.395,3.360,1.204,1.857,2.778,3.141,3.954,0.313,1.795
PDY00021,experience_sampling_research_context,13,4.254,3.839,5.761,3.973,3.961,4.560,4.283,3.010,2.715,2.978,3.333,2.174,2.452,4.862,0.349,1.757
PDY00021,experience_sampling_research_context,14,4.254,3.839,5.761,4.057,4.253,4.330,5.446,2.780,4.041,2.724,3.336,2.251,3.799,5.135,0.202,2.030
PDY00021,experience_sampling_research_context,15,4.254,3.839,5.761,4.362,4.647,5.124,4.779,4.546,3.120,4.594,3.694,2.958,3.921,5.927,0.497,1.571
PDY00021,experience_sampling_research_context,16,4.254,3.839,5.761,3.537,4.611,2.638,5.809,1.421,3.378,1.000,3.217,1.142,1.646,4.906,1.115,2.791
PDY00022,experience_sampling_research_context,1,4.318,3.306,4.850,3.925,4.166,3.549,5.007,4.005,2.591,1.927,3.554,1.989,1.340,6.577,0.793,2.171
PDY00022,experience_sampling_research_context,2,4.318,3.306,4.850,4.414,3.909,4.419,5.006,3.887,3.858,1.902,3.015,2.391,3.995,3.796,0.539,1.594
PDY00022,experience_sampling_research_context,3,4.318,3.306,4.850,4.636,4.219,2.784,5.870,1.000,2.930,2.465,3.726,1.105,2.169,5.306,0.722,2.114
PDY00022,experience_sampling_research_context,4,4.318,3.306,4.850,4.249,3.058,3.181,4.882,3.007,1.042,1.000,3.672,1.196,1.463,3.373,0.648,2.211
PDY00022,experience_sampling_research_context,5,4.318,3.306,4.850,4.620,2.808,2.713,6.179,3.322,1.316,1.000,3.717,1.498,1.854,3.803,0.362,2.180
PDY00022,experience_sampling_research_context,6,4.318,3.306,4.850,4.230,3.533,4.243,3.021,2.335,4.426,2.620,2.174,2.365,2.920,3.665,0.882,1.802
PDY00022,experience_sampling_research_context,7,4.318,3.306,4.850,4.161,3.780,3.341,5.777,4.676,2.139,1.000,4.287,1.104,1.413,4.463,0.406,2.116
PDY00022,experience_sampling_research_context,8,4.318,3.306,4.850,4.682,4.114,4.317,4.388,4.783,3.299,3.182,3.656,3.004,4.049,4.309,0.610,1.779
PDY00022,experience_sampling_research_context,9,4.318,3.306,4.850,3.857,3.684,4.851,3.037,2.504,1.847,2.727,2.744,3.225,3.854,4.370,0.596,1.768
PDY00022,experience_sampling_research_context,10,4.318,3.306,4.850,5.006,3.974,3.348,3.688,2.351,1.723,2.496,2.869,1.316,1.000,5.727,0.980,2.206
PDY00022,experience_sampling_research_context,11,4.318,3.306,4.850,3.954,4.239,2.796,5.905,2.237,2.538,1.206,2.777,1.000,1.307,4.598,0.623,2.465
PDY00022,experience_sampling_research_context,12,4.318,3.306,4.850,3.034,3.935,4.134,3.033,2.922,1.467,5.133,2.181,3.730,3.743,5.156,0.854,2.479
PDY00022,experience_sampling_research_context,13,4.318,3.306,4.850,3.798,3.491,3.357,5.058,1.223,2.261,1.000,2.379,1.295,1.815,4.340,0.661,2.237
PDY00022,experience_sampling_research_context,14,4.318,3.306,4.850,4.414,4.374,2.481,6.427,3.238,3.301,1.625,3.633,1.155,2.424,4.158,0.792,2.943
PDY00022,experience_sampling_research_context,15,4.318,3.306,4.850,4.100,3.964,2.317,4.453,4.103,3.341,2.273,4.599,1.669,2.549,5.839,0.296,2.217
PDY00022,experience_sampling_research_context,16,4.318,3.306,4.850,5.207,4.497,2.245,6.421,4.726,5.219,1.000,4.080,1.107,3.434,5.045,0.571,2.631
PDY00023,experience_sampling_research_context,1,4.572,3.096,5.236,4.671,3.849,3.821,4.361,3.538,3.392,2.319,4.219,2.775,3.330,4.585,0.770,1.762
PDY00023,experience_sampling_research_context,2,4.572,3.096,5.236,4.810,3.879,3.689,4.229,3.416,2.430,2.695,3.436,2.341,3.163,5.288,0.100,2.404
PDY00023,experience_sampling_research_context,3,4.572,3.096,5.236,4.538,3.831,3.363,5.662,3.422,3.292,1.000,4.521,1.791,1.653,3.289,0.215,2.349
PDY00023,experience_sampling_research_context,4,4.572,3.096,5.236,4.223,3.585,3.721,5.657,2.708,1.965,2.666,2.325,1.874,2.888,4.955,0.307,2.069
PDY00023,experience_sampling_research_context,5,4.572,3.096,5.236,3.767,3.345,3.059,5.263,2.607,3.239,1.490,2.876,2.428,2.449,3.881,0.453,2.360
PDY00023,experience_sampling_research_context,6,4.572,3.096,5.236,4.191,4.336,2.836,5.729,2.043,3.302,1.627,3.130,1.000,1.000,4.429,0.546,2.625
PDY00023,experience_sampling_research_context,7,4.572,3.096,5.236,4.893,4.008,3.630,6.129,3.377,4.147,2.761,4.468,1.724,3.982,3.849,0.608,2.318
PDY00023,experience_sampling_research_context,8,4.572,3.096,5.236,4.824,3.778,3.593,4.848,3.040,3.951,1.248,3.801,1.955,3.594,4.532,0.111,2.307
PDY00023,experience_sampling_research_context,9,4.572,3.096,5.236,4.629,3.920,4.430,3.061,3.510,3.059,1.996,2.209,3.822,3.892,3.836,0.391,2.014
PDY00023,experience_sampling_research_context,10,4.572,3.096,5.236,4.115,4.637,3.412,4.733,3.537,3.106,1.231,3.517,1.129,2.513,5.843,0.750,2.786
PDY00023,experience_sampling_research_context,11,4.572,3.096,5.236,3.741,3.834,4.173,3.542,4.157,3.351,1.950,3.158,2.806,2.775,4.145,0.646,2.147
PDY00023,experience_sampling_research_context,12,4.572,3.096,5.236,4.316,3.501,3.030,4.948,2.866,2.150,1.000,3.470,1.000,2.153,5.450,0.684,2.802
PDY00023,experience_sampling_research_context,13,4.572,3.096,5.236,4.138,4.159,3.562,4.537,3.848,4.743,1.453,2.727,1.545,3.258,3.800,0.456,2.257
PDY00023,experience_sampling_research_context,14,4.572,3.096,5.236,3.419,3.785,3.523,5.668,2.914,1.000,3.602,3.164,2.282,3.194,4.610,0.377,2.776
PDY00023,experience_sampling_research_context,15,4.572,3.096,5.236,4.254,3.856,3.575,4.474,3.370,1.000,1.222,2.978,1.086,1.430,5.591,0.319,2.344
PDY00023,experience_sampling_research_context,16,4.572,3.096,5.236,4.068,3.483,3.783,4.793,4.485,4.266,1.009,2.654,2.018,2.261,3.725,0.256,2.249
PDY00024,experience_sampling_research_context,1,4.299,4.190,5.032,4.826,4.363,2.839,5.944,4.928,4.350,1.187,3.775,2.302,3.615,4.481,0.879,2.238
PDY00024,experience_sampling_research_context,2,4.299,4.190,5.032,3.974,4.553,3.972,4.218,3.984,4.140,3.244,3.397,2.888,3.477,5.139,0.725,1.532
PDY00024,experience_sampling_research_context,3,4.299,4.190,5.032,4.898,4.019,4.118,3.833,4.110,2.304,2.039,2.704,2.199,2.065,4.050,0.535,1.682
PDY00024,experience_sampling_research_context,4,4.299,4.190,5.032,4.231,4.729,3.944,5.380,3.042,1.712,2.732,3.835,2.701,1.459,4.682,0.517,2.085
PDY00024,experience_sampling_research_context,5,4.299,4.190,5.032,4.152,4.898,4.117,5.067,3.888,4.004,3.206,3.441,1.599,2.505,4.552,0.141,1.424
PDY00024,experience_sampling_research_context,6,4.299,4.190,5.032,3.831,4.744,3.212,4.741,2.372,3.262,1.395,1.836,1.075,2.075,5.199,0.460,2.412
PDY00024,experience_sampling_research_context,7,4.299,4.190,5.032,3.772,4.484,3.330,4.600,4.495,2.877,1.756,2.242,2.658,3.138,3.672,0.146,2.089
PDY00024,experience_sampling_research_context,8,4.299,4.190,5.032,3.889,4.864,3.361,4.377,3.597,2.164,2.524,3.656,1.000,1.620,3.711,0.176,2.126
PDY00024,experience_sampling_research_context,9,4.299,4.190,5.032,5.246,4.706,4.521,5.664,4.919,4.124,3.347,3.759,2.037,3.560,4.025,0.892,2.035
PDY00024,experience_sampling_research_context,10,4.299,4.190,5.032,4.064,5.629,3.457,4.006,4.007,3.030,1.500,3.117,1.461,3.278,5.005,1.057,2.004
PDY00024,experience_sampling_research_context,11,4.299,4.190,5.032,4.424,4.592,4.123,4.399,3.301,3.151,2.591,4.365,2.242,2.200,5.615,0.688,1.505
PDY00024,experience_sampling_research_context,12,4.299,4.190,5.032,4.960,4.868,3.604,4.313,3.364,3.771,2.068,4.364,1.816,3.159,6.072,0.443,1.851
PDY00024,experience_sampling_research_context,13,4.299,4.190,5.032,4.425,4.779,2.575,4.776,3.245,3.981,1.019,2.340,1.000,2.590,5.019,0.551,2.301
PDY00024,experience_sampling_research_context,14,4.299,4.190,5.032,4.159,4.888,3.681,4.354,1.960,3.300,2.052,2.772,1.664,2.281,4.472,0.493,2.301
PDY00024,experience_sampling_research_context,15,4.299,4.190,5.032,4.082,5.509,3.713,4.044,2.406,3.027,1.803,3.370,2.252,2.065,4.451,0.244,2.725
PDY00024,experience_sampling_research_context,16,4.299,4.190,5.032,5.720,4.604,4.455,4.400,2.865,4.496,4.192,2.912,2.193,3.647,2.829,1.095,1.842
PDY00025,professional_workshop_context,1,5.304,4.396,3.095,4.585,4.616,1.477,4.102,3.269,5.754,1.729,2.922,1.147,3.664,5.227,0.960,1.872
PDY00025,professional_workshop_context,2,5.304,4.396,3.095,5.786,3.841,1.652,6.213,4.522,2.024,1.000,3.880,1.000,1.295,4.982,0.717,1.719
PDY00025,professional_workshop_context,3,5.304,4.396,3.095,5.446,4.750,2.217,2.657,3.903,6.295,2.098,2.021,2.965,4.081,3.980,0.605,1.703
PDY00025,professional_workshop_context,4,5.304,4.396,3.095,4.821,4.799,2.367,4.811,1.112,4.179,1.720,3.642,1.614,3.524,3.132,0.275,1.544
PDY00025,professional_workshop_context,5,5.304,4.396,3.095,4.711,4.893,1.275,4.058,2.255,2.882,1.375,3.499,2.323,3.859,4.048,0.432,2.002
PDY00025,professional_workshop_context,6,5.304,4.396,3.095,5.421,5.200,1.736,4.517,3.362,4.183,1.313,4.272,1.604,3.533,5.481,0.493,2.160
PDY00025,professional_workshop_context,7,5.304,4.396,3.095,5.449,6.529,1.140,5.926,3.303,4.864,2.052,3.079,2.067,3.369,4.450,0.651,2.783
PDY00025,professional_workshop_context,8,5.304,4.396,3.095,4.955,5.270,1.002,3.869,3.208,3.794,2.064,2.542,1.937,2.417,3.770,0.630,2.093
PDY00025,professional_workshop_context,9,5.304,4.396,3.095,5.216,4.751,1.690,6.370,3.568,5.445,2.874,2.732,2.116,4.056,2.525,0.489,1.482
PDY00025,professional_workshop_context,10,5.304,4.396,3.095,5.484,4.367,1.143,5.329,3.851,2.998,1.230,4.533,1.333,2.408,5.000,0.399,1.959
PDY00025,professional_workshop_context,11,5.304,4.396,3.095,5.403,4.316,1.695,4.179,3.827,1.470,1.447,3.465,2.219,1.000,4.032,0.228,2.019
PDY00025,professional_workshop_context,12,5.304,4.396,3.095,6.438,4.163,1.612,3.351,4.153,3.354,2.714,4.058,1.513,1.688,5.254,0.423,2.150
PDY00025,professional_workshop_context,13,5.304,4.396,3.095,5.472,5.593,1.926,4.084,3.337,4.537,2.800,3.664,2.287,2.298,4.721,0.903,1.555
PDY00025,professional_workshop_context,14,5.304,4.396,3.095,5.124,4.755,1.833,4.322,2.180,2.704,3.215,3.387,1.697,2.856,4.353,0.426,1.795
PDY00025,professional_workshop_context,15,5.304,4.396,3.095,5.002,4.645,1.366,5.747,2.312,3.954,2.076,4.668,1.000,1.839,4.501,0.233,1.587
PDY00025,professional_workshop_context,16,5.304,4.396,3.095,5.203,4.371,2.175,4.908,2.654,2.980,3.959,3.039,2.415,2.973,3.593,0.428,1.503
PDY00026,professional_workshop_context,1,5.813,4.903,2.610,6.410,5.485,1.737,5.592,3.460,2.239,3.622,3.072,2.541,3.077,5.445,0.515,1.836
PDY00026,professional_workshop_context,2,5.813,4.903,2.610,6.376,5.494,1.304,4.444,2.444,2.804,2.370,4.045,1.928,2.501,4.378,0.159,1.706
PDY00026,professional_workshop_context,3,5.813,4.903,2.610,5.878,4.809,1.329,4.987,3.466,2.945,2.584,3.254,1.541,2.855,4.592,0.403,1.677
PDY00026,professional_workshop_context,4,5.813,4.903,2.610,6.481,4.961,1.338,5.864,4.830,1.171,1.649,4.193,1.000,1.598,4.925,0.254,1.931
PDY00026,professional_workshop_context,5,5.813,4.903,2.610,5.129,4.899,1.635,3.743,2.323,3.305,1.000,1.961,1.000,2.240,3.235,0.570,1.649
PDY00026,professional_workshop_context,6,5.813,4.903,2.610,5.991,4.337,1.006,5.226,2.663,3.113,1.000,3.514,1.000,1.000,4.663,0.685,2.278
PDY00026,professional_workshop_context,7,5.813,4.903,2.610,6.453,4.596,1.000,4.007,4.701,3.408,2.698,3.554,1.785,3.726,5.048,0.242,1.869
PDY00026,professional_workshop_context,8,5.813,4.903,2.610,5.676,4.561,1.206,4.811,2.766,3.199,1.000,3.769,1.094,2.052,4.341,0.339,1.755
PDY00026,professional_workshop_context,9,5.813,4.903,2.610,6.016,5.434,1.070,4.274,3.873,4.016,2.694,3.881,1.386,2.335,4.474,0.450,1.557
PDY00026,professional_workshop_context,10,5.813,4.903,2.610,6.380,4.933,1.524,4.519,4.407,3.022,3.269,3.086,1.845,2.436,4.084,0.440,1.709
PDY00026,professional_workshop_context,11,5.813,4.903,2.610,5.382,4.632,1.851,3.495,1.885,2.564,2.111,3.151,1.124,3.115,4.087,0.542,1.883
PDY00026,professional_workshop_context,12,5.813,4.903,2.610,5.896,4.391,1.000,5.224,3.876,2.054,2.891,3.011,1.443,3.417,3.919,0.536,1.635
PDY00026,professional_workshop_context,13,5.813,4.903,2.610,6.603,4.374,1.714,4.100,2.663,4.598,2.916,3.198,1.619,2.810,4.598,0.479,1.608
PDY00026,professional_workshop_context,14,5.813,4.903,2.610,5.880,4.595,1.899,5.086,4.295,3.509,2.191,3.747,2.182,4.226,4.091,0.376,1.093
PDY00026,professional_workshop_context,15,5.813,4.903,2.610,6.064,3.736,1.217,5.820,3.481,1.496,1.303,3.697,1.000,2.794,4.117,0.575,2.028
PDY00026,professional_workshop_context,16,5.813,4.903,2.610,5.671,4.398,1.521,3.899,2.401,1.856,3.105,2.583,1.923,2.148,4.344,0.453,1.666
PDY00027,professional_workshop_context,1,5.174,4.313,2.833,6.469,4.020,1.857,5.506,4.992,4.467,1.974,5.239,2.191,3.188,3.668,0.853,1.686
PDY00027,professional_workshop_context,2,5.174,4.313,2.833,5.740,4.013,1.000,4.507,3.729,2.839,1.726,3.055,1.000,1.000,4.430,0.531,1.883
PDY00027,professional_workshop_context,3,5.174,4.313,2.833,5.513,4.832,1.353,4.465,4.113,4.209,1.458,3.119,1.697,4.098,3.164,0.466,1.774
PDY00027,professional_workshop_context,4,5.174,4.313,2.833,6.043,4.791,2.028,4.218,4.340,4.520,3.643,3.931,3.321,4.013,4.448,0.416,1.944
PDY00027,professional_workshop_context,5,5.174,4.313,2.833,5.700,4.489,1.997,4.576,5.467,2.923,3.040,3.589,2.715,3.450,3.632,0.225,1.719
PDY00027,professional_workshop_context,6,5.174,4.313,2.833,5.974,3.926,1.917,5.854,2.946,3.113,2.951,4.094,1.286,2.052,6.740,0.305,2.083
PDY00027,professional_workshop_context,7,5.174,4.313,2.833,5.186,5.361,1.000,4.144,1.872,2.466,3.443,2.764,1.511,3.392,5.453,1.047,2.366
PDY00027,professional_workshop_context,8,5.174,4.313,2.833,5.316,4.938,1.171,2.421,4.016,2.922,1.683,3.035,2.202,3.320,4.683,0.241,1.667
PDY00027,professional_workshop_context,9,5.174,4.313,2.833,5.307,4.508,1.897,3.745,2.679,3.196,2.218,2.915,1.000,2.840,3.997,0.389,1.437
PDY00027,professional_workshop_context,10,5.174,4.313,2.833,6.507,4.361,1.727,3.944,4.603,4.462,3.202,3.556,2.957,3.561,4.304,0.506,2.083
PDY00027,professional_workshop_context,11,5.174,4.313,2.833,4.879,4.660,1.072,6.309,1.658,2.738,3.293,3.520,1.334,2.009,4.660,0.861,2.255
PDY00027,professional_workshop_context,12,5.174,4.313,2.833,5.711,5.053,2.118,4.153,4.736,4.344,3.938,3.524,3.659,4.485,4.145,0.757,1.224
PDY00027,professional_workshop_context,13,5.174,4.313,2.833,5.799,5.204,1.000,5.493,4.449,3.627,2.551,4.621,1.494,2.865,5.618,0.453,1.965
PDY00027,professional_workshop_context,14,5.174,4.313,2.833,5.275,4.693,1.554,3.750,3.468,3.599,2.466,3.065,2.711,2.371,3.914,0.530,1.538
PDY00027,professional_workshop_context,15,5.174,4.313,2.833,6.098,4.713,3.168,2.681,4.738,2.348,3.520,2.315,3.259,3.673,3.575,0.819,1.810
PDY00027,professional_workshop_context,16,5.174,4.313,2.833,5.402,4.718,1.412,5.994,3.393,1.861,1.417,3.453,1.000,1.203,4.260,0.819,1.983
PDY00028,professional_workshop_context,1,5.420,4.470,2.248,5.389,4.473,1.258,5.726,4.001,3.135,1.959,3.876,1.727,1.756,4.762,0.610,1.628
PDY00028,professional_workshop_context,2,5.420,4.470,2.248,6.457,4.715,1.000,4.353,4.140,3.124,3.973,4.719,2.152,3.371,6.008,0.523,1.518
PDY00028,professional_workshop_context,3,5.420,4.470,2.248,5.531,4.348,1.902,4.326,4.331,2.742,3.429,3.208,2.852,2.322,4.079,0.732,1.333
PDY00028,professional_workshop_context,4,5.420,4.470,2.248,6.701,4.616,1.000,6.295,3.951,3.243,2.281,3.100,1.000,2.382,5.265,0.780,1.819
PDY00028,professional_workshop_context,5,5.420,4.470,2.248,5.338,4.707,1.130,4.019,1.374,2.725,3.032,3.794,1.947,2.413,5.399,0.528,2.104
PDY00028,professional_workshop_context,6,5.420,4.470,2.248,5.289,4.476,1.424,3.701,3.684,3.326,2.640,3.225,1.648,3.026,3.595,0.191,1.648
PDY00028,professional_workshop_context,7,5.420,4.470,2.248,6.393,4.487,1.107,4.309,4.786,2.617,2.262,3.007,1.466,2.906,3.855,0.477,1.739
PDY00028,professional_workshop_context,8,5.420,4.470,2.248,4.797,5.099,1.000,4.533,1.000,5.534,2.968,2.640,1.054,4.661,3.234,0.772,2.308
PDY00028,professional_workshop_context,9,5.420,4.470,2.248,5.550,4.598,1.000,4.556,4.033,5.418,3.681,3.180,2.499,5.260,4.609,0.418,1.216
PDY00028,professional_workshop_context,10,5.420,4.470,2.248,5.053,4.824,1.000,4.092,1.842,2.703,2.725,3.070,1.524,2.917,5.246,0.241,1.956
PDY00028,professional_workshop_context,11,5.420,4.470,2.248,5.872,4.034,1.000,4.610,3.621,2.313,1.000,3.434,1.000,1.807,4.443,0.536,1.545
PDY00028,professional_workshop_context,12,5.420,4.470,2.248,5.077,4.949,1.000,4.818,1.505,4.069,2.258,1.676,1.130,2.690,4.388,0.570,1.865
PDY00028,professional_workshop_context,13,5.420,4.470,2.248,5.534,4.427,1.000,6.069,4.289,3.420,2.574,4.201,1.405,3.056,3.825,0.326,1.476
PDY00028,professional_workshop_context,14,5.420,4.470,2.248,5.458,4.844,1.194,7.000,2.239,3.703,3.217,3.642,1.702,2.332,3.155,0.229,2.099
PDY00028,professional_workshop_context,15,5.420,4.470,2.248,5.832,4.342,1.000,3.158,3.427,3.947,2.048,4.051,1.312,2.441,5.180,0.356,1.580
PDY00028,professional_workshop_context,16,5.420,4.470,2.248,6.294,5.035,1.500,4.911,2.622,3.612,3.514,3.696,1.987,3.689,4.105,0.552,1.427
PDY00029,professional_workshop_context,1,3.034,5.327,2.742,3.047,5.786,1.916,4.875,4.300,3.608,2.701,3.826,1.000,3.728,3.781,0.444,1.447
PDY00029,professional_workshop_context,2,3.034,5.327,2.742,1.914,5.816,2.068,4.126,2.658,3.964,3.529,3.576,2.086,3.610,3.420,0.438,1.830
PDY00029,professional_workshop_context,3,3.034,5.327,2.742,3.522,6.396,1.659,5.386,4.878,4.162,2.949,4.021,2.187,3.137,3.819,0.865,1.953
PDY00029,professional_workshop_context,4,3.034,5.327,2.742,3.294,6.072,1.290,2.748,3.643,3.313,2.462,2.830,1.745,2.662,4.126,0.307,1.916
PDY00029,professional_workshop_context,5,3.034,5.327,2.742,2.925,5.338,1.473,3.368,4.004,3.960,1.256,2.940,1.000,2.483,4.070,0.429,1.689
PDY00029,professional_workshop_context,6,3.034,5.327,2.742,2.822,5.298,1.000,5.083,1.627,3.907,3.597,3.431,2.205,3.053,2.996,0.205,1.435
PDY00029,professional_workshop_context,7,3.034,5.327,2.742,2.767,6.082,1.095,3.961,2.614,2.375,3.416,3.588,1.580,2.311,4.698,0.312,1.942
PDY00029,professional_workshop_context,8,3.034,5.327,2.742,2.707,6.482,1.070,3.866,5.761,4.553,2.353,3.790,2.057,3.501,4.549,0.162,1.612
PDY00029,professional_workshop_context,9,3.034,5.327,2.742,3.143,5.536,1.349,4.625,3.940,3.496,3.134,3.094,2.576,3.248,3.511,0.554,1.934
PDY00029,professional_workshop_context,10,3.034,5.327,2.742,3.346,4.744,1.841,4.523,2.757,2.311,1.000,3.500,1.000,1.333,4.328,0.496,2.101
PDY00029,professional_workshop_context,11,3.034,5.327,2.742,2.961,5.928,1.187,4.803,1.898,5.027,1.674,2.981,1.581,3.045,3.331,0.742,1.920
PDY00029,professional_workshop_context,12,3.034,5.327,2.742,2.486,5.880,1.161,5.015,4.153,3.925,2.378,4.609,2.817,3.457,3.201,0.183,1.849
PDY00029,professional_workshop_context,13,3.034,5.327,2.742,2.399,6.357,1.232,2.353,3.057,2.941,1.932,2.369,2.153,2.986,3.519,0.212,2.218
PDY00029,professional_workshop_context,14,3.034,5.327,2.742,3.496,5.849,1.282,4.891,2.569,3.763,2.298,3.825,1.593,1.906,5.491,0.552,1.658
PDY00029,professional_workshop_context,15,3.034,5.327,2.742,3.222,5.727,1.000,5.079,3.717,2.740,2.386,3.622,1.000,1.732,6.771,0.227,1.686
PDY00029,professional_workshop_context,16,3.034,5.327,2.742,3.225,5.659,1.241,5.410,4.639,2.731,1.000,4.068,1.332,2.073,5.694,0.104,1.908
PDY00030,professional_workshop_context,1,2.358,5.184,3.311,2.622,5.797,2.439,3.948,4.485,3.654,2.076,3.256,2.186,3.538,3.512,0.769,1.676
PDY00030,professional_workshop_context,2,2.358,5.184,3.311,2.610,6.624,1.239,2.245,5.522,4.481,2.464,3.313,1.613,3.617,3.950,0.680,2.394
PDY00030,professional_workshop_context,3,2.358,5.184,3.311,2.601,6.218,1.956,4.595,2.433,3.232,1.000,3.559,1.259,3.017,4.219,0.378,1.968
PDY00030,professional_workshop_context,4,2.358,5.184,3.311,2.010,5.747,1.270,4.501,4.219,3.936,2.791,2.837,1.646,2.493,4.173,0.582,1.846
PDY00030,professional_workshop_context,5,2.358,5.184,3.311,2.956,5.811,1.000,5.268,4.482,1.635,1.725,4.945,1.000,1.000,5.122,0.426,2.588
PDY00030,professional_workshop_context,6,2.358,5.184,3.311,3.059,5.679,1.000,4.583,4.534,1.480,1.239,3.595,1.000,1.089,3.956,0.079,1.725
PDY00030,professional_workshop_context,7,2.358,5.184,3.311,2.267,6.523,1.133,4.155,3.530,3.738,2.483,3.586,1.000,2.779,5.344,0.590,1.799
PDY00030,professional_workshop_context,8,2.358,5.184,3.311,2.618,5.739,1.382,5.156,1.755,2.639,1.839,4.113,1.000,2.276,4.873,0.461,2.071
PDY00030,professional_workshop_context,9,2.358,5.184,3.311,2.847,5.822,1.000,5.114,4.913,4.110,1.000,4.153,1.000,3.189,4.496,0.231,2.198
PDY00030,professional_workshop_context,10,2.358,5.184,3.311,2.794,5.628,1.580,4.521,4.937,2.817,2.192,2.531,1.930,2.850,2.986,0.276,2.016
PDY00030,professional_workshop_context,11,2.358,5.184,3.311,3.214,5.485,1.728,5.105,5.063,3.462,2.111,4.197,1.000,2.199,4.687,0.237,1.788
PDY00030,professional_workshop_context,12,2.358,5.184,3.311,2.192,5.255,1.934,4.335,3.478,4.323,3.499,3.328,1.506,3.488,4.854,0.486,1.237
PDY00030,professional_workshop_context,13,2.358,5.184,3.311,3.605,6.693,1.703,6.358,4.227,4.768,3.232,4.458,2.045,3.241,5.741,1.027,2.550
PDY00030,professional_workshop_context,14,2.358,5.184,3.311,3.420,5.567,1.592,6.409,4.171,3.591,2.742,3.740,1.194,3.184,3.539,0.474,1.853
PDY00030,professional_workshop_context,15,2.358,5.184,3.311,3.110,6.015,1.783,4.269,5.514,3.138,4.878,2.558,2.592,4.140,5.881,0.316,2.004
PDY00030,professional_workshop_context,16,2.358,5.184,3.311,3.260,6.047,2.005,4.526,3.005,2.967,2.407,2.975,2.005,2.513,4.790,0.134,1.974
PDY00031,professional_workshop_context,1,2.946,5.865,2.120,2.274,6.552,1.000,4.131,2.564,4.138,1.689,4.243,1.772,2.898,5.337,1.227,2.032
PDY00031,professional_workshop_context,2,2.946,5.865,2.120,2.803,5.735,1.475,3.993,4.933,1.692,2.345,3.784,1.745,2.816,4.966,0.607,1.839
PDY00031,professional_workshop_context,3,2.946,5.865,2.120,2.422,5.872,1.063,4.081,3.449,3.999,4.161,3.132,2.840,3.987,4.330,0.310,1.665
PDY00031,professional_workshop_context,4,2.946,5.865,2.120,2.479,6.720,1.000,6.646,2.343,3.986,1.509,3.483,1.000,3.638,4.034,0.323,1.663
PDY00031,professional_workshop_context,5,2.946,5.865,2.120,3.268,5.695,1.000,4.435,2.856,1.000,2.213,3.894,1.406,1.174,5.690,0.605,1.758
PDY00031,professional_workshop_context,6,2.946,5.865,2.120,2.765,5.422,1.000,3.587,2.203,4.459,1.000,2.974,2.507,3.128,3.787,0.259,1.546
PDY00031,professional_workshop_context,7,2.946,5.865,2.120,2.684,6.252,1.758,3.936,2.514,3.221,2.737,3.400,1.304,3.491,3.811,0.556,1.201
PDY00031,professional_workshop_context,8,2.946,5.865,2.120,3.006,6.553,1.509,4.241,3.641,2.527,1.339,4.423,1.362,2.151,5.518,0.291,1.174
PDY00031,professional_workshop_context,9,2.946,5.865,2.120,2.839,6.468,1.000,5.668,4.453,2.987,2.995,3.283,1.988,2.863,3.283,0.254,1.825
PDY00031,professional_workshop_context,10,2.946,5.865,2.120,2.693,6.186,1.000,4.346,1.442,3.199,2.281,2.660,1.000,2.275,5.026,0.143,1.504
