person_id,occasion,situation_type,behavior_score,trait_score,situation_strength,trait_x_situation,observed_regulation,contextual_constraint
PER00246,7,deadline_pressure,5.383,4.750,4.413,2.995,3.951,5.340
PER00246,8,quiet_work,5.001,4.670,4.961,3.310,4.428,4.777
PER00246,9,team_meeting,4.735,4.317,5.888,3.632,4.759,4.079
PER00246,10,social_event,4.550,4.400,4.509,2.835,3.681,2.479
PER00246,11,ambiguous_conflict,3.179,4.841,2.386,1.650,3.930,3.683
PER00246,12,ambiguous_conflict,4.072,4.414,4.283,2.701,3.622,2.957
PER00246,13,ambiguous_conflict,4.297,4.900,4.012,2.808,3.487,4.703
PER00246,14,public_presentation,5.194,5.043,4.437,3.196,5.001,4.744
PER00247,1,creative_exploration,3.391,3.153,2.139,0.964,3.873,3.573
PER00247,2,team_meeting,3.727,3.589,5.303,2.719,3.734,4.714
PER00247,3,social_event,4.074,3.182,2.466,1.121,3.183,2.987
PER00247,4,quiet_work,2.791,3.235,4.475,2.068,4.266,6.158
PER00247,5,creative_exploration,3.528,3.029,4.300,1.861,2.724,2.439
PER00247,6,ambiguous_conflict,3.460,2.287,4.478,1.463,3.157,3.217
PER00247,7,team_meeting,3.897,3.217,5.305,2.438,3.759,3.805
PER00247,8,team_meeting,3.690,2.462,5.347,1.881,3.582,4.271
PER00247,9,creative_exploration,4.221,3.430,4.018,1.969,3.575,2.292
PER00247,10,creative_exploration,2.706,2.938,3.329,1.397,2.169,1.810
PER00247,11,ambiguous_conflict,3.669,3.793,3.677,1.992,3.168,3.185
PER00247,12,family_obligation,3.582,2.746,5.129,2.012,3.483,5.459
PER00247,13,creative_exploration,3.609,3.053,3.862,1.685,2.741,2.422
PER00247,14,ambiguous_conflict,4.154,4.498,4.673,3.003,2.843,3.780
PER00248,1,creative_exploration,3.487,4.139,2.858,1.690,4.538,2.694
PER00248,2,quiet_work,4.428,4.376,3.786,2.366,4.271,6.662
PER00248,3,family_obligation,5.091,4.147,4.014,2.378,4.159,4.030
PER00248,4,ambiguous_conflict,4.269,3.738,4.008,2.140,4.281,3.688
PER00248,5,family_obligation,4.744,4.376,3.990,2.495,4.462,5.475
PER00248,6,social_event,3.119,3.513,3.055,1.533,4.466,3.833
PER00248,7,quiet_work,4.059,4.218,3.124,1.883,6.582,6.294
PER00248,8,creative_exploration,2.601,3.076,3.402,1.495,4.472,2.820
PER00248,9,quiet_work,2.748,3.468,3.132,1.552,4.566,5.569
PER00248,10,public_presentation,5.572,3.878,7.000,3.878,4.010,4.572
PER00248,11,deadline_pressure,4.249,3.630,4.718,2.447,5.024,7.000
PER00248,12,quiet_work,3.269,4.431,4.565,2.890,5.043,5.725
PER00248,13,family_obligation,3.747,2.931,5.395,2.259,3.751,4.887
PER00248,14,ambiguous_conflict,4.758,3.957,4.912,2.777,4.189,3.187
PER00249,1,deadline_pressure,3.337,3.805,4.883,2.655,4.227,5.276
PER00249,2,public_presentation,5.020,4.620,5.117,3.377,4.438,6.616
PER00249,3,team_meeting,4.170,4.847,5.108,3.537,3.269,4.029
PER00249,4,public_presentation,4.512,4.151,5.054,2.997,3.971,5.184
PER00249,5,social_event,4.645,4.159,3.467,2.060,2.658,2.895
PER00249,6,quiet_work,3.410,4.337,3.157,1.956,3.901,5.414
PER00249,7,social_event,4.380,4.320,5.663,3.495,2.812,1.712
PER00249,8,social_event,4.718,4.402,4.430,2.786,3.957,2.841
PER00249,9,creative_exploration,4.916,4.461,5.289,3.371,3.606,2.680
PER00249,10,social_event,4.208,4.532,5.103,3.304,3.499,2.289
PER00249,11,quiet_work,4.515,4.117,3.364,1.978,4.637,5.804
PER00249,12,ambiguous_conflict,4.137,4.052,3.993,2.312,3.913,3.833
PER00249,13,ambiguous_conflict,4.697,4.197,4.750,2.848,5.285,4.310
PER00249,14,ambiguous_conflict,3.482,3.752,5.180,2.776,3.204,3.843
PER00250,1,social_event,3.430,1.979,3.601,1.018,3.457,2.795
PER00250,2,family_obligation,3.808,3.037,4.166,1.808,3.618,5.619
PER00250,3,ambiguous_conflict,4.454,3.271,4.468,2.088,3.018,3.383
PER00250,4,public_presentation,3.630,2.530,6.283,2.271,4.123,6.363
PER00250,5,quiet_work,4.317,3.429,4.220,2.067,4.790,5.781
PER00250,6,team_meeting,4.934,3.570,5.747,2.931,2.909,4.096
PER00250,7,public_presentation,3.362,3.002,5.479,2.350,3.305,4.857
PER00250,8,social_event,3.543,2.954,4.381,1.849,1.650,2.780
PER00250,9,creative_exploration,3.339,3.243,3.708,1.718,3.609,3.012
PER00250,10,social_event,3.373,2.630,4.571,1.718,2.871,3.143
PER00250,11,ambiguous_conflict,3.595,3.292,4.418,2.077,2.758,2.751
PER00250,12,quiet_work,3.564,4.069,3.886,2.259,3.684,6.360
PER00250,13,family_obligation,2.798,3.866,4.319,2.385,3.124,4.811
PER00250,14,family_obligation,3.109,2.985,4.037,1.721,2.609,4.825
PER00251,1,quiet_work,3.075,2.929,3.468,1.451,4.042,5.346
PER00251,2,public_presentation,3.716,2.270,4.905,1.591,3.684,4.432
PER00251,3,team_meeting,2.457,2.540,3.822,1.387,3.728,3.572
PER00251,4,public_presentation,4.050,2.641,5.565,2.100,3.860,5.077
PER00251,5,creative_exploration,3.050,2.521,3.575,1.287,3.798,3.256
PER00251,6,team_meeting,3.710,3.500,3.614,1.807,3.329,3.944
PER00251,7,public_presentation,3.937,2.571,5.450,2.002,3.801,5.150
PER00251,8,social_event,3.987,3.218,4.824,2.218,3.258,2.199
PER00251,9,ambiguous_conflict,3.205,3.104,4.295,1.905,3.102,3.633
PER00251,10,social_event,3.514,2.368,4.739,1.603,2.675,2.835
PER00251,11,public_presentation,4.299,2.804,5.913,2.369,3.740,4.541
PER00251,12,quiet_work,2.834,2.510,3.870,1.388,3.399,5.014
PER00251,13,team_meeting,3.789,3.244,4.247,1.968,3.108,3.994
PER00251,14,ambiguous_conflict,3.388,3.503,3.638,1.820,3.346,4.109
PER00252,1,quiet_work,4.278,3.865,2.917,1.611,5.434,6.557
PER00252,2,deadline_pressure,5.216,5.098,5.675,4.133,4.801,5.204
PER00252,3,family_obligation,4.253,4.192,4.215,2.524,4.841,4.231
PER00252,4,public_presentation,5.188,4.319,6.334,3.908,4.627,4.537
PER00252,5,creative_exploration,3.961,4.300,3.347,2.056,4.449,3.334
PER00252,6,creative_exploration,3.777,4.295,2.581,1.584,3.769,2.107
PER00252,7,creative_exploration,5.665,4.529,4.126,2.670,3.721,1.868
PER00252,8,quiet_work,3.773,4.126,3.940,2.322,5.177,5.954
PER00252,9,team_meeting,4.568,4.564,5.350,3.489,4.696,4.742
PER00252,10,deadline_pressure,4.108,3.870,5.593,3.092,4.974,5.897
PER00252,11,social_event,4.288,4.136,3.913,2.312,4.249,2.740
PER00252,12,creative_exploration,4.465,4.225,2.737,1.652,3.706,2.946
PER00252,13,quiet_work,4.867,4.569,3.970,2.591,5.101,5.026
PER00252,14,family_obligation,3.822,4.234,4.096,2.477,3.802,4.024
PER00253,1,public_presentation,3.810,3.454,4.189,2.067,4.446,4.808
PER00253,2,quiet_work,3.970,2.623,3.356,1.258,3.487,5.847
PER00253,3,family_obligation,4.903,3.270,4.314,2.015,4.622,4.573
PER00253,4,quiet_work,4.055,3.524,3.779,1.902,4.362,5.271
PER00253,5,creative_exploration,3.311,3.267,4.260,1.988,3.007,2.847
PER00253,6,family_obligation,3.799,2.999,3.593,1.540,4.453,5.924
PER00253,7,family_obligation,3.840,3.698,3.847,2.032,3.883,4.494
PER00253,8,social_event,4.441,3.771,4.120,2.220,3.591,2.984
PER00253,9,social_event,4.388,3.565,3.710,1.890,4.379,2.300
PER00253,10,public_presentation,3.910,3.725,5.118,2.723,3.038,4.772
PER00253,11,deadline_pressure,4.154,3.337,4.716,2.248,4.130,5.977
PER00253,12,team_meeting,4.376,2.910,5.797,2.409,4.744,3.963
PER00253,13,creative_exploration,3.646,3.831,3.963,2.169,3.580,2.389
PER00253,14,deadline_pressure,3.932,3.981,5.506,3.131,4.879,5.447
PER00254,1,quiet_work,4.097,4.234,3.785,2.289,4.544,6.243
PER00254,2,team_meeting,4.468,4.649,5.302,3.521,4.031,4.324
PER00254,3,deadline_pressure,5.320,4.801,6.078,4.169,3.784,5.488
PER00254,4,quiet_work,4.343,4.222,4.322,2.607,4.918,6.298
PER00254,5,family_obligation,3.963,4.766,4.375,2.979,3.494,5.029
PER00254,6,social_event,4.938,3.978,5.348,3.040,3.675,3.095
PER00254,7,team_meeting,4.304,4.278,4.597,2.809,3.982,5.019
PER00254,8,team_meeting,4.429,4.346,5.162,3.205,3.692,4.187
PER00254,9,family_obligation,4.739,4.794,4.476,3.065,3.938,3.769
PER00254,10,quiet_work,3.912,4.138,3.871,2.289,5.269,5.724
PER00254,11,quiet_work,3.586,4.257,3.537,2.151,4.254,5.274
PER00254,12,deadline_pressure,5.090,4.402,5.023,3.159,4.056,5.934
PER00254,13,deadline_pressure,3.788,4.145,4.289,2.540,4.808,6.473
PER00254,14,deadline_pressure,3.852,4.287,3.668,2.246,4.402,5.869
PER00255,1,quiet_work,3.622,4.332,3.945,2.441,4.159,5.945
PER00255,2,creative_exploration,3.612,4.279,4.092,2.501,3.007,2.178
PER00255,3,family_obligation,3.923,4.400,3.775,2.373,3.636,4.739
PER00255,4,creative_exploration,3.886,4.330,4.547,2.812,3.387,3.071
PER00255,5,deadline_pressure,4.455,4.200,4.912,2.947,3.302,6.079
PER00255,6,public_presentation,5.036,4.786,5.154,3.524,4.338,4.236
PER00255,7,quiet_work,4.177,4.004,3.831,2.191,4.218,5.151
PER00255,8,team_meeting,4.600,4.188,4.821,2.884,3.912,3.538
PER00255,9,team_meeting,4.149,4.273,3.177,1.940,3.121,4.318
PER00255,10,social_event,4.822,4.900,4.100,2.869,4.074,3.834
PER00255,11,deadline_pressure,4.067,4.462,4.210,2.684,3.256,5.550
PER00255,12,social_event,4.478,4.324,4.379,2.705,3.299,2.205
PER00255,13,family_obligation,3.135,4.002,3.976,2.273,4.194,4.427
PER00255,14,social_event,5.867,4.669,5.137,3.426,2.415,1.818
PER00256,1,deadline_pressure,4.404,3.643,5.406,2.814,3.282,4.789
PER00256,2,deadline_pressure,4.190,3.732,4.059,2.164,3.558,5.091
PER00256,3,deadline_pressure,3.808,4.220,5.212,3.142,3.520,5.878
PER00256,4,quiet_work,3.574,4.252,2.745,1.667,4.139,5.422
PER00256,5,public_presentation,5.226,3.719,5.812,3.088,4.104,4.997
PER00256,6,family_obligation,3.581,3.722,3.931,2.090,3.911,4.814
PER00256,7,public_presentation,4.513,3.460,6.176,3.053,3.269,5.524
PER00256,8,team_meeting,3.120,3.461,4.512,2.231,3.083,3.585
PER00256,9,quiet_work,4.273,4.276,4.063,2.482,3.747,4.891
PER00256,10,social_event,4.733,4.010,4.715,2.701,2.914,2.769
PER00256,11,ambiguous_conflict,4.502,3.893,4.298,2.390,3.700,4.200
PER00256,12,public_presentation,3.938,3.357,5.107,2.449,3.446,5.455
PER00256,13,family_obligation,3.450,4.240,4.818,2.918,4.165,5.872
PER00256,14,family_obligation,4.302,3.495,4.571,2.282,3.474,5.311
PER00257,1,deadline_pressure,4.134,3.117,4.605,2.051,5.262,4.976
PER00257,2,team_meeting,3.689,3.385,5.307,2.566,4.009,4.082
PER00257,3,family_obligation,3.079,2.521,3.413,1.229,2.825,4.577
PER00257,4,team_meeting,4.205,2.871,5.157,2.116,3.607,4.607
PER00257,5,creative_exploration,3.430,3.761,3.776,2.029,2.084,2.246
PER00257,6,family_obligation,3.525,2.599,4.339,1.611,4.284,4.998
PER00257,7,deadline_pressure,4.655,2.639,5.388,2.031,4.359,6.686
PER00257,8,creative_exploration,2.975,2.851,2.966,1.208,3.264,3.235
PER00257,9,deadline_pressure,3.767,2.452,5.081,1.780,3.567,5.583
PER00257,10,social_event,3.322,2.189,4.989,1.560,2.987,2.504
PER00257,11,public_presentation,3.737,3.222,5.333,2.454,3.803,4.422
PER00257,12,ambiguous_conflict,3.562,2.549,3.418,1.245,4.096,3.935
PER00257,13,team_meeting,4.433,3.086,5.982,2.637,3.656,4.217
PER00257,14,ambiguous_conflict,3.713,2.431,5.289,1.837,3.507,4.068
PER00258,1,family_obligation,2.968,2.039,3.640,1.060,4.201,5.171
PER00258,2,ambiguous_conflict,3.569,3.157,5.332,2.405,3.438,3.733
PER00258,3,social_event,4.057,2.571,3.485,1.280,3.481,2.949
PER00258,4,social_event,2.819,3.020,3.892,1.679,3.656,2.917
PER00258,5,public_presentation,3.917,3.180,6.088,2.765,4.295,5.639
PER00258,6,quiet_work,4.658,2.566,5.227,1.916,4.557,5.203
PER00258,7,family_obligation,4.382,3.714,4.211,2.234,4.397,5.796
PER00258,8,social_event,3.403,2.128,4.123,1.254,4.070,2.714
PER00258,9,ambiguous_conflict,3.295,2.682,3.771,1.445,4.160,2.834
PER00258,10,quiet_work,3.746,2.736,4.914,1.921,4.574,6.439
PER00258,11,deadline_pressure,3.136,2.869,5.472,2.242,3.500,5.956
PER00258,12,social_event,5.045,2.813,5.131,2.062,3.202,3.917
PER00258,13,public_presentation,4.576,3.096,6.272,2.774,4.504,6.000
PER00258,14,creative_exploration,2.449,2.561,3.724,1.362,3.810,2.187
PER00259,1,social_event,3.996,3.812,5.434,2.959,3.018,2.350
PER00259,2,family_obligation,4.208,3.460,3.713,1.835,4.339,4.941
PER00259,3,deadline_pressure,4.677,4.025,5.246,3.016,4.013,4.862
PER00259,4,family_obligation,3.696,3.715,4.623,2.454,3.516,4.431
PER00259,5,public_presentation,4.928,3.571,6.019,3.070,3.936,4.750
PER00259,6,social_event,3.920,4.198,4.239,2.543,3.365,2.965
PER00259,7,deadline_pressure,3.412,3.706,3.900,2.065,3.804,6.372
PER00259,8,social_event,3.918,2.612,4.709,1.757,3.696,3.239
PER00259,9,ambiguous_conflict,4.054,3.030,5.317,2.301,3.154,3.708
PER00259,10,creative_exploration,3.633,3.027,2.547,1.101,3.507,2.475
PER00259,11,ambiguous_conflict,4.677,3.031,5.112,2.214,3.973,3.580
PER00259,12,social_event,3.422,3.507,4.770,2.390,2.725,2.762
PER00259,13,quiet_work,3.807,2.634,4.745,1.785,3.546,5.521
PER00259,14,team_meeting,4.027,3.973,4.065,2.307,3.826,4.170
PER00260,1,family_obligation,3.816,2.864,4.182,1.711,3.831,5.458
PER00260,2,social_event,3.587,3.112,3.440,1.529,2.605,3.158
PER00260,3,family_obligation,3.305,3.763,5.604,3.012,3.200,4.850
PER00260,4,social_event,4.306,3.572,3.827,1.953,2.914,2.938
PER00260,5,deadline_pressure,3.814,3.305,4.617,2.180,3.699,5.015
PER00260,6,deadline_pressure,4.486,2.857,6.348,2.591,3.383,5.753
PER00260,7,ambiguous_conflict,4.603,3.176,4.907,2.226,3.533,3.119
PER00260,8,deadline_pressure,4.934,3.542,5.213,2.637,3.572,5.667
PER00260,9,quiet_work,3.712,2.437,4.420,1.539,3.182,5.217
PER00260,10,social_event,4.199,2.814,4.746,1.908,3.460,3.514
PER00260,11,quiet_work,2.390,2.762,2.967,1.171,4.182,5.891
PER00260,12,ambiguous_conflict,4.627,3.425,5.491,2.687,3.739,3.271
PER00260,13,quiet_work,3.160,3.481,3.032,1.508,4.612,5.601
PER00260,14,deadline_pressure,3.763,3.119,6.185,2.756,3.646,5.456
PER00261,1,team_meeting,4.098,3.194,5.062,2.310,3.520,4.655
PER00261,2,public_presentation,5.351,3.713,6.701,3.554,4.321,3.748
PER00261,3,quiet_work,3.027,3.308,4.163,1.967,3.625,5.848
PER00261,4,ambiguous_conflict,4.273,3.533,4.298,2.169,2.366,3.508
PER00261,5,family_obligation,2.575,3.159,3.862,1.743,3.544,5.355
PER00261,6,creative_exploration,3.532,3.769,2.479,1.335,3.456,3.566
PER00261,7,deadline_pressure,3.992,2.711,6.636,2.570,3.423,6.558
PER00261,8,public_presentation,4.406,3.359,6.535,3.136,3.211,4.213
PER00261,9,deadline_pressure,5.118,3.791,6.690,3.622,3.377,5.312
PER00261,10,social_event,3.202,2.897,4.968,2.056,2.183,3.129
PER00261,11,family_obligation,4.603,3.343,5.141,2.455,3.862,4.110
PER00261,12,team_meeting,3.598,3.875,3.943,2.183,3.064,4.192
PER00261,13,ambiguous_conflict,3.609,3.097,4.415,1.953,4.112,4.219
PER00261,14,team_meeting,3.462,3.046,4.635,2.017,3.702,4.045
PER00262,1,deadline_pressure,5.519,4.678,5.932,3.964,4.304,5.903
PER00262,2,quiet_work,4.623,4.264,4.070,2.479,4.218,5.393
PER00262,3,public_presentation,4.118,3.861,6.326,3.489,4.189,5.691
PER00262,4,quiet_work,3.407,3.725,2.974,1.582,4.887,6.014
PER00262,5,quiet_work,5.252,3.676,5.513,2.896,3.555,5.512
PER00262,6,team_meeting,5.090,2.937,5.417,2.273,5.130,5.100
PER00262,7,creative_exploration,4.329,3.821,3.211,1.753,3.454,2.752
PER00262,8,social_event,4.642,3.848,5.522,3.036,3.195,3.206
PER00262,9,social_event,4.998,4.617,4.923,3.247,3.025,2.920
PER00262,10,team_meeting,3.982,3.894,4.684,2.606,3.799,4.346
PER00262,11,creative_exploration,4.875,5.043,4.282,3.085,4.328,2.278
PER00262,12,quiet_work,4.132,4.164,5.116,3.043,3.946,5.895
PER00262,13,public_presentation,5.432,4.866,6.010,4.178,4.056,4.782
PER00262,14,team_meeting,4.266,4.428,4.192,2.652,3.712,4.234
PER00263,1,creative_exploration,3.680,3.913,3.515,1.965,1.969,2.047
PER00263,2,public_presentation,4.654,3.296,5.171,2.435,4.323,4.935
PER00263,3,public_presentation,3.593,3.463,5.492,2.717,3.253,5.305
PER00263,4,ambiguous_conflict,4.352,4.027,4.028,2.317,3.703,3.715
PER00263,5,social_event,3.457,2.558,5.107,1.866,3.113,2.445
PER00263,6,ambiguous_conflict,3.966,3.612,3.360,1.734,3.006,4.205
PER00263,7,deadline_pressure,3.859,3.020,4.466,1.927,4.444,4.993
PER00263,8,quiet_work,3.351,3.594,4.392,2.255,3.979,6.522
PER00263,9,team_meeting,3.777,3.149,4.715,2.121,4.291,3.440
PER00263,10,ambiguous_conflict,3.490,3.612,3.952,2.039,3.068,4.016
PER00263,11,social_event,3.833,2.832,3.593,1.454,2.762,3.309
PER00263,12,public_presentation,3.849,2.719,5.534,2.150,3.382,4.326
PER00263,13,public_presentation,4.176,3.848,5.996,3.296,3.268,4.521
PER00263,14,deadline_pressure,4.137,2.721,5.178,2.013,4.012,5.768
PER00264,1,quiet_work,3.392,3.350,2.918,1.396,3.956,4.244
PER00264,2,ambiguous_conflict,3.459,2.728,5.002,1.949,2.408,3.771
PER00264,3,public_presentation,4.424,3.732,5.246,2.797,3.855,5.548
PER00264,4,team_meeting,4.553,3.280,5.117,2.398,3.517,4.523
PER00264,5,ambiguous_conflict,4.111,3.205,4.435,2.030,3.237,2.808
PER00264,6,team_meeting,4.744,3.249,4.503,2.090,4.102,3.976
PER00264,7,family_obligation,3.509,2.445,4.461,1.558,3.339,4.868
PER00264,8,creative_exploration,3.765,3.172,2.280,1.033,3.393,2.935
PER00264,9,ambiguous_conflict,3.870,3.451,4.612,2.274,3.343,4.415
PER00264,10,family_obligation,3.037,3.231,4.618,2.132,3.468,4.813
PER00264,11,social_event,3.998,2.971,4.124,1.750,2.674,2.870
PER00264,12,public_presentation,4.025,2.815,4.672,1.879,3.674,5.241
PER00264,13,social_event,3.154,3.208,3.952,1.811,3.436,3.125
PER00264,14,public_presentation,3.482,3.070,5.981,2.623,4.498,5.915
PER00265,1,social_event,5.144,4.848,5.139,3.559,5.048,2.689
PER00265,2,social_event,5.522,5.169,4.543,3.355,4.852,2.646
PER00265,3,family_obligation,4.562,5.256,4.588,3.444,4.551,5.640
PER00265,4,social_event,3.119,4.057,3.989,2.312,4.419,2.324
PER00265,5,deadline_pressure,5.319,4.186,6.304,3.769,5.088,5.102
PER00265,6,deadline_pressure,4.434,4.722,4.410,2.975,5.127,5.946
PER00265,7,social_event,3.411,4.738,3.209,2.172,3.716,1.930
PER00265,8,team_meeting,4.786,4.049,4.452,2.575,4.577,3.847
PER00265,9,quiet_work,3.766,5.265,2.971,2.235,4.507,5.440
PER00265,10,deadline_pressure,4.733,4.034,5.164,2.976,3.471,5.929
PER00265,11,deadline_pressure,3.471,4.560,3.527,2.298,4.417,5.945
PER00265,12,quiet_work,4.605,4.037,4.725,2.725,4.534,5.226
PER00265,13,quiet_work,4.481,4.266,4.335,2.642,4.412,5.736
PER00265,14,ambiguous_conflict,4.216,4.285,4.768,2.919,5.957,4.010
PER00266,1,quiet_work,4.286,4.095,4.649,2.720,3.931,4.477
PER00266,2,creative_exploration,4.522,4.141,3.312,1.959,4.360,2.702
PER00266,3,public_presentation,5.437,4.389,5.097,3.196,4.312,4.910
PER00266,4,team_meeting,4.440,4.765,6.468,4.403,3.814,4.060
PER00266,5,social_event,4.733,4.530,4.413,2.856,4.668,2.518
PER00266,6,creative_exploration,3.967,4.188,4.181,2.501,4.225,2.387
PER00266,7,social_event,4.298,4.495,3.785,2.431,3.975,2.141
PER00266,8,deadline_pressure,4.690,4.483,4.820,3.087,4.816,5.850
PER00266,9,family_obligation,5.086,4.683,4.286,2.867,3.577,4.888
PER00266,10,social_event,4.607,4.023,4.119,2.367,3.874,2.833
PER00266,11,deadline_pressure,4.969,4.426,5.741,3.630,3.872,6.081
PER00266,12,social_event,4.404,4.025,3.220,1.852,3.870,2.914
PER00266,13,public_presentation,4.474,4.324,5.898,3.643,4.409,5.351
PER00266,14,quiet_work,4.516,4.119,3.816,2.245,4.966,5.066
PER00267,1,team_meeting,3.817,2.964,3.402,1.440,3.060,4.847
PER00267,2,team_meeting,3.767,3.324,5.446,2.586,2.317,3.514
PER00267,3,social_event,2.877,3.018,5.047,2.176,2.586,2.696
PER00267,4,quiet_work,2.784,3.348,3.461,1.655,2.500,5.212
PER00267,5,team_meeting,3.303,3.523,3.678,1.851,3.100,4.148
PER00267,6,creative_exploration,3.421,2.434,4.678,1.626,2.746,2.847
PER00267,7,family_obligation,4.217,3.180,5.725,2.601,3.234,4.473
PER00267,8,social_event,3.231,2.327,4.320,1.436,2.440,2.979
PER00267,9,family_obligation,4.080,2.533,5.098,1.845,3.207,3.939
PER00267,10,quiet_work,3.550,3.185,4.892,2.226,2.386,6.298
PER00267,11,creative_exploration,3.036,2.503,3.892,1.392,3.387,3.035
PER00267,12,public_presentation,3.806,3.078,6.077,2.672,3.330,4.582
PER00267,13,deadline_pressure,3.164,2.927,4.228,1.768,3.432,6.342
PER00267,14,deadline_pressure,3.681,2.622,6.308,2.363,3.183,5.610
PER00268,1,family_obligation,4.395,4.369,3.833,2.392,4.843,4.507
PER00268,2,family_obligation,4.294,3.716,3.352,1.780,5.216,3.903
PER00268,3,family_obligation,4.389,4.231,4.669,2.822,4.436,4.819
PER00268,4,deadline_pressure,4.652,4.501,4.173,2.683,5.648,4.613
PER00268,5,team_meeting,5.209,4.185,4.659,2.786,4.717,3.941
PER00268,6,family_obligation,4.333,3.957,4.350,2.459,4.767,4.660
PER00268,7,creative_exploration,3.832,4.038,3.902,2.251,4.109,1.544
PER00268,8,ambiguous_conflict,4.188,4.003,4.248,2.430,4.387,4.000
PER00268,9,social_event,3.836,4.203,5.035,3.023,3.619,2.801
PER00268,10,creative_exploration,3.868,3.165,4.539,2.053,3.297,1.743
PER00268,11,public_presentation,4.859,4.726,6.527,4.406,4.292,5.812
PER00268,12,creative_exploration,3.703,4.344,3.698,2.295,3.339,1.862
PER00268,13,quiet_work,3.485,4.058,3.651,2.116,4.436,6.158
PER00268,14,creative_exploration,3.635,4.762,2.623,1.784,3.916,1.792
PER00269,1,social_event,4.136,4.682,4.002,2.677,4.111,2.852
PER00269,2,social_event,4.273,4.167,4.338,2.582,3.622,3.036
PER00269,3,ambiguous_conflict,5.078,4.266,3.873,2.360,4.202,4.532
PER00269,4,deadline_pressure,4.350,3.586,4.493,2.302,4.112,5.258
PER00269,5,team_meeting,4.932,4.378,4.180,2.614,4.515,4.474
PER00269,6,ambiguous_conflict,4.372,4.118,4.198,2.470,5.135,3.345
PER00269,7,team_meeting,4.340,3.015,4.918,2.118,4.542,4.946
PER00269,8,creative_exploration,4.384,4.480,3.442,2.203,4.665,3.312
PER00269,9,social_event,4.117,3.649,4.768,2.486,4.193,2.971
PER00269,10,social_event,4.924,4.444,4.173,2.649,3.911,1.892
PER00269,11,public_presentation,4.275,4.120,5.211,3.067,3.689,5.676
PER00269,12,team_meeting,4.686,3.583,5.554,2.843,4.155,4.573
PER00269,13,quiet_work,4.620,4.495,4.139,2.658,4.497,5.908
PER00269,14,ambiguous_conflict,4.119,4.481,3.846,2.462,4.282,4.206
PER00270,1,deadline_pressure,4.072,2.831,5.282,2.136,2.863,5.996
PER00270,2,family_obligation,4.025,3.274,5.025,2.350,2.936,4.531
PER00270,3,ambiguous_conflict,3.276,3.021,3.329,1.437,2.862,3.809
PER00270,4,creative_exploration,3.103,3.196,2.831,1.293,3.285,2.607
PER00270,5,social_event,3.156,2.564,3.773,1.382,3.284,2.978
PER00270,6,deadline_pressure,3.850,3.506,4.526,2.267,4.259,6.096
PER00270,7,social_event,4.710,3.108,4.237,1.881,3.471,2.907
PER00270,8,team_meeting,4.097,3.343,5.787,2.764,3.920,3.698
PER00270,9,quiet_work,2.825,3.411,2.674,1.303,3.271,6.167
PER00270,10,quiet_work,2.951,2.584,4.050,1.495,4.446,6.029
PER00270,11,quiet_work,4.732,3.532,4.686,2.365,3.627,5.377
PER00270,12,social_event,3.460,2.505,3.777,1.352,3.222,2.951
PER00270,13,public_presentation,3.484,3.125,6.336,2.829,4.310,6.115
PER00270,14,deadline_pressure,4.442,2.660,6.148,2.336,3.563,5.330
PER00271,1,public_presentation,4.180,2.910,6.255,2.600,3.544,4.891
PER00271,2,public_presentation,2.470,1.762,5.695,1.433,2.404,4.978
PER00271,3,ambiguous_conflict,3.430,2.333,5.476,1.825,1.589,3.838
PER00271,4,deadline_pressure,3.622,2.263,5.057,1.635,4.157,5.980
PER00271,5,quiet_work,3.103,2.543,4.340,1.577,3.713,6.461
PER00271,6,team_meeting,3.298,2.296,6.038,1.981,3.165,4.846
PER00271,7,family_obligation,2.809,2.665,3.541,1.348,2.310,4.633
PER00271,8,creative_exploration,2.911,2.433,3.008,1.045,2.503,3.273
PER00271,9,social_event,2.939,2.177,3.888,1.209,2.963,3.116
PER00271,10,team_meeting,2.971,2.423,3.307,1.145,1.650,3.147
PER00271,11,quiet_work,2.769,2.270,3.122,1.012,3.973,5.837
PER00271,12,deadline_pressure,3.165,2.181,3.942,1.229,3.153,5.343
PER00271,13,family_obligation,2.830,1.688,4.886,1.179,2.315,4.010
PER00271,14,team_meeting,3.006,2.521,4.992,1.798,2.825,4.374
PER00272,1,social_event,4.320,3.602,3.884,1.998,2.651,3.022
PER00272,2,public_presentation,4.923,3.888,5.619,3.121,2.947,5.224
PER00272,3,ambiguous_conflict,3.538,3.237,4.662,2.156,3.355,3.248
PER00272,4,creative_exploration,3.724,2.905,3.376,1.401,2.594,2.080
PER00272,5,creative_exploration,3.499,4.004,3.142,1.797,3.114,2.190
PER00272,6,team_meeting,4.066,3.680,6.057,3.184,3.765,4.226
PER00272,7,ambiguous_conflict,3.210,3.005,4.931,2.117,2.923,3.599
PER00272,8,team_meeting,2.588,2.622,4.104,1.537,3.265,4.432
PER00272,9,ambiguous_conflict,2.934,3.092,3.847,1.699,3.672,3.831
PER00272,10,quiet_work,2.920,3.063,3.389,1.483,4.211,5.826
PER00272,11,quiet_work,2.634,4.167,2.901,1.727,3.064,6.269
PER00272,12,ambiguous_conflict,2.960,3.407,4.308,2.097,4.083,4.059
PER00272,13,ambiguous_conflict,4.059,3.149,3.884,1.747,3.230,3.283
