person_id,conscientiousness_score,extraversion_score,neuroticism_score,identity_coherence,life_satisfaction,social_functioning,developmental_integration,measurement_reliability_index,identity_trait_alignment_index,person_situation_sensitivity_index,responsible_interpretation_index,mean_behavior_score,mean_situation_strength,mean_observed_regulation,mean_contextual_constraint
PER00212,4.078,3.846,3.322,3.346,3.058,3.198,3.578,7.544,4.227,3.950,5.492,4.151,4.325,3.627,3.787
PER00213,4.251,3.957,3.878,2.919,3.366,3.568,4.200,7.286,3.830,5.001,4.701,4.197,4.215,3.837,3.874
PER00214,5.460,2.796,2.725,4.132,2.662,3.612,4.550,8.217,4.980,4.442,5.863,4.434,4.453,4.345,3.484
PER00215,6.378,3.131,3.274,4.194,3.211,2.581,3.803,7.358,4.669,4.304,5.721,4.734,4.622,4.887,3.854
PER00216,3.453,4.175,3.748,2.150,1.736,2.648,2.467,8.620,2.411,4.239,4.648,4.047,4.477,3.660,4.679
PER00217,5.226,3.093,3.323,2.941,1.593,2.973,2.852,7.862,3.749,4.440,5.520,4.338,4.353,4.263,4.473
PER00218,5.199,2.396,4.129,2.281,2.804,4.687,2.703,8.015,3.305,4.519,5.933,4.046,4.683,4.205,4.327
PER00219,5.907,2.359,5.123,3.249,2.509,2.038,3.394,8.907,4.167,3.985,5.520,4.013,4.274,4.213,3.994
PER00220,3.566,3.916,4.119,2.726,1.667,3.395,2.055,7.679,3.156,3.750,4.986,3.903,3.960,3.369,3.972
PER00221,4.315,4.012,4.679,2.494,2.131,3.462,3.285,7.970,3.890,5.178,5.693,4.198,4.477,3.777,3.923
PER00222,4.133,3.140,4.374,2.874,1.170,3.439,3.801,8.508,3.661,4.659,5.636,3.633,4.487,3.379,4.232
PER00223,4.344,4.768,1.309,3.855,3.106,4.591,2.611,8.225,4.501,4.984,6.169,4.445,4.539,4.286,4.405
PER00224,5.525,4.407,5.367,3.144,2.797,3.869,3.391,8.364,4.351,5.215,6.020,4.304,4.609,4.045,4.142
PER00225,3.826,3.911,6.091,2.792,2.375,2.954,2.569,8.205,3.128,4.014,5.086,3.872,4.469,3.295,3.707
PER00226,4.468,4.316,3.700,3.756,2.286,3.396,3.464,6.996,3.888,4.393,5.403,3.934,4.044,3.656,4.114
PER00227,2.389,4.660,3.661,2.617,2.765,3.464,2.591,7.584,3.111,4.139,4.915,3.911,4.656,2.989,4.292
PER00228,3.304,2.915,3.332,3.230,2.292,3.333,3.324,7.946,3.439,4.800,4.959,3.702,4.731,3.719,4.750
PER00229,4.216,4.280,3.265,3.325,2.568,3.775,3.465,7.927,4.641,4.883,5.921,4.513,4.430,3.929,4.878
PER00230,4.171,6.214,5.300,3.290,1.908,3.876,3.427,8.264,3.407,4.967,5.571,4.459,4.745,3.658,4.603
PER00231,4.393,4.841,2.672,3.227,3.304,4.489,2.857,8.343,3.971,4.805,5.757,4.556,4.637,4.081,4.536
PER00232,3.824,2.902,4.400,2.237,1.489,3.316,2.223,8.665,2.991,4.246,4.969,3.736,4.384,3.371,4.674
PER00233,5.239,4.557,4.883,3.079,3.443,3.419,3.699,8.257,3.576,5.022,5.693,4.351,4.262,3.864,4.158
PER00234,5.227,2.842,2.747,2.731,3.886,3.026,3.000,8.324,4.082,4.196,5.521,4.045,4.253,4.311,4.349
PER00235,4.331,3.819,1.624,2.394,3.505,3.247,3.671,8.246,3.852,4.397,5.731,4.106,4.205,4.188,4.227
PER00236,3.196,6.175,4.036,3.945,3.279,4.466,3.228,8.022,3.500,4.173,5.015,4.429,4.956,3.420,4.729
PER00237,4.854,4.606,5.361,3.510,2.343,3.216,3.568,7.481,3.777,4.752,5.344,4.085,4.674,3.577,4.316
PER00238,2.474,3.006,4.724,2.495,2.675,2.410,1.976,8.018,3.573,4.028,5.027,3.477,4.126,2.917,3.958
PER00239,3.405,2.797,3.879,2.339,2.542,3.073,2.860,7.436,3.446,4.668,5.359,4.024,4.746,3.344,4.139
PER00240,3.424,3.925,3.114,3.049,2.138,3.603,4.036,7.902,3.872,4.868,5.255,3.999,4.690,3.564,3.756
PER00241,4.275,5.027,4.389,2.393,2.502,3.937,2.277,8.171,2.718,5.152,4.863,4.262,4.726,3.572,3.603
PER00242,3.021,5.396,5.601,1.372,2.077,3.028,2.695,7.457,1.733,4.371,4.186,3.803,4.237,3.046,4.636
PER00243,3.882,3.342,2.266,2.654,3.383,3.771,3.641,7.824,3.169,4.007,5.414,4.017,4.243,3.971,4.736
PER00244,3.604,3.259,2.089,2.819,1.997,3.751,2.332,7.913,3.467,4.803,5.295,4.212,4.563,3.803,4.253
PER00245,5.045,4.371,1.677,4.526,3.576,3.141,3.295,8.026,4.507,5.488,5.931,4.566,4.584,4.676,4.316
PER00246,5.159,4.251,3.404,2.841,3.041,4.479,3.121,7.422,4.659,4.212,5.576,4.498,4.404,4.239,4.437
PER00247,1.417,4.301,1.596,2.469,2.418,2.528,3.237,7.780,2.830,4.121,4.894,3.607,4.179,3.304,3.579
PER00248,4.552,2.387,2.007,2.533,3.339,3.426,3.192,8.439,3.484,3.913,5.280,4.010,4.140,4.558,4.745
PER00249,4.581,6.364,4.013,4.402,4.152,3.396,4.503,8.248,5.670,4.328,5.942,4.296,4.611,3.813,4.052
PER00250,3.733,4.885,5.141,2.521,2.173,3.120,3.445,8.060,2.865,4.270,5.055,3.661,4.520,3.252,4.327
PER00251,2.870,2.809,2.927,2.299,1.200,2.556,2.953,7.439,3.098,4.695,5.452,3.501,4.423,3.491,4.079
PER00252,5.870,4.776,4.288,4.263,2.542,3.202,2.833,8.990,4.646,4.892,6.005,4.445,4.200,4.525,4.226
PER00253,5.317,1.877,4.407,2.758,2.983,2.375,3.282,7.992,3.184,4.429,5.604,4.038,4.305,4.043,4.400
PER00254,4.975,5.104,3.596,3.479,2.776,3.650,2.887,8.146,4.359,4.732,5.645,4.345,4.559,4.203,5.195
PER00255,3.739,6.552,3.114,2.972,2.514,4.379,3.664,8.315,4.107,4.171,5.530,4.274,4.290,3.594,4.078
PER00256,3.886,4.790,5.121,1.870,1.893,3.039,2.622,8.213,2.720,4.771,4.876,4.115,4.673,3.594,4.900
PER00257,3.594,1.572,3.137,2.454,2.135,3.601,2.529,8.837,3.142,4.742,5.309,3.730,4.646,3.665,4.295
PER00258,3.454,1.358,2.204,2.639,1.743,2.506,3.665,7.179,4.364,4.747,5.380,3.716,4.663,3.989,4.390
PER00259,3.959,3.401,3.456,2.950,2.194,3.642,2.940,8.221,3.785,4.750,6.041,4.027,4.603,3.601,4.009
PER00260,3.624,4.135,4.292,3.379,3.413,2.734,2.986,7.895,3.671,4.517,5.680,3.907,4.641,3.540,4.636
PER00261,2.649,4.106,1.719,2.980,3.453,3.003,2.948,7.298,3.651,4.603,4.977,3.918,4.966,3.412,4.461
PER00262,3.514,5.285,2.897,3.551,3.051,4.576,3.229,7.685,4.033,5.021,5.207,4.619,4.869,3.986,4.573
PER00263,4.093,2.547,3.980,3.491,2.284,2.589,4.023,7.477,4.312,4.595,5.184,3.870,4.607,3.470,4.253
PER00264,3.094,3.184,3.846,3.342,2.187,3.853,3.063,6.897,3.723,4.775,4.602,3.823,4.423,3.493,4.218
PER00265,5.029,4.264,2.299,4.818,2.726,3.900,4.097,8.119,4.299,4.925,5.348,4.398,4.437,4.620,4.458
PER00266,4.386,6.249,3.628,2.543,3.024,3.778,3.759,7.813,4.283,4.447,5.512,4.602,4.558,4.191,4.013
PER00267,2.932,3.802,4.672,2.840,1.000,3.276,3.275,8.287,3.478,3.822,5.571,3.481,4.732,2.922,4.323
PER00268,5.958,3.716,3.874,2.436,2.311,3.056,3.086,7.282,3.622,4.352,5.272,4.191,4.233,4.359,3.725
PER00269,5.774,3.023,3.939,2.854,2.789,3.762,2.800,6.865,4.006,4.847,5.375,4.472,4.367,4.259,4.070
PER00270,3.854,2.499,4.552,3.225,1.004,2.329,3.250,7.427,4.372,4.338,5.210,3.727,4.462,3.523,4.614
PER00271,1.860,2.881,5.145,1.376,1.055,2.409,2.796,7.986,2.789,4.709,4.519,3.107,4.539,2.876,4.623
PER00272,4.398,3.607,5.808,2.511,1.816,4.082,4.373,7.913,3.682,3.953,5.108,3.551,4.189,3.404,4.145
PER00273,3.321,3.828,2.951,2.830,2.738,2.766,2.701,7.893,2.943,4.063,4.561,3.664,4.436,3.835,4.366
PER00274,2.282,4.709,3.610,2.103,2.142,3.092,3.312,7.192,2.774,4.253,5.191,3.521,3.969,3.088,4.029
PER00275,5.317,3.452,3.463,3.432,2.472,2.979,3.130,6.924,3.982,4.887,5.316,4.457,4.885,4.636,4.371
PER00276,5.520,3.646,4.021,3.229,3.385,3.138,3.447,7.826,3.900,4.970,5.650,4.202,4.555,4.243,4.468
PER00277,5.438,5.407,3.554,3.896,3.430,4.243,4.248,7.692,4.581,4.850,5.617,4.593,4.377,4.441,3.958
PER00278,4.204,5.135,3.204,3.745,2.683,3.848,3.425,8.778,4.385,4.633,5.853,4.313,4.233,3.883,3.816
PER00279,5.203,3.551,3.139,3.433,3.301,4.726,2.704,7.633,3.965,5.169,5.673,4.543,4.767,4.563,4.826
PER00280,3.412,3.234,4.480,2.859,1.768,2.853,2.661,8.332,3.194,4.570,5.069,3.945,4.652,3.235,3.937
PER00281,2.550,3.413,1.956,2.470,3.590,4.280,2.552,8.116,3.301,3.977,5.103,3.686,4.088,3.452,3.899
PER00282,3.581,2.402,1.868,4.058,2.860,3.009,3.182,8.683,4.361,4.359,5.627,3.887,4.381,3.988,4.254
PER00283,3.158,4.618,3.362,3.049,2.322,4.380,2.867,8.325,3.700,4.346,5.874,4.114,4.226,3.383,3.714
PER00284,3.983,3.977,4.989,3.153,2.163,3.152,2.307,7.453,3.603,3.998,4.697,3.790,4.542,3.463,4.277
PER00285,4.478,4.728,3.449,2.851,2.806,4.145,4.147,8.428,3.981,5.175,5.907,4.481,4.739,4.001,3.775
PER00286,4.076,4.072,4.592,3.335,1.749,4.591,2.700,8.535,3.284,4.905,4.742,4.323,4.802,3.624,4.434
PER00287,3.276,3.960,4.236,2.703,1.837,4.124,2.826,7.575,3.305,4.468,5.270,4.008,4.765,3.499,4.814
PER00288,5.100,1.282,3.625,3.135,1.865,2.602,3.795,7.902,4.271,5.198,5.524,4.149,4.560,4.173,4.315
PER00289,4.793,3.901,2.965,3.086,2.768,3.841,3.123,7.680,4.767,4.470,5.620,4.463,4.334,3.982,4.083
PER00290,5.425,3.010,3.005,3.649,2.803,3.372,4.433,8.613,4.787,5.139,6.346,4.189,4.439,4.781,4.985
PER00291,2.740,3.698,4.415,2.602,1.873,3.079,2.769,7.553,3.004,4.015,5.215,3.551,4.596,2.978,4.173
PER00292,2.477,3.239,4.665,2.509,2.143,2.431,2.493,7.503,2.281,3.672,4.513,3.163,4.130,2.822,3.792
PER00293,5.840,2.416,6.969,2.360,1.830,1.768,3.166,7.597,3.220,4.254,4.860,3.898,4.603,3.548,4.033
PER00294,3.562,5.660,4.187,3.272,1.468,4.054,2.412,7.034,3.688,4.006,4.694,3.742,3.673,3.587,3.949
PER00295,4.113,3.312,4.420,2.206,2.005,3.523,2.231,6.526,2.774,4.502,4.476,4.126,4.459,3.349,3.996
PER00296,5.168,3.063,4.864,4.104,1.920,2.423,4.679,7.762,5.297,4.368,5.360,3.820,4.060,3.947,4.187
PER00297,5.420,4.122,3.858,3.155,2.870,5.345,3.477,7.831,3.227,4.618,5.570,4.597,4.571,4.399,4.378
PER00298,4.725,1.591,4.671,2.778,2.248,2.281,3.351,8.457,3.616,4.495,5.379,3.909,4.409,4.009,4.268
PER00299,3.960,1.895,4.462,2.555,2.273,2.295,3.103,8.077,3.631,4.559,5.310,3.554,4.390,3.504,4.788
PER00300,4.873,4.389,3.068,3.293,3.832,3.893,2.187,8.342,3.776,4.988,5.498,4.452,4.879,4.257,4.635
PER00301,2.162,4.415,4.296,2.008,2.481,3.233,2.520,7.733,3.003,4.192,5.463,3.655,4.454,2.888,4.556
PER00302,3.940,4.280,2.475,2.789,4.373,4.477,2.082,7.833,3.501,5.497,5.314,4.451,4.880,4.064,4.486
PER00303,3.090,3.399,3.589,2.877,2.842,3.010,2.479,8.614,3.383,3.922,5.205,3.779,4.481,3.642,4.044
PER00304,1.434,4.401,3.799,3.105,2.518,3.152,2.412,8.359,2.835,3.599,4.928,3.427,4.152,2.710,3.911
PER00305,5.282,5.918,5.616,3.472,3.541,3.997,3.108,8.121,3.428,4.346,5.408,4.138,4.610,3.872,4.403
PER00306,5.892,2.507,4.154,2.483,3.554,4.052,2.956,6.837,3.816,4.640,4.885,4.519,4.528,4.495,4.319
PER00307,4.996,2.419,1.846,2.433,2.824,3.468,3.384,8.942,3.757,4.824,6.012,4.133,3.631,4.447,4.065
PER00308,3.828,4.871,3.410,2.535,2.189,2.991,3.052,8.025,3.434,4.440,4.986,4.209,4.574,3.673,4.233
PER00309,4.344,4.128,2.296,3.507,2.892,3.424,1.794,6.871,3.360,4.827,4.790,3.928,3.934,4.027,4.275
PER00310,5.278,2.930,3.307,3.324,2.530,3.837,3.525,7.700,4.269,4.896,5.996,4.311,4.524,4.207,3.749
PER00311,4.321,6.596,3.705,2.751,3.059,4.247,2.821,8.780,3.760,4.278,5.491,4.224,4.240,3.832,4.215
PER00312,2.706,4.388,1.340,3.022,2.845,3.528,3.637,8.159,3.978,4.313,5.866,3.729,4.445,3.643,3.748
PER00313,2.848,5.000,3.618,4.048,2.015,3.513,2.242,7.930,4.485,4.655,5.581,3.627,4.167,3.199,3.952
PER00314,2.275,3.962,5.031,2.156,1.000,3.151,2.422,8.067,3.163,4.016,4.944,3.396,4.459,2.687,4.884
PER00315,3.100,3.016,3.625,2.468,2.843,2.744,2.484,7.623,3.458,4.381,5.404,3.746,4.167,3.669,4.338
PER00316,4.189,3.719,4.428,3.540,2.866,3.612,2.750,7.451,4.252,4.233,5.044,4.063,4.759,3.658,4.305
PER00317,6.435,4.000,4.049,2.936,3.191,2.839,4.609,8.214,4.696,4.474,5.323,4.478,4.380,4.458,4.585
PER00318,4.320,4.398,5.045,3.997,2.661,3.991,2.870,8.097,4.740,4.112,5.788,4.181,4.394,3.402,4.579
PER00319,5.624,4.553,4.721,3.548,2.797,3.285,3.634,7.792,4.003,4.592,4.973,4.183,4.139,4.123,4.441
PER00320,3.946,3.595,2.368,3.204,4.153,4.121,2.910,7.477,3.574,4.841,5.550,4.199,4.237,4.119,4.229
PER00321,6.569,3.245,3.372,4.141,2.546,4.706,3.515,6.630,4.405,5.480,5.552,4.985,4.801,4.552,4.230
PER00322,4.690,4.000,3.525,2.460,2.124,3.618,2.482,7.715,4.351,4.641,5.428,4.192,4.603,4.047,4.474
PER00323,2.146,5.418,4.263,1.295,1.642,3.019,2.243,7.859,2.657,4.114,4.503,3.360,4.450,3.032,3.989
PER00324,3.806,4.371,4.095,2.109,2.017,3.005,2.679,7.335,2.955,5.157,5.126,4.043,4.477,3.844,5.126
PER00325,1.710,3.607,3.179,2.695,1.858,3.398,2.959,7.406,3.198,4.100,4.812,3.617,4.274,2.986,4.179
PER00326,4.641,3.688,3.228,3.468,2.853,3.948,3.213,7.114,4.385,4.651,5.084,4.240,4.546,4.261,4.742
PER00327,3.773,4.861,2.078,2.764,3.577,3.429,3.296,8.251,3.700,4.807,5.868,4.346,4.590,3.775,4.056
PER00328,4.574,6.017,4.863,2.900,2.905,4.429,3.087,7.546,3.690,4.546,5.090,4.207,4.351,3.844,4.225
PER00329,4.798,3.944,5.172,3.295,3.059,4.237,3.139,8.812,4.156,4.017,5.887,3.912,4.668,3.748,4.539
PER00330,5.668,4.244,2.199,3.822,3.014,3.949,3.608,7.929,5.059,4.897,5.473,4.782,4.267,4.815,4.242
PER00331,2.167,2.507,1.584,1.584,3.179,3.730,2.268,7.884,2.450,4.461,4.528,3.480,4.609,3.154,4.322
PER00332,3.003,3.860,2.316,2.766,3.238,3.821,2.914,7.914,3.429,4.658,5.152,4.136,4.714,3.562,4.201
PER00333,4.028,3.665,2.124,2.223,1.952,3.253,3.263,7.590,4.101,4.790,5.812,4.048,4.231,4.157,4.451
PER00334,5.104,3.942,3.810,2.663,2.832,4.213,3.058,7.872,3.328,4.616,5.375,4.134,4.587,4.029,4.269
PER00335,3.179,4.804,3.605,2.307,2.634,1.606,1.381,7.503,3.038,4.218,4.602,3.922,4.768,3.446,4.661
PER00336,5.331,5.298,3.397,3.265,4.274,4.155,3.367,7.397,4.674,4.692,5.124,4.747,4.891,4.410,4.532
PER00337,4.070,5.432,5.718,2.624,1.896,3.610,2.608,8.855,3.003,4.687,5.606,3.663,4.459,3.147,4.414
PER00338,6.246,4.382,2.838,3.319,2.306,4.335,3.362,8.300,4.210,5.022,5.558,4.712,4.613,4.791,4.404
PER00339,4.043,2.393,4.947,2.710,2.161,2.082,2.515,7.657,3.046,4.218,4.907,3.678,4.399,3.471,4.259
PER00340,3.760,4.119,4.689,2.672,2.284,3.144,3.292,7.895,3.704,4.422,5.461,4.182,4.575,3.558,3.638
PER00341,3.840,3.545,3.649,2.908,2.185,2.943,2.676,7.273,2.942,4.220,5.371,4.056,4.580,3.757,4.271
PER00342,4.598,1.959,3.505,2.680,1.875,2.623,3.051,8.067,3.582,4.866,5.599,3.908,4.366,4.047,4.583
PER00343,3.923,5.468,6.025,4.081,1.575,3.845,3.059,8.619,3.609,4.719,5.129,4.031,4.736,3.257,4.493
PER00344,3.294,3.925,4.589,3.248,1.880,3.172,2.613,8.034,3.448,4.016,5.324,3.873,4.303,3.023,4.184
PER00345,5.578,5.702,4.974,2.476,3.384,3.651,2.565,7.286,3.081,4.956,4.237,4.532,4.468,4.146,4.249
PER00346,1.744,4.017,2.823,2.556,2.812,3.450,3.212,7.921,3.052,3.935,4.730,3.616,3.975,3.033,3.972
PER00347,4.622,6.068,5.244,3.366,2.904,3.105,2.945,8.389,3.476,4.851,5.379,4.042,4.238,3.621,4.068
PER00348,4.344,3.151,5.308,2.615,2.006,3.691,2.753,8.355,3.722,4.496,5.577,3.788,4.369,3.520,4.000
PER00349,2.899,4.053,4.017,2.590,2.099,3.328,2.492,7.224,3.674,4.492,4.731,3.687,4.814,3.558,4.961
PER00350,6.325,3.186,3.039,3.252,2.837,4.400,3.402,7.513,4.284,4.868,5.526,4.641,4.507,4.902,4.800
PER00351,3.838,2.366,4.324,2.896,1.419,2.747,3.411,8.443,3.402,4.289,5.506,3.604,4.424,3.484,4.260
PER00352,4.176,5.225,4.100,2.770,1.801,3.143,3.295,7.860,3.357,4.850,5.318,4.282,4.503,3.858,3.734
PER00353,3.654,4.208,3.986,2.916,2.821,3.272,3.242,7.394,3.669,4.245,4.739,3.868,4.353,3.531,4.238
PER00354,4.142,2.663,4.703,1.815,1.841,2.746,2.135,6.339,2.996,4.504,4.373,3.939,4.554,3.420,3.865
PER00355,4.483,4.083,4.057,2.629,2.689,2.828,3.025,6.994,3.831,3.948,5.001,4.092,4.563,3.611,4.403
PER00356,3.719,4.256,4.856,2.358,2.784,3.168,2.737,7.486,2.708,4.482,4.768,4.211,4.800,3.610,4.710
PER00357,3.743,3.883,3.609,3.271,1.408,3.526,2.895,8.001,3.266,4.239,5.302,3.980,4.535,3.745,4.036
PER00358,4.645,2.641,4.224,3.576,2.518,3.366,3.355,7.654,3.814,4.251,5.729,3.971,4.133,4.040,4.495
PER00359,4.663,2.187,1.567,3.616,3.033,2.935,3.814,7.701,4.797,5.044,5.576,3.942,4.380,4.570,4.184
PER00360,5.832,3.642,4.017,4.000,3.503,4.189,4.341,7.627,4.341,4.526,5.567,4.358,4.163,4.162,3.814
PER00361,4.897,3.932,2.678,4.709,3.268,3.977,3.769,8.177,4.303,4.899,5.783,4.392,4.431,4.306,4.471
PER00362,3.329,5.614,4.723,2.865,3.233,3.663,2.262,7.041,2.771,4.639,4.796,3.925,4.586,3.249,4.108
PER00363,4.145,5.353,6.715,2.470,2.691,4.182,2.747,8.165,2.954,3.966,5.198,3.825,4.674,3.054,4.076
PER00364,5.572,3.814,4.244,3.088,2.402,3.948,3.323,7.784,3.700,5.427,5.526,4.433,4.343,4.013,4.489
PER00365,2.309,3.221,1.314,2.681,2.625,3.582,2.602,7.380,4.052,4.803,5.608,3.992,4.556,3.690,3.990
PER00366,3.003,3.732,2.899,2.879,2.260,3.276,2.424,7.198,3.194,4.917,5.084,4.066,4.357,3.381,3.934
PER00367,4.351,4.671,4.275,2.982,2.667,4.114,3.313,7.903,3.514,4.740,5.337,4.278,4.573,3.846,4.845
PER00368,4.178,3.261,3.309,2.341,3.251,2.368,3.406,7.999,3.363,4.684,5.368,4.286,4.862,3.749,3.954
PER00369,2.892,4.042,4.144,2.740,1.881,3.670,2.515,6.785,3.875,4.749,5.001,3.965,4.697,3.217,4.008
PER00370,4.375,4.109,4.735,3.293,1.860,2.520,2.832,7.488,4.328,4.590,4.980,4.304,4.627,3.583,4.391
PER00371,3.604,5.014,3.388,3.358,3.510,4.112,3.578,7.800,4.517,4.732,6.083,4.016,4.128,3.634,3.548
PER00372,4.405,2.905,3.883,2.831,2.071,2.657,2.667,7.880,3.666,5.239,6.067,4.025,4.387,3.968,4.232
PER00373,3.820,3.949,4.909,2.064,2.800,2.817,2.572,8.198,2.547,4.399,4.815,3.834,4.599,3.397,4.180
PER00374,5.396,3.926,5.397,3.242,1.364,3.647,3.078,7.533,4.424,4.493,5.572,3.854,4.226,3.982,4.457
PER00375,5.797,5.115,3.983,3.862,3.170,3.812,3.865,7.801,4.187,4.476,5.693,4.402,4.291,4.251,3.853
PER00376,4.033,5.568,3.781,4.773,2.608,3.856,2.867,7.923,4.552,4.108,5.299,4.276,4.415,3.771,4.407
PER00377,4.976,3.312,4.150,3.085,2.304,3.981,2.777,8.204,3.749,4.255,5.236,4.106,4.252,3.966,4.300
PER00378,5.612,1.723,4.076,3.527,2.800,3.604,3.518,8.199,4.081,5.193,5.412,4.326,4.725,4.537,4.208
PER00379,3.609,4.342,2.401,2.710,1.000,2.205,2.334,8.119,3.168,4.756,5.405,3.942,4.774,3.816,4.661
PER00380,4.517,4.713,2.048,3.728,4.105,3.734,3.392,6.611,4.543,4.516,5.641,4.202,4.393,3.978,3.835
PER00381,4.759,2.564,3.608,2.812,2.783,3.222,2.783,7.192,4.023,4.594,5.107,4.302,4.442,4.101,4.244
PER00382,2.984,4.918,4.625,3.159,2.399,4.171,2.593,7.186,3.313,4.492,4.968,3.497,4.185,3.261,4.959
PER00383,3.646,6.071,4.025,3.143,2.476,3.997,2.850,7.246,3.028,4.421,4.869,4.107,4.325,3.770,5.074
PER00384,3.433,3.464,3.722,3.269,3.550,3.731,2.670,8.065,3.149,4.031,4.994,3.851,4.468,3.487,4.974
PER00385,5.176,3.171,3.271,3.395,2.533,3.433,3.825,8.202,4.015,4.728,5.499,4.231,4.320,4.485,4.765
PER00386,4.838,4.765,1.979,3.586,2.962,4.332,3.139,8.310,3.334,4.837,5.514,4.557,4.370,4.753,4.671
PER00387,4.954,5.583,3.732,3.877,2.363,4.155,3.449,8.647,4.534,4.692,5.914,4.404,4.569,4.174,4.054
PER00388,3.438,3.038,2.252,2.518,2.538,2.721,3.041,7.736,3.695,4.385,5.469,3.819,4.380,4.007,4.653
PER00389,4.686,2.377,6.187,1.667,1.972,2.494,2.875,8.090,2.632,4.639,4.948,3.703,4.369,3.499,4.699
PER00390,4.888,6.605,2.432,3.702,3.901,4.132,2.893,7.163,4.761,5.149,5.643,4.603,4.154,4.384,4.398
PER00391,2.327,4.948,4.210,2.674,1.546,4.051,2.751,7.607,3.291,4.552,4.871,3.805,4.529,3.040,3.972
PER00392,2.435,2.989,4.953,1.435,2.153,3.032,1.873,7.560,2.368,5.044,4.386,3.511,4.708,2.876,4.022
PER00393,5.522,4.233,2.986,3.932,2.733,3.751,3.733,7.736,4.687,4.530,5.670,4.752,4.397,4.495,3.823
PER00394,4.786,3.483,2.058,3.092,3.137,3.739,2.715,7.468,3.653,4.757,5.106,4.459,4.289,4.296,4.611
PER00395,3.439,3.888,4.706,3.226,2.391,3.614,2.554,7.602,3.969,4.352,5.336,3.923,4.794,3.539,4.991
PER00396,4.658,4.784,5.068,3.075,2.105,4.060,2.549,8.031,3.439,4.628,4.766,4.249,4.577,3.612,4.478
PER00397,4.771,4.042,2.782,2.412,3.563,2.855,2.593,7.177,3.516,4.239,4.814,4.162,4.274,4.443,4.233
PER00398,3.115,4.791,2.436,3.088,2.940,4.614,2.504,7.338,3.070,4.163,4.715,4.085,4.260,3.693,4.366
PER00399,5.217,3.114,4.196,2.673,2.562,3.182,3.125,8.982,3.124,4.464,4.932,4.110,4.266,4.114,4.295
PER00400,4.593,3.505,2.498,3.035,2.639,2.803,3.224,7.508,3.943,4.820,5.798,4.161,4.815,3.986,4.718
PER00401,4.298,3.966,2.490,3.635,3.152,4.015,2.972,7.499,3.730,4.891,5.449,4.229,4.730,4.175,4.166
PER00402,3.796,2.717,3.126,2.467,3.111,3.345,2.642,8.586,3.937,5.131,6.144,4.031,4.282,3.794,4.133
PER00403,4.848,2.901,2.529,3.044,3.030,3.534,3.639,8.011,4.239,5.009,5.892,4.205,4.000,4.544,4.273
PER00404,4.233,3.044,3.583,3.415,1.355,3.131,4.518,7.485,4.165,4.199,5.738,3.778,4.713,3.815,4.578
PER00405,5.090,4.335,3.964,3.379,3.606,3.223,3.372,7.693,4.379,4.167,5.113,4.390,4.338,4.104,3.951
PER00406,6.059,3.237,3.298,2.778,3.082,3.791,4.080,7.809,3.616,4.476,5.554,4.653,4.358,4.508,3.649
PER00407,4.684,5.233,2.481,4.222,3.306,3.934,3.258,8.040,4.651,5.217,5.535,4.330,4.660,4.514,4.616
PER00408,4.867,1.401,3.546,3.159,3.063,2.511,3.630,8.141,4.530,4.304,5.596,4.063,4.103,4.125,4.268
PER00409,4.490,4.355,5.605,3.533,3.419,3.311,3.451,7.851,4.013,4.236,5.508,3.599,4.067,3.388,3.985
PER00410,5.911,6.228,3.162,3.334,3.546,4.783,3.231,7.859,4.206,5.412,5.679,4.910,4.933,4.566,4.495
PER00411,3.661,4.106,3.466,2.285,3.353,4.042,2.222,8.193,2.969,4.664,4.952,3.996,4.537,3.853,4.199
PER00412,4.692,4.069,2.100,3.820,3.911,4.070,2.540,7.896,3.875,4.854,4.905,4.712,4.439,4.475,4.697
PER00413,4.656,3.344,4.010,3.139,2.230,3.707,2.665,7.503,4.118,4.393,5.050,4.099,4.669,3.807,4.395
PER00414,3.213,5.796,4.717,2.789,2.180,2.698,3.482,8.253,3.408,4.398,5.655,4.111,4.682,3.069,4.309
PER00415,5.455,4.681,3.895,3.627,2.590,3.453,4.165,7.461,4.766,4.908,5.340,4.323,4.609,4.214,4.071
PER00416,2.411,4.363,4.286,2.986,1.319,2.769,2.446,7.704,2.639,4.128,4.726,3.728,4.712,3.004,4.256
PER00417,5.008,3.471,5.415,2.827,3.261,3.494,2.510,6.887,3.624,4.563,5.133,3.986,4.744,3.703,4.207
PER00418,5.264,4.011,3.705,3.247,2.741,2.921,3.566,8.019,3.361,5.161,5.654,4.537,4.725,3.980,4.058
PER00419,4.417,4.164,5.140,2.693,2.883,2.985,3.213,7.659,4.025,4.649,5.572,4.059,4.242,3.658,4.080
PER00420,5.635,3.418,2.237,3.706,3.775,3.809,3.667,7.152,5.183,5.328,5.747,4.615,4.364,4.616,4.232
PER00421,4.171,4.000,5.183,4.506,2.150,2.970,3.387,7.271,4.010,4.551,5.255,3.971,4.620,3.531,4.454
PER00422,5.196,4.373,3.515,3.115,2.267,3.783,3.518,7.165,3.852,5.160,5.478,4.381,4.846,4.235,4.099
PER00423,2.001,2.825,2.369,3.081,2.020,3.379,3.286,8.227,3.531,4.168,5.122,3.562,4.549,3.204,4.487
PER00424,4.274,5.021,5.465,2.236,3.164,3.247,3.174,8.077,3.072,5.090,5.452,4.158,4.955,3.510,4.388
