participant_id,social_context,relationship_domain,extraversion,agreeableness,conscientiousness,neuroticism,openness,empathy,self_regulation,attachment_security,perceived_support,relationship_satisfaction,social_functioning,loneliness,conflict_frequency,reciprocity_quality,reputation_trust
RS0180,mobile_fragmented,community,3.427,3.561,2.855,3.305,3.190,3.171,3.176,2.064,2.030,2.469,3.017,6.133,2.768,4.053,3.003
RS0181,mobile_fragmented,community,4.519,3.525,3.662,4.470,3.242,3.281,2.634,2.172,2.706,2.197,3.361,6.265,3.808,2.619,3.165
RS0182,mobile_fragmented,community,4.235,4.518,4.212,2.373,2.243,3.191,4.089,1.970,4.255,3.450,3.780,5.841,2.331,3.889,3.900
RS0183,mobile_fragmented,community,4.040,4.901,5.162,4.419,3.978,4.628,3.887,2.185,3.744,3.561,4.231,6.235,2.844,3.729,4.407
RS0184,mobile_fragmented,community,5.018,6.404,3.670,4.749,3.936,5.111,3.158,2.483,3.724,3.697,4.353,5.750,2.737,4.303,4.603
RS0185,mobile_fragmented,online_network,3.962,3.844,4.727,2.712,4.259,3.013,3.778,2.882,3.452,2.865,4.124,6.001,3.608,4.072,3.880
RS0186,mobile_fragmented,online_network,3.997,4.474,3.824,4.095,3.835,3.663,3.026,1.666,3.269,2.351,3.645,7.000,2.775,3.604,3.830
RS0187,mobile_fragmented,online_network,5.082,4.054,3.029,4.507,3.547,3.491,2.861,1.886,3.080,2.512,2.911,6.310,4.201,2.779,2.686
RS0188,mobile_fragmented,online_network,5.884,5.030,4.606,3.507,5.121,4.759,4.174,2.526,3.072,3.813,4.460,5.802,2.414,3.608,3.561
RS0189,mobile_fragmented,online_network,3.755,4.606,5.081,3.335,3.711,3.946,3.959,2.378,3.245,3.594,3.936,6.398,2.657,3.819,4.353
RS0190,mobile_fragmented,online_network,4.033,5.098,4.075,4.682,4.093,3.358,2.544,1.268,3.041,2.961,3.746,7.000,3.016,3.738,3.739
RS0191,mobile_fragmented,online_network,3.647,4.027,4.088,4.276,3.474,4.787,4.085,2.149,2.922,2.791,3.317,6.944,3.930,3.443,3.231
RS0192,mobile_fragmented,online_network,3.781,4.596,4.888,4.211,4.929,5.002,2.678,2.779,2.950,3.088,3.525,5.967,3.117,4.636,4.568
RS0193,inclusive_community,romantic,3.391,4.160,4.026,3.786,4.708,4.420,3.532,2.420,4.612,4.376,3.802,5.461,2.773,3.353,2.512
RS0194,inclusive_community,romantic,3.716,5.972,2.724,4.277,3.574,3.338,2.580,2.268,5.183,4.067,4.334,5.303,2.310,3.198,2.937
RS0195,inclusive_community,romantic,2.927,4.327,3.599,3.161,2.872,3.699,3.858,2.653,4.841,4.643,3.672,5.324,2.831,3.461,2.726
RS0196,inclusive_community,romantic,3.372,4.680,4.008,4.497,2.857,3.739,3.148,2.115,4.938,3.947,3.741,5.587,3.180,3.754,3.427
RS0197,inclusive_community,romantic,5.712,3.973,3.038,4.054,4.253,3.990,3.816,2.019,4.848,3.546,3.479,5.126,4.160,3.821,3.584
RS0198,inclusive_community,romantic,3.396,3.624,4.801,2.561,3.529,2.934,4.826,4.203,4.322,4.334,4.097,5.756,3.046,3.290,3.861
RS0199,inclusive_community,romantic,4.646,3.184,3.911,5.689,2.888,3.259,3.331,2.376,4.165,3.213,3.311,6.183,3.694,2.428,3.126
RS0200,inclusive_community,romantic,3.004,3.712,4.869,3.522,4.320,3.689,3.667,3.815,5.063,3.889,4.036,4.229,2.594,4.713,4.319
RS0201,inclusive_community,friendship,4.191,4.204,5.069,3.479,4.740,4.165,3.835,3.331,4.908,3.971,4.639,5.238,2.519,4.141,3.698
RS0202,inclusive_community,friendship,6.215,3.980,3.281,3.443,3.793,3.859,2.938,3.175,4.703,3.643,4.511,4.440,3.286,3.633,3.529
RS0203,inclusive_community,friendship,3.130,6.491,3.564,4.046,4.437,5.220,2.776,2.955,5.194,4.630,3.528,4.996,2.346,4.043,3.720
RS0204,inclusive_community,friendship,3.847,3.686,4.207,4.910,5.136,3.861,3.212,2.818,5.503,3.970,4.252,5.064,3.526,3.956,2.953
RS0205,inclusive_community,friendship,4.371,4.833,4.296,4.633,5.224,4.598,2.773,2.902,5.273,3.739,3.698,4.207,2.316,3.924,4.109
RS0206,inclusive_community,friendship,2.346,3.699,3.636,2.931,4.185,4.143,3.565,3.690,4.957,4.250,3.913,4.367,1.994,3.040,3.589
RS0207,inclusive_community,friendship,5.804,5.171,4.924,3.683,4.112,3.505,4.046,3.353,4.994,4.553,4.178,5.780,3.099,4.053,4.736
RS0208,inclusive_community,friendship,4.027,3.644,3.471,3.884,3.756,2.678,2.617,2.484,4.778,2.992,3.064,5.565,3.499,3.337,3.092
RS0209,inclusive_community,family,3.125,3.306,3.029,4.857,2.761,3.020,2.577,2.349,3.641,2.613,2.403,6.593,3.383,2.992,2.930
RS0210,inclusive_community,family,4.023,3.055,3.979,4.645,5.339,2.711,3.426,3.302,4.519,2.870,3.539,5.378,3.223,3.532,3.167
RS0211,inclusive_community,family,5.099,4.381,5.328,3.429,4.721,4.503,3.821,2.848,5.955,4.471,4.883,4.720,2.310,4.658,4.062
RS0212,inclusive_community,family,4.999,6.024,5.331,3.330,4.045,4.326,4.402,3.826,5.609,4.635,5.664,4.683,2.073,4.644,4.468
RS0213,inclusive_community,family,3.290,3.824,3.290,4.775,3.346,2.643,3.861,2.682,4.916,3.068,3.838,6.047,3.177,3.254,4.008
RS0214,inclusive_community,family,4.142,4.293,3.926,3.801,4.011,4.436,3.754,2.835,5.302,3.672,3.597,4.977,2.724,3.657,3.887
RS0215,inclusive_community,family,3.263,4.301,3.819,3.285,3.827,3.356,3.339,2.807,4.966,4.079,4.088,4.732,2.911,3.391,4.121
RS0216,inclusive_community,family,2.786,3.502,4.358,3.056,4.646,3.618,3.685,3.144,3.402,2.877,2.688,5.194,2.714,3.706,2.880
RS0217,inclusive_community,workplace,3.851,4.265,4.738,3.806,4.525,3.720,3.547,2.879,5.656,4.041,4.003,5.226,2.774,3.791,3.030
RS0218,inclusive_community,workplace,2.694,4.401,3.649,4.458,4.615,3.916,2.982,2.597,4.418,3.295,3.184,5.805,3.006,3.557,3.306
RS0219,inclusive_community,workplace,4.385,3.515,4.104,3.593,2.864,3.903,4.097,3.513,4.858,3.718,3.936,4.452,3.077,3.562,3.051
RS0220,inclusive_community,workplace,4.854,3.737,4.052,4.908,4.747,3.016,2.517,2.908,4.899,3.050,3.125,5.305,3.080,3.162,2.973
RS0221,inclusive_community,workplace,3.821,4.424,4.361,4.214,3.903,4.195,2.933,2.534,5.763,3.775,4.348,4.922,2.963,3.325,3.317
RS0222,inclusive_community,workplace,3.559,4.325,4.961,2.233,4.001,2.909,3.969,3.211,5.568,4.047,4.688,4.261,2.268,3.813,4.267
RS0223,inclusive_community,workplace,3.994,5.006,2.242,2.792,5.587,3.102,3.224,3.222,4.164,3.345,4.292,4.979,2.840,2.820,3.670
RS0224,inclusive_community,workplace,3.338,4.253,3.567,4.483,3.265,4.125,3.605,2.272,4.147,2.865,3.900,5.815,2.948,3.980,2.932
RS0225,inclusive_community,community,3.637,4.775,4.584,3.037,3.403,4.270,3.824,2.578,5.302,3.599,4.071,5.233,1.526,3.650,4.338
RS0226,inclusive_community,community,3.408,4.773,4.044,3.477,4.078,4.486,3.565,2.492,5.148,4.537,3.145,5.406,2.349,4.097,4.714
RS0227,inclusive_community,community,3.208,4.959,4.814,3.554,3.488,3.336,3.595,3.280,4.826,3.602,4.138,5.183,2.153,4.257,4.079
RS0228,inclusive_community,community,4.828,5.200,5.294,3.340,4.909,4.552,4.049,2.510,5.257,3.628,4.275,4.121,2.538,4.890,4.080
RS0229,inclusive_community,community,5.026,5.072,5.458,4.021,3.854,4.194,4.248,2.677,5.845,4.340,4.087,5.710,2.091,3.494,4.531
RS0230,inclusive_community,community,2.738,3.352,3.691,4.603,3.194,3.926,3.975,2.633,5.360,2.641,3.510,4.856,3.938,3.352,3.445
RS0231,inclusive_community,community,3.736,3.746,2.955,5.095,2.755,2.929,2.888,2.630,5.569,2.682,4.096,5.811,3.497,3.139,3.293
RS0232,inclusive_community,community,4.370,3.171,5.702,4.013,2.213,2.502,4.792,2.651,4.171,3.031,3.729,4.856,2.277,4.371,4.140
RS0233,inclusive_community,online_network,2.872,4.138,4.944,3.802,4.307,3.638,2.847,3.024,5.232,3.981,3.474,5.374,2.269,4.037,4.152
RS0234,inclusive_community,online_network,4.468,5.669,4.415,2.775,4.150,4.956,3.391,3.530,5.347,4.164,3.906,4.996,2.954,4.372,3.971
RS0235,inclusive_community,online_network,3.203,3.212,3.299,3.422,2.275,2.311,3.823,3.449,4.468,3.059,2.914,5.421,3.051,2.509,3.045
RS0236,inclusive_community,online_network,3.165,5.393,4.250,3.787,3.842,4.397,2.933,2.633,5.042,3.749,4.063,5.776,2.753,3.323,4.611
RS0237,inclusive_community,online_network,4.970,4.012,3.418,4.126,3.941,2.207,3.729,3.464,4.947,3.130,4.194,5.743,3.531,3.107,3.661
RS0238,inclusive_community,online_network,4.585,4.741,4.743,2.491,2.296,2.860,4.518,3.114,5.160,4.701,4.720,4.172,2.550,4.466,3.761
RS0239,inclusive_community,online_network,3.814,3.482,4.183,4.460,3.743,3.189,4.332,3.305,4.636,2.632,3.386,5.386,2.554,3.822,3.531
RS0240,inclusive_community,online_network,3.768,4.479,4.340,3.403,4.348,4.304,3.523,2.258,6.447,4.055,3.410,4.271,3.101,3.352,5.101
RS0241,exclusionary_context,romantic,4.931,4.168,5.069,6.024,3.202,3.697,3.840,1.232,2.327,2.636,3.556,7.000,3.965,5.032,4.401
RS0242,exclusionary_context,romantic,3.261,3.173,4.279,2.197,2.826,2.432,4.122,2.057,2.985,2.794,4.150,6.462,2.697,3.463,3.179
RS0243,exclusionary_context,romantic,4.231,4.868,4.126,3.262,4.311,4.352,3.637,1.977,2.883,3.835,4.068,7.000,3.535,4.367,3.647
RS0244,exclusionary_context,romantic,4.135,4.518,4.146,3.265,4.827,4.224,4.541,2.781,2.737,3.800,3.587,6.447,2.142,3.589,5.025
RS0245,exclusionary_context,romantic,4.185,5.041,2.877,3.873,5.140,4.684,3.322,1.557,2.298,2.679,3.380,7.000,3.753,3.510,3.373
RS0246,exclusionary_context,romantic,3.624,4.461,3.095,3.603,3.856,3.870,3.830,2.268,2.601,3.413,4.021,6.296,3.375,3.233,3.959
RS0247,exclusionary_context,romantic,4.599,3.652,4.380,3.356,3.986,3.146,3.593,2.222,2.062,2.912,3.238,6.908,3.864,3.105,2.614
RS0248,exclusionary_context,romantic,3.830,5.371,3.475,5.092,3.927,4.297,3.178,2.007,3.209,3.344,3.219,7.000,3.173,4.164,4.229
RS0249,exclusionary_context,friendship,3.459,5.390,5.372,4.442,4.615,4.326,4.143,1.779,2.823,3.725,3.285,7.000,2.732,4.959,4.552
RS0250,exclusionary_context,friendship,3.461,4.277,3.856,4.322,2.541,4.468,3.143,2.407,2.118,2.898,3.767,7.000,3.419,3.766,3.770
RS0251,exclusionary_context,friendship,3.765,2.921,4.549,4.124,3.843,3.890,3.581,2.856,2.255,2.316,3.056,6.858,3.535,4.350,4.373
RS0252,exclusionary_context,friendship,3.813,5.054,3.487,4.885,4.395,4.694,2.922,1.892,2.402,2.962,2.909,7.000,3.470,3.359,3.219
RS0253,exclusionary_context,friendship,5.029,4.213,4.079,3.235,3.907,3.141,4.243,1.923,2.242,3.322,3.808,6.298,3.010,3.151,3.158
RS0254,exclusionary_context,friendship,5.850,4.930,5.331,5.067,4.463,4.808,3.455,1.364,2.756,2.609,4.833,7.000,4.018,3.793,3.962
RS0255,exclusionary_context,friendship,5.918,3.395,5.138,4.069,4.870,3.941,3.582,1.212,3.047,3.462,4.263,6.209,2.910,4.117,3.315
RS0256,exclusionary_context,friendship,4.404,3.293,3.810,2.454,3.981,3.557,3.408,2.642,1.760,2.444,3.347,6.947,3.102,3.349,3.591
RS0257,exclusionary_context,family,5.266,4.581,4.841,3.312,4.781,4.475,3.900,1.976,3.097,3.967,3.849,6.128,3.105,3.661,3.268
RS0258,exclusionary_context,family,4.445,3.390,4.222,3.838,3.624,3.146,3.859,1.519,2.651,2.652,3.671,7.000,4.312,2.912,3.528
RS0259,exclusionary_context,family,3.973,3.232,3.352,4.491,4.041,3.336,2.481,1.879,3.610,2.245,2.657,6.876,4.305,2.794,1.753
RS0260,exclusionary_context,family,4.297,4.790,4.183,4.314,4.121,4.464,3.889,2.215,2.346,3.070,4.063,6.755,3.251,3.776,3.365
RS0261,exclusionary_context,family,4.214,4.664,3.540,4.053,3.619,3.253,3.154,1.785,3.570,3.430,4.236,7.000,4.348,3.390,3.316
RS0262,exclusionary_context,family,4.622,2.845,4.522,4.497,4.265,3.453,3.471,1.798,2.509,2.121,3.126,7.000,4.237,2.924,2.834
RS0263,exclusionary_context,family,3.751,5.225,4.921,4.589,4.763,4.238,3.519,1.343,2.989,3.737,3.450,7.000,3.429,4.199,5.021
RS0264,exclusionary_context,family,4.383,3.587,4.421,3.442,4.112,4.234,4.276,2.399,2.163,3.001,3.317,6.358,3.326,3.546,3.441
RS0265,exclusionary_context,workplace,5.000,4.580,3.902,4.237,4.049,3.706,3.944,1.721,2.895,2.384,3.361,6.934,3.516,3.749,4.030
RS0266,exclusionary_context,workplace,3.456,4.378,3.692,4.429,4.651,4.471,2.769,1.633,2.767,3.129,2.815,7.000,3.878,3.821,3.321
RS0267,exclusionary_context,workplace,4.317,3.117,3.648,3.090,3.434,3.165,3.993,2.166,2.415,2.395,2.968,7.000,3.678,3.558,2.756
RS0268,exclusionary_context,workplace,2.707,4.445,4.294,5.427,4.830,3.711,3.785,2.255,1.966,2.025,3.029,7.000,4.446,4.148,3.576
RS0269,exclusionary_context,workplace,3.724,4.204,4.271,4.979,4.303,3.052,3.729,2.025,3.000,1.882,3.333,7.000,3.943,3.368,3.440
RS0270,exclusionary_context,workplace,3.525,4.023,5.175,5.543,3.837,3.411,3.473,1.415,2.357,1.971,2.707,7.000,2.795,3.912,3.678
RS0271,exclusionary_context,workplace,4.680,4.301,3.125,3.105,4.422,4.413,3.964,1.549,2.123,3.266,3.534,6.213,3.315,3.470,3.099
RS0272,exclusionary_context,workplace,4.556,4.550,3.293,2.998,3.472,3.008,3.270,1.917,2.878,2.699,2.926,7.000,3.712,3.025,3.223
RS0273,exclusionary_context,community,4.579,4.666,4.312,3.772,3.931,3.270,3.245,1.867,2.495,2.606,4.364,6.249,3.978,3.999,3.875
RS0274,exclusionary_context,community,4.282,3.646,4.840,3.660,4.209,3.844,3.386,2.223,2.479,2.235,3.585,6.791,3.534,3.672,4.206
RS0275,exclusionary_context,community,4.268,3.767,4.060,4.342,3.276,3.192,2.713,1.550,1.544,2.515,2.628,7.000,3.830,3.199,3.175
RS0276,exclusionary_context,community,3.912,4.829,5.184,4.019,4.815,4.133,4.129,1.930,2.549,3.328,4.187,6.254,3.597,4.135,4.414
RS0277,exclusionary_context,community,5.001,3.157,4.620,4.068,4.578,1.912,3.781,1.536,2.213,1.993,3.594,6.923,2.700,3.510,3.625
RS0278,exclusionary_context,community,3.686,3.318,4.199,4.296,5.487,3.677,2.525,1.619,2.880,2.590,3.281,6.553,3.770,2.699,2.347
RS0279,exclusionary_context,community,4.115,4.168,3.391,3.010,3.832,4.710,3.530,1.797,3.133,2.982,3.978,7.000,2.307,3.399,2.982
RS0280,exclusionary_context,community,5.209,5.255,5.153,4.610,2.742,3.910,2.923,1.000,3.993,2.824,3.926,6.234,3.867,4.527,4.214
RS0281,exclusionary_context,online_network,4.209,4.335,4.313,3.433,3.315,4.271,3.852,1.592,2.380,2.343,3.342,7.000,3.493,4.313,4.101
RS0282,exclusionary_context,online_network,3.339,6.092,5.177,3.256,4.785,5.326,4.507,2.386,2.902,3.675,4.716,6.605,2.545,5.063,5.384
RS0283,exclusionary_context,online_network,5.486,3.883,3.812,4.224,4.818,3.520,3.545,1.635,2.850,1.457,3.464,6.673,3.944,3.390,3.365
RS0284,exclusionary_context,online_network,3.826,5.022,5.124,4.250,3.581,4.173,4.596,2.070,3.375,2.644,4.470,6.316,3.247,4.332,3.972
RS0285,exclusionary_context,online_network,4.335,5.752,2.590,5.090,2.997,3.897,2.255,1.000,3.237,3.244,3.390,7.000,3.762,3.478,3.189
RS0286,exclusionary_context,online_network,2.950,3.538,3.741,4.552,3.998,3.760,3.443,1.215,2.378,2.379,3.011,7.000,3.602,3.317,3.022
RS0287,exclusionary_context,online_network,4.380,5.051,4.927,4.828,3.964,3.256,3.192,1.319,2.486,2.576,3.398,7.000,3.470,3.708,4.514
RS0288,exclusionary_context,online_network,3.010,4.529,4.447,3.404,3.998,3.130,3.816,1.885,2.654,3.459,3.505,6.923,3.138,3.433,3.464
