person_id,assessment_context,extraversion,agreeableness,conscientiousness,neuroticism,openness,extraversion_category,conscientiousness_category,neuroticism_category,profile_type,synthetic_cluster,nearest_threshold_distance,near_threshold_boundary,cluster_boundary_margin,near_cluster_boundary,dimensional_signal_strength,information_loss_index,well_being,collaboration_score,reflective_utility_score
TTD00138,professional_workshop_context,4.464,5.940,5.269,3.437,4.219,higher,higher,lower,mixed_dimensional_profile,resilient_high_regulation_profile,0.111,1,0.085,1,0.891,1.895,3.620,4.263,2.634
TTD00139,professional_workshop_context,5.075,5.201,5.863,4.088,4.492,higher,higher,moderate,mixed_dimensional_profile,resilient_high_regulation_profile,0.162,1,0.043,1,0.944,1.847,4.093,3.614,2.128
TTD00140,professional_workshop_context,5.448,4.529,6.333,1.947,4.971,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.199,0,1.120,0,1.467,0.756,4.279,4.649,2.526
TTD00141,professional_workshop_context,4.936,5.050,4.697,2.335,5.180,higher,higher,lower,mixed_dimensional_profile,resilient_high_regulation_profile,0.367,0,0.466,1,1.106,1.303,3.885,4.261,2.016
TTD00142,professional_workshop_context,5.372,4.509,5.679,1.663,4.926,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.179,1,1.007,0,1.365,1.220,4.818,5.157,1.777
TTD00143,professional_workshop_context,4.784,5.757,5.443,2.253,5.792,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.454,0,0.878,0,1.504,0.741,4.534,4.968,1.639
TTD00144,professional_workshop_context,5.769,5.080,6.000,2.882,4.590,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.260,0,0.435,1,1.312,1.185,3.922,5.484,1.701
TTD00145,professional_workshop_context,4.133,5.080,4.730,2.924,5.056,moderate,higher,lower,mixed_dimensional_profile,resilient_high_regulation_profile,0.197,0,0.499,1,0.815,1.554,3.185,4.310,2.590
TTD00146,professional_workshop_context,5.006,4.559,6.235,3.069,4.643,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.229,0,0.896,0,1.075,0.964,3.838,4.530,2.407
TTD00147,professional_workshop_context,5.713,4.356,5.425,1.972,4.692,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.026,1,0.621,0,1.243,1.281,3.535,4.294,2.166
TTD00148,professional_workshop_context,5.329,4.789,4.547,3.633,5.071,higher,higher,lower,mixed_dimensional_profile,social_collaborative_profile,0.037,1,0.507,1,0.820,1.967,3.522,4.427,2.116
TTD00149,professional_workshop_context,4.642,5.091,5.889,2.264,5.680,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.312,0,1.306,0,1.408,0.781,3.607,5.724,1.690
TTD00150,professional_workshop_context,5.218,4.995,6.521,2.673,3.885,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.215,0,0.791,0,1.235,0.865,4.961,5.718,1.756
TTD00151,professional_workshop_context,4.725,5.146,5.744,2.881,5.013,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.395,0,1.128,0,1.149,0.915,3.773,4.583,2.439
TTD00152,professional_workshop_context,6.004,5.221,5.083,2.411,4.746,higher,higher,lower,resilient_regulated_type,social_collaborative_profile,0.416,0,0.142,1,1.329,1.177,4.456,4.873,1.323
TTD00153,professional_workshop_context,6.019,6.031,6.183,2.554,5.241,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.911,0,0.319,1,1.784,1.008,4.125,5.234,1.308
TTD00154,professional_workshop_context,4.982,4.957,4.938,3.009,5.682,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.608,0,0.315,1,1.110,1.301,3.262,4.421,2.255
TTD00155,professional_workshop_context,2.803,3.717,4.700,7.000,4.642,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.047,1,1.248,0,1.164,1.326,1.670,2.628,1.440
TTD00156,professional_workshop_context,3.017,4.453,5.311,5.652,5.920,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.123,1,0.465,1,1.264,1.630,3.435,4.123,1.430
TTD00157,professional_workshop_context,2.895,5.653,4.049,5.535,4.403,lower,moderate,higher,mixed_dimensional_profile,overcontrolled_sensitive_profile,0.073,1,0.829,0,0.949,1.482,3.114,3.441,2.224
TTD00158,professional_workshop_context,3.334,5.230,5.663,5.335,4.405,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.075,1,1.805,0,1.060,1.395,2.914,4.355,1.420
TTD00159,professional_workshop_context,3.042,4.689,5.484,4.719,5.547,lower,higher,higher,open_reflective_introverted_type,overcontrolled_sensitive_profile,0.359,0,0.265,1,1.080,1.321,2.938,3.985,2.413
TTD00160,professional_workshop_context,2.366,4.230,5.321,5.206,3.841,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.100,1,1.352,0,0.910,1.517,2.195,4.324,1.947
TTD00161,professional_workshop_context,3.288,4.971,4.880,5.900,4.759,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.382,0,1.509,0,1.044,0.986,2.660,4.073,1.638
TTD00162,professional_workshop_context,2.486,5.877,5.431,5.367,5.206,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.876,0,1.112,0,1.479,0.751,4.000,3.756,2.445
TTD00163,professional_workshop_context,1.637,4.469,6.685,6.251,4.764,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.139,1,1.687,0,1.706,1.091,2.449,2.893,1.498
TTD00164,professional_workshop_context,2.811,5.283,4.962,3.818,4.693,lower,higher,moderate,mixed_dimensional_profile,open_reflective_introverted_profile,0.148,1,0.010,1,0.862,1.924,3.711,4.628,2.149
TTD00165,professional_workshop_context,3.109,3.885,6.106,5.263,5.419,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.215,0,0.883,0,1.159,0.910,3.116,3.983,1.000
TTD00166,professional_workshop_context,2.474,5.050,6.064,6.316,4.705,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.375,0,2.044,0,1.532,0.730,3.063,3.220,1.388
TTD00167,professional_workshop_context,2.446,4.368,5.286,5.672,3.898,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.038,1,1.728,0,0.996,1.443,2.583,3.898,1.556
TTD00168,professional_workshop_context,3.216,4.262,4.754,5.159,5.644,lower,higher,higher,overcontrolled_sensitive_type,open_reflective_introverted_profile,0.068,1,0.165,1,0.921,1.867,2.325,3.927,1.753
TTD00169,professional_workshop_context,3.718,4.146,5.243,6.255,4.236,moderate,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.048,1,1.192,0,0.832,1.594,2.186,3.563,1.612
TTD00170,professional_workshop_context,2.222,5.009,5.864,5.354,4.910,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.580,0,1.584,0,1.383,0.792,2.959,4.234,1.266
TTD00171,professional_workshop_context,3.361,4.906,5.203,5.844,4.342,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.012,1,1.747,0,0.987,1.451,3.001,3.566,1.884
TTD00172,professional_workshop_context,2.674,5.423,6.262,5.791,4.163,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.167,1,2.155,0,1.393,1.207,2.273,4.602,1.788
TTD00173,professional_workshop_context,2.861,4.705,5.914,5.261,4.234,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.096,1,1.981,0,1.051,1.402,3.131,4.560,1.682
TTD00174,professional_workshop_context,2.560,4.903,5.786,4.602,4.692,lower,higher,higher,mixed_dimensional_profile,overcontrolled_sensitive_profile,0.272,0,1.143,0,1.084,0.958,3.406,4.020,1.677
TTD00175,professional_workshop_context,3.327,4.939,5.743,5.758,3.761,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.091,1,1.654,0,1.071,1.388,3.297,4.609,2.595
TTD00176,professional_workshop_context,2.637,5.235,4.736,5.283,5.109,lower,higher,higher,overcontrolled_sensitive_type,overcontrolled_sensitive_profile,0.406,0,0.738,0,1.145,0.918,2.831,4.336,2.511
TTD00177,professional_workshop_context,5.332,3.092,2.260,5.997,4.075,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.255,0,1.906,0,1.210,0.879,1.000,2.760,1.741
TTD00178,professional_workshop_context,4.145,2.909,2.442,4.389,5.078,moderate,lower,higher,mixed_dimensional_profile,undercontrolled_low_regulation_profile,0.059,1,0.725,0,0.852,1.574,1.000,3.332,2.459
TTD00179,professional_workshop_context,4.456,3.710,1.977,4.105,4.535,higher,lower,moderate,mixed_dimensional_profile,undercontrolled_low_regulation_profile,0.040,1,0.683,0,0.682,1.784,1.841,3.887,2.133
TTD00180,professional_workshop_context,5.324,3.620,2.480,5.255,4.292,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.038,1,1.737,0,0.954,1.478,1.392,3.638,1.843
TTD00181,professional_workshop_context,5.558,3.615,2.932,5.185,3.854,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.055,1,1.463,0,0.869,1.557,1.844,3.361,2.400
TTD00182,professional_workshop_context,5.044,2.344,2.753,5.250,3.899,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.229,0,1.737,0,1.060,0.975,1.000,3.412,1.991
TTD00183,professional_workshop_context,5.120,3.685,3.265,4.785,4.571,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.015,1,0.780,0,0.705,1.750,1.842,4.079,2.211
TTD00184,professional_workshop_context,5.983,2.581,2.337,4.766,4.280,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.050,1,2.043,0,1.222,1.292,1.158,2.807,1.819
TTD00185,professional_workshop_context,5.942,4.180,2.951,6.087,3.790,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.120,1,1.218,0,1.094,1.372,1.453,3.999,2.537
TTD00186,professional_workshop_context,5.072,3.182,3.379,4.356,4.971,higher,lower,higher,mixed_dimensional_profile,undercontrolled_low_regulation_profile,0.026,1,0.638,0,0.768,1.669,2.463,3.664,1.544
TTD00187,professional_workshop_context,6.395,2.830,2.265,3.817,3.649,higher,lower,moderate,mixed_dimensional_profile,undercontrolled_low_regulation_profile,0.021,1,1.426,0,1.167,1.325,2.250,3.254,1.842
TTD00188,professional_workshop_context,5.074,1.758,3.742,6.674,4.323,higher,moderate,higher,mixed_dimensional_profile,undercontrolled_low_regulation_profile,0.007,1,1.212,0,1.314,1.244,1.000,2.655,1.700
TTD00189,professional_workshop_context,5.107,3.381,2.195,5.463,4.301,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.029,1,1.846,0,1.059,1.396,1.255,3.337,1.645
TTD00190,professional_workshop_context,4.678,2.875,2.514,5.207,3.312,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.348,0,1.308,0,1.037,0.992,1.000,3.607,1.969
TTD00191,professional_workshop_context,5.726,2.123,3.228,4.400,4.720,higher,lower,higher,mixed_dimensional_profile,undercontrolled_low_regulation_profile,0.070,1,1.364,0,1.099,1.368,1.869,3.337,2.032
TTD00192,professional_workshop_context,5.087,3.656,3.782,4.283,2.886,higher,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.014,1,0.264,1,0.609,2.262,2.395,3.701,2.093
TTD00193,professional_workshop_context,5.992,3.268,2.762,4.305,3.337,higher,lower,moderate,mixed_dimensional_profile,undercontrolled_low_regulation_profile,0.025,1,1.238,0,0.986,1.451,1.901,4.124,2.814
TTD00194,professional_workshop_context,5.481,3.034,2.144,4.556,4.357,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.027,1,1.915,0,1.043,1.407,1.000,3.804,1.704
TTD00195,professional_workshop_context,5.926,3.511,2.937,5.115,3.302,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.159,1,1.343,0,1.058,1.396,1.495,3.690,2.772
TTD00196,professional_workshop_context,5.019,3.023,2.225,4.666,5.222,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.336,0,1.493,0,1.132,0.927,1.687,3.267,1.798
TTD00197,professional_workshop_context,5.193,2.895,3.123,4.852,3.951,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.281,0,1.502,0,0.815,1.193,1.797,4.911,1.750
TTD00198,professional_workshop_context,5.372,3.097,2.390,6.332,2.994,higher,lower,higher,undercontrolled_reactive_type,undercontrolled_low_regulation_profile,0.573,0,1.521,0,1.445,0.765,1.000,3.090,2.161
TTD00199,professional_workshop_context,3.492,4.787,4.249,5.107,6.100,lower,moderate,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.081,1,0.782,0,0.950,1.481,2.258,3.746,2.520
TTD00200,professional_workshop_context,2.636,4.972,4.465,3.295,5.798,lower,higher,lower,open_reflective_introverted_type,open_reflective_introverted_profile,0.135,1,1.475,0,1.061,1.395,4.277,4.640,2.342
TTD00201,professional_workshop_context,1.588,4.588,3.782,5.023,6.731,lower,moderate,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.112,1,1.353,0,1.394,1.207,2.640,3.253,2.120
TTD00202,professional_workshop_context,3.286,4.449,4.617,4.503,6.720,lower,higher,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.119,1,1.479,0,1.001,1.440,2.586,4.040,2.223
TTD00203,professional_workshop_context,2.970,4.566,5.425,4.235,6.215,lower,higher,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.095,1,0.787,0,1.094,1.371,3.524,4.150,1.606
TTD00204,professional_workshop_context,2.746,4.271,5.045,4.276,6.467,lower,higher,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.054,1,1.344,0,1.063,1.393,3.235,3.808,1.618
TTD00205,professional_workshop_context,2.352,4.474,3.853,4.685,5.632,lower,moderate,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.144,1,1.319,0,0.917,1.511,2.673,3.845,2.234
TTD00206,professional_workshop_context,2.952,4.537,3.798,3.167,4.901,lower,moderate,lower,mixed_dimensional_profile,open_reflective_introverted_profile,0.128,1,0.125,1,0.704,2.112,2.808,3.348,2.211
TTD00207,professional_workshop_context,1.520,4.678,5.120,4.994,6.142,lower,higher,higher,overcontrolled_sensitive_type,open_reflective_introverted_profile,0.348,0,0.367,1,1.483,1.109,2.586,3.403,1.471
TTD00208,professional_workshop_context,2.093,4.383,5.065,2.923,5.243,lower,higher,lower,resilient_regulated_type,open_reflective_introverted_profile,0.053,1,0.938,0,1.135,1.345,3.266,3.531,1.834
TTD00209,professional_workshop_context,2.262,3.859,3.878,4.363,6.218,lower,moderate,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.033,1,1.907,0,0.917,1.511,2.383,3.210,1.963
TTD00210,professional_workshop_context,2.229,4.698,3.580,4.147,5.009,lower,lower,moderate,mixed_dimensional_profile,open_reflective_introverted_profile,0.090,1,0.904,0,0.809,1.620,2.939,3.885,1.599
TTD00211,professional_workshop_context,2.694,5.159,3.959,4.250,6.464,lower,moderate,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.080,1,1.770,0,1.044,1.407,3.225,3.696,2.063
TTD00212,professional_workshop_context,1.544,5.028,3.997,3.527,5.719,lower,moderate,lower,open_reflective_introverted_type,open_reflective_introverted_profile,0.143,1,1.439,0,1.136,1.344,3.420,2.705,2.061
TTD00213,professional_workshop_context,3.138,3.419,4.357,3.821,5.360,lower,higher,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.027,1,0.441,1,0.668,2.166,2.207,4.590,2.186
TTD00214,professional_workshop_context,3.119,4.501,3.658,4.722,5.314,lower,lower,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.012,1,0.736,0,0.752,1.688,1.913,4.053,2.206
TTD00215,professional_workshop_context,3.389,4.088,5.124,3.938,6.227,lower,higher,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.242,0,1.210,0,0.823,1.185,2.905,4.297,2.105
TTD00216,professional_workshop_context,2.775,3.885,4.164,5.525,7.000,lower,moderate,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.166,1,1.111,0,1.206,1.302,2.725,3.432,1.876
TTD00217,professional_workshop_context,2.764,3.579,4.493,5.468,5.433,lower,higher,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.091,1,0.093,1,1.010,1.792,3.131,2.760,2.229
TTD00218,professional_workshop_context,2.248,4.498,4.794,4.450,6.077,lower,higher,higher,open_reflective_introverted_type,open_reflective_introverted_profile,0.120,1,1.215,0,1.114,1.358,2.519,3.683,1.405
TTD00219,professional_workshop_context,1.780,3.696,3.776,4.041,5.447,lower,moderate,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.026,1,1.316,0,0.847,1.579,3.008,3.219,1.718
TTD00220,professional_workshop_context,2.679,5.192,3.347,3.718,5.711,lower,lower,moderate,open_reflective_introverted_type,open_reflective_introverted_profile,0.048,1,1.276,0,1.032,1.416,3.061,4.733,1.707
TTD00221,professional_workshop_context,5.801,5.761,5.483,3.649,4.643,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.021,1,0.604,0,1.208,1.301,4.080,4.824,2.246
TTD00222,professional_workshop_context,5.685,5.558,4.452,3.512,4.914,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.122,1,1.246,0,1.019,1.425,3.252,4.730,1.300
TTD00223,professional_workshop_context,6.218,5.932,5.153,4.350,5.735,higher,higher,higher,social_collaborative_type,social_collaborative_profile,0.020,1,0.837,0,1.478,1.172,3.522,5.227,1.744
TTD00224,professional_workshop_context,5.432,5.681,5.140,3.368,4.560,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.230,0,0.576,0,1.089,0.955,3.277,5.460,1.595
TTD00225,professional_workshop_context,6.404,5.744,4.432,3.488,4.012,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.102,1,1.273,0,1.021,1.424,3.245,5.670,1.814
TTD00226,professional_workshop_context,7.000,5.030,4.569,3.497,4.027,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.173,1,1.050,0,1.026,1.420,3.091,5.447,2.457
TTD00227,professional_workshop_context,7.000,6.621,4.845,3.217,4.688,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.358,0,1.108,0,1.587,0.710,2.741,5.285,1.727
TTD00228,professional_workshop_context,5.032,5.883,3.898,3.502,4.632,higher,moderate,lower,mixed_dimensional_profile,social_collaborative_profile,0.168,1,0.915,0,0.829,1.598,3.452,4.461,1.699
TTD00229,professional_workshop_context,6.520,5.623,4.098,3.744,4.899,higher,moderate,moderate,social_collaborative_type,social_collaborative_profile,0.074,1,1.404,0,1.079,1.382,2.795,4.866,1.451
TTD00230,professional_workshop_context,5.724,5.861,4.329,3.002,4.553,higher,moderate,lower,social_collaborative_type,social_collaborative_profile,0.001,1,1.185,0,1.093,1.372,2.931,5.087,1.998
TTD00231,professional_workshop_context,5.656,5.394,5.152,2.906,4.437,higher,higher,lower,resilient_regulated_type,social_collaborative_profile,0.107,1,0.327,1,1.146,1.697,4.179,5.285,1.551
TTD00232,professional_workshop_context,5.508,5.577,4.329,2.488,3.926,higher,moderate,lower,social_collaborative_type,social_collaborative_profile,0.001,1,0.534,1,1.000,1.800,3.845,4.317,1.997
TTD00233,professional_workshop_context,5.767,5.335,4.817,2.706,4.143,higher,higher,lower,resilient_regulated_type,social_collaborative_profile,0.187,0,0.500,1,1.071,1.327,3.712,4.125,1.685
TTD00234,professional_workshop_context,5.888,6.688,5.292,3.701,4.735,higher,higher,moderate,social_collaborative_type,social_collaborative_profile,0.031,1,0.818,0,1.380,1.213,4.757,5.931,1.000
TTD00235,professional_workshop_context,5.908,5.963,4.007,3.310,5.429,higher,moderate,lower,social_collaborative_type,social_collaborative_profile,0.323,0,1.170,0,1.199,0.885,3.459,5.746,2.022
TTD00236,professional_workshop_context,6.484,5.489,4.503,2.675,5.020,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.173,1,0.928,0,1.364,1.220,3.649,4.829,2.150
TTD00237,professional_workshop_context,6.304,5.938,5.561,3.799,5.997,higher,higher,moderate,social_collaborative_type,social_collaborative_profile,0.129,1,0.502,1,1.600,1.486,3.622,4.986,2.056
TTD00238,professional_workshop_context,6.186,5.570,5.007,3.857,4.141,higher,higher,moderate,social_collaborative_type,social_collaborative_profile,0.187,0,1.039,0,1.009,1.013,2.832,5.146,1.877
TTD00239,professional_workshop_context,7.000,5.923,4.923,3.043,5.511,higher,higher,lower,resilient_regulated_type,social_collaborative_profile,0.593,0,0.886,0,1.663,0.685,3.618,6.005,1.000
TTD00240,professional_workshop_context,5.904,5.542,4.737,3.298,5.986,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.372,0,0.592,0,1.374,0.796,4.037,5.611,1.281
TTD00241,professional_workshop_context,5.683,5.682,4.048,3.225,4.334,higher,moderate,lower,social_collaborative_type,social_collaborative_profile,0.004,1,1.187,0,0.904,1.522,3.656,5.177,1.980
TTD00242,professional_workshop_context,5.994,5.173,4.768,3.250,5.407,higher,higher,lower,social_collaborative_type,social_collaborative_profile,0.420,0,0.726,0,1.218,0.875,4.473,4.764,1.832
TTD00243,professional_workshop_context,3.592,3.696,3.977,3.378,3.793,lower,moderate,lower,mixed_dimensional_profile,mixed_boundary_profile,0.026,1,1.794,0,0.313,2.740,2.634,2.960,1.928
TTD00244,professional_workshop_context,3.831,3.835,4.322,4.028,4.277,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.008,1,1.662,0,0.192,3.465,3.124,2.927,1.517
TTD00245,professional_workshop_context,3.817,4.399,3.946,4.375,3.754,moderate,moderate,higher,mixed_dimensional_profile,mixed_boundary_profile,0.045,1,1.670,0,0.251,3.058,1.786,3.897,2.635
TTD00246,professional_workshop_context,3.462,4.130,4.064,3.530,3.864,lower,moderate,lower,mixed_dimensional_profile,mixed_boundary_profile,0.140,1,1.643,0,0.267,2.966,2.790,2.934,1.980
TTD00247,professional_workshop_context,4.446,3.131,4.371,3.821,4.455,higher,higher,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.041,1,0.989,0,0.464,2.216,2.324,2.610,2.244
TTD00248,professional_workshop_context,3.612,4.130,3.946,4.471,4.244,lower,moderate,higher,mixed_dimensional_profile,mixed_boundary_profile,0.058,1,1.360,0,0.257,3.024,1.723,3.974,3.038
TTD00249,professional_workshop_context,4.342,4.061,3.541,3.731,3.992,higher,lower,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.012,1,1.309,0,0.228,3.206,1.592,3.730,2.979
TTD00250,professional_workshop_context,3.967,4.174,3.872,4.637,3.899,moderate,moderate,higher,mixed_dimensional_profile,mixed_boundary_profile,0.156,1,1.370,0,0.214,3.297,1.954,3.710,2.390
TTD00251,professional_workshop_context,4.173,3.672,3.420,4.660,4.246,moderate,lower,higher,mixed_dimensional_profile,mixed_boundary_profile,0.002,1,0.415,1,0.397,2.773,2.145,3.110,2.343
TTD00252,professional_workshop_context,3.949,3.764,4.075,4.157,4.227,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.094,1,1.736,0,0.149,3.850,1.265,3.628,2.170
TTD00253,professional_workshop_context,3.753,4.619,3.918,4.339,4.129,moderate,moderate,higher,mixed_dimensional_profile,mixed_boundary_profile,0.009,1,1.407,0,0.283,2.883,2.165,3.700,1.956
TTD00254,professional_workshop_context,4.094,3.740,4.072,3.838,4.063,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.070,1,1.825,0,0.130,4.053,2.120,4.207,2.284
TTD00255,professional_workshop_context,4.146,4.282,3.857,4.089,3.765,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.048,1,1.737,0,0.179,3.573,1.855,4.265,2.935
TTD00256,professional_workshop_context,3.975,3.684,3.898,3.821,3.833,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.014,1,1.726,0,0.158,3.764,1.635,3.181,2.791
TTD00257,professional_workshop_context,4.169,4.001,3.408,3.936,4.907,moderate,lower,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.161,1,0.853,0,0.347,2.597,3.096,3.692,2.097
TTD00258,professional_workshop_context,3.949,3.717,4.220,4.241,3.366,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.047,1,1.552,0,0.286,2.870,1.972,3.866,2.806
TTD00259,professional_workshop_context,3.566,3.300,3.592,3.801,3.674,lower,lower,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.004,1,1.238,0,0.413,2.362,2.562,2.830,2.452
TTD00260,professional_workshop_context,3.934,3.873,4.701,3.663,3.962,moderate,higher,lower,mixed_dimensional_profile,mixed_boundary_profile,0.007,1,1.741,0,0.254,3.044,2.790,4.027,2.022
TTD00261,professional_workshop_context,4.106,4.263,4.024,3.962,3.760,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.067,1,1.944,0,0.134,4.009,2.409,4.040,2.036
TTD00262,professional_workshop_context,3.580,4.016,4.266,3.162,3.433,lower,moderate,lower,mixed_dimensional_profile,mixed_boundary_profile,0.064,1,1.760,0,0.421,2.338,2.147,3.222,2.194
TTD00263,professional_workshop_context,4.165,4.076,3.563,4.564,3.770,moderate,lower,higher,mixed_dimensional_profile,mixed_boundary_profile,0.100,1,0.979,0,0.294,2.826,2.283,3.723,2.274
TTD00264,professional_workshop_context,3.756,3.661,4.300,4.003,4.067,moderate,moderate,moderate,mixed_dimensional_profile,mixed_boundary_profile,0.009,1,1.815,0,0.191,3.475,2.265,3.709,3.260
TTD00265,organizational_learning_context,4.857,5.370,5.414,2.677,4.824,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.494,0,0.986,0,1.158,0.923,3.250,4.724,2.008
TTD00266,organizational_learning_context,4.700,4.686,5.414,1.578,4.786,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.356,0,1.137,0,1.201,0.897,4.814,5.322,1.625
TTD00267,organizational_learning_context,5.162,4.888,5.285,3.264,5.705,higher,higher,lower,mixed_dimensional_profile,resilient_high_regulation_profile,0.406,0,0.321,1,1.155,1.285,4.108,5.233,1.933
TTD00268,organizational_learning_context,6.162,4.694,5.294,2.699,5.075,higher,higher,lower,resilient_regulated_type,social_collaborative_profile,0.364,0,0.013,1,1.305,1.202,4.299,5.332,1.244
TTD00269,organizational_learning_context,4.493,5.075,5.470,2.757,4.502,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.163,1,0.926,0,0.957,1.489,3.116,4.306,2.019
TTD00270,organizational_learning_context,5.082,6.293,4.849,2.771,5.287,higher,higher,lower,resilient_regulated_type,social_collaborative_profile,0.519,0,0.164,1,1.348,1.181,3.633,5.007,1.843
TTD00271,organizational_learning_context,4.876,6.099,5.853,2.518,5.774,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.546,0,0.790,0,1.617,0.713,4.651,5.259,2.389
TTD00272,organizational_learning_context,5.475,6.588,5.517,2.059,4.953,higher,higher,lower,resilient_regulated_type,resilient_high_regulation_profile,0.623,0,0.254,1,1.695,1.048,4.814,5.788,1.851
TTD00273,organizational_learning_context,4.511,5.050,4.670,3.049,4.606,higher,higher,lower,mixed_dimensional_profile,resilient_high_regulation_profile,0.181,0,0.191,1,0.758,1.634,3.944,4.307,1.716
