person_id,self_system_context,self_warmth,self_conscientiousness,self_emotional_stability,self_openness,other_warmth,other_conscientiousness,other_emotional_stability,other_openness,actual_self,ideal_self,ought_self,self_esteem,social_recognition,external_devaluation,well_being,warmth_gap,conscientiousness_gap,emotional_stability_gap,openness_gap,self_other_gap_mean,self_knowledge_accuracy,actual_ideal_discrepancy,actual_ought_discrepancy,total_self_discrepancy,self_concept_positivity
SCS0116,contingent_performance_context,2.699,3.213,3.294,3.360,3.161,3.508,3.863,4.469,3.588,5.587,5.388,1.714,3.423,3.616,1.956,0.461,0.296,0.569,1.110,0.609,0.899,1.999,1.801,1.900,3.141
SCS0117,contingent_performance_context,3.190,4.303,2.628,4.032,3.613,5.397,3.330,5.038,3.469,5.570,4.525,1.575,3.300,3.231,1.243,0.423,1.094,0.702,1.006,0.806,0.866,2.101,1.056,1.579,3.538
SCS0118,contingent_performance_context,2.626,4.062,2.921,3.352,2.835,4.220,3.037,3.484,3.158,4.883,5.285,2.270,3.490,3.553,1.621,0.209,0.158,0.116,0.132,0.154,0.974,1.725,2.127,1.926,3.240
SCS0119,contingent_performance_context,3.242,3.169,3.535,3.557,4.636,3.644,3.333,2.974,3.533,5.525,4.866,1.727,2.955,3.278,1.789,1.394,0.475,0.202,0.582,0.663,0.889,1.992,1.333,1.662,3.376
SCS0120,contingent_performance_context,3.342,4.026,3.067,2.828,3.632,3.253,3.692,3.837,3.197,4.753,4.685,2.245,3.124,3.196,1.982,0.290,0.773,0.625,1.009,0.674,0.888,1.556,1.488,1.522,3.316
SCS0121,contingent_performance_context,3.469,4.249,3.973,3.838,3.190,4.516,4.201,3.226,3.577,4.431,4.469,3.057,3.547,2.422,1.953,0.278,0.267,0.228,0.612,0.346,0.942,0.854,0.893,0.874,3.882
SCS0122,contingent_performance_context,4.243,3.186,3.604,4.320,3.588,2.298,3.643,4.540,3.601,4.558,4.726,2.208,3.618,3.427,1.556,0.655,0.888,0.038,0.220,0.450,0.925,0.957,1.124,1.040,3.838
SCS0123,contingent_performance_context,3.821,3.275,3.690,3.813,3.591,3.307,2.433,3.423,3.583,4.903,4.115,1.996,3.654,3.127,1.704,0.230,0.031,1.257,0.389,0.477,0.921,1.320,0.531,0.926,3.650
SCS0124,contingent_performance_context,3.007,3.193,2.908,3.981,2.475,3.808,2.346,4.246,3.216,4.576,3.979,1.987,2.977,3.001,1.625,0.532,0.615,0.562,0.265,0.494,0.918,1.360,0.763,1.061,3.272
SCS0125,contingent_performance_context,2.864,3.635,3.785,3.405,3.006,2.103,3.613,2.739,3.376,3.914,4.249,1.718,3.782,3.601,1.563,0.142,1.532,0.172,0.666,0.628,0.895,0.538,0.873,0.705,3.423
SCS0126,contingent_performance_context,4.135,3.658,3.461,3.785,3.443,3.258,2.854,4.165,4.177,5.236,5.337,1.968,3.824,3.842,1.076,0.691,0.401,0.606,0.380,0.520,0.913,1.059,1.160,1.109,3.760
SCS0127,supportive_corrective_feedback_context,6.156,5.271,5.294,5.178,6.200,5.191,4.748,5.203,4.732,5.226,5.357,3.736,4.573,1.313,2.986,0.044,0.080,0.546,0.025,0.174,0.971,0.494,0.625,0.560,5.475
SCS0128,supportive_corrective_feedback_context,6.357,5.570,5.142,5.840,5.794,6.388,4.508,5.654,5.400,5.950,6.133,4.021,4.324,1.738,2.903,0.563,0.818,0.633,0.186,0.550,0.908,0.550,0.733,0.641,5.727
SCS0129,supportive_corrective_feedback_context,5.426,5.317,5.216,5.630,4.987,5.179,5.534,5.555,5.339,6.052,5.656,3.843,5.041,1.535,3.005,0.439,0.139,0.319,0.075,0.243,0.960,0.713,0.318,0.516,5.397
SCS0130,supportive_corrective_feedback_context,5.736,4.336,5.571,5.016,4.923,4.079,5.866,4.935,5.122,5.644,5.808,4.395,4.986,1.829,3.057,0.813,0.256,0.296,0.081,0.361,0.940,0.523,0.686,0.604,5.165
SCS0131,supportive_corrective_feedback_context,5.863,5.523,4.870,5.419,6.171,5.173,5.529,5.436,5.522,6.596,5.870,3.808,3.982,2.085,2.509,0.308,0.350,0.659,0.017,0.333,0.944,1.074,0.348,0.711,5.419
SCS0132,supportive_corrective_feedback_context,6.000,4.804,5.529,6.009,6.152,4.072,5.808,5.602,5.603,6.219,5.579,4.214,4.888,1.784,2.704,0.152,0.732,0.279,0.407,0.392,0.935,0.616,0.025,0.320,5.586
SCS0133,supportive_corrective_feedback_context,5.889,4.675,5.067,5.441,4.622,3.391,4.153,4.285,5.551,6.123,6.812,3.594,4.246,1.959,2.183,1.267,1.284,0.914,1.156,1.155,0.807,0.571,1.261,0.916,5.268
SCS0134,supportive_corrective_feedback_context,5.686,5.555,6.080,5.964,4.361,4.437,5.498,4.616,5.299,5.778,6.471,4.196,4.356,1.707,2.781,1.325,1.118,0.583,1.348,1.094,0.818,0.479,1.172,0.825,5.822
SCS0135,supportive_corrective_feedback_context,6.230,5.619,5.394,5.881,5.359,4.484,4.293,4.913,5.427,6.396,6.393,3.923,3.657,1.638,2.708,0.870,1.135,1.101,0.968,1.019,0.830,0.969,0.967,0.968,5.781
SCS0136,supportive_corrective_feedback_context,6.354,4.774,5.522,6.354,5.052,3.461,4.208,5.578,5.796,7.000,6.788,3.841,4.623,1.660,2.313,1.302,1.313,1.314,0.777,1.177,0.804,1.204,0.992,1.098,5.751
SCS0137,supportive_corrective_feedback_context,5.875,4.976,5.105,5.945,4.540,3.755,3.808,5.229,5.728,7.000,6.319,3.768,4.922,1.164,2.237,1.335,1.221,1.297,0.716,1.142,0.810,1.272,0.591,0.931,5.475
SCS0138,supportive_corrective_feedback_context,6.020,5.426,6.604,5.548,4.684,4.615,5.298,4.571,6.218,7.000,6.970,4.302,4.980,1.502,3.251,1.336,0.811,1.306,0.977,1.107,0.815,0.782,0.752,0.767,5.899
SCS0139,supportive_corrective_feedback_context,4.594,3.586,3.919,5.082,4.524,3.445,3.456,4.699,3.877,5.921,5.910,2.341,5.065,2.216,1.888,0.070,0.141,0.464,0.383,0.264,0.956,2.044,2.032,2.038,4.296
SCS0140,supportive_corrective_feedback_context,4.062,3.841,3.876,4.323,3.842,4.034,4.062,4.291,3.979,6.552,5.037,2.468,4.811,1.396,3.224,0.220,0.194,0.186,0.031,0.158,0.974,2.573,1.058,1.816,4.025
SCS0141,supportive_corrective_feedback_context,3.979,4.472,3.276,3.630,3.199,4.540,3.330,2.898,4.133,6.563,5.261,2.864,5.248,1.970,2.793,0.780,0.068,0.054,0.731,0.408,0.932,2.430,1.128,1.779,3.839
SCS0142,supportive_corrective_feedback_context,3.934,3.682,4.628,4.514,4.641,4.185,4.668,4.989,4.382,6.139,5.594,2.194,4.147,1.293,2.108,0.707,0.503,0.040,0.475,0.431,0.928,1.757,1.212,1.484,4.189
SCS0143,supportive_corrective_feedback_context,3.648,3.692,3.893,4.138,3.545,3.613,3.815,3.867,3.548,6.232,4.759,2.075,5.077,1.976,1.623,0.103,0.080,0.078,0.270,0.133,0.978,2.684,1.211,1.948,3.843
SCS0144,supportive_corrective_feedback_context,4.226,3.589,3.669,4.330,4.309,3.236,3.599,4.611,4.068,6.235,5.778,2.851,5.284,1.398,2.143,0.084,0.354,0.070,0.282,0.197,0.967,2.167,1.711,1.939,3.953
SCS0145,supportive_corrective_feedback_context,5.803,4.533,4.810,5.115,5.352,4.222,4.255,4.670,5.402,7.000,7.000,3.169,4.747,1.648,2.254,0.451,0.312,0.555,0.445,0.441,0.927,1.598,1.598,1.598,5.065
SCS0146,supportive_corrective_feedback_context,5.030,4.331,4.454,4.899,5.390,4.098,4.306,4.344,4.879,7.000,6.904,3.136,4.412,1.679,2.174,0.361,0.233,0.148,0.554,0.324,0.946,2.121,2.025,2.073,4.679
SCS0147,supportive_corrective_feedback_context,5.406,4.317,5.101,4.407,4.272,4.131,4.158,4.170,4.773,7.000,6.261,2.582,4.345,1.122,1.920,1.133,0.186,0.942,0.237,0.624,0.896,2.227,1.487,1.857,4.807
SCS0148,supportive_corrective_feedback_context,5.206,5.216,4.781,4.489,4.988,4.430,4.727,4.048,5.212,7.000,7.000,2.945,4.991,2.032,2.274,0.218,0.786,0.054,0.441,0.375,0.938,1.788,1.788,1.788,4.923
SCS0149,supportive_corrective_feedback_context,5.294,4.570,4.382,4.426,4.386,4.106,3.747,3.926,4.233,6.849,6.602,2.697,4.915,2.423,2.235,0.908,0.463,0.635,0.500,0.627,0.896,2.616,2.369,2.492,4.668
SCS0150,supportive_corrective_feedback_context,4.552,4.740,4.918,4.622,3.745,4.628,4.572,4.302,4.692,6.941,6.477,3.220,4.541,1.373,1.739,0.806,0.112,0.346,0.321,0.396,0.934,2.249,1.785,2.017,4.708
SCS0151,supportive_corrective_feedback_context,5.967,5.097,3.926,4.840,5.358,4.156,3.248,3.961,5.186,6.850,6.419,3.203,5.032,1.813,2.454,0.609,0.941,0.678,0.879,0.777,0.871,1.663,1.232,1.448,4.958
SCS0152,supportive_corrective_feedback_context,5.695,4.686,5.324,4.196,4.588,3.645,4.720,4.338,4.751,6.183,6.512,3.422,4.650,2.104,2.199,1.107,1.041,0.604,0.143,0.724,0.879,1.432,1.761,1.597,4.975
SCS0153,supportive_corrective_feedback_context,5.516,4.575,5.818,5.544,4.753,3.438,5.525,4.775,5.294,6.751,6.445,3.096,4.483,2.085,2.502,0.763,1.137,0.293,0.769,0.740,0.877,1.457,1.151,1.304,5.363
SCS0154,supportive_corrective_feedback_context,6.077,5.127,5.207,5.689,4.737,4.700,4.853,5.346,6.106,7.000,7.000,3.738,5.039,1.000,2.612,1.340,0.427,0.355,0.343,0.616,0.897,0.894,0.894,0.894,5.525
SCS0155,supportive_corrective_feedback_context,6.168,5.375,4.656,5.186,5.958,4.304,4.439,3.991,5.530,6.702,7.000,3.214,4.829,1.629,2.664,0.210,1.071,0.216,1.196,0.673,0.888,1.172,1.470,1.321,5.346
SCS0156,supportive_corrective_feedback_context,5.651,5.949,4.733,5.205,4.835,4.887,4.537,4.672,5.684,6.957,6.467,3.856,4.520,2.117,2.297,0.816,1.062,0.197,0.534,0.652,0.891,1.273,0.783,1.028,5.385
SCS0157,supportive_corrective_feedback_context,4.321,5.495,4.258,5.199,4.337,6.309,4.506,5.066,5.349,6.281,6.534,3.710,4.088,1.663,2.576,0.016,0.814,0.248,0.133,0.303,0.950,0.931,1.185,1.058,4.818
SCS0158,supportive_corrective_feedback_context,4.766,4.249,4.148,5.216,5.475,4.538,3.820,5.897,4.781,5.686,6.223,2.599,4.065,1.525,2.257,0.710,0.288,0.329,0.681,0.502,0.916,0.905,1.442,1.174,4.595
SCS0159,supportive_corrective_feedback_context,4.442,5.014,3.915,4.719,5.562,4.964,3.956,4.995,4.742,5.928,6.019,2.602,4.201,1.520,2.228,1.120,0.051,0.041,0.276,0.372,0.938,1.186,1.277,1.231,4.523
SCS0160,supportive_corrective_feedback_context,4.699,4.950,3.605,4.939,5.540,5.444,3.745,5.062,4.772,6.593,6.208,3.371,5.021,1.750,3.033,0.841,0.494,0.140,0.123,0.400,0.933,1.821,1.436,1.629,4.548
SCS0161,supportive_corrective_feedback_context,4.842,5.260,3.985,4.641,5.289,4.726,4.328,4.659,4.371,5.652,5.635,3.181,4.724,1.159,2.807,0.446,0.533,0.344,0.018,0.335,0.944,1.282,1.264,1.273,4.682
SCS0162,supportive_corrective_feedback_context,4.142,4.863,4.622,5.195,4.818,4.664,5.707,6.008,4.846,6.151,6.424,3.742,4.983,1.702,2.513,0.676,0.199,1.085,0.813,0.693,0.884,1.305,1.578,1.442,4.705
SCS0163,supportive_corrective_feedback_context,5.205,5.235,4.769,4.760,5.033,4.668,5.273,5.402,4.937,5.717,5.625,3.692,4.899,1.454,2.613,0.172,0.567,0.504,0.642,0.471,0.921,0.779,0.687,0.733,4.992
SCS0164,supportive_corrective_feedback_context,5.507,4.505,5.377,5.493,5.517,3.935,5.019,5.771,5.563,6.884,6.573,2.509,4.605,2.104,2.740,0.010,0.570,0.358,0.277,0.304,0.949,1.321,1.010,1.166,5.220
SCS0165,supportive_corrective_feedback_context,5.181,4.741,4.542,4.337,5.523,4.886,4.545,4.269,4.355,5.971,5.627,2.727,4.887,1.922,1.929,0.341,0.146,0.003,0.068,0.140,0.977,1.615,1.271,1.443,4.700
SCS0166,supportive_corrective_feedback_context,4.745,5.125,4.642,4.588,4.282,5.313,5.415,4.796,5.208,6.389,5.856,3.391,4.553,1.611,2.116,0.463,0.188,0.774,0.208,0.408,0.932,1.181,0.648,0.914,4.775
SCS0167,supportive_corrective_feedback_context,5.342,5.770,5.297,5.252,5.656,5.744,5.232,5.469,5.193,6.559,6.000,3.506,4.686,1.000,2.457,0.313,0.026,0.066,0.218,0.156,0.974,1.365,0.807,1.086,5.415
SCS0168,supportive_corrective_feedback_context,4.509,4.927,4.012,5.104,4.529,5.185,4.219,5.533,4.782,5.699,5.147,3.354,4.239,2.150,2.261,0.020,0.258,0.207,0.428,0.228,0.962,0.917,0.365,0.641,4.638
SCS0169,misrecognition_and_role_pressure_context,3.455,3.923,3.366,3.569,3.950,3.765,3.639,4.042,3.700,4.065,4.631,1.909,1.885,4.844,1.099,0.495,0.159,0.273,0.473,0.350,0.942,0.365,0.931,0.648,3.578
SCS0170,misrecognition_and_role_pressure_context,3.218,2.775,2.793,3.967,1.846,3.561,3.915,5.107,2.906,3.206,3.103,1.958,1.726,3.657,1.000,1.372,0.786,1.122,1.140,1.105,0.816,0.300,0.197,0.249,3.188
SCS0171,misrecognition_and_role_pressure_context,3.093,4.233,3.461,4.245,2.463,3.539,4.135,5.184,3.927,4.026,4.389,2.217,2.048,4.760,1.118,0.630,0.694,0.674,0.938,0.734,0.878,0.099,0.462,0.280,3.758
SCS0172,misrecognition_and_role_pressure_context,4.049,2.552,2.595,3.364,4.067,3.180,1.000,2.906,3.208,4.011,4.348,2.610,2.152,4.760,1.266,0.017,0.627,1.595,0.459,0.675,0.888,0.803,1.141,0.972,3.140
SCS0173,misrecognition_and_role_pressure_context,4.816,3.411,3.211,3.320,4.790,1.622,3.013,3.709,3.333,3.869,4.067,2.142,2.152,4.395,2.039,0.026,1.790,0.198,0.389,0.601,0.900,0.535,0.734,0.635,3.690
SCS0174,misrecognition_and_role_pressure_context,3.529,3.633,3.166,3.127,3.871,3.615,2.192,1.652,3.605,4.067,4.908,1.753,1.290,4.571,1.195,0.342,0.018,0.975,1.474,0.702,0.883,0.461,1.303,0.882,3.364
SCS0175,misrecognition_and_role_pressure_context,4.222,3.726,2.579,3.220,2.508,2.663,2.170,2.042,3.361,4.230,4.458,1.337,1.658,4.802,1.188,1.714,1.064,0.409,1.178,1.091,0.818,0.869,1.097,0.983,3.437
SCS0176,misrecognition_and_role_pressure_context,3.700,3.979,2.826,3.520,1.974,3.208,1.896,2.323,3.076,4.823,4.136,1.661,1.783,4.994,1.126,1.726,0.771,0.930,1.198,1.156,0.807,1.747,1.060,1.404,3.506
SCS0177,misrecognition_and_role_pressure_context,3.465,4.355,2.987,3.902,3.074,1.000,1.808,1.749,3.726,4.894,3.967,1.477,1.580,4.717,1.000,0.390,3.355,1.179,2.152,1.769,0.705,1.169,0.241,0.705,3.677
SCS0178,misrecognition_and_role_pressure_context,4.504,3.284,3.056,3.611,2.911,2.941,3.123,1.748,3.153,4.380,4.673,1.580,1.776,4.507,1.060,1.593,0.343,0.067,1.863,0.966,0.839,1.227,1.520,1.374,3.614
SCS0179,misrecognition_and_role_pressure_context,4.651,3.288,4.055,3.065,3.357,1.843,2.887,2.095,3.389,4.867,4.355,2.377,2.573,3.995,1.502,1.294,1.445,1.167,0.970,1.219,0.797,1.479,0.966,1.223,3.765
SCS0180,misrecognition_and_role_pressure_context,3.537,3.571,2.927,2.999,1.649,2.300,2.216,2.346,3.237,4.689,4.267,1.171,2.312,4.636,1.328,1.888,1.270,0.710,0.654,1.131,0.812,1.452,1.030,1.241,3.258
SCS0181,misrecognition_and_role_pressure_context,1.000,2.428,1.790,2.005,1.000,2.464,1.000,2.053,1.223,3.744,2.963,1.000,2.061,5.050,1.000,0.000,0.036,0.790,0.048,0.218,0.964,2.521,1.740,2.130,1.806
SCS0182,misrecognition_and_role_pressure_context,1.666,1.613,1.810,2.347,1.000,1.000,1.953,2.072,1.560,4.046,3.447,1.000,1.962,4.894,1.000,0.666,0.613,0.142,0.275,0.424,0.929,2.486,1.887,2.187,1.859
SCS0183,misrecognition_and_role_pressure_context,2.318,1.491,1.739,2.683,1.000,1.000,1.019,2.254,1.754,3.852,3.392,1.000,1.651,4.603,1.117,1.318,0.491,0.720,0.429,0.739,0.877,2.099,1.638,1.868,2.058
SCS0184,misrecognition_and_role_pressure_context,1.456,1.958,1.947,2.273,2.431,3.115,2.469,2.242,1.831,4.632,2.989,1.000,1.566,4.389,1.000,0.975,1.158,0.522,0.031,0.671,0.888,2.801,1.158,1.979,1.909
SCS0185,misrecognition_and_role_pressure_context,2.248,2.741,1.891,1.638,1.341,3.825,1.000,2.231,1.817,3.478,3.249,1.000,1.780,4.575,1.000,0.908,1.084,0.891,0.593,0.869,0.855,1.662,1.432,1.547,2.130
SCS0186,misrecognition_and_role_pressure_context,1.537,2.845,2.005,1.543,1.391,3.332,2.022,2.223,1.876,3.868,3.685,1.000,2.251,4.335,1.000,0.145,0.487,0.017,0.680,0.333,0.945,1.992,1.808,1.900,1.982
SCS0187,misrecognition_and_role_pressure_context,2.828,2.982,2.209,3.386,2.340,1.580,2.409,2.985,2.712,4.843,4.722,1.087,1.935,4.766,1.000,0.488,1.402,0.200,0.401,0.623,0.896,2.131,2.010,2.070,2.851
SCS0188,misrecognition_and_role_pressure_context,2.647,3.431,2.102,2.104,1.126,3.614,1.462,1.884,2.495,5.121,4.271,1.022,1.494,4.424,1.000,1.521,0.183,0.640,0.220,0.641,0.893,2.626,1.775,2.200,2.571
SCS0189,misrecognition_and_role_pressure_context,3.203,2.503,3.264,3.461,2.622,3.012,1.793,2.809,3.445,5.877,5.203,1.000,1.314,5.256,1.000,0.581,0.509,1.471,0.653,0.803,0.866,2.432,1.758,2.095,3.108
SCS0190,misrecognition_and_role_pressure_context,3.245,3.602,1.856,2.587,3.425,2.836,2.557,2.433,2.749,5.154,4.157,1.130,2.138,4.320,1.046,0.180,0.765,0.701,0.154,0.450,0.925,2.405,1.408,1.907,2.823
SCS0191,misrecognition_and_role_pressure_context,2.359,3.192,2.595,3.379,1.018,2.866,3.110,3.776,3.147,5.878,4.608,1.484,1.360,3.848,1.000,1.341,0.326,0.516,0.397,0.645,0.893,2.731,1.461,2.096,2.881
SCS0192,misrecognition_and_role_pressure_context,3.212,2.354,2.500,3.631,3.491,1.471,2.623,4.179,3.036,5.082,5.569,1.000,1.925,3.964,1.000,0.280,0.883,0.122,0.548,0.458,0.924,2.046,2.532,2.289,2.924
SCS0193,misrecognition_and_role_pressure_context,4.082,4.117,3.214,3.817,4.672,4.121,2.194,3.867,4.015,5.908,5.365,1.910,2.269,4.693,1.000,0.590,0.004,1.021,0.050,0.416,0.931,1.893,1.350,1.622,3.807
SCS0194,misrecognition_and_role_pressure_context,3.758,3.945,3.563,3.768,3.339,3.161,2.471,3.188,3.884,5.174,5.758,2.332,1.944,4.033,1.115,0.419,0.784,1.092,0.580,0.719,0.880,1.290,1.873,1.582,3.759
SCS0195,misrecognition_and_role_pressure_context,4.413,4.125,2.566,3.855,3.939,3.493,1.318,2.483,3.646,5.761,4.288,1.260,1.698,4.083,1.000,0.473,0.633,1.248,1.372,0.932,0.845,2.115,0.642,1.378,3.740
SCS0196,misrecognition_and_role_pressure_context,3.187,3.529,2.851,3.396,1.205,3.651,2.612,3.904,3.515,5.429,4.550,1.293,1.818,4.320,1.000,1.982,0.122,0.238,0.507,0.713,0.881,1.915,1.036,1.475,3.241
SCS0197,misrecognition_and_role_pressure_context,3.477,3.509,3.264,3.126,1.611,2.452,4.196,1.909,3.332,5.133,5.183,1.251,1.456,4.640,1.000,1.865,1.057,0.932,1.217,1.268,0.789,1.801,1.851,1.826,3.344
SCS0198,misrecognition_and_role_pressure_context,3.434,2.921,2.365,3.903,2.310,1.595,1.000,2.680,3.072,4.778,4.571,1.385,1.478,4.198,1.245,1.124,1.326,1.365,1.223,1.260,0.790,1.706,1.499,1.602,3.156
SCS0199,misrecognition_and_role_pressure_context,1.863,2.944,2.081,3.245,2.083,2.943,2.733,3.344,2.991,4.392,4.326,1.000,2.387,4.389,1.001,0.219,0.001,0.653,0.099,0.243,0.959,1.402,1.336,1.369,2.533
SCS0200,misrecognition_and_role_pressure_context,3.195,2.838,2.575,3.760,3.285,2.112,4.390,3.443,3.278,5.216,4.254,1.000,1.852,4.570,1.000,0.090,0.726,1.815,0.318,0.737,0.877,1.938,0.976,1.457,3.092
SCS0201,misrecognition_and_role_pressure_context,3.021,3.974,2.335,3.772,3.528,4.792,3.158,4.030,3.664,5.934,4.986,1.000,1.698,4.648,1.040,0.507,0.819,0.822,0.258,0.602,0.900,2.270,1.322,1.796,3.276
SCS0202,misrecognition_and_role_pressure_context,2.389,3.369,2.409,2.591,2.294,3.463,2.760,4.804,2.709,4.180,4.139,1.067,2.004,4.487,1.339,0.095,0.094,0.352,2.213,0.688,0.885,1.470,1.430,1.450,2.689
SCS0203,misrecognition_and_role_pressure_context,2.122,3.323,1.848,2.990,2.838,2.867,2.295,4.975,2.404,3.926,3.948,1.008,2.285,4.734,1.000,0.716,0.456,0.448,1.986,0.901,0.850,1.522,1.544,1.533,2.571
SCS0204,misrecognition_and_role_pressure_context,2.764,2.984,2.059,3.344,2.466,3.830,2.530,3.753,2.953,4.753,4.111,1.000,2.226,3.998,1.000,0.299,0.846,0.472,0.409,0.506,0.916,1.800,1.158,1.479,2.788
SCS0205,misrecognition_and_role_pressure_context,3.756,3.438,2.933,2.494,2.998,2.917,1.964,2.730,3.161,4.345,3.725,1.738,1.401,4.297,1.000,0.757,0.521,0.969,0.236,0.621,0.897,1.184,0.564,0.874,3.155
SCS0206,misrecognition_and_role_pressure_context,2.874,2.987,2.802,3.100,2.207,2.149,4.728,3.380,2.972,4.914,3.110,1.802,1.831,4.714,1.127,0.668,0.838,1.926,0.280,0.928,0.845,1.942,0.138,1.040,2.941
SCS0207,misrecognition_and_role_pressure_context,3.100,2.816,2.412,3.398,3.298,2.657,1.809,3.171,3.316,5.214,4.261,1.419,1.478,4.781,1.000,0.198,0.158,0.604,0.227,0.297,0.951,1.898,0.944,1.421,2.931
SCS0208,misrecognition_and_role_pressure_context,3.934,2.516,2.513,3.211,2.899,1.757,3.703,3.614,3.332,4.953,4.472,2.138,1.455,4.131,1.458,1.035,0.759,1.190,0.403,0.847,0.859,1.620,1.140,1.380,3.043
SCS0209,misrecognition_and_role_pressure_context,3.294,2.563,2.022,3.032,2.576,1.246,1.549,2.403,2.112,3.875,3.189,1.356,2.243,4.798,1.052,0.718,1.318,0.473,0.629,0.784,0.869,1.763,1.077,1.420,2.728
SCS0210,misrecognition_and_role_pressure_context,3.266,3.183,2.825,3.382,3.710,3.827,3.847,1.713,2.848,4.557,4.375,1.672,2.437,4.459,1.063,0.444,0.644,1.021,1.669,0.944,0.843,1.709,1.526,1.617,3.164
SCS0211,developmental_self_revision_context,5.674,4.555,5.739,5.007,4.855,3.995,5.856,4.690,5.146,6.126,6.013,3.019,4.350,2.802,1.849,0.819,0.560,0.117,0.317,0.453,0.924,0.979,0.867,0.923,5.244
SCS0212,developmental_self_revision_context,4.609,4.981,5.074,5.139,4.851,4.779,4.589,5.678,4.900,5.790,5.397,2.686,3.719,2.637,2.538,0.242,0.202,0.485,0.539,0.367,0.939,0.890,0.497,0.694,4.951
SCS0213,developmental_self_revision_context,4.998,4.939,5.062,5.264,5.243,4.848,5.006,5.279,4.641,5.380,5.497,2.503,4.626,2.740,2.738,0.245,0.090,0.056,0.015,0.102,0.983,0.739,0.856,0.798,5.066
SCS0214,developmental_self_revision_context,5.865,5.863,4.573,5.056,5.403,5.006,5.040,4.976,5.597,5.906,5.788,3.642,3.545,2.326,2.630,0.462,0.857,0.467,0.080,0.467,0.922,0.309,0.192,0.251,5.339
SCS0215,developmental_self_revision_context,4.066,5.258,4.706,4.542,4.042,4.842,5.228,3.707,4.620,6.013,5.333,3.732,4.020,2.943,1.840,0.024,0.416,0.522,0.835,0.449,0.925,1.393,0.713,1.053,4.643
SCS0216,developmental_self_revision_context,4.713,5.172,4.611,5.026,4.220,5.429,5.085,4.167,5.216,6.296,6.089,3.320,3.381,2.476,2.587,0.493,0.257,0.474,0.859,0.521,0.913,1.080,0.873,0.977,4.880
SCS0217,developmental_self_revision_context,5.270,5.502,4.941,5.981,4.784,4.930,4.073,4.711,4.794,6.125,5.654,3.013,3.694,2.743,2.268,0.486,0.572,0.868,1.270,0.799,0.867,1.331,0.860,1.095,5.424
SCS0218,developmental_self_revision_context,5.376,5.126,5.706,4.752,4.005,4.169,5.853,3.860,5.021,5.905,5.551,3.005,4.332,3.418,1.639,1.371,0.957,0.147,0.892,0.842,0.860,0.884,0.531,0.707,5.240
SCS0219,developmental_self_revision_context,5.497,5.401,5.716,5.084,4.235,4.886,4.963,4.103,5.472,6.625,6.862,3.540,4.249,2.808,2.366,1.262,0.515,0.753,0.980,0.877,0.854,1.153,1.390,1.271,5.424
SCS0220,developmental_self_revision_context,5.393,5.072,4.538,5.599,5.206,3.267,4.146,3.994,5.601,6.394,6.318,3.003,4.020,2.727,1.818,0.187,1.805,0.392,1.605,0.997,0.834,0.793,0.717,0.755,5.150
SCS0221,developmental_self_revision_context,5.762,5.132,5.043,5.264,4.141,4.969,3.755,3.596,5.494,7.000,6.964,3.659,3.751,2.208,1.877,1.621,0.163,1.288,1.669,1.185,0.802,1.506,1.470,1.488,5.300
SCS0222,developmental_self_revision_context,5.932,5.394,4.410,6.143,4.264,4.052,3.163,5.812,5.179,7.000,6.516,3.622,4.287,3.122,2.457,1.668,1.342,1.248,0.331,1.147,0.809,1.821,1.337,1.579,5.470
SCS0223,developmental_self_revision_context,3.571,3.576,3.578,4.209,3.121,3.144,2.828,4.266,3.900,6.426,5.358,2.168,4.017,2.405,1.449,0.450,0.432,0.751,0.057,0.422,0.930,2.525,1.458,1.991,3.734
SCS0224,developmental_self_revision_context,3.560,3.507,4.426,3.586,3.220,2.677,3.605,3.583,3.750,5.968,4.554,2.042,3.934,2.982,1.000,0.340,0.830,0.821,0.003,0.498,0.917,2.218,0.804,1.511,3.770
SCS0225,developmental_self_revision_context,3.578,4.382,3.809,3.977,2.736,4.199,3.688,4.151,4.003,5.999,5.665,1.942,3.772,2.514,2.128,0.842,0.183,0.122,0.174,0.330,0.945,1.996,1.662,1.829,3.936
SCS0226,developmental_self_revision_context,3.513,3.529,3.947,3.319,3.882,4.012,5.012,2.595,3.668,6.031,5.536,1.463,4.179,2.730,1.785,0.368,0.483,1.064,0.724,0.660,0.890,2.363,1.869,2.116,3.577
SCS0227,developmental_self_revision_context,3.027,3.658,3.219,3.435,2.590,4.179,3.069,3.002,3.308,5.359,4.666,1.026,3.814,2.963,1.321,0.437,0.521,0.150,0.432,0.385,0.936,2.050,1.357,1.704,3.335
SCS0228,developmental_self_revision_context,3.985,2.770,3.938,3.946,3.593,2.537,3.701,4.120,3.357,5.592,6.260,1.565,4.078,2.035,1.976,0.393,0.233,0.238,0.174,0.259,0.957,2.236,2.903,2.570,3.660
SCS0229,developmental_self_revision_context,3.815,4.350,4.610,4.316,3.177,3.407,3.911,4.406,3.794,6.648,5.560,2.184,3.619,2.995,1.982,0.638,0.943,0.699,0.090,0.593,0.901,2.855,1.766,2.310,4.273
SCS0230,developmental_self_revision_context,5.284,4.362,4.092,5.572,4.536,4.249,4.347,5.200,4.644,7.000,6.166,2.913,4.184,2.401,1.662,0.748,0.113,0.255,0.372,0.372,0.938,2.356,1.522,1.939,4.827
