person_id,narrative_context,redemption,contamination,coherence,agency,communion,meaning_making,narrative_flexibility,defensive_rigidity,self_continuity,well_being,narrative_growth_orientation,narrative_burden,narrative_integration,redemptive_agency_balance
NIS0194,institutional_silencing_context,1.000,5.485,1.303,1.026,2.528,3.210,1.464,4.884,1.298,1.000,1.745,5.184,1.355,-8.342
NIS0195,institutional_silencing_context,1.000,5.833,1.070,1.000,1.829,2.771,1.000,5.191,1.000,1.000,1.590,5.512,1.023,-9.024
NIS0196,institutional_silencing_context,1.000,5.592,1.292,1.000,2.263,2.170,1.000,5.297,1.000,1.023,1.390,5.445,1.097,-8.890
NIS0197,institutional_silencing_context,1.040,5.149,1.000,1.125,2.308,1.886,1.000,5.114,1.000,1.502,1.350,5.132,1.000,-8.098
NIS0198,institutional_silencing_context,1.000,5.071,1.641,1.484,2.255,2.797,1.000,5.497,1.000,1.000,1.760,5.284,1.214,-8.084
NIS0199,institutional_silencing_context,2.092,4.498,2.401,2.576,2.220,3.739,3.094,3.909,2.102,1.775,2.802,4.203,2.532,-3.738
NIS0200,institutional_silencing_context,1.986,4.953,2.780,2.579,2.951,3.849,3.731,3.580,2.051,2.374,2.805,4.267,2.854,-3.969
NIS0201,institutional_silencing_context,1.825,3.730,2.634,3.344,2.889,4.346,3.543,4.838,2.153,2.137,3.172,4.284,2.777,-3.399
NIS0202,institutional_silencing_context,1.738,5.752,3.333,2.667,3.427,4.206,3.012,3.647,2.244,2.038,2.870,4.700,2.863,-4.995
NIS0203,institutional_silencing_context,2.683,4.516,2.740,2.279,2.944,4.343,3.281,3.833,2.384,1.752,3.102,4.175,2.801,-3.387
NIS0204,institutional_silencing_context,2.169,4.422,3.393,3.062,3.130,4.361,2.889,3.704,2.150,1.966,3.197,4.063,2.811,-2.894
NIS0205,institutional_silencing_context,1.000,5.061,2.078,2.759,2.283,3.934,2.628,4.615,1.369,1.675,2.564,4.838,2.025,-5.918
NIS0206,institutional_silencing_context,1.654,5.490,2.622,2.338,2.489,4.429,2.483,4.891,1.838,1.683,2.807,5.190,2.314,-6.388
NIS0207,institutional_silencing_context,1.746,4.857,2.489,1.688,2.823,3.605,2.909,4.873,2.060,1.407,2.346,4.865,2.486,-6.297
NIS0208,institutional_silencing_context,1.460,5.463,2.784,2.132,2.571,4.802,3.545,5.232,1.615,1.431,2.798,5.348,2.648,-7.104
NIS0209,institutional_silencing_context,1.633,5.310,2.600,2.212,2.793,4.179,3.174,4.821,2.002,2.216,2.675,5.066,2.592,-6.286
NIS0210,institutional_silencing_context,1.304,5.089,2.427,2.375,2.758,3.730,2.384,4.640,1.169,1.555,2.470,4.864,1.993,-6.050
NIS0211,reparative_storytelling_context,4.203,1.860,5.297,5.703,5.292,5.546,6.366,1.784,4.614,4.940,5.151,1.822,5.426,6.262
NIS0212,reparative_storytelling_context,5.002,1.290,5.434,6.334,5.397,5.677,5.648,2.168,4.788,4.141,5.671,1.729,5.290,7.878
NIS0213,reparative_storytelling_context,4.937,1.987,5.447,5.676,4.844,6.159,5.001,2.027,3.942,4.413,5.591,2.007,4.796,6.600
NIS0214,reparative_storytelling_context,4.947,1.139,5.453,5.765,5.111,6.326,5.913,1.970,4.992,5.505,5.680,1.555,5.453,7.604
NIS0215,reparative_storytelling_context,5.809,1.420,6.002,6.641,5.365,6.697,5.547,2.244,5.204,4.812,6.382,1.832,5.584,8.785
NIS0216,reparative_storytelling_context,5.154,1.772,5.052,5.771,5.542,5.975,5.833,2.306,4.621,4.565,5.633,2.039,5.169,6.847
NIS0217,reparative_storytelling_context,4.346,3.491,4.511,4.416,4.741,4.487,3.520,3.638,3.249,3.597,4.416,3.564,3.760,1.634
NIS0218,reparative_storytelling_context,2.666,3.476,4.245,4.716,4.355,4.649,3.398,3.657,3.575,3.789,4.010,3.567,3.739,0.249
NIS0219,reparative_storytelling_context,2.748,3.770,4.039,3.858,4.689,4.710,3.724,4.477,3.389,2.867,3.772,4.123,3.717,-1.640
NIS0220,reparative_storytelling_context,3.551,3.394,3.632,3.961,4.101,4.352,4.088,3.308,2.468,3.297,3.955,3.351,3.396,0.809
NIS0221,reparative_storytelling_context,3.193,2.951,4.398,4.292,3.953,4.558,3.728,3.965,3.519,3.486,4.014,3.458,3.881,0.569
NIS0222,reparative_storytelling_context,3.169,3.861,3.639,4.163,4.175,4.897,3.759,3.833,2.951,2.888,4.076,3.847,3.450,-0.362
NIS0223,reparative_storytelling_context,4.181,2.712,5.704,4.965,4.823,4.948,4.271,4.652,3.809,3.644,4.698,3.682,4.595,1.782
NIS0224,reparative_storytelling_context,4.311,2.603,5.039,4.873,4.789,5.398,3.747,3.689,3.577,3.479,4.861,3.146,4.121,2.893
NIS0225,reparative_storytelling_context,4.207,2.622,5.805,5.220,4.536,5.279,4.360,4.197,4.348,4.464,4.902,3.409,4.837,2.608
NIS0226,reparative_storytelling_context,4.051,2.491,6.228,4.514,5.396,5.215,4.054,4.816,4.062,4.599,4.593,3.653,4.781,1.259
NIS0227,reparative_storytelling_context,4.664,2.457,5.720,5.077,4.712,5.570,4.160,3.892,3.428,3.349,5.104,3.175,4.436,3.392
NIS0228,reparative_storytelling_context,4.029,3.399,5.608,4.906,4.560,5.521,4.298,4.239,3.119,3.625,4.818,3.819,4.342,1.297
NIS0229,reparative_storytelling_context,4.424,2.137,5.211,5.374,5.628,5.474,5.690,2.508,4.697,4.196,5.091,2.323,5.199,5.153
NIS0230,reparative_storytelling_context,4.092,1.303,4.430,5.800,6.101,5.781,4.728,2.047,4.747,4.889,5.225,1.675,4.635,6.542
NIS0231,reparative_storytelling_context,5.438,1.471,5.189,4.823,5.838,5.410,5.969,2.514,4.483,5.033,5.224,1.992,5.214,6.276
NIS0232,reparative_storytelling_context,3.763,1.981,5.506,5.162,6.064,5.316,5.196,2.818,3.913,4.959,4.747,2.399,4.872,4.126
NIS0233,reparative_storytelling_context,3.790,1.593,4.788,4.555,5.051,5.666,5.483,2.757,5.037,4.343,4.670,2.175,5.103,3.994
NIS0234,reparative_storytelling_context,4.357,2.499,4.895,4.954,5.390,6.246,5.759,1.201,4.658,4.028,5.186,1.850,5.104,5.610
NIS0235,reparative_storytelling_context,3.551,3.676,3.559,3.296,4.753,4.098,3.649,3.107,3.320,2.815,3.648,3.391,3.509,0.064
NIS0236,reparative_storytelling_context,2.482,3.311,3.849,4.399,4.206,4.387,3.473,3.524,3.424,3.479,3.756,3.418,3.582,0.045
NIS0237,reparative_storytelling_context,3.433,3.157,4.024,3.491,4.799,4.167,3.609,3.744,2.990,3.028,3.697,3.451,3.541,0.023
NIS0238,reparative_storytelling_context,3.254,2.273,3.602,3.406,4.453,4.264,4.336,4.286,3.351,3.155,3.641,3.280,3.763,0.101
NIS0239,reparative_storytelling_context,2.439,3.117,3.470,4.115,3.955,4.381,4.250,3.581,3.257,3.376,3.645,3.349,3.659,-0.144
NIS0240,reparative_storytelling_context,2.883,3.035,3.620,4.329,4.850,4.391,3.896,3.897,2.559,2.935,3.867,3.466,3.358,0.280
NIS0241,reparative_storytelling_context,4.395,2.040,4.842,5.101,5.339,6.282,6.416,2.883,4.395,4.453,5.259,2.461,5.218,4.573
NIS0242,reparative_storytelling_context,4.406,1.905,5.546,5.583,5.950,6.195,6.219,2.462,4.742,4.363,5.394,2.184,5.503,5.621
NIS0243,reparative_storytelling_context,4.329,1.256,4.237,5.452,5.157,5.746,6.054,2.131,4.016,4.395,5.176,1.694,4.769,6.394
NIS0244,reparative_storytelling_context,4.717,2.346,5.133,5.887,5.086,5.782,6.049,2.209,4.333,4.253,5.462,2.277,5.172,6.050
NIS0245,reparative_storytelling_context,4.769,1.896,5.048,5.668,5.058,5.770,5.663,3.153,4.512,4.426,5.402,2.524,5.074,5.388
NIS0246,reparative_storytelling_context,3.664,1.853,4.855,5.140,4.908,5.862,5.529,2.476,4.594,4.774,4.889,2.165,4.993,4.475
NIS0247,reparative_storytelling_context,3.726,2.948,3.918,4.497,5.164,5.827,6.083,2.171,4.864,4.670,4.683,2.560,4.955,3.104
NIS0248,reparative_storytelling_context,3.677,2.909,4.728,5.116,5.506,5.842,5.219,2.375,3.649,3.990,4.879,2.642,4.532,3.509
NIS0249,reparative_storytelling_context,4.579,1.723,4.488,5.437,4.898,5.825,5.293,2.609,4.835,4.891,5.280,2.166,4.872,5.684
NIS0250,reparative_storytelling_context,4.301,2.597,5.200,4.864,5.507,5.592,5.668,3.056,4.479,4.355,4.919,2.826,5.116,3.513
NIS0251,reparative_storytelling_context,3.930,3.391,5.072,4.609,5.362,5.466,5.303,2.222,3.845,3.728,4.668,2.807,4.740,2.926
NIS0252,reparative_storytelling_context,4.531,3.433,4.534,4.359,4.735,5.971,5.223,2.521,3.940,3.983,4.954,2.977,4.566,2.936
