pair_id,zygosity,genetic_relatedness,twin1_trait,twin2_trait,twin1_temperament_reactivity,twin2_temperament_reactivity,twin1_effortful_control,twin2_effortful_control,family_stress,social_support,socioeconomic_security,educational_stability,shared_environment_index,nonshared_environment_index,trait_mean,trait_difference,gxe_marker,rge_marker,developmental_context_score
BGP00167,MZ,1.000,3.532,2.657,1.716,1.519,3.351,2.831,2.375,4.768,3.303,4.218,4.442,3.075,3.095,0.875,0.985,3.561,4.310
BGP00168,MZ,1.000,2.109,2.850,3.100,3.933,2.597,3.619,5.848,5.629,5.747,4.328,4.233,2.241,2.479,0.741,1.909,3.344,4.905
BGP00169,MZ,1.000,3.039,3.950,3.846,3.894,3.218,4.245,5.367,4.974,3.552,5.127,3.919,2.850,3.494,0.910,1.861,2.906,3.594
BGP00170,MZ,1.000,3.962,3.075,3.672,4.740,3.939,3.376,4.273,5.331,1.688,3.397,3.869,3.899,3.519,0.887,1.781,2.879,3.709
BGP00171,MZ,1.000,3.954,4.268,4.241,3.621,3.841,2.694,5.024,4.961,5.544,5.538,4.861,2.837,4.111,0.314,1.831,3.408,4.896
BGP00172,MZ,1.000,3.054,3.225,2.384,2.243,2.550,2.840,3.622,4.112,3.469,4.613,4.259,0.881,3.140,0.171,1.170,2.981,3.996
BGP00173,MZ,1.000,4.065,3.796,3.420,4.175,4.269,3.392,3.584,3.196,4.620,6.315,4.410,2.154,3.930,0.268,1.324,3.608,4.266
BGP00174,MZ,1.000,4.431,5.249,3.817,4.879,4.944,5.862,3.980,6.148,3.859,3.437,4.501,2.905,4.840,0.818,1.142,3.763,4.388
BGP00175,MZ,1.000,3.598,3.633,3.751,3.225,3.791,3.988,4.010,4.075,2.620,4.154,3.909,1.247,3.616,0.035,0.922,2.854,3.703
BGP00176,MZ,1.000,4.640,5.192,5.573,5.874,5.374,5.510,3.911,4.593,1.770,4.576,3.740,2.680,4.916,0.552,1.567,3.158,4.220
BGP00177,MZ,1.000,3.973,4.683,3.981,4.005,3.976,4.342,3.090,3.636,6.763,4.252,5.013,3.086,4.328,0.710,0.942,3.581,4.583
BGP00178,MZ,1.000,2.865,2.576,2.516,2.865,3.499,3.455,3.780,3.497,4.705,6.673,4.405,2.566,2.720,0.289,1.273,2.998,4.739
BGP00179,MZ,1.000,4.271,4.397,3.939,5.297,3.157,3.518,5.797,3.463,5.843,4.042,3.754,1.533,4.334,0.127,2.301,3.026,4.295
BGP00180,MZ,1.000,4.741,5.093,4.859,5.278,4.843,4.801,3.239,2.847,5.896,4.620,4.877,1.219,4.917,0.352,1.171,3.360,4.306
BGP00181,MZ,1.000,3.238,3.000,3.588,3.384,3.633,3.158,4.175,3.995,4.792,4.763,4.417,1.360,3.119,0.239,1.530,2.889,4.284
BGP00182,MZ,1.000,3.887,3.942,3.715,3.546,4.493,4.402,3.080,3.783,4.244,5.085,4.331,2.143,3.914,0.055,1.470,3.434,4.404
BGP00183,MZ,1.000,3.714,4.053,4.077,4.327,3.046,3.952,4.466,2.431,3.797,3.508,3.527,2.706,3.883,0.339,1.500,2.310,2.530
BGP00184,MZ,1.000,3.758,3.068,1.916,1.862,3.838,4.096,1.738,3.523,3.561,4.933,4.792,3.335,3.413,0.690,0.934,2.330,4.601
BGP00185,MZ,1.000,5.345,6.138,6.127,6.216,4.236,5.496,4.912,4.456,4.745,3.306,4.026,2.479,5.742,0.793,1.328,3.290,3.555
BGP00186,MZ,1.000,4.491,4.471,4.242,3.900,3.519,3.848,4.518,2.532,3.786,4.762,3.467,1.584,4.481,0.020,2.036,3.045,3.380
BGP00187,MZ,1.000,5.461,5.728,4.428,4.180,4.785,3.984,1.765,3.416,4.194,2.599,4.021,2.549,5.595,0.267,1.089,3.790,3.853
BGP00188,MZ,1.000,3.069,2.807,4.465,4.243,2.792,2.605,4.478,1.801,4.135,3.683,3.517,2.475,2.938,0.262,2.037,2.071,3.493
BGP00189,MZ,1.000,3.876,3.070,2.612,2.571,3.889,3.665,2.405,4.188,6.583,5.319,5.130,2.639,3.473,0.806,1.343,4.003,5.341
BGP00190,MZ,1.000,4.241,4.315,2.990,3.765,4.177,4.495,1.949,4.064,4.808,4.548,4.839,1.755,4.278,0.075,0.964,4.488,5.051
BGP00191,MZ,1.000,5.043,4.795,5.220,4.278,4.072,4.403,4.963,4.656,4.704,5.015,4.396,1.658,4.919,0.248,1.460,3.923,4.637
BGP00192,MZ,1.000,4.330,4.237,4.341,4.240,5.241,5.742,3.487,4.261,2.616,5.204,4.078,3.006,4.284,0.093,0.896,3.433,3.865
BGP00193,MZ,1.000,3.891,2.940,2.998,2.306,2.717,4.205,2.984,5.111,5.245,4.285,4.875,3.167,3.416,0.951,1.187,3.507,4.895
BGP00194,MZ,1.000,4.445,3.834,4.134,4.196,2.481,4.231,4.751,4.532,6.060,4.153,4.536,2.753,4.139,0.611,1.824,3.542,4.983
BGP00195,MZ,1.000,4.002,4.804,4.518,3.974,5.119,4.166,3.211,2.863,3.607,4.987,3.965,2.890,4.403,0.801,1.256,3.000,4.138
BGP00196,MZ,1.000,4.827,4.759,4.202,4.913,6.096,5.214,4.823,6.828,4.442,5.212,4.760,1.293,4.793,0.069,1.208,3.582,5.462
BGP00197,MZ,1.000,2.525,3.717,4.002,3.001,2.285,3.103,3.424,3.072,4.044,4.846,3.982,3.785,3.121,1.192,1.790,2.785,3.885
BGP00198,MZ,1.000,4.557,3.767,2.796,4.369,4.636,3.983,4.737,5.149,3.734,4.910,4.465,2.910,4.162,0.791,1.460,2.872,3.947
BGP00199,MZ,1.000,3.834,3.793,4.834,5.400,3.335,4.397,6.353,3.280,2.417,4.663,3.139,1.884,3.814,0.041,2.302,1.709,2.843
BGP00200,MZ,1.000,3.364,2.747,3.772,3.935,2.314,3.559,6.104,5.913,6.966,2.925,4.222,2.628,3.056,0.617,2.252,3.593,4.986
BGP00201,MZ,1.000,2.839,2.159,4.205,2.485,4.102,3.408,5.507,5.284,3.264,4.315,3.807,2.516,2.499,0.680,1.784,2.360,3.675
BGP00202,MZ,1.000,3.523,2.767,4.502,3.749,3.675,2.054,5.591,2.708,5.164,3.497,3.416,3.049,3.145,0.756,2.703,2.761,3.794
BGP00203,MZ,1.000,5.118,4.398,4.978,4.076,5.598,4.934,4.105,6.208,5.000,3.369,4.726,2.903,4.758,0.720,1.162,3.785,4.213
BGP00204,MZ,1.000,5.025,4.966,4.573,3.825,4.343,5.751,3.547,4.140,3.577,6.510,4.897,2.094,4.996,0.059,0.794,3.426,4.712
BGP00205,MZ,1.000,4.166,4.670,5.050,4.370,5.075,4.340,3.739,4.508,3.770,4.387,4.075,2.564,4.418,0.504,0.879,3.179,3.894
BGP00206,MZ,1.000,4.666,5.225,4.406,5.540,3.979,4.893,4.863,2.984,4.561,6.389,3.965,2.924,4.945,0.559,2.538,3.165,4.408
BGP00207,MZ,1.000,3.829,4.826,3.469,2.591,4.748,4.559,2.574,5.532,4.404,4.816,5.559,4.035,4.327,0.997,1.064,3.602,4.693
BGP00208,MZ,1.000,3.911,3.759,5.544,4.733,2.795,3.409,4.889,3.423,6.748,3.802,4.149,2.159,3.835,0.152,1.988,3.334,4.300
BGP00209,MZ,1.000,3.554,3.922,4.070,4.158,3.576,4.339,3.916,4.498,4.147,4.727,4.263,1.827,3.738,0.368,1.320,3.072,4.298
BGP00210,MZ,1.000,4.599,5.192,3.830,3.694,3.842,4.018,3.953,3.940,3.824,4.822,4.167,3.195,4.895,0.593,1.648,3.234,3.790
BGP00211,MZ,1.000,3.214,4.016,2.573,3.011,4.146,4.208,2.901,5.181,5.270,4.022,5.176,3.182,3.615,0.802,1.496,3.830,4.954
BGP00212,MZ,1.000,4.426,4.266,3.871,3.741,3.959,3.119,4.327,5.226,3.963,3.921,4.292,1.238,4.346,0.160,1.563,3.399,4.068
BGP00213,MZ,1.000,5.321,4.316,4.218,3.501,5.666,4.894,1.909,5.266,4.913,3.131,4.900,3.732,4.818,1.005,1.000,4.150,4.923
BGP00214,MZ,1.000,5.474,4.589,5.301,5.931,4.319,4.231,4.402,4.251,3.782,4.198,3.631,3.541,5.031,0.886,1.817,3.249,4.058
BGP00215,MZ,1.000,4.109,3.742,4.880,5.262,3.665,3.876,6.944,3.956,5.131,3.420,3.441,1.920,3.925,0.366,2.458,3.235,4.004
BGP00216,MZ,1.000,4.480,4.471,5.516,4.109,4.471,3.596,5.315,5.785,4.419,3.743,4.491,1.598,4.476,0.009,1.617,3.538,4.301
BGP00217,MZ,1.000,4.363,4.592,3.516,3.089,5.014,5.500,3.458,5.761,3.715,6.438,5.192,2.207,4.478,0.229,1.047,3.688,5.330
BGP00218,MZ,1.000,2.921,3.492,3.448,4.200,3.206,3.402,4.088,3.648,3.566,3.790,3.812,1.915,3.206,0.571,1.140,2.447,3.891
BGP00219,MZ,1.000,4.581,3.856,4.673,4.954,3.043,4.143,5.089,2.621,3.844,3.725,3.127,3.217,4.218,0.725,2.549,2.838,3.029
BGP00220,MZ,1.000,3.748,3.796,3.632,3.954,5.004,5.874,2.380,5.889,3.634,4.816,5.064,1.655,3.772,0.048,0.390,3.875,4.841
BGP00221,MZ,1.000,3.428,3.417,3.585,4.562,2.868,3.344,5.122,4.121,4.460,4.065,3.368,1.711,3.422,0.011,1.793,3.185,3.806
BGP00222,MZ,1.000,3.438,3.302,3.708,5.263,2.715,2.201,6.091,2.796,4.137,3.804,3.316,1.592,3.370,0.136,2.280,2.201,3.231
BGP00223,MZ,1.000,4.914,4.606,4.327,4.293,5.158,4.341,3.869,4.725,3.318,2.984,3.693,1.899,4.760,0.309,1.260,3.611,3.597
BGP00224,MZ,1.000,4.073,3.897,3.680,4.098,3.502,4.082,3.973,3.693,3.161,4.729,3.847,1.482,3.985,0.176,0.895,2.646,4.007
BGP00225,MZ,1.000,4.148,4.895,3.627,3.910,5.554,6.222,2.890,6.231,4.667,6.127,5.754,3.093,4.521,0.747,0.887,3.912,5.708
BGP00226,MZ,1.000,5.368,5.126,4.402,3.958,6.776,5.495,3.382,4.266,5.637,5.479,5.072,2.285,5.247,0.243,1.234,3.777,5.015
BGP00227,MZ,1.000,5.580,5.329,3.610,3.716,5.378,5.749,2.095,7.000,6.321,4.276,6.194,2.188,5.454,0.251,1.170,5.181,5.938
BGP00228,MZ,1.000,3.730,4.141,1.829,2.775,5.234,5.156,1.485,4.347,5.756,5.033,5.370,1.764,3.936,0.411,0.976,3.674,5.218
BGP00229,MZ,1.000,3.960,5.014,2.846,3.453,4.926,4.740,2.558,4.739,3.911,4.850,4.832,2.793,4.487,1.054,1.554,3.726,4.645
BGP00230,MZ,1.000,3.186,3.834,1.527,1.943,4.196,4.423,2.717,5.395,5.435,6.410,5.717,3.455,3.510,0.648,1.214,3.770,5.364
BGP00231,MZ,1.000,5.328,4.333,4.270,3.043,4.657,5.312,3.736,5.176,3.807,3.699,4.257,3.215,4.830,0.995,0.923,3.833,4.265
BGP00232,MZ,1.000,3.695,4.266,3.723,3.480,5.317,5.301,1.537,3.203,3.807,6.088,4.803,2.314,3.981,0.571,1.208,3.699,4.380
BGP00233,MZ,1.000,3.236,3.005,3.055,3.809,3.319,3.144,3.910,5.517,3.631,3.873,3.992,1.510,3.121,0.232,1.215,3.268,4.496
BGP00234,MZ,1.000,4.292,4.937,3.886,3.349,3.750,4.291,2.032,3.703,3.121,4.549,4.132,2.641,4.614,0.645,1.066,3.747,4.371
BGP00235,MZ,1.000,5.699,5.270,4.848,4.874,4.992,3.671,3.838,1.919,3.387,5.491,3.282,2.276,5.484,0.430,1.608,3.173,3.713
BGP00236,MZ,1.000,3.799,3.298,4.102,3.212,3.435,2.594,2.632,3.055,4.593,2.368,3.788,2.606,3.549,0.501,1.496,3.567,3.603
BGP00237,MZ,1.000,3.812,2.864,4.803,3.362,3.605,3.922,4.708,3.821,3.563,4.404,3.347,3.029,3.338,0.948,1.707,2.875,3.818
BGP00238,MZ,1.000,3.880,3.768,2.623,2.064,5.357,4.549,2.653,5.856,4.172,5.250,5.155,1.839,3.824,0.112,1.123,3.859,5.143
BGP00239,MZ,1.000,5.862,5.233,5.442,5.807,5.167,3.629,3.924,1.000,5.257,5.920,3.948,2.707,5.548,0.629,2.192,3.195,4.148
BGP00240,MZ,1.000,3.091,4.393,4.451,3.305,4.530,3.766,2.188,3.675,3.033,3.610,4.375,3.780,3.742,1.302,1.707,3.303,4.171
BGP00241,MZ,1.000,3.900,4.017,2.533,3.499,4.458,4.153,2.349,3.674,1.000,5.594,4.006,1.106,3.959,0.118,1.116,2.273,3.849
BGP00242,MZ,1.000,5.716,5.788,5.421,6.363,4.854,5.981,3.917,3.361,2.752,5.611,3.546,1.546,5.752,0.073,1.336,3.227,4.008
BGP00243,MZ,1.000,2.428,3.176,3.943,3.196,2.878,3.125,4.739,3.655,5.220,4.557,3.989,3.093,2.802,0.748,1.890,2.724,4.111
BGP00244,MZ,1.000,3.179,2.660,3.274,3.617,3.005,3.011,3.282,2.450,5.965,4.526,4.568,2.244,2.920,0.519,1.542,3.109,4.198
BGP00245,MZ,1.000,4.237,4.024,2.111,2.759,5.379,4.646,1.344,5.031,3.595,4.213,5.113,2.008,4.130,0.213,1.398,3.689,4.834
BGP00246,MZ,1.000,4.539,4.126,4.411,3.196,4.627,4.068,2.209,4.056,2.833,5.817,4.661,2.825,4.332,0.413,0.841,3.100,4.083
BGP00247,MZ,1.000,3.489,3.664,2.378,3.601,2.223,2.791,2.881,3.726,4.644,1.044,3.777,1.632,3.577,0.174,1.224,3.060,3.460
BGP00248,MZ,1.000,4.719,3.784,3.411,2.984,5.711,5.686,3.350,6.340,3.638,6.176,4.844,3.738,4.252,0.935,0.759,3.931,5.294
BGP00249,MZ,1.000,4.780,4.529,5.470,4.902,4.514,3.218,4.989,3.729,3.292,5.131,3.882,2.818,4.655,0.252,1.869,2.768,3.888
BGP00250,MZ,1.000,3.469,3.349,3.280,4.171,4.237,4.270,4.462,5.080,3.383,3.147,3.996,2.093,3.409,0.120,1.054,3.122,4.246
BGP00251,MZ,1.000,5.350,5.548,4.928,5.065,5.407,5.379,3.145,3.011,4.206,4.695,4.186,1.671,5.449,0.197,1.612,3.612,3.999
BGP00252,MZ,1.000,5.987,4.552,4.061,4.338,5.741,5.279,3.263,4.829,6.281,4.922,5.170,4.330,5.269,1.435,1.682,4.179,5.143
BGP00253,MZ,1.000,2.692,2.896,1.752,1.154,4.352,5.464,1.566,4.646,2.644,6.479,4.946,2.902,2.794,0.204,0.488,2.708,4.735
BGP00254,MZ,1.000,3.550,3.971,4.395,4.442,4.925,5.129,5.495,5.992,4.654,4.321,4.428,2.158,3.761,0.421,2.075,3.629,4.591
BGP00255,MZ,1.000,3.235,2.817,3.126,2.826,3.559,3.230,5.010,5.803,4.464,3.741,4.438,1.639,3.026,0.418,1.645,2.951,4.621
BGP00256,MZ,1.000,3.150,2.669,3.441,3.188,3.445,3.808,4.171,3.622,2.473,4.948,3.684,2.447,2.909,0.481,1.524,2.307,3.557
BGP00257,MZ,1.000,4.898,4.360,2.655,3.508,4.883,5.704,3.040,5.359,3.368,4.236,4.149,2.456,4.629,0.539,1.177,3.684,4.634
BGP00258,MZ,1.000,4.687,5.315,2.594,3.552,5.265,5.792,1.620,5.723,3.961,3.702,4.939,3.401,5.001,0.628,0.891,3.784,4.711
BGP00259,MZ,1.000,5.720,5.084,4.826,5.067,5.742,3.981,5.164,6.012,4.083,3.937,4.189,2.795,5.402,0.636,1.639,3.354,4.251
BGP00260,MZ,1.000,5.348,4.666,4.189,3.936,4.312,5.184,1.600,5.104,2.635,2.572,4.402,2.350,5.007,0.682,1.583,3.667,4.043
BGP00261,MZ,1.000,3.386,3.631,4.355,3.757,4.267,5.382,6.183,4.917,3.863,6.686,4.016,1.395,3.508,0.245,2.019,2.743,4.616
BGP00262,MZ,1.000,4.015,3.963,4.430,4.113,4.661,3.253,4.290,3.867,3.865,3.376,3.610,1.892,3.989,0.052,1.219,3.074,3.352
BGP00263,MZ,1.000,2.608,2.559,3.250,3.872,3.509,3.340,4.564,4.276,3.192,5.433,3.735,1.539,2.584,0.049,1.227,2.576,4.091
BGP00264,MZ,1.000,4.858,4.439,4.407,4.790,3.515,3.451,4.600,3.349,3.814,4.133,3.415,2.247,4.648,0.419,1.999,3.051,3.564
BGP00265,MZ,1.000,3.928,4.417,5.314,3.995,4.060,4.240,5.862,4.452,5.434,2.675,3.688,2.936,4.173,0.489,2.277,3.250,3.797
BGP00266,MZ,1.000,3.705,3.668,4.465,4.874,4.635,3.541,4.683,3.130,5.301,4.986,4.658,1.472,3.686,0.037,2.069,2.929,4.675
BGP00267,MZ,1.000,4.513,4.768,5.194,4.699,3.832,3.657,5.579,2.303,4.111,5.138,3.265,2.002,4.640,0.254,2.006,2.436,3.240
BGP00268,MZ,1.000,4.270,4.389,1.646,2.112,5.553,5.565,1.167,6.440,5.685,3.813,5.828,2.197,4.330,0.119,0.885,4.457,6.126
BGP00269,MZ,1.000,5.415,4.978,5.907,5.640,4.328,4.823,4.572,4.681,4.034,3.033,3.996,1.587,5.196,0.437,1.309,3.158,3.966
BGP00270,MZ,1.000,5.508,4.462,5.146,5.188,5.191,4.241,4.512,4.337,3.383,4.374,3.558,3.738,4.985,1.045,1.574,2.937,3.658
BGP00271,MZ,1.000,3.342,4.755,5.188,5.369,4.994,5.106,6.011,5.547,4.348,4.557,4.354,4.642,4.048,1.414,2.395,3.352,4.489
BGP00272,MZ,1.000,3.666,3.823,3.279,3.296,3.986,3.672,3.869,5.342,2.656,4.612,4.656,2.219,3.744,0.157,1.057,3.437,4.339
BGP00273,MZ,1.000,3.464,3.548,2.284,2.620,5.390,4.706,4.069,5.843,4.020,4.981,4.411,1.280,3.506,0.085,0.804,3.148,4.530
BGP00274,MZ,1.000,5.473,5.710,4.147,4.145,5.517,5.724,3.142,4.867,4.707,4.751,4.604,2.096,5.591,0.236,0.567,4.571,4.657
BGP00275,MZ,1.000,3.883,3.180,3.305,3.399,3.000,4.416,3.790,3.469,3.438,4.433,3.722,3.143,3.532,0.703,1.404,2.972,3.852
BGP00276,MZ,1.000,4.288,3.893,4.590,3.533,3.807,3.983,3.783,3.355,4.593,4.297,3.619,2.222,4.090,0.395,1.422,3.025,3.961
BGP00277,MZ,1.000,5.745,5.053,5.730,5.348,5.597,5.592,3.244,4.286,4.743,4.437,4.779,2.794,5.399,0.692,0.819,3.312,4.285
BGP00278,MZ,1.000,2.678,2.348,3.298,3.045,4.386,3.602,4.009,3.786,1.605,4.183,3.519,1.998,2.513,0.330,0.889,2.301,3.202
BGP00279,MZ,1.000,5.293,4.199,4.002,4.565,4.392,4.845,2.310,3.114,2.837,4.063,3.810,3.402,4.746,1.093,1.367,3.239,3.648
BGP00280,MZ,1.000,3.588,3.958,4.148,4.355,2.970,4.014,5.403,4.585,5.461,5.300,4.010,2.665,3.773,0.370,1.633,2.870,4.652
BGP00281,MZ,1.000,5.645,6.274,5.091,2.860,5.749,5.816,2.546,5.429,3.767,4.902,4.576,2.910,5.960,0.628,1.068,3.960,4.938
BGP00282,MZ,1.000,4.260,3.980,4.066,3.325,5.215,5.031,5.005,5.081,4.157,5.036,4.068,1.933,4.120,0.280,1.096,2.952,4.392
BGP00283,MZ,1.000,3.464,3.175,4.160,4.919,3.041,3.279,4.502,4.182,3.941,4.094,3.944,1.992,3.320,0.288,1.158,3.022,3.772
BGP00284,MZ,1.000,5.819,5.367,5.388,5.535,4.642,4.608,3.973,4.991,3.074,1.414,3.594,2.000,5.593,0.453,0.918,3.443,3.241
BGP00285,MZ,1.000,4.197,4.305,4.361,4.640,4.056,3.647,3.197,1.835,3.313,3.836,2.963,1.730,4.251,0.108,1.406,2.557,3.425
BGP00286,MZ,1.000,4.090,4.174,3.415,3.784,5.267,4.019,2.645,5.138,3.914,3.462,4.474,1.568,4.132,0.084,0.992,3.825,4.244
BGP00287,MZ,1.000,2.811,4.084,2.937,2.594,3.780,4.032,2.875,5.043,3.127,3.493,4.677,3.756,3.448,1.273,1.005,3.089,4.202
BGP00288,MZ,1.000,4.681,3.339,5.722,4.530,4.904,4.609,4.866,5.234,3.558,3.504,4.193,3.954,4.010,1.342,1.654,3.120,4.096
BGP00289,MZ,1.000,4.840,5.102,3.819,4.208,6.021,5.629,2.638,4.095,6.307,5.364,4.911,2.510,4.971,0.261,0.760,4.383,5.223
BGP00290,MZ,1.000,3.194,2.614,4.689,3.477,3.985,4.355,3.457,5.303,2.754,4.714,4.764,3.066,2.904,0.579,1.190,3.117,4.602
BGP00291,MZ,1.000,5.045,5.813,4.677,5.087,4.765,5.979,4.203,3.872,4.311,6.118,4.227,2.478,5.429,0.767,1.395,3.143,4.300
BGP00292,MZ,1.000,3.809,4.046,3.743,4.027,3.730,2.895,3.599,2.698,5.739,5.414,4.211,2.243,3.928,0.236,1.336,3.021,4.106
BGP00293,MZ,1.000,4.935,4.925,4.496,5.039,3.688,4.001,4.332,3.389,4.042,4.047,3.685,1.447,4.930,0.010,1.462,2.661,4.074
BGP00294,MZ,1.000,3.890,4.434,3.747,5.139,3.662,4.570,5.658,4.735,2.611,5.000,3.654,2.631,4.162,0.544,2.311,2.907,3.724
BGP00295,MZ,1.000,5.084,4.574,5.674,5.907,4.784,4.737,5.745,3.483,2.218,5.958,3.528,3.108,4.829,0.510,2.202,1.881,3.790
BGP00296,MZ,1.000,3.239,3.431,4.599,3.103,3.923,3.242,4.740,3.565,5.024,3.409,3.685,1.664,3.335,0.192,1.768,2.676,3.649
BGP00297,MZ,1.000,3.047,2.900,3.646,3.808,5.026,4.350,4.224,5.740,2.489,4.388,4.398,1.612,2.973,0.147,0.952,2.866,4.356
BGP00298,MZ,1.000,4.235,4.295,3.756,3.578,4.782,3.309,3.560,2.817,2.086,3.963,3.382,1.486,4.265,0.060,1.108,3.254,3.353
BGP00299,MZ,1.000,2.466,2.881,3.157,3.643,3.736,2.814,5.174,3.498,1.807,5.470,3.666,2.858,2.674,0.415,1.661,2.211,3.674
BGP00300,MZ,1.000,2.993,2.968,4.845,3.573,3.887,2.410,5.418,4.139,3.286,4.717,3.359,1.773,2.981,0.026,1.865,2.449,4.058
BGP00301,MZ,1.000,2.522,2.196,2.713,2.788,3.913,3.111,3.980,3.914,3.838,4.085,4.111,2.053,2.359,0.325,1.269,3.219,4.365
BGP00302,MZ,1.000,3.412,3.609,3.762,3.402,4.628,3.984,4.618,4.169,3.602,4.743,3.813,1.558,3.511,0.196,1.214,2.418,4.485
BGP00303,MZ,1.000,3.585,4.362,4.561,4.934,3.651,3.906,5.487,3.089,5.453,3.868,3.894,2.579,3.973,0.777,2.242,2.834,3.814
BGP00304,MZ,1.000,4.006,3.369,4.229,4.534,3.922,4.473,5.177,4.391,3.623,4.431,3.747,3.079,3.687,0.637,2.097,2.881,4.161
BGP00305,MZ,1.000,5.580,4.304,6.127,5.973,3.464,5.564,4.952,2.345,2.406,4.686,2.740,3.249,4.942,1.276,2.138,2.319,2.899
BGP00306,MZ,1.000,3.961,4.064,3.368,2.647,4.985,4.734,2.914,7.000,5.899,2.906,5.182,2.218,4.013,0.102,0.591,4.241,5.516
BGP00307,MZ,1.000,3.722,4.328,4.990,3.837,4.027,3.575,4.535,4.924,3.706,2.995,3.721,2.447,4.025,0.606,1.460,2.743,3.815
BGP00308,MZ,1.000,5.215,4.118,4.622,5.049,4.828,4.756,3.338,3.068,3.240,4.788,4.065,3.890,4.666,1.097,1.579,3.198,3.979
BGP00309,MZ,1.000,2.716,2.798,3.964,4.235,3.188,3.430,3.590,2.025,4.640,2.224,3.415,1.968,2.757,0.083,1.664,2.640,3.473
BGP00310,MZ,1.000,3.453,3.633,4.021,4.177,4.255,4.295,3.794,4.227,4.526,4.543,4.510,1.661,3.543,0.180,0.843,2.886,4.336
BGP00311,MZ,1.000,4.787,4.758,6.054,5.552,4.111,3.712,5.405,4.303,3.504,3.631,3.249,1.444,4.773,0.029,1.470,3.160,3.102
BGP00312,MZ,1.000,3.715,3.955,3.051,4.384,3.372,3.262,3.596,3.349,3.393,5.074,3.938,1.688,3.835,0.240,1.362,2.871,3.887
BGP00313,MZ,1.000,3.872,4.144,2.394,3.481,4.314,4.603,4.407,5.892,4.883,3.671,4.613,1.387,4.008,0.272,0.810,4.051,4.627
BGP00314,MZ,1.000,5.269,5.306,4.384,4.255,4.574,4.859,4.139,3.942,6.271,5.673,4.672,1.407,5.287,0.037,1.198,3.675,5.080
BGP00315,MZ,1.000,5.346,5.008,4.743,4.258,5.781,6.001,3.298,6.990,3.443,3.866,4.487,2.657,5.177,0.338,0.914,4.209,4.462
BGP00316,MZ,1.000,3.486,3.290,4.325,4.192,3.990,3.388,6.369,5.256,3.485,3.456,3.534,2.284,3.388,0.196,2.678,2.461,3.779
BGP00317,MZ,1.000,2.514,3.673,4.113,3.045,3.162,2.879,3.273,2.965,2.921,2.980,3.514,3.550,3.093,1.159,1.632,2.483,2.839
BGP00318,MZ,1.000,4.205,4.927,4.411,4.884,4.429,4.328,5.485,4.358,4.263,5.224,4.151,3.290,4.566,0.723,1.924,3.169,4.276
BGP00319,MZ,1.000,4.459,3.764,3.889,4.345,3.383,3.075,4.276,3.504,4.202,3.224,3.652,2.932,4.112,0.694,1.241,2.884,3.594
BGP00320,MZ,1.000,3.800,3.885,4.020,3.193,4.011,3.943,4.332,5.225,3.631,4.025,4.007,1.639,3.843,0.085,0.837,3.353,4.117
BGP00321,MZ,1.000,4.015,3.136,2.672,3.569,4.571,4.315,5.088,6.365,4.933,4.922,4.423,2.991,3.575,0.879,1.919,3.450,4.876
BGP00322,MZ,1.000,4.042,4.428,2.229,3.292,4.681,4.592,3.199,5.043,6.154,5.028,5.144,1.923,4.235,0.385,1.151,3.846,5.494
BGP00323,MZ,1.000,3.748,4.052,3.407,2.627,4.165,5.228,2.073,5.552,2.907,3.596,4.422,2.152,3.900,0.304,1.078,3.020,4.419
BGP00324,MZ,1.000,3.917,3.948,3.858,3.523,4.171,3.627,2.946,3.914,4.437,3.195,4.403,0.827,3.933,0.031,1.272,3.416,4.411
BGP00325,MZ,1.000,4.076,3.926,3.590,3.463,6.099,4.898,2.930,5.315,1.946,5.587,4.286,1.365,4.001,0.150,0.744,2.847,4.460
BGP00326,MZ,1.000,5.765,5.218,4.890,5.411,5.052,5.005,4.303,6.117,4.820,2.258,4.305,3.187,5.492,0.547,1.586,3.881,4.656
BGP00327,MZ,1.000,3.489,3.904,4.665,3.908,4.350,4.111,4.535,3.460,1.271,5.055,2.890,2.163,3.697,0.415,1.662,2.463,3.346
BGP00328,MZ,1.000,3.524,3.730,3.052,2.803,4.166,4.353,3.846,6.191,6.013,3.668,5.153,1.841,3.627,0.206,1.052,3.637,5.683
BGP00329,MZ,1.000,2.937,2.808,4.094,3.937,3.872,3.576,5.559,3.868,3.232,3.816,3.000,1.471,2.872,0.130,1.924,2.867,3.704
BGP00330,MZ,1.000,5.758,4.879,3.933,5.389,4.004,5.597,1.866,3.710,5.496,4.302,4.875,2.916,5.318,0.879,1.536,3.710,4.840
BGP00331,MZ,1.000,4.084,5.492,4.164,3.709,4.197,4.291,3.843,4.466,4.715,2.817,4.212,3.645,4.788,1.408,1.231,3.444,3.704
BGP00332,MZ,1.000,2.219,3.285,1.347,1.430,3.056,4.315,1.010,5.024,4.058,2.007,4.527,3.642,2.752,1.065,0.969,3.904,4.647
BGP00333,MZ,1.000,3.931,3.889,3.500,3.674,4.417,3.288,3.410,3.841,2.827,3.996,3.826,1.215,3.910,0.042,1.056,3.024,3.682
BGP00334,MZ,1.000,3.588,4.898,3.466,4.212,4.300,4.053,2.245,4.588,4.683,4.121,4.697,4.611,4.243,1.310,1.094,3.879,4.850
