person_id,wave,wave_numeric,intervention_group,age,neuroticism,extraversion,conscientiousness,openness,agreeableness,role_investment,state_practice_frequency,perceived_support
PCP0065,baseline,1,comparison,62.0,4.066,3.723,4.709,5.794,3.135,3.160,4.232,4.790
PCP0065,post_intervention,2,comparison,62.5,3.733,4.269,4.686,5.818,3.121,3.789,5.004,4.920
PCP0065,followup_6_months,3,comparison,63.0,3.623,4.380,4.776,6.099,3.257,3.330,3.938,4.584
PCP0065,followup_12_months,4,comparison,63.5,3.373,4.121,4.988,6.008,2.861,2.601,4.831,4.767
PCP0066,baseline,1,comparison,45.0,5.616,2.840,2.942,2.865,4.538,4.277,4.911,3.999
PCP0066,post_intervention,2,comparison,45.5,5.322,2.735,2.877,2.645,4.279,5.026,4.141,4.093
PCP0066,followup_6_months,3,comparison,46.0,5.595,3.194,3.199,2.679,4.221,4.486,3.979,4.186
PCP0066,followup_12_months,4,comparison,46.5,5.196,3.162,2.960,2.756,4.039,5.539,4.001,4.304
PCP0067,baseline,1,comparison,32.0,4.403,3.297,3.525,3.786,4.262,4.308,4.257,4.056
PCP0067,post_intervention,2,comparison,32.5,5.231,3.852,3.823,4.134,4.606,3.785,4.158,4.249
PCP0067,followup_6_months,3,comparison,33.0,4.637,3.832,3.600,4.326,4.932,4.698,4.187,4.227
PCP0067,followup_12_months,4,comparison,33.5,4.197,3.835,3.796,4.132,4.952,4.162,3.608,5.041
PCP0068,baseline,1,comparison,22.0,5.003,3.764,4.291,4.220,4.017,2.922,2.892,3.827
PCP0068,post_intervention,2,comparison,22.5,4.255,3.820,4.371,4.251,4.819,2.663,3.063,4.685
PCP0068,followup_6_months,3,comparison,23.0,4.683,3.961,4.447,3.879,4.781,3.275,2.869,3.932
PCP0068,followup_12_months,4,comparison,23.5,4.842,3.969,4.465,4.612,4.551,2.732,3.052,3.685
PCP0069,baseline,1,comparison,35.0,4.376,4.549,4.490,5.246,4.511,2.769,4.248,4.101
PCP0069,post_intervention,2,comparison,35.5,4.490,4.259,4.505,5.422,4.136,2.983,4.878,3.906
PCP0069,followup_6_months,3,comparison,36.0,4.239,4.063,4.836,5.955,4.852,3.121,4.917,4.910
PCP0069,followup_12_months,4,comparison,36.5,4.270,4.753,4.772,5.943,4.450,3.136,5.514,3.800
PCP0070,baseline,1,comparison,28.0,3.795,5.081,2.673,3.423,5.081,2.589,4.571,4.914
PCP0070,post_intervention,2,comparison,28.5,3.846,4.911,2.854,3.570,5.138,2.655,4.519,4.425
PCP0070,followup_6_months,3,comparison,29.0,3.464,4.759,2.984,3.821,5.231,2.839,4.557,5.161
PCP0070,followup_12_months,4,comparison,29.5,3.405,4.593,3.412,4.051,5.247,1.952,4.430,4.988
PCP0071,baseline,1,comparison,46.0,2.555,4.656,3.153,4.457,3.702,3.816,2.080,3.721
PCP0071,post_intervention,2,comparison,46.5,2.341,4.044,4.137,4.210,3.671,4.252,2.631,3.080
PCP0071,followup_6_months,3,comparison,47.0,2.099,4.332,3.848,4.579,3.574,3.621,2.488,3.420
PCP0071,followup_12_months,4,comparison,47.5,2.343,4.510,4.011,4.575,3.393,3.920,2.951,3.826
PCP0072,baseline,1,comparison,22.0,3.662,4.547,3.517,4.294,5.369,3.331,4.429,5.072
PCP0072,post_intervention,2,comparison,22.5,3.334,5.058,4.207,3.523,5.406,3.762,4.270,4.924
PCP0072,followup_6_months,3,comparison,23.0,2.928,4.905,4.356,4.015,5.281,4.195,3.837,5.264
PCP0072,followup_12_months,4,comparison,23.5,2.861,5.101,4.281,3.588,5.433,3.505,5.386,5.231
PCP0073,baseline,1,comparison,37.0,3.925,4.937,4.443,3.710,4.710,4.632,4.327,5.561
PCP0073,post_intervention,2,comparison,37.5,4.071,4.736,4.902,3.963,4.885,4.872,4.593,5.720
PCP0073,followup_6_months,3,comparison,38.0,3.781,4.576,4.602,4.317,4.878,4.427,4.298,5.512
PCP0073,followup_12_months,4,comparison,38.5,3.715,4.851,4.761,4.191,4.829,4.963,4.141,5.294
PCP0074,baseline,1,comparison,53.0,4.102,3.575,4.434,3.909,4.733,4.054,3.831,3.470
PCP0074,post_intervention,2,comparison,53.5,4.003,3.697,3.828,4.170,5.015,4.032,4.071,3.880
PCP0074,followup_6_months,3,comparison,54.0,3.524,4.045,4.468,4.395,5.044,4.624,3.599,3.981
PCP0074,followup_12_months,4,comparison,54.5,3.950,4.164,4.753,4.280,4.443,5.152,4.243,4.027
PCP0075,baseline,1,comparison,60.0,3.766,4.086,4.275,3.787,4.287,4.752,2.746,5.918
PCP0075,post_intervention,2,comparison,60.5,3.557,3.888,3.797,3.599,4.528,4.967,3.067,5.622
PCP0075,followup_6_months,3,comparison,61.0,3.684,3.817,3.701,3.516,4.560,4.615,2.880,5.230
PCP0075,followup_12_months,4,comparison,61.5,3.332,4.184,4.304,3.771,3.959,5.416,3.021,5.497
PCP0076,baseline,1,comparison,51.0,4.518,3.688,5.192,4.286,5.234,3.772,3.490,3.935
PCP0076,post_intervention,2,comparison,51.5,4.662,3.315,5.305,4.419,5.100,3.989,4.186,3.438
PCP0076,followup_6_months,3,comparison,52.0,4.374,3.383,5.480,4.532,4.956,4.150,3.986,4.265
PCP0076,followup_12_months,4,comparison,52.5,4.270,3.686,5.484,4.496,5.385,3.754,3.289,4.330
PCP0077,baseline,1,comparison,53.0,4.129,3.519,4.109,3.602,5.125,3.468,4.503,3.853
PCP0077,post_intervention,2,comparison,53.5,3.998,3.407,4.208,3.554,4.996,2.794,4.330,3.903
PCP0077,followup_6_months,3,comparison,54.0,3.655,3.625,4.418,3.759,5.097,3.258,4.611,4.217
PCP0077,followup_12_months,4,comparison,54.5,3.259,3.294,4.510,3.243,5.016,2.552,5.134,4.103
PCP0078,baseline,1,comparison,48.0,4.841,4.891,4.154,3.719,5.741,5.202,4.401,4.209
PCP0078,post_intervention,2,comparison,48.5,5.388,4.852,4.148,3.904,5.739,5.407,4.454,4.283
PCP0078,followup_6_months,3,comparison,49.0,4.931,4.968,3.647,4.114,5.625,4.471,4.523,4.092
PCP0078,followup_12_months,4,comparison,49.5,5.088,5.122,4.030,3.919,5.965,5.281,5.105,3.733
PCP0079,baseline,1,comparison,51.0,2.411,5.338,3.789,4.706,4.483,3.057,4.047,4.260
PCP0079,post_intervention,2,comparison,51.5,2.612,5.690,3.341,4.564,4.390,2.733,3.661,4.262
PCP0079,followup_6_months,3,comparison,52.0,2.297,5.536,4.174,4.451,4.429,4.016,4.246,4.173
PCP0079,followup_12_months,4,comparison,52.5,2.559,5.676,3.591,4.902,4.592,3.054,4.372,3.967
PCP0080,baseline,1,comparison,49.0,5.411,3.677,5.337,4.459,3.691,2.647,4.037,3.803
PCP0080,post_intervention,2,comparison,49.5,5.554,3.322,4.853,4.455,3.142,2.078,3.885,3.083
PCP0080,followup_6_months,3,comparison,50.0,5.448,3.795,4.976,4.330,3.567,2.579,3.951,3.429
PCP0080,followup_12_months,4,comparison,50.5,5.640,3.474,4.870,4.857,3.507,3.027,4.041,3.725
PCP0081,baseline,1,comparison,40.0,4.822,5.063,4.923,4.033,4.070,3.957,3.703,3.199
PCP0081,post_intervention,2,comparison,40.5,5.015,4.216,5.277,4.009,3.860,4.636,3.199,3.283
PCP0081,followup_6_months,3,comparison,41.0,4.335,4.288,5.057,3.996,4.088,4.504,4.039,3.177
PCP0081,followup_12_months,4,comparison,41.5,4.674,4.770,5.480,4.589,4.067,4.994,4.084,3.540
PCP0082,baseline,1,comparison,29.0,4.529,2.497,4.847,3.763,5.060,4.264,3.462,4.616
PCP0082,post_intervention,2,comparison,29.5,4.500,2.170,4.801,3.831,4.808,4.566,3.472,4.950
PCP0082,followup_6_months,3,comparison,30.0,3.939,2.674,5.247,3.899,5.038,4.729,3.750,4.827
PCP0082,followup_12_months,4,comparison,30.5,3.925,3.022,4.933,4.001,5.548,4.890,3.288,4.794
PCP0083,baseline,1,comparison,34.0,3.285,4.601,2.986,5.606,4.594,3.221,4.661,4.556
PCP0083,post_intervention,2,comparison,34.5,3.246,4.243,3.383,6.028,4.444,3.102,5.051,5.937
PCP0083,followup_6_months,3,comparison,35.0,2.815,4.684,3.449,5.699,4.516,3.173,5.085,5.587
PCP0083,followup_12_months,4,comparison,35.5,3.100,5.003,3.663,5.555,4.661,3.132,5.556,5.720
PCP0084,baseline,1,comparison,59.0,3.425,3.694,5.131,5.126,4.640,3.349,4.320,5.063
PCP0084,post_intervention,2,comparison,59.5,3.134,3.999,5.003,4.627,4.307,3.152,4.182,4.750
PCP0084,followup_6_months,3,comparison,60.0,3.207,4.185,5.676,5.006,4.574,3.614,4.658,5.068
PCP0084,followup_12_months,4,comparison,60.5,3.007,4.063,5.721,4.843,4.199,3.165,4.666,4.567
PCP0085,baseline,1,comparison,21.0,3.890,3.831,4.085,4.928,4.248,3.293,2.836,3.102
PCP0085,post_intervention,2,comparison,21.5,3.751,4.033,3.788,4.978,4.427,3.135,3.059,2.509
PCP0085,followup_6_months,3,comparison,22.0,3.801,4.014,4.199,5.090,4.755,3.129,2.929,2.954
PCP0085,followup_12_months,4,comparison,22.5,3.543,3.877,4.410,4.873,4.469,3.537,3.132,3.674
PCP0086,baseline,1,comparison,35.0,3.258,3.980,3.946,3.989,2.057,5.102,5.208,4.338
PCP0086,post_intervention,2,comparison,35.5,2.859,4.131,4.031,4.288,2.588,4.799,5.113,4.367
PCP0086,followup_6_months,3,comparison,36.0,2.502,4.210,4.464,4.243,2.917,4.279,4.482,4.740
PCP0086,followup_12_months,4,comparison,36.5,2.480,4.181,4.415,4.255,2.693,4.540,4.994,4.421
PCP0087,baseline,1,comparison,50.0,5.488,4.829,2.844,4.488,3.645,4.294,5.015,3.576
PCP0087,post_intervention,2,comparison,50.5,4.855,4.946,2.805,4.357,4.257,4.627,4.766,4.242
PCP0087,followup_6_months,3,comparison,51.0,4.978,4.609,3.384,4.116,4.093,4.431,4.149,3.997
PCP0087,followup_12_months,4,comparison,51.5,5.110,4.777,3.336,4.494,4.241,3.818,4.072,3.801
PCP0088,baseline,1,comparison,20.0,3.716,4.355,4.387,3.618,4.469,3.099,4.037,3.455
PCP0088,post_intervention,2,comparison,20.5,3.594,4.030,4.043,3.770,4.560,3.114,3.962,3.572
PCP0088,followup_6_months,3,comparison,21.0,3.472,4.466,4.402,3.602,4.783,3.004,4.237,3.834
PCP0088,followup_12_months,4,comparison,21.5,3.416,4.508,4.037,3.477,4.860,3.804,3.266,4.059
PCP0089,baseline,1,comparison,22.0,3.863,4.371,4.328,4.205,3.889,2.460,5.189,3.850
PCP0089,post_intervention,2,comparison,22.5,3.714,4.433,3.902,4.497,4.164,3.280,3.158,3.917
PCP0089,followup_6_months,3,comparison,23.0,3.693,4.482,4.671,4.462,4.089,3.418,3.889,3.640
PCP0089,followup_12_months,4,comparison,23.5,3.599,4.467,4.502,4.722,4.494,3.095,4.130,3.438
PCP0090,baseline,1,comparison,57.0,3.533,4.222,3.030,4.563,5.201,5.578,3.538,5.033
PCP0090,post_intervention,2,comparison,57.5,3.393,4.331,3.160,5.154,5.061,5.369,3.685,4.998
PCP0090,followup_6_months,3,comparison,58.0,3.273,4.130,3.724,5.062,5.311,5.197,4.197,4.334
PCP0090,followup_12_months,4,comparison,58.5,3.134,4.752,3.473,4.980,4.916,5.202,3.817,5.213
PCP0091,baseline,1,comparison,54.0,3.701,2.633,4.218,5.464,3.671,3.470,2.991,3.989
PCP0091,post_intervention,2,comparison,54.5,3.811,2.885,3.583,5.949,3.697,2.826,2.602,4.502
PCP0091,followup_6_months,3,comparison,55.0,3.528,3.188,3.963,6.247,4.202,3.557,3.270,4.124
PCP0091,followup_12_months,4,comparison,55.5,3.409,2.755,4.243,5.616,3.522,3.549,3.671,4.220
PCP0092,baseline,1,comparison,23.0,2.555,3.154,5.066,5.555,3.350,4.296,4.156,3.206
PCP0092,post_intervention,2,comparison,23.5,3.061,3.137,4.876,5.633,3.096,3.898,4.689,3.456
PCP0092,followup_6_months,3,comparison,24.0,2.637,3.332,5.114,5.593,3.743,4.301,4.457,3.546
PCP0092,followup_12_months,4,comparison,24.5,2.719,3.481,5.240,5.798,3.694,5.025,3.886,3.836
PCP0093,baseline,1,comparison,46.0,3.321,4.545,3.809,3.505,2.934,2.985,2.444,4.153
PCP0093,post_intervention,2,comparison,46.5,2.883,4.869,4.306,4.262,3.028,3.491,1.818,5.135
PCP0093,followup_6_months,3,comparison,47.0,3.265,5.174,4.246,4.039,2.941,3.770,2.820,4.724
PCP0093,followup_12_months,4,comparison,47.5,2.896,5.051,4.473,3.803,3.283,2.947,3.019,4.483
PCP0094,baseline,1,comparison,42.0,3.824,3.421,3.705,2.932,5.874,3.170,3.601,3.693
PCP0094,post_intervention,2,comparison,42.5,3.706,3.738,3.851,3.727,5.402,3.117,3.274,3.812
PCP0094,followup_6_months,3,comparison,43.0,3.773,3.425,3.904,3.702,5.562,2.613,2.963,4.162
PCP0094,followup_12_months,4,comparison,43.5,3.158,3.654,4.227,3.688,5.586,2.925,3.335,3.390
PCP0095,baseline,1,comparison,52.0,2.861,3.147,4.321,4.499,4.614,2.948,4.783,4.239
PCP0095,post_intervention,2,comparison,52.5,2.723,2.742,4.314,4.693,4.387,3.995,3.973,3.959
PCP0095,followup_6_months,3,comparison,53.0,2.510,2.619,4.520,4.817,4.473,3.694,4.937,3.609
PCP0095,followup_12_months,4,comparison,53.5,2.812,3.155,4.267,4.808,4.525,4.045,4.571,3.887
PCP0096,baseline,1,comparison,44.0,3.076,4.834,4.654,4.382,5.474,4.934,3.275,2.661
PCP0096,post_intervention,2,comparison,44.5,3.065,5.027,4.396,3.963,5.279,4.651,2.776,2.676
PCP0096,followup_6_months,3,comparison,45.0,2.929,5.254,4.575,4.407,5.729,4.653,3.514,2.600
PCP0096,followup_12_months,4,comparison,45.5,2.677,5.666,5.004,4.171,5.840,4.643,3.572,3.172
