participant_id,role_family,organizational_context,extraversion,agreeableness,conscientiousness,neuroticism,openness,emotional_stability,dark_trait_pressure,role_fit,accountability,job_performance,leadership_emergence,leadership_effectiveness,counterproductive_work_behavior,teamwork_quality,burnout_risk
WL0176,technical_specialist,high_growth_competitive,4.676,4.795,4.620,4.163,3.182,3.334,1.000,3.901,3.842,4.852,4.598,4.808,4.371,4.392,5.840
WL0177,technical_specialist,procedural_bureaucratic,3.935,3.696,3.870,3.875,3.784,3.726,2.040,3.572,4.765,3.264,4.728,4.598,5.114,3.037,4.964
WL0178,technical_specialist,procedural_bureaucratic,3.723,3.550,3.794,3.988,4.626,3.282,1.000,3.423,5.261,3.251,4.563,4.640,3.612,3.465,4.482
WL0179,technical_specialist,procedural_bureaucratic,4.385,4.627,3.013,3.030,4.773,4.280,1.000,3.365,4.765,4.560,6.055,4.487,2.987,3.941,4.276
WL0180,technical_specialist,procedural_bureaucratic,4.171,4.445,2.764,3.148,3.221,4.233,1.000,3.086,4.857,3.803,3.990,4.461,4.362,3.466,4.512
WL0181,technical_specialist,procedural_bureaucratic,4.697,4.485,4.717,3.289,3.691,4.053,1.045,4.693,5.069,4.068,4.303,5.231,3.740,3.956,4.169
WL0182,technical_specialist,procedural_bureaucratic,3.458,3.445,3.470,4.105,2.468,3.652,1.785,3.422,4.235,3.265,5.024,5.161,4.666,3.242,5.400
WL0183,technical_specialist,procedural_bureaucratic,4.574,4.621,4.212,4.111,5.699,3.318,1.476,4.478,4.938,3.364,5.374,4.518,4.240,3.976,5.952
WL0184,technical_specialist,procedural_bureaucratic,5.655,4.056,3.200,2.846,3.471,4.304,1.439,3.899,4.825,3.945,4.417,4.589,4.358,3.761,5.285
WL0185,technical_specialist,low_accountability_political,4.032,4.975,3.842,4.720,4.359,2.931,1.055,3.467,3.266,3.608,4.732,4.989,5.095,3.335,4.913
WL0186,technical_specialist,low_accountability_political,3.781,4.352,3.303,3.887,3.734,3.294,1.310,2.924,2.722,3.245,4.864,2.961,4.509,4.190,5.102
WL0187,technical_specialist,low_accountability_political,3.742,4.223,3.463,4.179,3.416,3.433,1.623,3.262,2.846,3.238,4.213,3.740,4.602,3.829,4.151
WL0188,technical_specialist,low_accountability_political,2.061,4.816,3.239,4.075,5.123,3.027,1.000,4.035,2.379,3.412,4.233,3.938,5.071,3.934,5.449
WL0189,technical_specialist,low_accountability_political,3.827,5.890,4.000,4.067,5.195,3.109,1.000,3.379,2.655,3.817,4.956,5.528,3.796,4.524,5.192
WL0190,technical_specialist,low_accountability_political,3.724,3.484,5.057,2.895,4.157,4.365,1.000,4.060,2.481,4.247,5.126,5.522,3.458,4.437,4.736
WL0191,technical_specialist,low_accountability_political,2.952,2.854,4.290,3.643,3.626,3.355,1.572,2.865,2.702,3.642,3.597,3.658,5.027,3.399,5.255
WL0192,technical_specialist,low_accountability_political,4.707,4.067,4.427,5.025,4.739,2.437,1.721,3.586,2.328,3.190,4.976,3.765,5.277,3.154,5.381
WL0193,technical_specialist,collaborative_learning,4.664,4.363,3.666,5.357,4.519,1.594,2.469,3.233,4.393,3.604,5.547,3.405,4.577,2.894,5.866
WL0194,technical_specialist,collaborative_learning,4.293,4.206,4.596,3.943,4.097,3.297,1.000,4.113,4.482,4.347,4.613,4.620,4.613,4.186,5.180
WL0195,technical_specialist,collaborative_learning,3.421,4.837,4.456,4.071,4.614,3.156,1.000,3.577,4.412,3.737,4.395,4.621,4.208,4.116,4.901
WL0196,technical_specialist,collaborative_learning,3.972,4.368,4.575,4.351,5.180,2.877,1.709,3.559,4.598,3.594,4.532,3.973,4.807,3.574,4.189
WL0197,technical_specialist,collaborative_learning,5.099,3.958,5.212,4.414,4.158,3.169,2.595,3.783,5.233,3.576,5.634,5.638,4.748,3.650,4.439
WL0198,technical_specialist,collaborative_learning,4.733,4.274,4.777,3.349,3.699,4.174,1.156,3.786,4.618,4.069,5.198,5.293,5.016,3.732,5.312
WL0199,technical_specialist,collaborative_learning,5.881,4.507,4.311,2.734,4.185,4.665,1.000,3.589,4.767,4.008,4.563,5.023,3.906,4.552,4.375
WL0200,technical_specialist,collaborative_learning,4.726,4.226,4.483,4.587,4.662,2.861,1.000,4.206,4.479,3.795,5.293,4.854,4.015,4.066,5.419
WL0201,client_facing,stewardship_culture,3.909,4.207,3.465,3.505,3.648,3.769,1.321,3.229,5.158,3.451,4.653,4.649,4.258,3.361,4.120
WL0202,client_facing,stewardship_culture,3.164,4.572,4.882,4.060,3.756,3.360,1.000,3.949,5.837,4.470,4.599,5.130,4.260,4.728,4.689
WL0203,client_facing,stewardship_culture,3.460,4.881,4.239,2.802,3.014,5.051,2.188,4.074,5.174,3.638,3.747,5.527,4.169,3.951,4.002
WL0204,client_facing,stewardship_culture,4.558,5.010,4.982,2.875,3.671,4.603,1.487,3.515,4.796,4.752,4.513,6.209,3.688,4.161,4.148
WL0205,client_facing,stewardship_culture,4.540,4.085,3.640,2.554,5.143,4.956,1.000,4.236,5.370,4.952,4.902,5.015,3.751,4.113,4.740
WL0206,client_facing,stewardship_culture,3.682,4.790,2.598,4.445,3.398,2.683,1.553,2.515,4.777,2.774,4.391,4.703,4.113,2.982,5.721
WL0207,client_facing,stewardship_culture,4.605,3.679,5.014,3.573,5.277,3.963,2.186,3.786,5.257,4.043,5.917,5.365,4.271,4.127,4.235
WL0208,client_facing,stewardship_culture,3.875,4.003,4.332,3.813,4.632,3.493,1.037,3.488,5.484,3.806,5.354,4.567,4.196,3.589,4.595
WL0209,client_facing,high_growth_competitive,4.130,4.647,4.988,4.636,3.412,2.797,1.000,4.403,3.751,3.733,4.256,4.801,3.770,4.134,5.187
WL0210,client_facing,high_growth_competitive,4.058,5.054,4.262,4.792,5.186,2.899,1.000,2.615,2.777,3.436,5.017,4.010,4.416,2.850,5.725
WL0211,client_facing,high_growth_competitive,4.867,3.752,3.948,2.955,3.982,4.559,1.000,3.586,3.717,3.779,4.234,4.192,4.226,3.025,4.148
WL0212,client_facing,high_growth_competitive,3.739,3.675,4.696,4.103,3.832,3.127,1.752,4.142,3.330,3.722,4.243,4.775,4.492,3.195,4.817
WL0213,client_facing,high_growth_competitive,2.866,4.051,3.620,3.173,4.829,4.342,1.000,3.135,3.564,3.739,4.248,4.265,4.432,4.540,4.648
WL0214,client_facing,high_growth_competitive,4.231,3.341,4.972,3.768,3.714,3.823,1.000,4.088,3.136,4.889,5.103,5.031,4.246,3.635,4.472
WL0215,client_facing,high_growth_competitive,3.615,4.136,3.685,3.300,4.399,4.471,1.212,3.797,3.964,3.667,4.766,4.309,4.415,3.743,4.127
WL0216,client_facing,high_growth_competitive,2.305,4.657,4.783,2.621,3.800,4.947,1.861,3.741,3.815,3.695,3.825,5.609,4.058,4.488,3.715
WL0217,client_facing,procedural_bureaucratic,3.365,3.491,4.482,2.859,4.821,4.289,1.370,4.069,4.615,3.832,4.582,4.149,4.512,3.523,3.323
WL0218,client_facing,procedural_bureaucratic,4.291,3.645,4.666,4.308,4.746,3.236,1.008,3.259,4.778,3.712,4.695,4.334,4.738,3.826,6.370
WL0219,client_facing,procedural_bureaucratic,3.300,2.829,3.449,4.153,4.679,3.060,1.000,2.916,4.987,3.556,5.374,4.169,5.397,3.109,4.839
WL0220,client_facing,procedural_bureaucratic,4.391,4.466,4.639,2.543,5.583,4.798,1.000,3.675,4.963,4.840,5.968,5.836,3.296,4.081,5.096
WL0221,client_facing,procedural_bureaucratic,4.497,4.589,3.616,4.275,3.379,2.768,1.670,3.588,4.416,2.586,3.880,3.921,4.766,3.655,5.515
WL0222,client_facing,procedural_bureaucratic,4.952,4.567,4.257,3.085,3.567,4.372,1.000,3.626,4.482,3.681,6.000,4.997,4.361,4.296,3.963
WL0223,client_facing,procedural_bureaucratic,3.681,4.583,4.905,3.607,3.638,3.701,1.000,4.103,4.967,4.909,5.524,4.960,3.629,4.075,3.995
WL0224,client_facing,procedural_bureaucratic,4.040,3.961,4.287,2.944,4.561,4.912,1.229,3.221,5.495,3.726,4.976,5.078,4.287,3.910,4.192
WL0225,client_facing,low_accountability_political,5.068,3.357,4.094,3.623,3.822,3.911,1.000,3.660,2.676,3.465,4.482,3.899,4.997,3.207,4.669
WL0226,client_facing,low_accountability_political,3.786,5.113,3.881,2.150,4.642,5.286,1.472,4.032,2.981,4.389,4.489,5.130,4.249,3.856,4.667
WL0227,client_facing,low_accountability_political,4.121,3.062,4.185,3.911,4.066,3.740,1.858,3.683,2.995,3.558,4.864,4.527,5.648,3.233,4.386
WL0228,client_facing,low_accountability_political,4.525,5.050,4.650,3.227,4.754,3.618,1.077,4.175,2.770,4.507,4.995,4.524,3.979,3.575,5.238
WL0229,client_facing,low_accountability_political,4.005,2.496,4.077,5.007,4.656,2.299,1.911,3.176,2.959,3.152,4.825,3.585,5.809,2.429,5.029
WL0230,client_facing,low_accountability_political,3.363,2.970,3.338,3.359,2.919,3.867,1.116,3.042,2.925,4.582,4.034,3.698,5.089,3.329,5.225
WL0231,client_facing,low_accountability_political,3.683,3.259,3.197,4.668,3.563,2.938,1.000,2.974,3.115,3.180,5.938,3.139,5.694,3.156,4.834
WL0232,client_facing,low_accountability_political,3.347,3.947,4.519,3.911,5.044,3.482,1.245,3.023,2.892,3.135,4.933,4.184,4.891,2.896,5.362
WL0233,client_facing,collaborative_learning,3.173,5.014,5.215,4.216,4.704,3.153,1.553,3.043,4.005,3.653,4.356,5.415,3.969,3.582,5.167
WL0234,client_facing,collaborative_learning,2.381,4.520,3.717,3.568,5.047,3.843,1.405,3.296,4.421,3.325,4.937,4.082,3.748,3.919,4.958
WL0235,client_facing,collaborative_learning,2.846,4.421,4.702,4.278,4.553,3.489,1.082,3.718,4.573,4.191,3.652,4.734,3.994,3.909,4.833
WL0236,client_facing,collaborative_learning,2.688,4.200,4.271,4.397,3.618,2.727,2.134,3.770,4.410,4.225,4.255,4.987,4.671,3.223,5.624
WL0237,client_facing,collaborative_learning,4.750,4.036,3.840,4.419,3.802,2.867,1.407,3.466,4.447,3.009,4.076,3.803,4.965,2.682,5.056
WL0238,client_facing,collaborative_learning,4.696,4.436,3.177,4.038,3.494,3.374,1.661,3.013,4.662,3.741,4.566,4.627,4.943,3.169,5.623
WL0239,client_facing,collaborative_learning,4.320,3.190,4.117,4.562,4.419,2.818,2.785,3.253,4.065,3.882,5.005,3.575,5.304,3.088,5.022
WL0240,client_facing,collaborative_learning,3.686,5.142,4.663,3.910,3.274,3.843,1.000,3.798,4.807,4.755,5.683,5.041,3.438,3.120,4.463
