respondent_id,extraversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score,sociability_score,assertiveness_score,compassion_score,politeness_score,orderliness_score,industriousness_score,anxiety_score,volatility_score,aesthetics_score,intellect_score,outcome_score,broad_life_functioning,relationship_functioning,creative_engagement,emotional_distress,facet_profile_dispersion,hierarchy_consistency_index,bandwidth_fidelity_gap,domain_facet_alignment
FFM00134,6.215,3.687,2.952,5.418,3.653,5.237,4.342,4.731,4.491,3.120,2.118,4.990,5.118,3.611,3.121,1.575,3.857,4.189,5.789,6.025,0.551,5.058,3.712,5.529
FFM00135,4.717,5.217,5.059,3.306,2.221,3.842,4.544,4.525,4.055,5.568,5.284,4.566,2.483,3.274,3.509,4.027,4.864,4.994,4.865,4.511,0.755,5.309,3.594,5.474
FFM00136,5.739,3.228,4.350,2.763,4.744,4.991,5.249,3.347,3.095,3.575,3.503,2.813,3.182,5.054,4.167,2.922,5.167,4.061,5.885,2.336,0.368,5.811,3.237,5.884
FFM00137,4.508,4.517,5.819,4.736,3.546,3.966,4.121,5.134,4.214,5.198,4.597,4.470,4.609,2.988,3.893,4.852,3.893,5.151,3.375,4.486,0.544,6.138,2.473,5.931
FFM00138,1.824,4.602,6.894,4.561,3.480,1.349,2.210,4.495,4.119,6.284,5.075,3.919,3.612,3.199,2.329,4.331,2.981,3.514,2.624,3.971,0.725,6.077,3.980,5.784
FFM00139,3.388,3.901,3.685,4.100,3.010,4.042,4.375,3.096,4.270,3.417,4.582,4.476,4.602,1.880,3.070,2.941,2.481,3.987,3.757,4.281,0.798,6.224,2.588,6.094
FFM00140,4.539,4.283,2.761,3.659,3.745,3.966,4.309,5.277,3.764,3.151,4.371,2.652,4.193,4.896,3.856,3.756,3.783,4.188,6.010,3.737,1.131,6.587,3.508,5.967
FFM00141,4.359,3.904,5.282,5.248,3.789,3.451,4.192,3.497,3.103,5.607,5.389,5.244,3.874,2.875,4.043,4.973,2.955,3.751,4.834,6.114,0.778,5.928,2.305,6.011
FFM00142,5.520,5.152,2.832,5.012,4.753,4.348,4.432,5.011,5.259,2.806,3.354,4.609,3.570,4.433,4.391,2.454,3.077,4.979,4.964,4.719,0.392,5.330,1.577,5.736
FFM00143,2.071,4.923,3.891,4.591,4.796,2.363,2.834,4.914,5.445,4.468,2.729,4.083,3.341,3.838,5.124,3.728,3.262,4.300,5.517,4.417,0.954,5.966,1.634,6.142
FFM00144,2.811,2.661,4.064,3.809,4.488,2.575,3.084,4.525,1.710,3.020,3.800,3.703,3.323,4.094,4.027,2.852,2.560,3.964,5.941,3.058,0.910,6.152,3.284,6.291
FFM00145,3.577,4.361,4.815,4.463,5.530,4.272,4.242,4.623,3.387,4.436,5.672,4.662,3.735,4.740,4.886,4.475,4.499,4.057,6.270,4.655,0.715,6.062,1.667,6.139
FFM00146,2.422,4.354,3.384,5.335,3.946,3.716,3.257,3.973,3.857,3.706,3.337,5.360,4.645,3.025,4.712,3.254,2.311,3.434,4.725,4.804,0.669,5.675,1.726,6.256
FFM00147,3.011,4.458,2.656,3.492,4.238,3.763,2.252,5.334,3.438,4.005,3.150,3.421,4.589,4.381,4.233,2.924,3.441,3.683,4.787,4.598,1.116,6.060,1.677,6.129
FFM00148,3.374,5.330,4.988,2.687,4.813,3.211,3.541,5.232,5.055,5.617,3.382,3.242,4.129,3.376,5.349,4.231,4.043,4.896,5.475,3.149,1.120,6.088,2.212,6.104
FFM00149,4.865,4.506,4.435,2.901,4.315,4.992,4.448,4.870,4.677,5.306,4.230,2.404,3.800,4.941,4.188,4.167,4.825,4.925,5.405,3.274,0.792,6.327,1.980,6.373
FFM00150,3.942,1.830,4.213,3.185,2.498,4.756,4.458,3.054,2.918,3.216,4.408,2.938,3.163,3.177,3.404,3.615,2.362,3.600,4.550,3.648,0.416,5.377,2.595,5.585
FFM00151,2.655,5.197,4.401,2.430,4.104,3.302,2.698,4.959,5.303,4.604,5.043,2.817,2.410,3.911,4.160,4.431,4.274,4.571,5.080,2.265,0.408,6.263,1.915,6.531
FFM00152,4.383,3.885,2.605,3.942,3.707,4.523,4.565,4.824,3.865,3.331,2.879,4.109,3.903,3.918,3.904,1.857,3.362,5.211,3.954,3.706,0.335,6.011,2.166,6.201
FFM00153,4.296,3.574,4.441,2.954,5.236,4.054,4.677,2.814,3.914,4.924,3.602,3.462,3.337,4.487,5.324,4.214,4.089,4.574,6.163,4.462,0.802,6.074,1.875,6.622
FFM00154,5.113,4.148,3.836,4.025,4.531,4.734,4.570,2.924,4.218,4.808,2.325,3.983,4.262,4.305,3.873,3.473,3.043,4.035,5.552,4.846,0.930,5.894,2.074,6.083
FFM00155,1.852,3.336,6.261,3.734,4.715,2.618,3.818,2.959,4.113,5.912,5.819,3.414,3.160,3.789,4.470,5.005,3.070,2.496,3.911,4.049,0.676,5.867,2.855,5.321
FFM00156,3.979,5.458,5.721,4.802,4.490,3.868,4.659,6.580,5.062,4.827,5.392,4.382,3.921,4.125,4.961,4.739,4.421,5.509,4.526,5.289,0.834,6.215,2.375,6.253
FFM00157,4.933,4.283,4.250,4.281,5.156,4.770,4.894,4.501,3.156,4.401,4.143,3.860,3.445,4.916,5.743,4.145,3.663,4.274,6.091,3.856,0.594,5.954,1.519,6.407
FFM00158,3.295,4.783,4.589,1.212,4.427,2.810,4.680,3.856,4.969,4.576,3.899,2.061,2.102,4.227,3.751,3.311,4.258,4.005,5.099,2.071,0.835,5.499,3.350,5.619
FFM00159,3.573,4.180,3.797,3.806,3.769,3.087,4.583,4.470,4.312,4.244,3.285,3.911,4.301,3.090,4.767,3.208,2.850,4.001,4.564,3.918,0.936,6.287,2.522,6.346
FFM00160,3.140,3.411,2.391,5.431,5.875,3.669,3.159,3.033,2.594,2.572,2.049,5.372,4.300,4.673,4.647,2.229,1.970,4.210,5.369,5.077,0.514,5.709,1.412,5.918
FFM00161,4.159,5.019,3.911,5.168,5.672,4.739,3.923,5.414,5.922,4.191,4.276,4.098,4.477,5.634,5.561,3.346,3.518,4.787,5.925,4.991,0.372,5.923,1.396,5.897
FFM00162,2.711,3.235,5.336,4.619,4.595,3.311,2.573,3.104,4.853,5.596,4.797,3.960,4.578,4.206,4.477,3.942,2.562,3.061,4.840,4.641,0.835,6.136,2.977,6.092
FFM00163,4.005,4.921,4.159,4.004,5.824,3.313,3.750,5.304,5.196,3.470,3.674,4.662,2.924,4.760,5.314,3.434,4.208,4.338,6.594,4.179,0.608,6.141,1.865,5.982
FFM00164,2.636,4.411,4.837,3.187,3.898,3.545,4.258,4.580,4.078,4.613,4.876,3.804,3.448,3.688,2.675,3.046,3.113,3.864,4.035,3.154,0.569,5.581,3.049,5.840
FFM00165,4.150,1.965,3.357,4.874,2.795,4.600,3.735,2.365,2.596,2.993,4.226,4.466,3.492,4.010,3.187,2.781,3.269,4.073,4.665,4.767,0.825,5.341,2.607,6.083
FFM00166,6.175,4.728,4.058,4.656,2.612,5.254,6.423,3.485,5.187,4.626,4.779,4.710,4.609,2.872,2.873,2.723,3.435,5.873,4.069,4.732,0.625,6.208,2.922,6.273
FFM00167,5.322,4.034,5.892,4.564,3.584,4.932,4.311,3.738,4.449,4.776,5.328,5.446,3.990,2.810,4.567,4.847,3.809,3.754,4.546,4.189,1.019,6.384,2.865,6.210
FFM00168,5.078,3.686,3.209,3.666,2.955,4.343,4.792,2.581,3.891,3.482,3.525,3.545,4.116,3.406,3.065,2.440,2.667,4.869,3.457,4.304,0.543,5.673,1.840,6.083
FFM00169,3.083,3.826,5.124,2.966,3.541,3.093,2.587,4.569,3.933,5.492,5.103,2.985,3.493,3.423,2.711,4.062,3.867,3.983,3.856,3.451,0.550,5.913,2.340,6.089
FFM00170,1.877,3.206,4.840,4.714,3.946,3.032,2.323,4.838,3.506,5.601,5.013,4.079,4.495,3.973,3.936,4.411,3.245,3.367,4.196,5.436,0.616,5.785,1.873,5.642
FFM00171,5.243,3.217,5.075,3.396,4.984,5.605,3.860,3.303,3.200,5.074,4.894,3.000,4.025,4.921,4.755,3.676,4.987,4.023,5.236,3.340,0.644,6.420,2.533,6.619
FFM00172,5.430,4.026,4.781,3.278,4.738,5.186,4.127,3.736,3.471,5.294,4.435,2.204,3.806,4.996,4.302,4.310,3.854,4.842,5.512,3.006,0.896,5.590,2.047,6.241
FFM00173,4.270,4.655,3.135,2.895,5.569,4.270,4.302,4.401,4.761,3.054,3.684,2.933,3.207,4.966,5.685,3.373,4.707,4.995,6.489,3.018,0.403,6.602,2.152,6.513
FFM00174,1.836,3.920,3.172,3.322,4.485,2.070,3.298,4.162,5.761,3.233,3.129,3.291,4.210,4.072,5.144,2.743,2.855,3.311,5.891,4.835,0.984,6.044,2.620,5.916
FFM00175,2.299,3.864,5.203,3.325,4.638,2.290,2.272,5.315,4.125,5.081,5.269,3.908,2.674,3.256,4.009,4.594,3.366,3.905,4.781,3.558,0.677,5.931,1.864,6.123
FFM00176,3.712,4.578,2.807,3.922,5.086,4.242,3.673,5.086,4.513,3.204,2.178,4.384,3.483,4.590,3.450,2.329,3.394,3.997,5.550,4.889,0.842,5.461,1.690,6.299
FFM00177,4.139,5.385,5.679,2.745,4.396,4.985,3.794,4.924,5.386,4.740,4.987,3.057,1.976,5.171,3.740,4.339,5.306,5.072,5.064,3.119,0.882,6.735,2.617,6.376
FFM00178,3.966,4.940,4.211,2.242,5.184,4.510,3.805,4.244,4.330,5.400,3.810,2.655,3.028,5.821,5.681,3.715,5.281,4.489,5.628,2.962,0.579,5.892,1.805,5.735
FFM00179,4.919,4.867,3.962,2.716,4.127,4.122,4.311,4.275,2.768,4.731,3.997,3.253,3.644,5.051,3.523,4.253,3.929,5.100,5.603,3.796,0.870,5.471,2.395,5.387
FFM00180,4.661,2.461,4.553,1.984,4.408,5.347,3.749,2.459,3.430,4.461,5.206,2.471,2.298,4.306,3.971,4.041,4.191,3.789,5.408,2.848,0.765,5.666,1.733,6.452
FFM00181,3.501,3.757,4.273,2.883,4.005,3.963,2.600,5.164,3.650,3.337,2.821,2.585,3.238,3.797,4.013,2.754,3.956,5.146,5.056,3.658,0.852,5.581,2.870,6.172
FFM00182,3.893,3.481,5.599,4.309,3.425,3.740,4.087,3.770,3.187,5.100,5.222,3.106,4.509,3.927,3.060,4.489,2.946,4.337,4.095,4.100,0.665,5.942,2.774,6.582
FFM00183,4.472,3.526,4.775,3.343,3.043,3.990,4.389,3.373,4.492,4.643,4.906,4.305,3.820,3.842,2.959,4.675,3.920,4.381,4.537,3.920,0.630,6.132,1.575,6.248
FFM00184,4.148,3.201,3.103,3.736,4.382,3.517,4.737,3.667,4.503,3.269,2.087,2.834,3.236,4.269,4.972,1.643,1.996,3.892,5.541,3.969,0.868,6.111,3.357,6.243
FFM00185,4.807,2.435,4.985,3.590,3.765,3.947,4.365,2.731,2.285,4.653,5.168,3.321,3.760,3.867,3.123,4.119,3.854,4.322,4.265,4.017,0.512,6.266,2.229,6.409
FFM00186,2.671,3.881,3.941,4.591,3.865,2.660,2.121,3.719,3.295,3.445,3.722,5.020,3.918,3.839,4.689,3.888,2.954,3.989,4.252,4.316,0.638,6.479,1.375,6.172
FFM00187,4.263,4.693,4.438,4.456,4.396,4.947,4.774,5.230,4.834,4.304,4.135,4.748,5.075,3.997,3.887,3.546,3.873,3.812,5.348,4.836,0.235,5.794,1.867,5.751
FFM00188,4.523,2.146,4.740,2.669,3.921,3.687,3.303,3.919,3.722,4.294,4.223,2.609,3.688,4.848,2.932,3.360,3.813,3.844,5.416,2.669,0.729,5.460,3.371,5.308
FFM00189,4.012,4.454,5.075,4.434,4.753,4.645,3.808,4.236,3.906,5.003,4.191,4.183,4.349,4.660,5.061,3.888,3.299,3.982,5.646,3.391,0.509,5.855,2.963,6.517
FFM00190,3.496,3.473,3.352,3.486,3.544,4.149,2.296,3.617,3.585,2.829,3.505,3.039,4.272,3.587,4.007,3.308,3.117,3.914,4.917,3.222,0.843,5.831,1.854,6.275
FFM00191,3.128,1.666,3.739,2.798,3.615,2.776,4.611,3.896,2.832,4.113,4.154,1.989,2.729,3.862,4.190,3.468,2.879,3.137,5.477,3.980,0.801,5.627,2.252,5.625
FFM00192,3.229,6.355,3.212,1.659,3.659,3.274,3.464,5.058,6.078,2.812,3.348,1.833,2.488,3.518,4.088,2.761,3.323,4.904,3.989,1.950,0.594,5.517,1.721,6.086
FFM00193,4.806,2.610,3.074,4.653,1.436,4.795,4.317,2.008,3.023,3.429,2.759,5.032,3.525,2.511,1.729,1.923,3.250,3.774,3.490,6.030,0.891,5.484,3.153,6.545
FFM00194,2.281,3.723,6.560,4.221,2.545,2.809,2.555,4.377,3.599,5.848,4.730,4.683,4.947,3.895,2.585,4.578,2.933,4.217,3.649,5.140,0.745,5.905,3.443,5.737
FFM00195,5.242,3.285,4.928,2.859,2.435,5.635,5.101,2.908,2.718,4.252,4.627,3.499,2.965,2.469,2.531,3.221,3.453,4.333,4.557,3.404,0.339,6.639,4.083,6.559
FFM00196,6.194,4.399,5.057,1.682,4.785,6.374,5.286,4.320,4.551,4.382,4.586,2.206,3.266,4.634,4.974,3.056,4.055,5.362,5.186,1.667,0.585,5.490,2.919,5.628
FFM00197,5.216,4.606,5.517,3.672,5.670,3.471,5.627,5.332,4.982,4.774,4.867,4.160,2.981,4.110,5.059,4.725,5.004,4.975,5.704,4.109,0.945,5.981,1.881,5.722
FFM00198,4.139,3.836,5.914,2.687,5.834,4.826,4.473,3.917,3.868,5.321,5.877,1.780,3.044,6.104,4.998,4.891,3.761,4.309,6.683,3.156,0.666,6.416,2.356,6.580
FFM00199,3.448,4.619,4.270,3.303,4.212,3.368,4.397,5.073,4.099,3.918,5.422,3.899,3.410,5.344,4.926,4.181,3.406,4.623,5.064,3.771,0.883,6.250,1.765,6.221
FFM00200,4.727,6.034,4.237,2.496,3.490,3.935,4.100,5.724,4.815,4.773,5.078,2.342,2.563,4.224,3.689,3.734,4.958,4.793,4.505,3.083,0.427,5.800,2.070,5.837
FFM00201,3.645,3.473,6.255,3.149,4.486,3.421,3.310,4.031,3.496,5.494,6.039,3.008,3.686,3.406,4.372,4.331,4.021,3.465,4.422,3.349,0.567,6.265,3.177,6.295
FFM00202,4.308,3.964,3.697,2.349,4.302,4.682,4.703,4.254,4.316,3.988,3.661,2.095,3.049,4.549,4.360,2.763,3.230,4.326,5.045,2.127,0.311,6.428,2.405,6.634
FFM00203,4.291,4.318,3.899,3.859,4.841,4.285,4.531,4.445,4.940,5.030,4.228,3.717,4.207,4.243,4.703,4.088,2.692,5.467,5.217,3.555,0.499,5.961,1.180,6.104
FFM00204,4.133,3.062,3.164,5.752,4.333,4.571,3.678,3.542,3.342,3.385,3.649,5.115,5.080,3.829,4.925,3.275,3.006,2.410,4.376,5.397,0.498,5.879,1.282,6.332
FFM00205,2.759,4.867,4.723,3.432,3.730,2.831,2.966,5.267,5.222,4.549,4.291,3.212,3.307,3.960,4.180,4.108,2.978,4.357,5.638,2.909,0.151,6.628,2.513,6.378
FFM00206,3.849,5.526,4.582,4.762,5.474,4.596,4.297,4.613,5.404,4.661,5.400,5.394,4.535,3.882,4.358,3.599,3.768,4.422,4.341,4.967,0.633,5.705,2.550,5.819
FFM00207,3.436,1.867,4.895,4.221,4.432,3.630,4.142,2.803,1.818,4.590,5.168,5.646,4.824,3.420,4.258,4.962,3.492,3.309,4.229,5.169,0.747,5.284,1.374,5.879
FFM00208,3.746,3.386,5.159,5.511,4.828,2.996,3.952,3.793,3.936,5.965,4.524,5.391,5.137,4.597,4.308,4.183,2.835,4.285,4.519,4.790,0.617,5.802,2.105,5.895
FFM00209,5.926,4.478,4.098,2.396,2.353,5.616,3.620,4.383,3.945,4.647,3.717,2.847,4.067,2.615,2.773,3.124,4.334,4.705,3.577,3.084,0.948,5.160,2.948,5.583
FFM00210,4.186,3.233,3.646,3.301,5.282,2.888,3.907,3.825,5.015,3.749,3.692,3.424,3.883,4.494,4.887,2.842,3.332,4.244,6.160,3.640,0.624,5.789,2.585,5.821
FFM00211,4.263,4.472,4.651,4.303,3.934,3.887,3.664,5.430,5.207,4.293,4.352,4.192,4.458,3.213,4.496,3.952,3.447,4.237,4.273,4.868,0.411,6.497,1.854,6.213
FFM00212,6.248,3.775,4.622,3.200,4.404,4.448,6.065,3.886,4.102,4.039,4.650,3.777,3.218,3.794,4.404,4.105,3.852,4.616,5.654,3.970,0.723,5.590,2.210,5.810
FFM00213,2.176,4.714,4.862,4.446,2.520,2.113,3.438,4.617,4.327,3.580,5.642,4.751,4.216,3.474,2.667,3.192,1.724,4.211,4.122,4.811,1.004,6.709,4.095,6.125
FFM00214,6.093,4.319,4.567,5.679,4.026,6.186,6.142,4.903,3.454,4.712,3.275,5.339,5.303,3.749,3.710,2.473,4.043,4.873,5.225,4.617,0.601,6.439,3.695,6.702
FFM00215,5.706,4.111,2.152,2.915,3.804,5.387,5.857,4.283,3.312,2.702,2.246,4.023,2.357,3.481,2.770,1.238,3.993,5.115,4.874,3.226,0.855,5.342,2.345,6.204
FFM00216,4.482,3.564,2.464,5.871,5.269,4.208,5.074,3.257,3.309,4.025,2.879,4.965,6.539,4.946,4.141,2.458,2.934,3.851,5.826,5.732,0.889,5.308,1.582,6.092
FFM00217,3.620,2.556,4.220,2.505,4.244,3.463,3.530,2.627,2.808,3.646,3.134,3.768,3.644,4.414,3.367,2.887,3.837,3.247,4.574,3.113,0.386,5.606,2.321,5.691
FFM00218,1.485,4.138,5.304,5.017,3.609,2.752,2.410,2.750,4.981,4.521,5.365,4.729,4.813,3.288,3.964,3.938,2.795,3.363,4.066,5.119,0.835,5.867,3.076,6.185
FFM00219,4.137,4.155,5.626,3.589,2.893,4.389,4.557,3.548,3.477,5.159,5.720,3.938,4.031,3.313,3.500,4.685,4.423,4.534,4.782,4.194,0.216,5.924,2.673,5.936
FFM00220,4.640,2.937,4.985,4.104,5.397,4.893,4.019,3.773,3.086,4.134,5.222,4.524,2.664,4.789,4.566,3.231,4.610,3.882,5.910,3.952,0.946,5.898,3.250,6.302
FFM00221,2.453,3.086,3.705,6.370,4.591,2.525,2.573,2.369,3.684,3.318,2.874,5.549,4.715,3.955,3.850,3.408,1.976,2.810,4.387,6.034,0.549,5.860,1.479,5.874
FFM00222,3.852,3.373,5.048,3.822,5.241,3.789,3.196,4.319,3.734,4.729,4.896,3.475,2.723,4.545,4.318,3.793,4.437,4.120,6.077,3.779,0.465,5.566,2.650,5.920
FFM00223,3.265,2.852,4.803,4.457,4.077,4.022,3.405,3.342,4.372,4.882,5.069,4.584,5.182,4.290,3.792,4.149,3.794,3.461,5.432,4.510,0.586,6.235,2.497,6.214
FFM00224,2.858,2.817,5.021,2.911,4.641,2.723,2.884,3.528,3.397,3.918,4.999,2.089,2.116,3.908,4.702,4.332,4.616,3.211,5.002,3.915,0.439,5.644,1.720,5.783
FFM00225,3.274,5.447,3.062,4.657,4.833,2.950,3.299,5.191,5.008,3.313,2.885,3.438,4.506,4.923,4.599,2.674,3.132,4.331,4.336,4.233,0.470,6.448,1.836,6.279
FFM00226,2.676,3.693,4.434,2.650,4.126,3.598,3.399,4.426,4.019,3.797,4.338,2.933,2.655,4.633,3.412,3.245,3.469,3.293,5.165,3.426,0.529,5.993,2.979,6.236
FFM00227,5.149,5.098,5.275,4.925,3.694,5.049,4.156,4.884,6.111,5.149,4.587,5.014,3.740,3.172,2.576,4.028,4.286,5.415,4.328,4.454,0.911,5.539,2.760,5.706
FFM00228,4.610,3.876,3.767,5.130,4.518,3.735,4.300,4.188,3.043,3.358,3.055,4.327,5.029,5.161,2.995,2.363,3.014,4.309,4.417,4.560,0.976,6.616,2.769,6.234
FFM00229,2.795,5.698,2.839,4.112,3.798,2.669,2.528,5.641,5.527,3.207,3.842,3.177,4.461,3.917,3.723,2.612,3.156,4.727,4.108,3.930,0.473,6.133,1.334,6.390
FFM00230,7.000,4.399,3.677,4.430,4.438,6.292,6.313,3.636,4.430,3.412,3.731,4.360,4.234,4.232,4.432,3.276,2.815,5.057,5.308,3.997,0.292,6.098,1.515,6.524
FFM00231,2.182,4.949,4.675,1.803,3.984,1.690,2.956,5.404,4.789,4.901,4.669,3.206,2.999,3.720,4.401,3.738,4.514,3.195,4.717,2.740,0.600,5.887,2.411,6.012
FFM00232,3.344,2.571,4.704,3.515,4.069,2.136,2.850,3.433,2.553,4.958,4.215,3.159,3.527,3.944,4.753,3.533,2.825,3.403,4.364,4.463,0.703,5.745,2.430,5.788
FFM00233,4.595,3.154,4.361,5.336,3.993,4.410,4.132,2.740,2.792,4.170,3.712,4.591,5.202,4.817,3.763,2.704,2.311,3.262,4.901,5.544,0.490,6.045,3.073,6.544
FFM00234,4.649,3.057,5.658,3.481,4.425,4.059,3.866,4.282,4.165,4.252,4.462,3.760,4.283,3.261,3.580,3.467,3.546,4.026,5.645,4.942,0.272,5.112,3.775,5.037
FFM00235,3.547,3.104,5.594,3.926,2.338,4.925,4.017,4.105,3.728,5.294,5.104,3.806,3.378,2.550,2.505,4.676,2.666,3.034,3.993,4.054,0.390,6.106,2.939,5.776
FFM00236,4.845,5.166,3.610,4.312,3.370,4.840,4.133,5.324,4.879,3.995,3.451,3.948,4.331,4.513,4.024,3.347,3.562,5.234,5.474,4.346,0.514,5.997,2.413,6.504
FFM00237,3.488,4.315,3.245,4.326,4.150,3.696,3.808,3.431,4.370,2.952,4.767,4.277,3.317,3.635,3.634,3.107,4.666,3.955,4.361,4.736,0.765,5.933,1.138,6.056
FFM00238,3.980,5.539,4.619,3.046,2.710,3.445,4.008,4.935,4.483,4.062,4.984,3.174,3.146,1.819,3.442,4.366,3.918,4.979,4.089,4.246,0.718,6.305,2.188,6.464
FFM00239,4.221,4.157,4.260,3.059,6.380,4.154,4.261,3.368,5.401,2.930,3.995,4.477,3.887,4.916,5.643,3.539,3.988,4.632,7.000,3.482,0.905,5.747,2.360,5.543
FFM00240,2.899,4.557,4.111,4.074,4.092,2.603,4.005,3.517,4.181,4.562,3.686,3.172,4.276,4.209,4.448,3.840,3.362,4.223,4.567,4.238,0.857,5.902,1.567,5.884
FFM00241,4.677,3.306,4.073,3.678,3.877,4.038,3.755,4.067,2.949,3.376,4.679,4.287,3.454,3.327,2.872,2.762,3.431,3.989,4.440,3.982,0.799,5.486,2.803,5.827
FFM00242,3.286,4.969,5.201,4.521,4.987,3.020,4.101,4.836,4.410,5.003,5.257,4.001,4.704,5.079,5.371,4.898,3.658,3.712,5.893,4.282,0.551,6.744,1.659,6.826
FFM00243,5.091,4.164,4.525,5.133,5.826,5.062,3.921,3.878,3.722,3.963,5.018,5.354,4.094,5.178,4.338,3.216,3.464,4.539,7.000,5.536,0.890,5.604,3.172,5.850
FFM00244,4.202,5.817,4.487,4.059,2.502,4.460,4.422,5.856,4.693,3.634,4.364,4.520,3.166,2.568,2.333,3.571,3.904,5.429,2.831,4.207,0.704,5.538,2.556,6.029
FFM00245,4.872,5.001,3.585,2.800,2.704,5.093,4.701,3.615,4.475,4.592,3.489,2.846,3.756,2.859,3.091,3.641,3.508,5.270,3.321,3.120,0.700,5.619,1.363,5.700
FFM00246,3.383,3.209,5.579,4.585,4.206,3.710,2.467,4.205,3.602,5.302,4.688,3.930,4.977,3.426,3.491,4.075,3.916,3.765,5.212,6.071,0.714,6.118,3.290,5.866
FFM00247,3.414,4.249,2.718,3.443,3.381,4.369,3.370,4.858,3.931,2.726,3.622,3.725,2.961,3.139,3.698,2.414,4.323,4.304,3.969,5.028,0.829,6.143,1.551,6.478
FFM00248,2.582,4.173,3.729,2.897,3.392,2.331,3.748,3.781,3.274,3.061,3.732,1.904,2.566,3.805,3.198,2.415,3.021,3.600,4.611,2.544,0.773,5.809,2.989,5.895
FFM00249,3.091,3.058,5.240,3.464,4.161,3.370,3.446,3.475,2.878,5.428,4.697,3.708,3.706,2.998,4.072,4.936,4.606,3.206,5.246,4.225,0.496,5.675,2.055,6.121
FFM00250,4.272,5.319,3.698,4.215,3.091,5.448,3.683,4.404,5.334,4.448,3.242,4.246,2.133,2.055,3.359,3.059,3.949,5.181,4.065,4.379,1.464,5.356,3.104,5.734
FFM00251,4.430,4.596,4.958,3.532,4.789,4.044,3.359,5.360,3.764,4.828,3.804,4.956,3.563,5.346,3.050,3.014,4.293,4.921,4.970,3.940,1.399,5.865,2.949,5.948
FFM00252,5.046,4.789,4.244,3.682,3.492,4.555,4.638,3.605,4.772,4.378,5.302,4.751,2.920,3.848,4.398,4.020,3.267,4.180,4.613,4.389,0.911,6.142,1.989,5.920
FFM00253,4.871,3.153,3.360,3.441,5.732,5.267,5.439,3.192,2.515,3.425,3.942,4.012,2.985,3.891,5.708,2.589,4.193,4.010,4.813,3.610,0.842,5.752,1.908,6.070
FFM00254,4.269,2.708,3.728,2.409,3.758,3.995,4.019,3.244,3.044,3.945,4.507,2.096,3.294,3.290,4.290,4.515,3.398,3.756,4.673,2.540,0.597,5.922,1.957,6.611
FFM00255,3.799,3.304,2.640,4.239,2.842,4.451,3.519,3.188,3.274,3.809,3.874,4.507,4.197,3.874,3.257,3.150,2.658,3.578,4.091,4.366,0.402,5.816,2.525,5.789
FFM00256,3.973,3.177,3.655,2.057,2.537,3.732,3.829,3.103,2.847,3.100,3.784,1.836,1.978,3.063,3.429,3.615,3.294,4.469,3.148,2.628,0.309,6.042,1.487,6.362
FFM00257,3.785,4.673,4.541,4.742,3.348,3.567,3.589,4.538,4.080,4.151,4.154,5.536,5.299,3.599,3.422,3.223,2.716,3.840,3.376,5.009,0.179,6.210,2.166,6.398
FFM00258,3.327,5.750,3.845,4.030,3.035,3.404,3.528,5.192,4.751,3.525,4.300,3.719,3.881,2.735,3.168,3.929,4.412,5.512,4.094,4.581,0.387,6.106,1.938,6.310
FFM00259,5.017,5.111,2.864,3.590,3.837,4.214,4.426,4.971,5.170,3.953,3.665,4.426,3.321,4.014,3.992,3.101,2.768,4.525,5.083,3.647,0.365,5.683,1.509,6.008
FFM00260,3.328,3.877,4.091,3.533,4.320,4.043,3.875,4.025,3.655,3.708,3.870,4.540,3.607,3.275,4.254,3.626,3.258,4.326,4.960,4.124,0.522,6.031,2.001,6.411
FFM00261,3.679,3.762,4.220,4.536,4.228,2.558,3.887,3.640,3.831,4.152,3.835,3.364,4.233,3.593,4.622,2.929,4.054,3.581,5.146,4.478,0.747,5.813,2.652,6.169
FFM00262,5.415,3.758,4.678,4.326,3.874,4.676,5.328,3.620,3.836,4.261,4.496,4.154,3.824,4.322,3.915,3.326,4.220,4.011,4.945,4.347,0.368,6.321,2.910,6.365
FFM00263,5.470,5.126,5.217,3.508,4.872,4.014,4.774,4.127,4.743,4.925,4.768,4.870,4.370,4.675,4.763,4.620,5.313,4.661,5.816,4.068,0.424,5.761,2.100,5.487
FFM00264,4.209,4.780,5.470,3.101,5.549,4.535,3.965,4.365,4.950,4.944,4.613,3.163,2.164,4.767,4.944,3.764,4.746,4.595,6.350,2.759,0.532,5.787,3.077,5.829
FFM00265,5.747,5.195,2.474,2.791,5.290,3.950,4.714,4.107,4.663,2.157,2.579,2.738,3.283,5.468,6.092,2.233,4.258,4.975,5.795,2.696,0.582,5.776,1.639,5.686
FFM00266,3.956,3.121,2.759,4.701,3.464,4.084,4.316,3.690,3.423,2.796,2.594,5.870,4.747,3.648,3.247,2.342,1.843,3.895,6.339,5.620,0.445,6.420,2.854,6.500
FFM00267,3.376,3.916,3.419,3.109,5.425,4.091,4.708,4.121,4.090,4.032,4.005,3.512,4.578,5.365,5.135,3.907,3.865,3.877,6.004,2.754,0.394,5.404,1.911,5.943
FFM00268,4.360,5.997,2.327,4.754,5.041,4.398,4.374,6.787,4.445,3.152,3.661,4.797,3.691,4.343,4.160,2.966,2.348,5.878,5.243,4.599,0.833,5.500,2.340,5.454
