participant_id,extraversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score,conscientiousness_t1,conscientiousness_t2,behavior_score,trait_score,situation_strength,person_situation_interaction,characterology_typology_index,psychometric_structure_index,person_situation_index,narrative_identity_index,measurement_invariance_caution_index,historical_method_maturity_index
HIST00186,3.687,4.155,2.870,3.549,3.247,2.590,2.521,3.928,2.719,4.299,1.670,7.370,4.302,3.803,4.192,2.992,3.765
HIST00187,4.878,3.944,3.901,3.528,4.872,3.985,3.051,3.977,3.238,4.578,2.118,6.710,5.211,4.403,4.826,4.085,4.721
HIST00188,4.547,3.914,3.659,4.890,3.568,3.766,4.424,3.576,3.350,3.615,1.730,6.915,4.200,4.241,3.903,4.938,5.238
HIST00189,2.731,4.985,3.897,3.341,3.702,4.198,4.431,3.547,3.923,4.412,2.473,6.778,5.815,3.875,5.017,3.171,5.694
HIST00190,3.194,4.742,4.399,1.008,4.121,4.328,4.481,4.751,4.970,4.397,3.122,6.269,6.106,4.702,5.156,3.396,5.637
HIST00191,4.390,5.327,3.843,5.080,5.161,3.841,4.465,2.773,3.884,1.086,0.603,6.617,6.034,2.561,4.792,4.304,4.988
HIST00192,5.866,4.795,4.649,3.848,3.974,4.555,4.515,4.446,4.051,3.745,2.167,5.720,6.703,4.909,4.993,4.590,5.822
HIST00193,3.633,3.127,5.092,4.536,4.027,5.178,5.623,3.577,3.541,4.362,2.206,6.464,5.491,3.440,4.839,3.467,5.063
HIST00194,3.689,4.410,3.403,4.453,3.946,3.907,3.641,4.037,3.483,4.169,2.074,7.177,5.329,3.853,5.689,3.868,4.401
HIST00195,5.219,3.466,4.229,3.407,5.682,4.207,4.400,3.997,4.258,2.970,1.807,6.244,6.506,3.780,5.260,3.607,5.440
HIST00196,3.818,2.273,4.446,5.324,3.739,4.534,4.110,3.669,2.816,5.322,2.141,7.501,5.278,4.256,3.855,4.366,4.699
HIST00197,5.022,3.484,3.568,2.473,3.580,2.999,3.066,5.486,4.061,4.667,2.708,7.091,6.136,4.959,4.220,4.438,4.890
HIST00198,4.103,3.599,3.314,2.761,4.027,3.214,3.160,4.411,3.972,3.695,2.097,6.683,5.814,3.971,4.711,5.053,5.482
HIST00199,3.311,3.211,4.070,3.895,3.568,4.402,4.999,5.292,4.160,5.251,3.121,7.167,5.708,4.815,3.822,3.303,4.392
HIST00200,3.149,4.150,4.556,4.677,5.143,4.661,4.840,3.764,3.719,3.441,1.828,5.594,7.097,4.103,3.862,4.888,4.954
HIST00201,4.483,5.566,1.573,2.777,5.381,1.298,2.126,4.187,3.010,3.874,1.666,6.859,5.366,4.054,5.933,4.573,5.769
HIST00202,4.014,3.836,4.032,2.501,3.685,4.027,4.677,5.761,3.927,5.136,2.881,5.901,5.486,4.647,5.023,4.504,5.214
HIST00203,4.430,3.508,5.103,2.609,4.837,5.129,4.257,4.864,3.893,4.348,2.418,5.982,6.297,5.185,5.105,3.485,5.358
HIST00204,5.500,5.419,3.208,4.776,5.991,2.964,2.832,4.951,4.147,3.735,2.213,7.336,5.802,4.015,6.021,4.228,5.109
HIST00205,5.392,4.621,3.173,2.166,2.972,3.051,2.944,3.326,3.005,5.785,2.483,6.550,5.142,4.408,4.735,3.522,5.090
HIST00206,4.019,2.341,5.340,4.351,5.176,5.309,5.516,4.828,3.965,3.381,1.915,6.205,6.406,4.482,4.695,3.963,6.030
HIST00207,3.377,3.411,4.690,3.969,2.888,4.463,3.411,4.724,3.756,5.529,2.967,6.757,5.317,4.791,4.465,3.747,5.023
HIST00208,3.369,6.160,3.917,4.100,5.424,3.908,3.573,4.683,3.818,4.874,2.658,6.168,6.135,5.023,5.661,5.708,5.648
HIST00209,4.583,3.180,3.296,2.956,5.558,3.379,3.760,3.886,3.451,3.676,1.812,7.266,5.445,3.945,4.479,4.819,4.887
HIST00210,4.052,4.344,3.525,3.459,3.675,3.869,3.975,4.410,3.450,3.981,1.962,6.967,4.976,4.319,4.672,3.353,4.985
HIST00211,5.249,5.124,5.457,4.047,3.740,5.635,5.518,4.849,4.289,5.517,3.380,6.247,6.454,4.995,4.868,3.632,6.020
HIST00212,4.938,3.511,2.565,4.120,2.427,2.518,1.861,3.910,2.199,4.046,1.271,8.266,3.428,3.970,4.170,3.991,3.878
HIST00213,4.215,3.588,4.478,3.827,5.689,4.596,5.028,5.592,4.517,4.667,3.012,6.425,6.321,4.877,5.466,4.039,5.936
HIST00214,5.618,5.775,3.956,4.358,4.474,3.931,3.754,4.429,4.174,5.156,3.075,6.560,5.522,5.122,5.079,4.596,5.379
HIST00215,5.699,3.518,4.143,1.736,3.964,4.194,4.837,4.834,3.799,6.207,3.369,6.149,5.827,4.975,4.706,3.780,4.794
HIST00216,5.546,5.504,3.461,2.292,6.022,3.881,3.871,4.795,3.984,5.054,2.876,6.479,5.177,4.453,5.937,4.076,5.047
HIST00217,4.455,4.132,2.306,4.868,4.184,1.951,2.422,3.782,2.202,3.776,1.188,6.806,4.264,3.678,4.040,4.058,4.490
HIST00218,3.330,2.791,3.777,3.165,3.924,3.260,3.213,3.029,3.543,3.324,1.682,6.281,4.949,3.716,4.746,3.934,5.433
HIST00219,2.788,3.252,4.577,3.547,4.790,4.764,3.817,4.043,3.955,4.186,2.365,6.483,5.860,4.284,4.575,4.062,4.987
HIST00220,3.458,5.298,4.267,4.961,2.761,4.863,4.795,4.265,4.129,4.521,2.667,6.390,6.205,4.446,4.413,4.212,5.286
HIST00221,1.868,3.961,4.506,2.768,3.501,4.038,3.678,3.569,3.525,3.482,1.754,5.942,6.323,4.446,2.786,4.860,5.414
HIST00222,5.239,4.403,4.964,4.327,3.411,4.766,4.637,3.873,4.290,2.410,1.477,6.730,5.842,3.457,3.813,4.137,4.357
HIST00223,5.272,3.305,4.453,4.263,4.417,4.993,4.098,3.502,2.265,3.757,1.216,6.304,5.924,3.990,4.402,5.362,4.976
HIST00224,3.520,4.084,3.612,4.767,6.029,3.595,3.864,4.403,3.065,5.794,2.537,6.305,5.719,5.466,6.315,5.190,6.081
HIST00225,3.164,4.474,3.276,3.962,3.251,3.329,2.966,5.093,3.335,4.361,2.078,6.352,5.612,4.715,4.381,3.428,5.434
HIST00226,3.027,3.553,4.179,3.991,3.966,4.488,4.834,3.494,3.118,2.990,1.332,7.248,5.494,3.610,4.797,3.715,4.696
HIST00227,5.054,3.555,4.455,4.342,4.943,4.408,4.632,4.389,3.783,4.071,2.200,6.134,6.360,5.653,5.322,3.152,5.828
HIST00228,3.182,3.034,4.432,2.684,4.134,4.330,4.717,4.474,3.367,5.700,2.742,5.778,6.159,5.260,4.692,3.797,5.387
HIST00229,6.623,3.000,3.526,1.475,5.391,3.931,3.424,3.064,3.290,4.020,1.889,6.982,5.265,4.079,5.301,4.162,5.321
HIST00230,3.515,4.576,6.377,2.655,3.915,6.172,6.021,5.020,5.003,6.142,4.390,5.318,8.170,5.694,4.676,4.979,6.159
HIST00231,3.606,5.090,3.407,4.438,5.326,3.476,3.122,3.786,3.486,3.182,1.585,6.014,6.491,3.880,5.010,4.335,5.195
HIST00232,2.772,4.801,3.801,4.298,3.656,3.509,3.320,4.476,3.695,4.085,2.156,7.188,5.532,4.357,4.907,4.313,5.126
HIST00233,3.984,4.845,4.928,3.773,3.478,5.021,5.273,5.089,4.205,6.665,4.004,5.486,5.906,5.738,5.218,4.040,5.781
HIST00234,3.466,5.123,3.801,2.974,2.809,3.178,3.510,4.085,4.282,2.965,1.813,7.033,5.640,4.106,3.970,4.043,5.649
HIST00235,4.331,4.609,4.546,4.636,3.585,4.351,4.533,5.995,4.338,6.033,3.738,6.497,6.062,5.052,5.111,3.789,5.010
HIST00236,4.094,3.507,4.131,2.730,5.710,4.141,4.982,3.368,3.652,1.619,0.845,6.511,5.899,3.464,5.971,4.274,5.681
HIST00237,5.304,3.504,6.615,2.929,4.121,6.762,6.403,3.762,3.781,3.367,1.819,5.833,6.875,4.250,5.014,4.069,5.669
HIST00238,4.754,4.820,4.137,3.917,4.089,3.874,3.701,5.396,3.484,6.410,3.190,5.899,6.746,5.241,4.940,4.523,5.928
HIST00239,3.904,5.616,3.709,4.828,5.703,3.774,4.367,3.348,2.986,4.785,2.041,6.275,5.692,4.209,5.086,4.551,5.104
HIST00240,5.083,3.091,4.110,2.840,5.525,3.876,4.496,3.755,3.861,2.672,1.474,6.193,6.126,3.998,4.283,4.393,5.414
HIST00241,3.297,5.405,2.890,3.937,4.742,2.937,3.431,3.805,3.317,4.043,1.916,6.794,5.478,3.906,4.605,3.868,4.799
HIST00242,4.146,5.592,3.967,3.074,4.392,3.903,3.372,3.910,4.113,4.949,2.908,5.469,6.797,4.837,5.477,4.163,6.105
HIST00243,5.672,2.876,5.648,2.840,3.622,4.991,4.800,4.258,3.224,4.109,1.892,6.208,5.640,4.370,4.587,4.180,4.770
HIST00244,3.877,3.885,4.976,3.144,3.968,4.739,5.035,2.913,3.810,4.181,2.275,5.553,6.628,3.912,3.715,3.813,5.333
HIST00245,2.781,3.290,4.684,3.054,3.409,4.905,4.780,4.701,4.469,6.509,4.156,6.334,5.123,4.794,4.735,4.239,5.122
HIST00246,4.768,3.128,4.747,2.674,4.629,4.864,4.995,3.730,3.677,4.892,2.569,6.427,5.121,4.970,4.116,5.013,5.102
HIST00247,3.401,4.489,4.541,4.732,4.454,4.272,4.150,3.288,3.917,3.417,1.912,5.987,6.508,4.308,5.199,4.489,5.601
HIST00248,4.395,5.482,4.446,3.542,4.561,3.912,4.140,4.433,4.621,3.049,2.013,5.977,6.285,3.203,5.878,4.819,5.471
HIST00249,4.535,5.748,6.013,2.561,3.557,6.108,5.437,4.842,4.955,2.666,1.887,6.299,6.745,5.179,4.519,3.742,5.407
HIST00250,4.480,5.707,4.259,4.953,3.347,4.732,4.460,3.780,4.473,2.472,1.580,6.529,6.422,3.387,4.775,4.645,5.078
HIST00251,3.415,2.515,1.887,2.353,2.855,1.785,1.634,4.374,3.160,4.922,2.222,6.723,3.925,4.520,3.766,4.013,4.187
HIST00252,4.673,3.539,4.446,3.089,2.769,4.352,4.533,2.960,3.203,2.803,1.283,7.348,4.533,3.774,4.405,3.660,4.015
HIST00253,4.495,4.166,5.626,4.548,4.124,5.603,4.577,3.846,4.233,2.387,1.444,6.543,7.441,2.711,5.454,3.920,5.674
HIST00254,2.850,4.398,4.061,2.122,3.635,4.282,4.727,4.050,4.175,3.086,1.840,7.051,5.322,4.156,5.023,4.505,5.070
HIST00255,4.523,3.246,2.825,3.647,3.006,2.647,2.499,3.473,2.757,4.509,1.776,7.617,4.508,4.318,4.922,3.947,5.545
HIST00256,3.898,3.671,4.869,2.741,5.058,4.893,4.891,4.757,4.294,5.580,3.423,5.813,6.049,5.671,4.236,3.939,6.059
HIST00257,3.372,4.981,4.934,4.453,3.035,4.981,5.108,3.623,4.076,2.833,1.650,7.407,5.734,4.004,4.836,3.551,5.173
HIST00258,3.267,2.646,4.195,5.236,4.830,4.281,4.060,3.275,3.471,4.004,1.985,6.681,5.338,3.655,5.007,5.070,5.772
HIST00259,4.010,7.000,3.333,2.818,3.726,3.669,4.025,5.091,5.511,3.284,2.585,5.672,6.188,4.175,5.046,4.960,5.182
HIST00260,6.035,3.874,4.060,4.017,1.930,3.950,3.866,5.043,4.651,4.467,2.968,5.996,5.848,4.950,3.713,3.366,5.141
HIST00261,2.251,4.512,3.621,5.843,5.073,3.731,4.226,3.575,3.578,4.392,2.245,6.983,5.588,4.549,4.991,4.984,5.575
HIST00262,4.413,2.975,3.978,3.441,4.415,4.166,4.728,3.326,3.281,4.549,2.132,6.729,5.342,3.965,4.107,4.939,5.112
HIST00263,2.807,3.764,3.301,6.294,4.990,3.612,3.292,2.962,2.995,2.750,1.177,6.961,5.919,2.993,5.299,4.903,5.275
HIST00264,5.548,4.151,4.053,3.867,4.016,4.175,4.266,3.211,3.718,3.920,2.082,6.041,6.300,3.759,5.082,4.117,5.391
HIST00265,2.550,5.161,3.462,3.968,2.487,3.358,3.781,3.897,3.965,2.963,1.678,7.031,5.835,4.261,3.709,4.229,4.648
HIST00266,3.053,3.976,4.136,3.892,3.872,3.948,3.710,4.489,3.147,5.212,2.343,6.685,5.811,4.314,4.469,4.235,4.817
HIST00267,2.845,4.595,5.164,4.258,3.598,4.753,5.121,4.323,4.299,4.299,2.640,6.867,5.567,4.535,5.333,3.263,5.465
HIST00268,4.086,2.834,5.782,2.367,5.648,5.551,5.536,4.324,4.356,3.652,2.273,5.976,6.751,3.871,5.496,4.170,5.701
HIST00269,2.471,3.907,4.941,5.200,5.337,5.072,4.908,3.874,3.466,5.739,2.842,6.151,6.548,4.917,4.693,6.133,5.923
HIST00270,5.481,5.124,5.825,3.598,4.721,5.975,5.799,4.261,4.968,4.178,2.965,5.146,7.014,4.803,5.379,3.887,6.113
HIST00271,3.749,3.969,2.532,2.416,1.737,2.600,2.678,2.554,2.890,2.821,1.165,6.671,4.392,3.664,4.384,2.974,4.871
HIST00272,4.852,2.921,5.234,6.149,4.399,5.670,5.416,4.527,3.658,3.538,1.849,6.780,6.273,5.044,4.543,5.763,6.079
HIST00273,6.125,3.360,4.524,3.740,3.926,5.218,4.746,3.374,3.327,4.162,1.978,6.314,6.101,3.566,5.046,3.933,5.402
HIST00274,3.711,3.326,4.684,3.737,4.320,4.822,4.784,4.594,3.988,5.381,3.066,6.106,5.678,5.690,4.522,4.506,6.696
HIST00275,6.734,6.156,5.528,3.851,4.668,5.345,5.879,5.193,5.390,4.601,3.543,6.334,6.691,6.435,5.276,4.365,6.105
HIST00276,4.125,2.738,3.145,5.190,4.938,2.752,2.416,3.213,2.699,5.371,2.071,6.523,5.521,4.287,4.802,4.524,5.752
HIST00277,5.651,4.467,4.259,3.885,5.089,3.430,3.713,4.102,3.509,4.704,2.359,6.121,6.135,4.344,3.900,5.397,5.522
HIST00278,4.105,4.569,3.704,3.495,4.054,3.938,3.815,5.281,3.259,6.211,2.891,6.308,5.653,5.496,4.613,3.364,5.073
HIST00279,4.072,2.344,4.020,2.337,5.979,3.983,4.512,4.170,3.670,5.501,2.884,6.674,5.125,5.198,4.922,4.226,5.933
HIST00280,3.391,3.802,3.989,4.968,2.624,3.735,3.831,3.228,3.085,2.421,1.067,7.109,4.898,3.385,3.538,3.511,3.742
HIST00281,5.965,4.030,5.574,3.690,3.899,5.530,5.670,5.438,4.356,6.462,4.021,5.698,6.791,5.693,5.442,4.008,6.456
HIST00282,3.869,3.654,4.253,3.664,4.550,4.133,3.735,4.407,3.637,4.918,2.555,5.726,6.396,4.157,5.050,4.346,5.347
HIST00283,5.644,5.169,3.810,3.964,5.194,3.594,4.132,3.853,3.264,4.977,2.320,5.313,6.417,4.063,5.043,3.456,5.557
HIST00284,3.360,5.372,4.705,3.564,5.095,4.774,4.104,4.897,4.492,5.206,3.341,6.006,6.410,5.270,5.260,4.652,5.697
HIST00285,3.399,4.136,2.969,4.077,1.000,2.776,2.999,3.233,3.021,4.875,2.104,7.707,3.999,3.929,4.017,3.245,4.203
HIST00286,4.302,2.916,4.074,3.112,3.540,3.896,3.878,3.088,2.630,2.664,1.001,6.437,5.502,2.969,4.619,3.830,5.410
HIST00287,2.284,3.969,5.723,2.624,5.218,6.057,6.313,3.656,4.537,3.303,2.141,5.344,6.363,4.363,5.546,4.071,5.478
HIST00288,3.423,3.278,3.574,5.121,4.597,3.496,4.440,3.220,3.110,2.926,1.300,6.634,5.621,3.427,4.436,5.038,4.936
HIST00289,5.238,3.042,4.518,3.997,5.690,4.715,5.242,3.021,3.004,2.788,1.197,6.113,6.161,3.236,4.789,4.772,5.310
HIST00290,4.216,6.633,5.114,3.716,2.599,5.286,4.800,3.472,3.863,3.049,1.682,6.530,5.241,4.473,4.943,3.657,5.726
HIST00291,5.177,4.005,4.304,3.724,5.537,3.951,4.111,5.060,3.922,4.248,2.380,6.808,6.135,4.422,5.162,4.446,5.720
HIST00292,4.794,4.970,3.053,3.970,4.958,3.298,3.447,3.654,3.479,3.784,1.881,6.640,6.039,3.583,5.873,4.403,5.465
HIST00293,3.419,3.933,3.958,4.362,5.076,4.130,3.729,3.676,2.837,3.430,1.390,6.718,5.607,3.724,5.477,4.520,4.904
HIST00294,3.422,4.865,3.670,3.542,4.167,3.789,3.606,4.429,4.112,3.413,2.005,5.889,5.730,4.238,5.211,5.575,5.580
HIST00295,4.233,2.472,5.383,2.789,4.239,5.263,5.012,3.631,4.170,5.005,2.981,5.641,6.587,4.445,4.733,4.119,5.143
HIST00296,2.341,4.199,4.433,4.601,4.753,4.812,4.587,2.604,2.954,2.963,1.251,6.616,6.000,3.147,4.672,4.612,5.087
HIST00297,3.248,2.723,4.026,1.359,4.382,3.857,4.223,4.897,4.009,5.280,3.024,5.657,5.174,5.380,4.000,4.094,5.996
HIST00298,3.198,3.903,3.463,2.164,3.147,3.405,3.465,3.035,3.184,2.783,1.266,7.582,4.596,3.002,4.161,4.037,4.405
HIST00299,4.636,4.561,5.485,3.774,4.401,5.405,5.165,5.237,4.790,5.425,3.712,6.282,6.713,5.077,4.663,4.457,5.744
HIST00300,4.535,2.964,4.047,5.223,3.577,4.037,4.279,4.322,3.578,4.232,2.163,6.155,5.333,4.171,4.347,4.257,5.056
HIST00301,2.575,6.546,6.448,4.151,4.534,6.363,6.495,5.268,5.524,5.734,4.525,4.844,8.210,5.879,4.306,4.734,6.406
HIST00302,4.300,3.869,3.050,2.791,5.511,3.112,3.305,3.276,3.532,3.700,1.867,5.989,5.637,4.165,5.520,5.271,5.197
HIST00303,2.241,4.206,3.854,6.468,4.673,4.304,4.911,2.905,3.103,4.726,2.095,7.119,5.676,3.921,4.348,5.085,5.238
HIST00304,3.823,2.082,6.068,4.381,4.113,6.484,6.350,5.418,3.855,4.274,2.354,5.582,6.898,4.955,3.932,3.935,5.012
HIST00305,3.717,3.919,5.453,2.867,6.176,5.397,5.427,3.310,4.063,3.349,1.944,5.925,7.065,4.508,4.405,4.247,5.359
HIST00306,4.801,4.560,4.568,4.135,6.402,4.513,4.026,6.018,3.453,5.179,2.555,6.476,6.317,5.390,4.800,4.216,5.641
HIST00307,4.854,4.888,3.626,3.369,4.412,3.384,2.974,3.423,3.181,4.348,1.976,6.563,6.144,3.565,4.218,4.906,5.631
HIST00308,4.988,4.541,4.213,4.653,3.083,4.134,4.256,2.924,3.463,2.139,1.058,6.247,6.456,2.946,4.679,3.872,4.766
HIST00309,3.722,5.236,1.922,3.367,3.902,1.862,2.045,3.511,3.066,3.563,1.561,7.054,4.361,3.719,4.425,4.421,4.772
HIST00310,3.199,4.872,2.189,3.658,4.155,2.383,2.411,2.395,3.392,3.271,1.585,6.656,4.887,4.140,4.916,4.900,5.698
HIST00311,3.856,4.258,4.116,3.235,5.156,4.091,4.288,3.907,3.707,3.451,1.828,6.820,6.424,3.767,4.546,3.331,4.979
HIST00312,3.555,3.284,2.328,3.959,4.216,2.749,3.599,2.253,2.363,2.069,0.698,6.926,5.266,2.240,4.131,4.158,4.274
HIST00313,3.818,3.806,4.322,3.430,5.220,4.512,4.081,4.840,3.492,5.042,2.515,5.969,6.932,4.616,4.781,4.736,5.804
HIST00314,5.240,3.184,3.532,3.534,4.441,3.552,4.107,3.159,2.794,3.927,1.568,7.570,5.538,3.258,5.309,4.224,5.476
HIST00315,4.178,6.016,3.753,4.000,4.800,3.633,4.426,3.850,4.347,3.265,2.028,6.167,5.823,3.633,5.071,3.930,5.789
HIST00316,4.052,5.269,5.822,3.211,6.294,5.298,6.036,4.817,4.491,4.815,3.089,5.628,7.535,4.250,5.716,4.407,6.548
HIST00317,4.676,3.197,4.714,3.773,3.031,4.674,4.939,3.936,3.434,2.861,1.404,6.386,5.918,3.329,3.975,4.041,4.704
HIST00318,4.133,2.764,4.841,5.307,2.772,4.582,4.706,4.118,4.241,3.760,2.278,7.595,4.908,4.088,3.806,4.035,4.784
HIST00319,3.364,4.717,3.407,3.021,5.302,3.896,3.899,3.306,3.430,4.338,2.126,6.517,5.380,4.188,5.461,3.363,5.419
HIST00320,4.931,4.856,4.721,3.355,5.845,5.090,4.630,4.242,4.462,2.495,1.591,6.251,6.910,4.099,5.797,5.204,5.646
HIST00321,1.399,2.506,1.951,2.982,4.340,1.708,2.092,3.251,2.381,4.527,1.540,6.715,4.615,4.356,4.966,4.176,4.897
HIST00322,5.044,5.076,4.775,4.656,4.105,4.754,4.097,3.590,3.858,3.096,1.706,6.904,6.052,3.415,5.389,4.646,4.802
HIST00323,1.282,3.114,4.704,4.132,2.238,4.754,4.712,4.329,3.665,5.032,2.635,6.513,4.817,3.876,3.978,5.006,5.681
HIST00324,4.672,3.356,4.181,5.134,3.243,4.127,4.111,2.531,2.830,2.343,0.947,6.603,5.150,3.478,4.483,3.836,4.236
HIST00325,3.279,2.008,3.615,3.950,2.696,3.860,3.954,3.363,2.605,4.718,1.756,6.278,5.007,3.955,3.154,3.846,4.537
HIST00326,4.511,4.220,3.428,5.938,4.432,3.745,3.512,3.352,2.967,2.519,1.068,7.910,4.911,3.264,5.439,4.615,5.625
HIST00327,3.541,2.598,4.127,4.318,3.375,3.659,4.161,4.411,4.050,4.446,2.572,7.267,4.597,4.701,3.588,4.697,4.402
HIST00328,4.679,2.969,2.518,4.520,4.855,2.941,3.286,3.040,1.847,5.021,1.325,7.381,4.874,3.630,5.328,4.394,4.606
HIST00329,5.149,4.932,3.717,5.757,3.513,3.494,3.382,3.880,3.780,5.011,2.706,7.002,6.173,4.309,5.012,3.702,5.332
HIST00330,3.759,4.762,3.992,4.389,5.385,3.942,4.488,4.976,3.423,5.343,2.613,6.398,5.232,5.167,4.970,4.582,5.771
HIST00331,2.858,5.497,4.268,3.667,5.141,4.185,4.480,4.243,4.083,4.257,2.484,6.403,6.245,5.070,5.745,5.055,5.873
HIST00332,3.830,6.746,3.692,4.823,5.997,3.740,3.817,4.785,4.469,4.078,2.604,6.168,6.855,4.247,5.953,5.716,5.965
HIST00333,5.691,4.585,4.193,4.101,5.333,4.406,3.949,4.560,3.231,4.464,2.060,6.348,5.394,4.483,6.230,4.051,5.766
HIST00334,4.400,4.013,2.986,3.624,5.838,3.277,2.731,4.444,3.413,4.695,2.289,6.612,5.148,4.894,5.698,4.503,6.151
HIST00335,3.860,2.170,3.645,2.349,3.520,3.692,3.211,3.970,3.170,4.780,2.165,6.434,4.804,4.439,3.600,4.513,4.874
HIST00336,3.794,4.373,4.539,4.897,3.163,4.201,4.346,4.074,3.436,4.268,2.095,7.112,5.885,3.265,5.188,4.640,5.648
HIST00337,3.934,4.810,4.071,1.708,3.792,4.028,3.909,5.152,4.478,4.854,3.105,6.064,5.927,4.971,4.474,4.531,5.935
HIST00338,4.819,4.980,4.638,3.458,3.459,4.355,4.424,5.138,3.761,4.116,2.211,6.602,5.924,4.281,3.752,4.083,5.075
HIST00339,2.070,4.439,5.582,4.871,4.969,6.037,5.691,4.190,4.305,2.402,1.477,7.401,6.966,2.875,4.264,4.704,5.226
HIST00340,1.540,3.564,4.687,3.257,4.195,5.016,4.047,3.895,3.648,4.064,2.118,6.622,5.441,4.205,4.564,3.954,4.652
HIST00341,5.859,3.365,4.983,4.264,4.352,4.910,5.144,3.965,3.705,5.726,3.031,6.369,6.724,5.605,3.694,4.224,5.798
HIST00342,3.790,4.461,4.690,3.063,3.139,4.669,5.029,3.473,3.853,5.217,2.872,6.537,6.076,5.746,4.416,4.180,5.857
HIST00343,3.180,5.373,2.818,3.931,4.033,2.876,3.845,4.057,3.850,5.043,2.774,6.202,4.763,4.792,4.806,4.588,5.877
HIST00344,4.250,4.203,4.043,4.764,4.216,4.281,5.056,5.251,4.951,6.192,4.380,6.880,5.815,5.414,5.224,4.052,5.283
HIST00345,5.276,3.617,5.330,3.821,2.084,5.316,5.071,4.389,4.614,3.347,2.206,6.616,5.333,3.981,4.337,3.707,4.890
HIST00346,3.617,5.171,2.515,3.680,3.082,2.326,2.423,2.964,3.500,4.106,2.053,7.156,4.436,4.278,4.142,4.293,5.542
HIST00347,5.761,4.527,4.230,3.414,4.546,4.150,3.819,3.773,3.607,3.672,1.892,6.708,5.801,4.504,4.706,4.490,5.045
HIST00348,5.019,3.636,3.792,5.060,6.759,3.820,3.880,4.570,4.557,4.387,2.856,6.242,6.525,4.281,5.910,4.624,4.829
HIST00349,2.080,3.033,3.889,3.215,4.044,3.900,3.763,4.371,3.505,4.742,2.374,6.918,5.295,4.532,4.358,3.250,5.019
HIST00350,3.972,4.280,5.416,4.783,4.461,5.229,5.467,5.264,4.895,5.030,3.518,5.711,6.563,5.069,4.167,3.874,5.894
HIST00351,3.487,3.853,3.998,3.849,4.568,3.881,4.338,3.955,3.449,4.853,2.391,6.739,6.585,4.539,4.020,3.653,4.690
HIST00352,5.282,2.820,2.796,3.087,5.774,2.037,2.102,3.620,3.208,4.096,1.877,6.243,6.156,4.357,5.909,4.587,5.991
HIST00353,4.271,3.385,4.930,3.649,4.665,4.369,4.458,5.581,3.995,4.870,2.780,6.379,6.564,5.536,4.446,4.206,5.253
HIST00354,3.793,3.201,4.838,3.166,3.719,5.177,5.316,4.244,4.162,4.899,2.913,5.942,6.489,3.998,4.477,4.216,5.841
HIST00355,3.755,2.824,4.051,3.550,4.782,4.082,4.234,3.879,2.773,3.753,1.487,6.527,5.927,3.523,5.550,4.838,5.449
HIST00356,1.416,2.776,4.855,4.532,3.709,4.636,4.010,3.561,2.525,3.904,1.408,7.329,5.677,4.260,3.138,4.038,5.103
HIST00357,2.585,5.225,3.494,2.795,4.220,3.374,3.814,5.169,4.476,4.869,3.113,5.709,5.880,5.286,4.693,4.200,4.880
HIST00358,2.913,3.560,2.872,2.903,4.885,2.779,2.758,3.236,3.132,4.906,2.195,6.248,5.134,3.249,4.123,5.261,5.038
HIST00359,4.955,3.949,4.711,5.038,3.645,4.749,4.563,3.671,3.869,3.272,1.809,7.216,4.951,3.662,4.860,4.114,4.791
HIST00360,4.108,5.411,4.618,1.476,4.628,4.607,5.244,4.881,5.055,4.027,2.908,6.234,6.322,4.467,5.590,3.729,4.995
HIST00361,4.747,4.715,3.796,3.068,4.638,4.228,3.650,4.216,3.568,4.022,2.050,6.491,5.740,3.680,4.789,4.089,4.665
HIST00362,3.949,5.144,5.565,5.326,6.043,5.527,5.204,3.907,4.053,3.997,2.314,6.117,7.521,3.639,6.292,4.806,5.835
HIST00363,4.574,3.626,2.135,4.065,3.219,1.622,1.823,3.773,2.846,3.850,1.565,7.151,4.532,4.429,4.963,3.969,4.654
HIST00364,2.819,2.704,5.323,5.187,5.230,4.992,4.821,4.609,3.476,5.105,2.535,5.890,6.302,4.735,4.590,4.661,5.297
HIST00365,5.044,5.265,4.709,3.336,4.989,4.279,4.882,4.093,4.730,2.376,1.606,5.578,6.452,3.290,5.173,5.071,5.214
HIST00366,3.644,3.986,2.997,4.202,3.408,2.961,3.633,3.438,3.484,1.915,0.953,7.170,5.281,2.984,4.972,3.688,4.677
HIST00367,5.397,3.453,3.415,3.927,4.436,3.317,3.189,4.421,3.899,3.689,2.055,6.247,5.769,3.780,5.309,4.482,4.686
HIST00368,5.072,3.599,5.845,4.047,4.631,6.061,5.439,4.354,3.819,4.344,2.369,5.258,7.433,4.047,4.813,3.962,6.473
HIST00369,5.409,4.282,3.438,4.349,3.044,3.525,3.541,4.718,3.759,3.652,1.961,6.902,4.992,4.953,3.060,3.387,4.927
HIST00370,2.821,2.582,4.716,3.983,4.422,4.905,4.979,3.467,3.548,3.811,1.931,7.121,5.521,4.081,4.232,3.537,4.862
HIST00371,2.719,3.219,3.477,4.477,3.066,3.240,3.782,4.114,2.730,5.809,2.266,5.529,5.200,4.229,3.484,3.708,4.944
HIST00372,3.052,4.871,4.773,2.452,6.970,4.774,4.526,4.551,5.098,4.843,3.527,5.279,7.363,5.034,6.001,5.274,6.817
