participant_id,institutional_unit,role_type,conscientiousness,agreeableness,emotional_stability,openness,dark_trait_pressure,bureaucratic_fit,discretion_level,accountability_strength,leadership_rating,institutional_performance,institutional_trust,role_clarity
I0224,civic_governance,committee_lead,4.232,2.849,4.244,4.315,1.614,5.130,4.444,3.896,5.373,4.903,4.212,2.792
I0225,civic_governance,analyst,2.718,3.593,4.640,4.366,1.620,4.102,3.465,3.445,5.010,3.623,3.546,3.547
I0226,civic_governance,analyst,5.509,3.512,4.757,4.608,1.726,5.441,3.501,3.964,5.067,4.183,3.608,3.702
I0227,civic_governance,analyst,3.876,3.937,4.355,5.232,1.000,3.947,3.489,3.862,4.442,4.720,3.745,3.811
I0228,civic_governance,analyst,5.108,4.825,3.461,5.484,1.755,4.883,2.963,4.290,5.906,4.359,4.131,3.440
I0229,civic_governance,analyst,4.012,4.577,2.929,3.362,1.000,5.199,3.671,3.694,5.569,3.635,4.289,3.563
I0230,civic_governance,analyst,4.314,3.358,4.112,2.802,1.253,5.231,3.310,4.004,5.356,4.488,4.878,3.250
I0231,civic_governance,analyst,2.893,4.389,4.928,6.161,1.000,3.871,4.049,4.089,5.309,3.832,4.449,3.927
I0232,civic_governance,analyst,3.783,4.935,3.658,3.139,1.306,4.449,4.149,3.759,4.192,3.404,4.237,3.551
I0233,civic_governance,executive,4.962,4.560,3.612,4.809,2.142,5.040,5.300,4.207,5.351,3.943,3.168,3.213
I0234,civic_governance,executive,5.064,3.536,3.792,4.199,1.044,4.664,5.982,4.253,5.368,4.108,4.227,3.824
I0235,civic_governance,executive,3.853,5.296,5.142,4.269,1.222,4.527,5.411,4.232,5.572,3.787,4.239,3.240
I0236,civic_governance,executive,4.389,5.194,3.441,4.541,1.000,4.213,5.549,3.835,5.458,4.330,3.511,4.130
I0237,civic_governance,executive,3.886,4.878,4.072,3.437,1.000,4.603,5.694,4.666,4.936,4.459,4.657,4.374
I0238,civic_governance,executive,3.753,5.005,3.975,4.557,1.867,3.943,5.259,3.900,5.066,4.155,4.071,4.247
I0239,civic_governance,executive,4.674,5.474,4.529,4.848,1.000,5.137,5.375,3.344,5.378,5.437,4.132,3.898
I0240,civic_governance,executive,3.934,4.004,4.923,4.077,1.000,4.554,5.494,3.995,5.471,3.988,4.653,3.276
I0241,research_institution,administrator,3.989,5.160,3.835,3.431,1.000,4.869,3.851,3.543,5.308,3.366,4.177,3.648
I0242,research_institution,administrator,5.513,3.494,2.942,3.039,1.031,5.218,3.663,3.417,5.015,4.786,3.757,3.842
I0243,research_institution,administrator,4.673,4.019,4.315,3.966,1.321,4.440,4.735,3.467,5.169,3.920,4.740,3.607
I0244,research_institution,administrator,3.432,5.181,4.049,3.073,1.000,4.062,4.146,4.522,4.739,4.579,4.027,4.452
I0245,research_institution,administrator,4.316,4.282,5.212,4.315,1.306,4.841,4.159,3.335,5.951,4.042,4.737,4.195
I0246,research_institution,administrator,4.455,4.401,4.213,4.399,1.000,4.639,4.292,3.478,5.330,5.028,5.028,4.061
I0247,research_institution,administrator,3.095,3.602,4.529,3.955,1.138,4.543,4.144,3.657,5.254,3.370,3.888,3.764
I0248,research_institution,administrator,4.836,6.075,4.703,3.888,1.000,5.218,4.223,4.090,6.598,4.081,4.683,4.536
I0249,research_institution,manager,4.653,4.491,3.608,4.311,1.000,4.701,4.640,4.581,5.485,4.921,4.285,3.695
I0250,research_institution,manager,4.090,3.902,4.290,4.312,1.262,3.852,4.726,3.940,5.365,4.455,4.018,4.593
I0251,research_institution,manager,3.469,4.248,3.748,4.241,1.375,4.341,4.917,4.017,4.826,4.541,4.206,3.761
I0252,research_institution,manager,4.437,4.704,4.212,3.041,1.000,5.577,5.107,4.092,5.593,5.097,4.361,4.412
I0253,research_institution,manager,4.514,3.132,3.742,3.231,1.402,5.287,4.417,3.999,4.522,5.414,3.864,4.194
I0254,research_institution,manager,3.918,3.615,4.994,4.142,1.000,4.737,4.724,4.327,5.107,4.347,5.268,3.846
I0255,research_institution,manager,4.137,4.717,3.839,4.702,1.577,4.805,4.096,4.499,5.146,4.545,4.142,3.977
I0256,research_institution,manager,4.540,5.094,5.662,4.172,1.000,5.484,4.351,3.776,5.339,3.560,5.240,4.038
I0257,research_institution,frontline_official,4.662,3.657,3.359,3.742,1.000,4.214,3.923,3.905,4.574,3.926,3.537,4.464
I0258,research_institution,frontline_official,3.633,4.136,4.047,4.078,2.074,3.348,4.391,4.206,4.796,3.988,4.233,4.428
I0259,research_institution,frontline_official,3.532,4.593,3.896,3.245,1.258,3.764,4.217,3.539,5.286,3.886,4.318,3.731
I0260,research_institution,frontline_official,5.002,3.953,3.317,4.514,1.316,4.751,3.565,4.186,5.209,4.712,4.151,4.396
I0261,research_institution,frontline_official,5.067,3.743,3.420,4.186,1.826,4.376,3.712,3.306,5.820,4.311,3.972,3.878
I0262,research_institution,frontline_official,3.786,3.310,3.803,3.963,1.852,3.720,3.698,4.160,5.304,4.004,3.953,3.619
I0263,research_institution,frontline_official,5.254,3.593,4.116,3.680,2.422,4.613,3.594,4.144,4.967,4.465,2.805,4.079
I0264,research_institution,frontline_official,4.875,3.325,4.025,4.657,1.601,4.400,3.478,3.643,3.956,5.031,4.562,4.700
I0265,research_institution,committee_lead,6.032,4.005,3.382,4.075,1.043,5.763,4.887,4.237,5.502,5.662,4.883,3.764
I0266,research_institution,committee_lead,3.435,3.833,3.885,4.978,1.139,4.410,3.902,3.431,4.434,4.181,4.092,4.105
I0267,research_institution,committee_lead,3.105,5.059,4.507,4.149,1.000,3.697,4.274,4.061,4.367,4.576,3.879,4.263
I0268,research_institution,committee_lead,3.936,4.261,5.043,3.350,1.497,4.235,4.363,4.046,5.311,3.963,4.079,3.728
I0269,research_institution,committee_lead,4.193,5.224,4.059,3.677,1.189,5.172,4.117,3.762,5.040,4.519,4.461,4.550
I0270,research_institution,committee_lead,3.567,5.899,4.056,4.852,1.000,4.754,4.095,3.658,6.025,4.074,5.084,3.904
I0271,research_institution,committee_lead,4.366,3.815,4.201,3.151,2.131,3.924,4.621,3.916,4.442,3.926,3.826,3.407
I0272,research_institution,committee_lead,4.090,3.666,3.518,5.021,1.308,4.842,4.221,3.688,5.013,3.800,4.110,3.784
I0273,research_institution,analyst,4.094,3.331,2.783,3.756,2.436,3.828,3.585,3.736,3.058,3.840,3.422,4.135
I0274,research_institution,analyst,4.575,3.441,4.290,4.942,1.861,4.724,3.338,4.296,5.338,4.929,3.458,5.088
I0275,research_institution,analyst,3.415,4.300,4.300,3.745,1.504,4.304,3.525,3.606,4.997,4.148,5.251,4.413
I0276,research_institution,analyst,4.146,4.327,4.694,1.888,2.268,4.912,3.478,4.072,4.895,3.618,4.110,3.770
I0277,research_institution,analyst,3.455,5.155,3.853,3.508,1.354,4.868,3.154,4.108,4.684,3.924,4.528,3.947
I0278,research_institution,analyst,4.014,5.132,4.101,2.839,1.000,4.884,3.189,3.879,5.050,3.940,4.508,5.056
I0279,research_institution,analyst,4.111,4.843,4.157,4.822,1.395,5.423,3.285,4.311,5.934,3.994,4.772,4.187
I0280,research_institution,analyst,3.923,3.057,3.421,4.160,1.432,5.000,3.393,4.389,4.986,4.904,4.580,3.978
I0281,research_institution,executive,3.846,3.248,4.471,3.796,1.000,4.598,5.301,4.072,5.085,4.086,4.206,3.916
I0282,research_institution,executive,3.951,3.489,5.120,4.782,1.645,3.990,4.887,3.712,5.491,3.909,4.566,4.973
I0283,research_institution,executive,5.946,3.821,2.688,4.097,1.375,5.061,5.833,3.789,5.287,4.750,4.379,3.838
I0284,research_institution,executive,3.782,4.521,5.386,4.702,1.839,4.260,5.204,3.777,4.905,3.696,4.437,4.642
I0285,research_institution,executive,4.977,5.637,4.305,3.146,2.379,5.467,5.361,3.633,5.781,5.077,3.693,4.351
I0286,research_institution,executive,3.345,4.817,4.630,4.166,1.363,3.855,5.031,3.880,5.744,4.578,3.440,4.585
I0287,research_institution,executive,2.896,3.472,2.733,4.167,1.299,4.422,5.860,3.704,4.183,3.738,4.138,4.151
I0288,research_institution,executive,5.022,3.240,3.603,3.491,1.503,3.957,5.732,4.637,4.905,4.566,4.471,4.889
