person_id,c1,c2,c3,c4,c5,c6,e1,e2,e3,e4,e5,e6,n1,n2,n3,n4,n5,n6,conscientiousness_score,extraversion_score,neuroticism_score,self_report_consistency_index,trait_observation_alignment
TRT00141,4.953,5.563,3.794,5.199,4.898,5.019,4.162,4.110,5.055,4.369,2.169,4.103,2.229,2.286,1.668,3.412,3.084,3.451,4.904,3.995,2.688,7.424,7.795
TRT00142,5.630,4.782,4.964,5.929,4.949,4.842,2.253,3.223,2.558,3.181,3.735,4.258,1.197,2.307,1.518,1.830,1.911,1.844,5.183,3.201,1.768,8.404,7.652
TRT00143,3.409,2.608,3.235,1.712,4.074,3.004,3.173,3.102,2.951,2.714,1.874,1.258,4.728,6.445,4.750,4.408,5.806,5.756,3.007,2.512,5.316,6.859,7.323
TRT00144,5.952,6.445,5.367,5.133,6.461,6.815,4.841,4.218,5.118,5.864,4.428,6.001,4.437,4.819,4.016,3.707,4.489,4.115,6.029,5.078,4.264,7.758,7.105
TRT00145,5.661,7.000,5.854,5.792,6.931,5.226,5.249,5.434,5.257,6.307,6.291,4.965,3.914,5.791,6.017,5.641,3.975,4.586,6.077,5.584,4.987,7.265,7.289
TRT00146,4.254,4.493,5.001,6.248,4.846,5.364,6.376,6.663,4.722,5.534,4.782,5.621,1.455,1.209,2.456,2.927,1.903,2.888,5.034,5.616,2.140,7.029,7.607
TRT00147,5.521,5.736,5.401,5.983,5.532,5.282,3.848,3.484,2.738,3.666,3.650,3.697,2.110,2.353,3.620,3.399,2.642,2.681,5.576,3.514,2.801,8.491,7.829
TRT00148,3.124,3.346,3.519,3.489,3.330,3.229,3.915,4.498,5.045,3.180,4.364,5.252,5.432,5.835,7.000,5.994,5.906,6.301,3.339,4.376,6.078,8.225,7.959
TRT00149,4.027,4.305,3.670,4.027,4.549,4.639,2.500,2.170,2.382,2.593,2.547,2.025,4.551,4.440,4.534,5.033,4.664,4.155,4.203,2.369,4.563,9.133,8.024
TRT00150,4.227,4.472,4.009,5.159,5.252,5.694,3.439,3.133,3.991,3.059,2.730,3.406,3.630,4.954,4.363,5.054,5.073,5.130,4.802,3.293,4.701,7.998,8.293
TRT00151,3.515,4.350,3.333,4.132,2.936,4.048,2.336,1.814,1.000,1.635,2.902,2.392,4.052,3.853,2.991,3.237,4.157,3.673,3.719,2.013,3.660,7.826,7.600
TRT00152,5.650,5.815,4.849,5.559,5.718,6.017,3.846,5.438,4.005,4.637,3.626,5.124,4.275,3.865,3.842,4.967,3.933,4.233,5.601,4.446,4.186,7.996,8.394
TRT00153,4.646,4.537,5.089,2.620,3.562,3.167,1.315,2.978,3.516,2.858,1.682,1.773,3.428,3.304,3.380,3.433,2.928,2.348,3.937,2.354,3.137,7.445,8.052
TRT00154,6.421,5.211,6.321,5.705,5.659,5.326,5.367,4.521,3.953,4.511,3.327,3.487,4.020,5.199,4.692,5.394,4.721,5.575,5.774,4.194,4.934,7.508,7.614
TRT00155,5.032,4.943,4.599,4.276,4.723,4.532,4.791,5.122,4.744,4.539,4.980,4.857,5.290,4.792,5.644,5.821,4.939,4.853,4.684,4.839,5.223,8.952,7.909
TRT00156,2.538,2.703,3.479,1.914,2.523,1.977,3.973,4.402,3.799,3.705,3.306,4.913,2.370,2.525,1.591,2.927,3.657,3.035,2.522,4.016,2.684,7.502,8.046
TRT00157,2.839,2.049,1.550,2.516,1.524,2.315,4.517,3.194,3.825,4.652,3.879,3.319,4.892,4.395,4.103,4.371,5.396,4.468,2.132,3.898,4.604,8.168,7.151
TRT00158,4.120,3.925,3.333,4.335,4.781,4.345,6.176,6.966,5.904,6.007,6.907,7.000,4.027,4.646,4.891,5.067,4.778,4.771,4.140,6.493,4.697,8.468,7.365
TRT00159,2.163,2.335,4.090,2.443,2.272,2.285,5.674,5.002,4.933,4.834,5.168,5.031,3.578,3.337,2.816,4.105,3.741,4.668,2.598,5.107,3.707,7.916,7.423
TRT00160,4.187,4.705,4.275,3.773,4.680,3.738,3.120,4.931,4.582,4.032,4.113,3.863,4.906,5.398,4.994,6.366,5.146,4.393,4.226,4.107,5.200,8.335,7.051
TRT00161,1.743,2.363,2.534,2.361,1.000,3.110,3.821,3.858,2.490,2.791,3.775,3.177,4.739,4.465,4.867,5.684,5.073,4.000,2.185,3.319,4.804,7.299,7.151
TRT00162,3.578,2.506,3.556,2.821,2.510,1.892,4.269,2.487,2.882,3.543,3.653,2.467,4.079,3.151,4.044,4.180,4.371,3.164,2.810,3.217,3.832,7.193,7.922
TRT00163,1.960,2.366,3.001,2.452,2.698,2.514,3.099,4.112,2.622,3.608,3.776,3.580,4.960,4.052,5.340,6.058,3.413,4.948,2.499,3.466,4.795,7.711,7.772
TRT00164,3.404,3.989,4.752,3.548,5.196,4.532,1.100,1.000,1.384,1.000,1.455,1.134,4.569,4.698,5.502,5.555,4.402,5.467,4.237,1.179,5.032,8.019,7.215
TRT00165,2.351,4.061,2.644,3.734,3.218,2.727,3.876,5.457,4.610,4.371,6.021,4.659,3.469,4.035,4.345,3.248,4.862,5.003,3.122,4.832,4.160,7.294,7.971
TRT00166,4.167,3.700,3.980,3.480,5.400,3.804,4.274,4.601,5.027,4.437,5.493,5.502,4.938,4.931,4.766,4.135,4.928,5.339,4.088,4.889,4.840,8.784,7.407
TRT00167,3.583,4.562,4.205,5.539,4.181,5.562,4.872,5.180,4.266,4.435,6.519,5.162,3.144,3.586,4.485,4.321,3.630,3.926,4.605,5.072,3.849,7.618,7.667
TRT00168,4.341,4.469,3.004,5.011,4.292,3.330,4.608,4.212,4.642,5.011,4.361,3.317,3.223,2.660,2.674,3.435,3.197,3.872,4.075,4.359,3.177,7.704,8.573
TRT00169,3.189,2.947,3.784,4.062,4.009,4.051,1.949,3.238,2.278,2.338,3.883,2.008,3.942,3.327,2.882,2.588,2.713,2.793,3.674,2.616,3.041,7.537,7.640
TRT00170,5.408,5.507,5.567,6.734,6.109,6.235,2.811,2.132,1.764,3.476,1.471,2.123,2.243,1.418,2.644,2.199,1.400,2.186,5.927,2.296,2.015,7.492,7.124
TRT00171,4.238,4.052,5.802,3.843,5.602,5.295,4.150,4.142,3.564,5.034,4.417,4.478,1.654,3.012,2.836,2.658,3.132,2.401,4.806,4.298,2.615,7.704,7.856
TRT00172,3.528,3.804,3.704,3.505,3.506,3.989,6.500,5.446,6.604,5.212,5.417,5.891,4.897,3.418,4.929,4.510,4.275,3.775,3.673,5.845,4.301,7.828,7.007
TRT00173,4.583,4.203,4.364,3.750,4.993,6.202,2.182,3.075,3.109,2.670,3.235,2.200,1.240,2.241,2.059,1.069,2.751,2.174,4.683,2.745,1.922,7.900,7.634
TRT00174,4.990,4.459,4.919,4.883,4.863,3.952,3.068,2.191,3.645,2.594,2.903,2.259,3.198,4.269,5.372,3.267,4.466,3.913,4.678,2.777,4.081,7.570,7.749
TRT00175,4.269,4.067,5.569,4.718,4.645,4.234,2.828,3.075,2.924,3.030,3.684,3.169,5.020,4.899,3.704,4.242,3.738,4.945,4.584,3.118,4.425,8.562,8.567
TRT00176,4.007,4.180,3.343,4.702,5.688,2.905,2.752,3.572,3.846,2.755,3.832,3.165,4.969,5.313,4.636,6.111,5.326,4.979,4.138,3.321,5.222,7.412,8.180
TRT00177,3.173,2.983,1.877,2.070,1.277,3.305,3.310,4.010,2.947,3.048,3.273,2.717,3.128,3.016,2.900,2.373,2.306,2.155,2.447,3.218,2.646,7.961,7.571
TRT00178,3.659,3.949,4.302,3.132,4.085,2.903,4.727,4.808,4.856,5.191,4.333,4.608,3.540,3.174,4.268,4.186,3.743,4.141,3.672,4.754,3.842,8.074,7.707
TRT00179,2.965,3.484,4.274,3.678,3.640,4.731,3.332,3.091,3.598,4.125,4.530,3.977,4.191,4.413,3.242,3.729,3.214,5.542,3.795,3.775,4.055,7.529,7.721
TRT00180,4.656,3.995,3.557,5.466,3.275,4.062,4.941,6.027,5.567,5.861,5.341,3.803,4.817,5.679,5.677,5.255,5.570,5.043,4.168,5.256,5.340,7.480,7.004
TRT00181,4.548,3.493,3.650,4.502,3.329,3.786,4.535,2.921,3.037,4.097,3.260,4.147,5.995,4.376,5.249,4.607,5.262,5.578,3.885,3.666,5.178,8.033,7.783
TRT00182,5.065,5.302,4.381,4.495,5.223,3.797,7.000,6.202,7.000,7.000,7.000,7.000,3.886,4.121,3.788,3.130,2.665,3.437,4.710,6.867,3.505,8.280,7.599
TRT00183,1.000,1.160,1.065,1.000,1.942,1.197,3.639,3.559,3.267,3.111,3.501,2.791,3.033,1.719,2.290,2.217,2.607,2.078,1.227,3.311,2.324,8.832,7.177
TRT00184,5.103,4.781,6.396,3.526,5.662,5.493,4.935,3.015,4.524,4.713,4.799,4.302,3.053,2.465,2.496,2.516,1.724,2.729,5.160,4.381,2.497,7.619,8.064
TRT00185,4.295,3.528,2.784,2.738,4.142,3.418,1.930,1.000,1.000,1.594,1.000,1.932,5.371,5.288,4.141,5.073,5.048,6.126,3.484,1.409,5.174,7.412,7.209
TRT00186,4.475,5.219,5.148,4.656,5.158,6.353,3.294,2.897,2.565,2.649,2.628,3.104,6.010,5.567,6.402,5.546,4.934,5.800,5.168,2.856,5.710,8.692,8.207
TRT00187,1.512,3.550,4.003,2.473,2.054,2.814,3.667,4.278,2.526,3.011,2.557,2.559,3.802,3.300,3.977,3.795,2.485,3.873,2.734,3.100,3.539,6.897,7.580
TRT00188,4.748,3.652,4.671,3.820,4.607,3.358,4.018,3.517,2.661,2.959,3.079,3.110,3.947,4.827,4.611,4.991,4.363,3.508,4.143,3.224,4.374,8.159,7.759
TRT00189,5.561,5.486,4.305,3.499,5.186,5.047,2.970,2.911,4.382,2.968,4.520,3.745,3.091,3.091,3.707,4.549,3.930,4.213,4.847,3.583,3.763,6.890,7.696
TRT00190,4.088,3.255,5.103,4.622,3.389,4.016,3.674,2.451,2.747,2.394,3.342,2.656,2.356,2.825,2.708,1.952,2.221,2.270,4.079,2.877,2.388,7.821,7.336
TRT00191,3.268,3.132,3.644,3.315,3.556,2.397,3.896,3.681,5.173,3.680,2.924,3.769,3.161,3.369,2.976,3.667,3.549,2.951,3.219,3.854,3.279,7.932,7.762
TRT00192,4.673,3.565,5.154,2.955,3.682,4.578,2.375,4.152,3.379,4.619,4.376,4.024,6.419,4.247,4.935,5.077,4.519,4.756,4.101,3.821,4.992,6.930,7.810
TRT00193,3.023,4.576,3.999,3.793,5.299,3.956,4.625,4.183,4.456,4.104,4.908,5.103,5.592,4.762,5.956,5.693,3.564,4.758,4.108,4.563,5.054,7.773,7.993
TRT00194,5.167,3.617,4.030,4.005,4.877,3.532,2.570,3.603,3.222,2.668,3.287,3.010,5.427,4.919,5.824,5.147,5.925,5.112,4.205,3.060,5.392,8.505,6.897
TRT00195,5.848,5.858,5.631,6.637,5.778,6.373,6.176,6.669,5.927,4.681,4.951,6.776,3.438,3.184,2.970,3.823,3.593,3.700,6.021,5.863,3.451,7.984,7.569
TRT00196,3.344,2.709,2.220,2.047,1.279,2.291,4.910,4.173,5.559,4.978,5.396,4.596,3.274,3.502,3.968,4.108,3.473,3.126,2.315,4.935,3.575,8.122,6.860
TRT00197,5.970,5.159,5.253,5.059,4.714,4.170,2.804,3.396,2.805,2.183,3.022,2.808,4.913,5.824,6.611,4.972,3.666,5.677,5.054,2.836,5.277,7.252,7.920
TRT00198,1.000,1.413,1.000,2.765,1.948,2.506,2.546,2.369,3.180,3.999,1.728,3.654,2.617,3.603,2.893,4.044,2.731,2.871,1.772,2.913,3.127,7.181,7.458
TRT00199,6.466,4.380,3.572,3.978,4.319,5.353,6.283,7.000,6.755,6.607,6.111,6.645,5.467,5.087,3.871,5.638,5.046,3.077,4.678,6.567,4.698,7.376,7.690
TRT00200,4.078,3.557,3.354,2.859,3.752,3.675,6.689,4.898,5.287,4.033,5.346,5.497,2.976,2.801,3.869,3.014,3.582,3.600,3.546,5.292,3.307,8.039,7.923
TRT00201,4.166,3.179,3.351,3.458,3.485,3.792,2.999,3.872,3.292,3.465,3.121,2.932,5.433,5.255,5.867,4.497,3.892,5.271,3.572,3.280,5.036,8.143,7.378
TRT00202,3.416,4.543,3.818,4.348,2.960,4.781,3.656,3.943,4.348,3.684,3.291,3.195,4.946,5.264,4.062,4.819,4.135,4.503,3.978,3.686,4.622,7.911,8.421
TRT00203,4.391,3.623,4.312,4.608,4.691,3.184,3.826,3.121,3.543,3.175,3.150,3.279,2.292,2.712,3.550,3.018,3.172,3.697,4.135,3.349,3.074,8.408,7.932
TRT00204,3.229,2.765,3.368,3.411,2.645,2.385,4.120,4.362,3.354,4.259,4.313,4.558,3.672,2.055,2.195,2.654,3.275,1.164,2.967,4.161,2.503,7.900,7.599
TRT00205,3.580,3.832,2.428,2.927,3.783,4.012,2.068,3.773,2.728,3.984,2.727,4.231,3.241,3.827,3.658,3.179,4.184,2.436,3.427,3.252,3.421,6.512,8.588
TRT00206,2.796,3.105,3.119,4.017,3.674,3.984,3.088,4.101,5.089,4.646,5.445,4.726,2.517,3.617,2.804,2.132,2.956,3.298,3.449,4.516,2.887,7.895,8.159
TRT00207,5.320,5.396,4.304,5.099,3.701,4.502,4.368,4.937,4.176,6.062,5.765,4.435,4.161,2.612,3.656,4.222,2.943,3.718,4.720,4.957,3.552,7.554,8.563
TRT00208,2.519,2.203,3.209,2.849,3.125,2.176,4.865,4.844,5.571,5.180,4.956,5.028,5.785,5.296,5.530,5.297,5.247,3.984,2.680,5.074,5.190,8.520,6.806
TRT00209,2.727,2.671,2.381,3.605,3.235,2.927,2.417,3.105,3.110,2.275,3.896,2.435,2.537,2.565,3.418,2.801,2.098,2.894,2.924,2.873,2.719,8.188,8.424
TRT00210,4.320,3.856,4.077,3.292,3.115,5.390,2.686,3.149,3.388,2.710,3.391,4.177,4.102,3.500,4.826,4.401,4.402,4.828,4.008,3.250,4.343,7.428,8.244
TRT00211,4.013,5.616,5.550,4.208,5.377,4.602,6.182,6.780,7.000,6.454,5.142,5.997,5.015,5.394,4.805,4.329,4.639,5.128,4.894,6.259,4.885,7.713,8.154
TRT00212,4.805,5.300,5.114,3.961,4.376,5.665,2.848,3.052,2.664,3.254,2.767,2.646,2.487,2.219,1.253,3.220,3.152,1.808,4.870,2.872,2.356,8.310,7.526
TRT00213,5.581,4.411,4.009,5.770,4.211,4.004,3.830,3.798,3.579,4.793,3.180,4.070,4.542,4.602,4.983,4.679,5.569,4.359,4.665,3.875,4.789,8.138,8.391
TRT00214,3.089,3.300,2.707,3.089,3.613,2.922,4.751,4.723,4.728,5.037,4.217,4.251,2.681,1.450,3.319,3.351,3.270,2.352,3.120,4.618,2.737,8.567,7.081
TRT00215,4.400,3.655,5.417,5.053,4.667,3.808,5.614,6.050,5.883,4.392,6.446,4.922,2.493,3.424,4.498,1.807,3.203,2.685,4.500,5.551,3.018,6.504,7.582
TRT00216,2.114,3.344,2.418,3.939,2.884,2.610,3.763,3.148,2.991,2.895,5.105,3.997,4.313,4.490,4.999,5.431,5.076,5.093,2.885,3.650,4.900,7.876,7.621
TRT00217,3.696,3.741,2.903,2.578,2.769,3.316,1.070,3.519,1.364,2.719,2.777,2.974,3.163,3.364,2.573,2.283,1.781,3.035,3.167,2.404,2.700,7.526,8.083
TRT00218,4.737,3.994,4.596,4.895,4.061,5.689,2.518,2.866,2.656,2.845,3.348,2.176,2.789,4.036,3.622,2.391,4.599,2.771,4.662,2.735,3.368,7.656,8.638
TRT00219,4.769,5.143,3.648,4.536,3.463,4.762,5.820,5.996,5.727,5.281,4.408,4.860,4.563,4.696,4.263,4.016,3.731,3.766,4.387,5.349,4.172,7.851,8.311
TRT00220,3.123,3.231,3.757,3.963,4.140,4.312,5.330,4.144,3.473,4.680,4.573,4.540,3.734,4.676,5.191,5.051,5.397,4.336,3.754,4.457,4.731,8.058,7.756
TRT00221,3.180,3.496,4.357,4.715,4.612,4.988,3.548,4.061,2.827,2.394,3.075,4.145,4.397,4.271,4.513,3.459,3.729,4.610,4.224,3.342,4.163,7.685,8.321
TRT00222,5.616,5.902,5.008,5.981,6.782,5.678,2.893,3.605,3.329,2.743,3.260,4.361,3.076,2.546,2.455,2.902,4.554,3.374,5.828,3.366,3.151,7.005,7.842
TRT00223,3.961,2.786,2.886,4.050,4.023,2.664,4.620,3.890,2.163,4.289,2.320,4.273,3.835,3.759,3.042,3.193,3.805,2.397,3.395,3.592,3.338,6.828,8.214
TRT00224,4.053,4.846,4.416,4.299,4.342,4.658,4.107,3.690,3.846,4.863,3.626,3.907,3.143,1.171,1.351,2.340,2.323,2.562,4.436,4.006,2.148,7.706,8.067
TRT00225,3.612,2.565,3.797,4.292,4.060,4.940,3.771,2.732,3.667,3.828,3.609,3.489,4.419,4.435,3.901,4.460,3.723,2.716,3.878,3.516,3.942,7.261,7.783
TRT00226,4.555,4.295,4.795,5.566,4.363,3.872,5.481,3.887,6.125,4.728,3.446,5.192,3.967,3.792,5.167,4.269,4.953,4.131,4.574,4.810,4.380,7.218,8.648
TRT00227,4.218,3.661,3.205,3.505,4.418,2.521,1.327,1.000,1.249,2.108,1.263,1.419,3.154,3.431,3.657,4.553,3.510,4.127,3.588,1.394,3.739,8.065,7.115
TRT00228,5.476,6.245,5.761,5.858,5.205,5.608,3.824,4.030,3.957,3.898,5.242,5.141,5.653,7.000,5.929,6.208,4.604,5.473,5.692,4.349,5.811,7.330,7.946
TRT00229,5.727,5.051,6.796,5.262,6.607,6.278,3.370,4.199,3.816,3.271,3.018,4.053,3.439,3.992,2.598,4.736,3.388,3.762,5.954,3.621,3.653,7.801,7.671
TRT00230,3.988,1.365,4.273,3.233,3.595,3.140,5.823,5.958,5.291,5.728,6.317,5.770,3.603,3.948,3.953,3.028,3.632,3.152,3.266,5.814,3.553,7.898,6.862
TRT00231,2.789,3.427,2.955,3.537,3.163,3.498,3.539,4.199,3.899,3.580,3.105,3.121,2.357,3.472,2.697,2.317,2.576,2.969,3.228,3.574,2.731,8.380,8.101
TRT00232,4.933,5.217,5.684,5.030,5.159,5.561,3.797,4.128,3.231,4.908,4.054,3.078,1.487,1.842,1.440,2.840,3.262,2.328,5.264,3.866,2.200,8.058,7.731
TRT00233,5.372,5.556,5.209,5.464,5.749,5.678,6.008,5.679,5.709,5.232,6.403,6.422,2.535,2.540,2.471,3.689,3.813,2.666,5.505,5.909,2.952,8.450,7.587
TRT00234,3.701,3.100,2.704,4.137,4.423,3.112,5.555,5.202,5.722,6.276,4.673,6.390,4.667,3.276,4.527,3.876,4.597,4.790,3.529,5.636,4.289,7.516,8.269
TRT00235,4.138,3.689,2.705,2.845,2.034,2.612,3.570,3.146,2.360,3.807,3.597,2.843,4.553,4.370,4.323,5.061,4.957,3.269,3.004,3.221,4.422,8.091,7.294
TRT00236,3.119,4.321,4.036,3.935,4.297,4.161,4.881,4.663,5.756,4.968,4.923,5.709,4.382,4.598,5.752,5.009,3.662,4.323,3.978,5.150,4.621,7.599,7.761
TRT00237,2.148,2.054,1.696,2.321,2.190,2.440,3.181,1.741,3.114,3.894,1.992,2.563,3.026,4.055,4.607,5.096,3.221,4.046,2.142,2.747,4.008,7.384,6.770
TRT00238,3.035,4.041,3.565,3.023,3.479,4.520,4.307,3.164,4.686,3.529,3.232,3.931,3.308,3.373,2.822,4.392,4.318,2.489,3.610,3.808,3.451,7.430,8.503
TRT00239,3.048,3.487,3.138,4.198,3.625,3.482,4.655,5.680,4.150,5.387,4.704,4.681,5.555,5.014,5.614,5.485,4.955,5.261,3.496,4.876,5.314,8.454,6.429
TRT00240,4.943,5.986,5.057,4.621,6.817,5.703,5.515,4.003,4.405,5.638,4.565,5.595,5.654,5.555,5.449,5.140,5.642,5.246,5.522,4.954,5.448,7.667,7.794
TRT00241,5.447,5.070,4.339,4.007,4.725,5.116,2.746,2.595,3.436,3.819,2.672,2.873,5.338,5.760,4.686,5.312,3.400,3.798,4.784,3.024,4.716,7.733,8.421
TRT00242,4.355,3.141,3.929,3.589,3.427,3.922,4.397,4.339,4.260,5.558,3.509,4.503,4.131,2.698,3.393,3.473,4.853,3.362,3.727,4.428,3.652,7.946,7.857
TRT00243,6.228,4.737,4.511,4.904,4.628,4.150,4.240,5.661,4.947,5.326,4.491,4.180,2.487,2.293,2.866,3.725,1.710,2.061,4.860,4.808,2.524,7.477,8.027
TRT00244,4.958,5.515,4.301,4.807,4.901,6.215,2.657,3.420,3.375,3.146,5.072,3.609,3.344,3.511,2.977,1.889,1.066,3.818,5.116,3.547,2.767,6.458,8.254
TRT00245,3.355,4.182,5.182,4.613,5.181,4.557,4.540,2.399,3.569,3.729,4.109,3.360,4.678,4.552,3.175,5.478,4.981,5.411,4.512,3.618,4.713,6.954,8.129
TRT00246,3.516,5.397,4.004,4.052,4.009,4.342,4.466,5.122,4.766,4.327,4.011,5.230,2.578,1.000,2.764,2.268,2.047,2.261,4.220,4.653,2.153,7.968,7.490
TRT00247,3.615,4.325,4.136,4.621,4.426,5.659,4.396,4.204,5.528,5.633,5.623,5.688,3.889,4.244,4.954,4.471,4.186,4.414,4.464,5.179,4.360,7.969,6.970
TRT00248,4.604,4.391,4.050,3.914,4.036,3.906,5.228,4.848,4.208,5.007,4.780,5.259,4.469,4.551,2.075,3.160,3.774,3.219,4.150,4.888,3.541,7.783,8.370
TRT00249,5.153,3.692,4.173,5.172,3.374,3.926,4.311,5.542,4.694,4.177,4.348,5.950,4.959,5.574,5.185,5.116,5.965,5.498,4.248,4.837,5.383,8.009,7.820
TRT00250,6.331,5.353,4.106,4.386,3.862,5.120,4.634,4.670,3.050,4.954,4.338,4.401,4.070,3.614,3.860,3.913,3.371,4.135,4.860,4.341,3.827,7.592,8.097
TRT00251,5.157,4.977,4.949,4.178,4.744,4.033,4.887,4.470,4.874,6.288,4.484,4.926,4.026,3.867,3.682,4.548,4.047,4.807,4.673,4.988,4.163,8.113,7.802
TRT00252,1.902,2.519,3.060,2.670,2.753,3.720,3.436,3.723,3.944,4.214,4.410,3.756,4.098,3.336,3.299,3.103,2.332,3.586,2.771,3.914,3.292,8.435,7.529
TRT00253,5.920,5.768,5.199,5.318,4.825,5.304,1.000,1.810,1.000,1.000,1.510,1.000,2.592,3.272,1.833,3.073,3.568,2.765,5.389,1.220,2.851,8.104,7.494
TRT00254,3.612,3.946,4.749,4.041,3.279,2.650,3.311,3.584,3.156,3.291,2.804,3.077,4.569,3.262,4.569,4.889,4.289,3.045,3.713,3.204,4.104,8.146,8.357
TRT00255,4.071,4.522,2.942,4.204,5.146,4.412,3.446,2.417,1.854,2.575,3.184,2.387,5.577,3.254,4.791,5.434,3.231,4.091,4.216,2.644,4.396,7.207,8.410
TRT00256,2.791,4.536,5.197,4.329,4.378,3.738,4.396,5.315,4.736,4.165,4.360,4.140,1.704,2.102,1.659,2.161,2.809,2.065,4.161,4.519,2.083,7.927,7.464
TRT00257,4.009,5.144,4.611,4.719,4.483,5.160,4.454,2.553,3.938,3.249,3.187,3.032,2.821,5.101,4.482,3.427,4.402,3.675,4.688,3.402,3.985,7.291,7.747
TRT00258,5.131,4.958,3.977,5.242,4.683,5.045,1.697,3.177,3.214,2.435,3.273,2.827,2.403,3.491,3.484,3.039,3.152,4.052,4.840,2.770,3.270,7.938,8.448
TRT00259,4.114,3.973,4.892,3.242,3.972,3.644,5.117,4.546,5.305,4.363,2.672,3.366,3.741,3.589,2.839,4.984,4.785,4.312,3.973,4.228,4.042,6.631,7.146
TRT00260,4.695,5.480,5.250,5.124,5.581,5.621,4.128,4.415,3.908,4.401,4.061,3.563,2.881,2.400,2.600,2.290,2.561,3.307,5.292,4.079,2.673,8.884,8.523
TRT00261,5.245,4.542,4.832,5.664,4.956,3.384,4.177,3.190,3.417,2.532,2.590,4.294,4.680,3.693,5.709,4.463,4.538,4.990,4.770,3.367,4.679,7.728,8.294
TRT00262,4.653,4.370,3.952,4.105,5.167,4.524,4.435,4.852,4.270,3.742,3.653,4.073,4.855,3.845,3.865,4.012,5.386,4.410,4.462,4.171,4.395,7.917,7.768
TRT00263,4.695,6.238,5.632,5.087,4.855,4.832,4.360,3.762,3.288,5.216,4.665,4.947,4.366,2.214,3.978,2.210,3.265,3.269,5.223,4.373,3.217,6.781,7.650
TRT00264,5.062,5.808,6.655,6.764,5.025,5.672,4.613,4.731,3.758,4.293,4.852,3.825,3.156,2.266,3.197,3.470,2.824,2.213,5.831,4.345,2.854,7.915,8.051
TRT00265,3.328,4.387,2.990,3.304,3.178,3.131,4.947,4.233,5.051,4.936,5.834,5.371,3.197,1.961,2.778,1.790,2.659,2.230,3.387,5.062,2.436,7.662,7.632
TRT00266,4.887,5.191,4.885,5.016,5.175,4.842,1.289,1.000,2.059,1.978,2.275,1.900,4.061,3.031,3.428,2.059,4.037,2.820,4.999,1.750,3.239,8.293,7.881
TRT00267,3.960,3.574,2.503,2.738,2.968,2.719,2.988,4.061,4.267,4.192,3.283,4.376,5.176,5.888,3.560,3.643,3.013,3.554,3.077,3.861,4.139,6.910,7.811
TRT00268,5.127,4.807,6.099,4.139,4.571,5.761,3.233,3.482,3.483,3.327,4.915,3.183,3.106,3.428,3.123,3.599,2.105,3.402,5.084,3.604,3.127,7.764,7.916
TRT00269,4.448,4.165,4.633,4.585,4.968,5.585,4.773,3.736,4.208,4.451,2.892,3.815,4.212,6.451,5.758,6.026,5.364,5.703,4.731,3.979,5.586,7.500,7.589
TRT00270,2.675,3.410,3.645,4.057,2.594,2.647,6.230,5.715,5.685,6.257,4.847,4.753,2.484,3.569,3.188,2.647,3.192,4.328,3.171,5.581,3.235,7.476,7.314
TRT00271,2.589,2.690,1.871,3.251,2.689,2.583,3.262,3.292,3.080,3.725,3.262,2.421,3.239,5.746,4.291,4.235,3.250,1.988,2.612,3.174,3.792,7.001,7.592
TRT00272,4.284,4.046,2.896,4.196,3.100,3.343,2.337,2.734,3.592,3.514,2.290,2.510,2.542,2.597,4.440,1.687,4.209,4.068,3.644,2.829,3.257,6.741,7.808
TRT00273,5.015,4.789,5.468,5.367,5.726,4.812,1.520,1.712,1.766,1.000,2.549,2.129,3.251,3.117,1.629,3.064,2.291,1.952,5.196,1.779,2.551,7.879,7.397
TRT00274,3.738,3.948,5.292,3.539,5.396,4.405,3.188,4.575,5.494,4.963,4.949,4.401,1.770,1.364,1.314,2.091,1.588,1.126,4.386,4.595,1.542,7.667,7.976
TRT00275,5.269,3.814,4.106,4.252,4.454,3.585,3.838,3.842,3.860,2.830,3.422,4.043,4.295,4.068,4.506,3.775,5.428,4.102,4.247,3.639,4.362,8.036,8.018
TRT00276,4.395,4.746,4.548,5.376,5.743,5.190,3.013,3.985,4.139,4.008,3.418,4.122,5.541,3.085,4.351,3.972,3.377,4.457,5.000,3.781,4.130,7.924,8.622
TRT00277,2.861,3.291,2.596,4.135,4.082,4.015,4.441,4.328,5.109,4.464,4.048,4.586,5.007,5.399,5.838,5.931,4.705,6.444,3.497,4.496,5.554,8.401,6.852
TRT00278,3.870,5.176,5.100,4.079,4.014,3.492,5.129,4.539,4.472,5.200,5.670,4.249,2.957,3.666,3.257,3.124,3.236,3.434,4.289,4.876,3.279,8.441,8.588
TRT00279,3.375,4.009,3.353,4.061,4.266,2.763,3.271,3.492,4.170,3.829,3.190,4.410,4.176,3.759,3.718,3.483,2.686,3.351,3.638,3.727,3.529,7.562,7.955
TRT00280,2.321,2.277,2.857,2.401,2.785,2.347,3.619,3.078,3.209,2.267,4.246,1.669,3.755,3.857,3.962,3.683,2.456,3.265,2.498,3.015,3.496,8.061,7.894
TRT00281,2.894,3.958,3.557,3.845,2.457,3.673,3.864,4.741,4.466,4.473,4.973,4.278,4.430,3.328,3.081,3.539,3.591,2.710,3.397,4.466,3.447,7.708,7.888
