person_id,identity_context,past_self,present_self,future_self,intentional_clarity,action_ownership,self_efficacy,external_constraint,social_recognition,value_commitment_gap,identity_integration,well_being,past_present_gap,present_future_gap,temporal_self_continuity,agency_index,situated_agency_index,identity_alignment
SAI0161,community_supported_identity_context,5.757,4.373,5.118,5.062,5.418,5.915,1.626,5.355,3.347,5.167,4.684,1.385,0.746,0.822,5.442,5.425,3.653
SAI0162,community_supported_identity_context,6.047,4.786,5.635,5.128,5.534,5.136,1.869,5.049,2.909,5.714,4.195,1.260,0.849,0.824,5.232,5.196,4.091
SAI0163,community_supported_identity_context,4.863,5.312,5.882,6.162,6.108,6.742,1.338,4.892,2.375,5.335,4.226,0.450,0.569,0.915,6.169,5.913,4.625
SAI0164,community_supported_identity_context,4.834,6.062,5.792,6.281,6.649,5.808,2.012,4.445,2.390,5.064,4.746,1.227,0.270,0.875,5.932,5.634,4.610
SAI0165,community_supported_identity_context,5.528,5.299,5.305,5.503,6.390,5.841,1.979,4.214,1.835,5.463,4.561,0.229,0.006,0.980,5.689,5.394,5.165
SAI0166,community_supported_identity_context,4.314,5.443,6.164,6.452,7.000,6.121,1.168,4.865,2.411,5.549,4.555,1.129,0.720,0.846,6.351,6.054,4.589
SAI0167,community_supported_identity_context,4.758,5.157,5.806,6.180,6.601,5.361,1.131,4.359,2.344,5.527,4.204,0.399,0.649,0.913,6.003,5.674,4.656
SAI0168,community_supported_identity_context,4.143,5.415,5.986,6.327,7.000,5.814,2.012,5.402,1.924,5.243,4.722,1.272,0.571,0.846,6.032,5.906,5.076
SAI0169,fragmented_role_conflict_context,4.175,3.875,4.327,4.072,4.123,2.575,3.208,1.950,3.272,3.725,3.421,0.299,0.452,0.937,3.641,3.302,3.728
SAI0170,fragmented_role_conflict_context,3.026,4.079,3.987,4.112,4.148,3.364,5.051,2.214,3.352,3.229,3.385,1.053,0.091,0.905,3.394,3.158,3.648
SAI0171,fragmented_role_conflict_context,3.657,4.297,3.694,4.433,4.103,2.848,4.747,1.800,2.846,4.141,1.992,0.640,0.604,0.896,3.409,3.087,4.154
SAI0172,fragmented_role_conflict_context,4.450,4.076,4.384,3.930,3.952,2.973,4.079,1.834,2.766,4.146,2.588,0.374,0.308,0.943,3.444,3.122,4.234
SAI0173,fragmented_role_conflict_context,4.263,3.252,3.897,3.381,3.981,3.694,5.319,1.602,3.191,3.408,2.024,1.012,0.646,0.862,3.184,2.868,3.809
SAI0174,fragmented_role_conflict_context,4.424,4.205,4.898,3.564,4.104,3.446,4.112,2.416,3.236,3.739,2.689,0.219,0.693,0.924,3.501,3.284,3.764
SAI0175,fragmented_role_conflict_context,2.879,2.952,4.053,2.935,3.488,3.062,4.100,2.384,3.984,4.042,2.898,0.073,1.100,0.902,3.096,2.954,3.016
SAI0176,fragmented_role_conflict_context,2.690,2.967,3.597,3.611,3.580,3.170,5.228,1.732,4.544,3.816,2.377,0.277,0.630,0.924,3.033,2.773,2.456
SAI0177,fragmented_role_conflict_context,2.204,2.614,4.250,3.061,3.484,3.858,4.306,2.428,2.675,4.588,2.956,0.410,1.636,0.830,3.274,3.105,4.325
SAI0178,fragmented_role_conflict_context,2.400,3.184,4.139,3.620,3.831,2.790,4.484,1.857,4.064,3.558,2.525,0.784,0.955,0.855,3.189,2.923,2.936
SAI0179,fragmented_role_conflict_context,2.064,2.729,4.326,3.092,3.585,2.431,4.361,1.583,4.234,3.047,2.765,0.665,1.597,0.811,2.937,2.666,2.766
SAI0180,fragmented_role_conflict_context,2.274,3.273,4.045,3.160,4.232,3.396,4.018,2.222,3.614,3.838,3.222,1.000,0.771,0.852,3.442,3.198,3.386
SAI0181,fragmented_role_conflict_context,3.851,4.033,3.695,2.065,1.706,2.085,4.370,1.861,4.637,3.941,2.876,0.183,0.339,0.957,2.122,2.070,2.363
SAI0182,fragmented_role_conflict_context,3.775,3.567,3.526,1.867,1.818,2.259,4.313,2.137,4.073,3.543,2.992,0.208,0.041,0.979,2.158,2.154,2.927
SAI0183,fragmented_role_conflict_context,4.056,4.479,3.924,2.600,1.869,1.628,4.900,1.639,4.695,3.797,1.927,0.423,0.555,0.918,2.049,1.967,2.305
SAI0184,fragmented_role_conflict_context,3.689,4.227,4.497,2.092,1.660,2.571,3.942,2.417,4.565,3.582,2.713,0.538,0.269,0.933,2.345,2.360,2.435
SAI0185,fragmented_role_conflict_context,3.531,3.653,3.818,1.725,1.956,2.506,3.989,1.765,4.724,3.928,2.317,0.122,0.166,0.976,2.300,2.193,2.276
SAI0186,fragmented_role_conflict_context,4.512,3.843,3.256,2.452,2.286,1.914,4.784,2.070,4.646,3.745,2.253,0.669,0.587,0.895,2.217,2.188,2.354
SAI0187,fragmented_role_conflict_context,3.173,2.798,3.524,2.573,2.187,2.617,3.942,2.002,3.927,3.663,2.542,0.375,0.726,0.908,2.609,2.487,3.073
SAI0188,fragmented_role_conflict_context,2.837,2.439,2.989,2.188,2.171,2.223,4.455,2.711,4.670,3.830,2.495,0.398,0.549,0.921,2.282,2.368,2.330
SAI0189,fragmented_role_conflict_context,1.670,2.525,2.849,2.260,1.681,2.000,4.672,2.355,5.369,3.521,2.770,0.855,0.324,0.902,2.067,2.125,1.631
SAI0190,fragmented_role_conflict_context,2.152,2.652,2.164,2.068,1.729,1.730,4.316,2.366,4.521,3.846,2.767,0.500,0.489,0.918,2.052,2.115,2.479
SAI0191,fragmented_role_conflict_context,2.741,2.718,2.916,2.469,2.455,2.086,4.733,2.326,4.683,4.280,2.314,0.023,0.198,0.982,2.319,2.321,2.317
SAI0192,fragmented_role_conflict_context,2.175,3.017,2.767,1.865,2.261,1.368,4.572,1.831,4.591,3.561,2.445,0.842,0.250,0.909,1.981,1.951,2.409
SAI0193,fragmented_role_conflict_context,2.743,3.407,3.237,4.028,3.429,3.343,4.602,2.133,3.544,4.117,2.676,0.664,0.170,0.931,3.299,3.066,3.456
SAI0194,fragmented_role_conflict_context,2.544,3.102,3.929,2.968,3.114,3.123,4.276,1.893,3.092,3.830,2.540,0.558,0.828,0.885,2.982,2.764,3.908
SAI0195,fragmented_role_conflict_context,3.020,3.619,4.039,3.587,3.600,2.993,3.838,2.950,3.143,4.061,3.340,0.599,0.420,0.915,3.335,3.258,3.857
SAI0196,fragmented_role_conflict_context,2.879,3.725,4.361,3.690,4.157,2.431,4.119,2.090,3.851,3.857,2.658,0.846,0.636,0.877,3.290,3.050,3.149
SAI0197,fragmented_role_conflict_context,3.553,3.834,3.805,4.147,3.345,2.754,4.286,2.088,4.151,4.396,3.325,0.281,0.029,0.974,3.240,3.010,2.849
SAI0198,fragmented_role_conflict_context,3.109,4.160,4.094,3.732,3.846,3.371,4.247,1.964,2.899,4.090,2.899,1.052,0.066,0.907,3.425,3.133,4.101
SAI0199,fragmented_role_conflict_context,3.031,1.871,3.678,2.231,2.549,2.599,4.621,2.077,5.131,3.732,2.116,1.160,1.807,0.753,2.440,2.367,1.869
SAI0200,fragmented_role_conflict_context,3.335,2.388,2.970,3.233,3.512,3.182,3.967,2.277,4.627,3.887,2.487,0.946,0.582,0.873,3.240,3.047,2.373
SAI0201,fragmented_role_conflict_context,3.634,1.909,3.360,1.928,2.519,2.382,4.898,2.230,4.764,2.734,1.964,1.724,1.451,0.735,2.233,2.232,2.236
SAI0202,fragmented_role_conflict_context,3.558,2.455,4.029,2.727,2.362,2.841,4.127,2.299,4.411,3.068,2.121,1.104,1.574,0.777,2.701,2.621,2.589
SAI0203,fragmented_role_conflict_context,3.569,1.746,3.902,2.025,1.822,2.818,4.417,2.033,5.250,2.376,2.395,1.823,2.156,0.668,2.312,2.256,1.750
SAI0204,fragmented_role_conflict_context,3.701,2.389,3.058,2.220,1.583,2.325,3.881,2.011,3.833,3.196,1.918,1.312,0.669,0.835,2.312,2.252,3.167
SAI0205,fragmented_role_conflict_context,2.979,2.895,3.802,3.954,2.806,2.922,4.571,1.468,3.845,4.126,2.473,0.084,0.906,0.918,3.027,2.716,3.155
SAI0206,fragmented_role_conflict_context,2.909,3.265,4.056,2.916,3.728,3.249,3.830,1.804,4.314,3.938,2.629,0.356,0.790,0.904,3.266,2.974,2.686
SAI0207,fragmented_role_conflict_context,2.873,3.779,3.569,3.639,4.115,2.722,4.306,2.002,4.637,3.588,2.409,0.906,0.210,0.907,3.293,3.035,2.363
SAI0208,fragmented_role_conflict_context,2.236,3.653,3.255,3.456,3.285,2.787,4.318,2.003,3.474,4.253,2.343,1.417,0.398,0.849,3.052,2.842,3.526
SAI0209,fragmented_role_conflict_context,2.758,4.110,3.759,2.977,4.175,2.944,4.210,1.660,3.884,3.604,2.599,1.352,0.351,0.858,3.221,2.909,3.116
SAI0210,fragmented_role_conflict_context,2.936,3.041,3.520,2.577,3.676,2.612,4.170,1.710,4.426,4.320,3.024,0.105,0.478,0.951,2.924,2.681,2.574
SAI0211,future_oriented_repair_context,5.449,5.865,5.225,5.888,6.834,5.898,2.146,4.796,1.413,5.958,4.588,0.416,0.640,0.912,5.868,5.654,5.587
SAI0212,future_oriented_repair_context,5.713,5.879,5.810,6.429,6.658,5.717,1.837,4.046,1.617,6.056,4.598,0.166,0.069,0.980,5.992,5.603,5.383
SAI0213,future_oriented_repair_context,5.715,5.921,5.950,7.000,6.994,5.249,2.602,3.797,2.223,5.493,4.767,0.206,0.029,0.980,5.910,5.487,4.777
SAI0214,future_oriented_repair_context,5.574,6.007,6.284,5.441,6.983,5.532,2.351,4.671,1.810,5.786,4.631,0.433,0.276,0.941,5.651,5.455,5.190
SAI0215,future_oriented_repair_context,5.163,5.749,5.428,6.168,6.329,5.477,2.159,3.879,1.147,5.307,4.496,0.587,0.321,0.924,5.704,5.339,5.853
SAI0216,future_oriented_repair_context,5.527,6.136,5.572,6.125,6.657,5.703,1.965,4.165,1.379,4.607,3.915,0.609,0.565,0.902,5.880,5.537,5.621
SAI0217,future_oriented_repair_context,3.776,4.880,4.650,5.761,6.152,5.772,2.355,4.206,2.476,5.066,4.055,1.104,0.230,0.889,5.582,5.307,4.524
SAI0218,future_oriented_repair_context,4.271,4.234,6.441,5.860,7.000,5.257,1.864,3.738,2.200,4.745,3.659,0.037,2.207,0.813,5.813,5.398,4.800
SAI0219,future_oriented_repair_context,3.504,5.075,6.181,5.606,6.487,6.510,1.631,4.942,1.000,5.430,4.577,1.571,1.106,0.777,5.993,5.783,6.000
SAI0220,future_oriented_repair_context,4.026,4.858,5.807,5.210,6.587,5.611,2.462,4.436,2.836,4.847,4.110,0.832,0.950,0.852,5.487,5.276,4.164
SAI0221,future_oriented_repair_context,3.582,4.702,6.387,6.313,6.209,5.700,2.362,3.883,3.061,4.926,4.807,1.121,1.685,0.766,5.715,5.349,3.939
SAI0222,future_oriented_repair_context,4.292,4.731,5.239,5.974,7.000,5.582,1.779,4.287,1.839,5.229,4.168,0.439,0.508,0.921,5.944,5.613,5.161
SAI0223,future_oriented_repair_context,5.758,4.752,4.953,4.619,4.559,3.966,2.539,4.326,3.543,3.733,4.302,1.006,0.201,0.899,4.401,4.386,3.457
SAI0224,future_oriented_repair_context,5.542,5.601,5.655,4.262,5.059,3.508,2.177,4.301,3.103,5.343,4.248,0.059,0.053,0.991,4.413,4.390,3.897
SAI0225,future_oriented_repair_context,5.346,5.731,5.238,4.651,4.428,4.006,1.431,4.343,2.759,5.045,4.481,0.385,0.493,0.927,4.663,4.599,4.241
SAI0226,future_oriented_repair_context,5.586,6.216,5.757,4.638,4.681,4.195,1.791,3.777,2.906,5.253,4.222,0.630,0.459,0.909,4.681,4.500,4.094
SAI0227,future_oriented_repair_context,5.480,6.239,4.838,4.476,4.789,4.124,2.769,4.534,2.543,4.367,4.437,0.760,1.402,0.820,4.405,4.431,4.457
SAI0228,future_oriented_repair_context,5.453,4.888,5.758,4.465,5.173,3.798,2.520,3.885,2.814,5.041,3.772,0.564,0.870,0.880,4.479,4.360,4.186
SAI0229,future_oriented_repair_context,4.274,3.726,3.932,4.419,4.466,4.477,1.798,4.229,2.582,4.895,4.370,0.549,0.207,0.937,4.641,4.559,4.418
SAI0230,future_oriented_repair_context,4.292,5.188,4.345,4.518,4.538,3.996,2.065,4.419,3.297,4.873,3.935,0.897,0.843,0.855,4.497,4.481,3.703
SAI0231,future_oriented_repair_context,3.158,4.060,4.873,4.655,5.050,3.789,2.425,4.258,3.266,5.152,4.254,0.902,0.814,0.857,4.517,4.466,3.734
SAI0232,future_oriented_repair_context,4.864,4.607,4.638,4.602,4.715,3.591,1.859,4.526,3.213,5.007,4.592,0.257,0.031,0.976,4.512,4.515,3.787
SAI0233,future_oriented_repair_context,4.144,4.845,4.253,4.682,4.860,4.583,1.961,5.372,2.817,5.878,4.629,0.701,0.592,0.892,4.791,4.907,4.183
SAI0234,future_oriented_repair_context,3.588,3.966,4.690,4.683,4.649,3.990,2.204,3.912,3.636,5.593,4.132,0.378,0.724,0.908,4.529,4.406,3.364
SAI0235,future_oriented_repair_context,4.468,5.522,6.027,5.996,6.354,4.841,1.684,4.514,2.094,5.825,5.055,1.054,0.505,0.870,5.627,5.404,4.906
SAI0236,future_oriented_repair_context,4.719,5.286,5.911,4.886,6.487,5.106,2.005,3.803,2.827,4.992,4.679,0.567,0.626,0.901,5.368,5.055,4.173
SAI0237,future_oriented_repair_context,4.621,4.509,5.545,5.517,5.514,5.503,2.570,4.180,2.508,4.996,4.652,0.113,1.036,0.904,5.241,5.029,4.492
SAI0238,future_oriented_repair_context,4.860,4.379,5.732,5.150,5.569,4.839,1.395,3.612,1.580,5.322,4.062,0.481,1.353,0.847,5.291,4.955,5.420
SAI0239,future_oriented_repair_context,5.192,5.241,5.692,5.628,6.584,5.751,1.791,4.507,1.188,6.205,4.582,0.049,0.451,0.958,5.793,5.536,5.812
SAI0240,future_oriented_repair_context,4.691,6.096,5.249,5.305,6.028,5.235,2.525,4.084,2.642,5.190,4.711,1.405,0.847,0.812,5.261,5.025,4.358
SAI0241,future_oriented_repair_context,4.705,4.394,5.967,4.614,4.753,4.730,1.925,4.121,2.967,5.068,4.057,0.311,1.573,0.843,4.793,4.659,4.033
SAI0242,future_oriented_repair_context,5.539,3.644,4.886,4.743,5.323,4.813,2.614,3.810,3.765,4.677,3.612,1.895,1.243,0.738,4.816,4.615,3.235
SAI0243,future_oriented_repair_context,4.678,4.115,5.462,5.010,4.878,5.149,2.011,4.107,2.871,4.829,3.864,0.563,1.347,0.841,5.007,4.827,4.129
SAI0244,future_oriented_repair_context,5.388,4.391,4.998,4.503,5.492,4.950,1.617,4.198,2.323,5.328,4.006,0.997,0.607,0.866,5.082,4.905,4.677
SAI0245,future_oriented_repair_context,5.272,5.400,4.627,5.106,4.702,4.734,1.483,3.762,3.379,5.246,4.234,0.127,0.772,0.925,5.015,4.764,3.621
SAI0246,future_oriented_repair_context,5.748,4.462,4.778,4.377,5.218,4.575,2.247,4.268,3.189,4.637,4.194,1.286,0.316,0.866,4.731,4.638,3.811
SAI0247,future_oriented_repair_context,4.580,4.973,4.932,5.765,6.000,4.988,1.483,4.176,1.869,5.073,4.694,0.393,0.041,0.964,5.567,5.289,5.131
SAI0248,future_oriented_repair_context,4.602,5.178,5.664,6.201,6.070,4.736,2.755,4.339,3.407,5.458,4.347,0.576,0.486,0.912,5.313,5.118,3.593
SAI0249,future_oriented_repair_context,5.375,5.199,4.964,5.162,5.203,5.504,1.645,4.592,2.844,4.914,4.274,0.176,0.235,0.966,5.306,5.163,4.156
SAI0250,future_oriented_repair_context,4.730,5.265,5.581,5.826,6.095,4.676,2.530,3.852,2.177,5.270,4.401,0.536,0.315,0.929,5.267,4.984,4.823
SAI0251,future_oriented_repair_context,5.099,5.004,4.964,5.541,6.165,4.990,2.370,3.431,2.600,5.390,4.199,0.094,0.040,0.989,5.331,4.951,4.400
SAI0252,future_oriented_repair_context,3.867,5.455,5.279,5.752,5.082,5.493,2.373,4.415,3.099,5.565,3.905,1.588,0.176,0.853,5.238,5.074,3.901
