participant_id,country_context,political_system_type,extraversion,agreeableness,conscientiousness,neuroticism,openness,political_interest,political_efficacy,group_identity_strength,perceived_threat,media_exposure,civic_opportunity,ideology_score,political_participation,affective_polarization,trust_in_institutions,leadership_authority_preference
PB0156,context_D_high_civic,consensus_civic,3.868,3.966,4.486,2.866,3.307,4.681,4.016,4.881,3.763,4.012,5.031,5.381,6.377,4.310,2.076,2.653
PB0157,context_D_high_civic,consensus_civic,2.162,4.481,4.263,3.972,4.068,3.607,3.061,5.122,3.744,3.367,5.208,5.452,5.052,2.704,2.810,3.217
PB0158,context_D_high_civic,consensus_civic,3.466,4.774,4.355,3.344,4.619,4.458,4.402,3.391,2.898,3.141,5.131,5.203,6.702,2.193,4.098,2.589
PB0159,context_D_high_civic,consensus_civic,3.500,4.608,5.290,3.165,3.951,4.411,3.561,4.408,3.417,3.556,5.016,3.846,7.000,3.097,2.543,1.980
PB0160,context_D_high_civic,consensus_civic,3.539,4.000,2.865,3.421,4.825,5.106,2.411,3.661,2.772,4.153,4.645,4.506,4.670,2.716,2.789,2.976
PB0161,context_D_high_civic,consensus_civic,3.110,4.772,3.765,4.819,4.661,4.940,2.436,3.894,2.881,2.757,4.590,3.892,5.081,2.837,2.950,2.259
PB0162,context_D_high_civic,consensus_civic,4.033,2.668,4.935,4.405,3.031,5.256,3.113,5.439,2.302,2.581,5.560,6.001,5.911,3.818,2.688,3.324
PB0163,context_D_high_civic,consensus_civic,4.490,3.186,3.875,4.471,4.393,5.376,4.054,3.910,2.892,2.600,4.798,3.501,7.000,2.130,2.616,2.850
PB0164,context_D_high_civic,consensus_civic,4.108,5.336,3.989,2.903,4.693,4.944,3.103,3.964,3.184,4.069,4.511,5.419,5.274,2.275,3.698,2.367
PB0165,context_D_high_civic,consensus_civic,4.874,4.124,2.915,3.288,3.660,3.849,3.345,3.823,3.253,3.067,5.495,4.799,6.773,3.445,3.844,3.316
PB0166,context_D_high_civic,consensus_civic,3.958,3.412,4.886,3.349,5.371,3.904,2.677,2.691,1.967,2.405,5.001,4.624,5.485,2.921,2.949,3.025
PB0167,context_D_high_civic,consensus_civic,4.553,5.577,5.061,2.992,4.749,3.936,3.713,3.588,2.508,2.972,5.489,5.378,6.358,2.201,4.193,2.002
PB0168,context_D_high_civic,consensus_civic,3.677,4.884,4.510,3.941,4.227,4.708,3.549,4.454,3.424,3.134,4.817,4.548,7.000,2.849,3.075,3.247
PB0169,context_D_high_civic,consensus_civic,3.987,4.209,4.251,2.530,4.212,4.608,4.289,4.327,4.339,3.758,5.382,3.626,6.839,3.069,3.832,4.249
PB0170,context_D_high_civic,consensus_civic,5.238,6.129,3.877,3.964,3.807,4.850,3.419,4.661,3.382,4.005,4.624,4.383,6.009,2.872,2.448,2.904
PB0171,context_D_high_civic,consensus_civic,5.022,4.667,5.145,1.274,3.861,4.693,3.730,4.100,2.880,2.725,4.810,5.028,6.440,2.965,2.660,2.784
PB0172,context_D_high_civic,consensus_civic,3.185,5.903,3.209,3.339,3.800,4.201,2.957,4.232,2.243,3.662,4.936,4.567,5.417,2.645,2.392,1.765
PB0173,context_D_high_civic,consensus_civic,5.159,4.954,5.243,3.628,5.095,5.243,5.298,4.931,2.878,3.174,5.236,4.744,7.000,2.721,3.787,2.465
PB0174,context_D_high_civic,consensus_civic,4.193,4.418,4.638,2.409,3.064,4.996,3.113,4.252,2.428,3.751,5.387,5.298,5.911,2.277,3.330,3.129
PB0175,context_D_high_civic,consensus_civic,4.731,3.709,3.212,3.341,5.154,4.745,2.435,4.022,2.213,3.195,5.192,5.059,4.857,2.795,4.183,2.132
PB0176,context_D_high_civic,consensus_civic,4.937,3.117,3.745,3.372,4.138,5.103,2.952,4.300,2.448,3.928,5.158,4.905,5.027,2.274,3.165,2.982
PB0177,context_D_high_civic,consensus_civic,3.347,4.012,3.900,1.605,4.177,3.638,3.220,3.368,2.232,3.292,4.990,4.916,5.614,2.060,2.999,3.533
PB0178,context_D_high_civic,consensus_civic,3.527,3.514,4.681,3.583,4.236,4.564,4.471,4.836,3.478,3.311,5.346,4.995,5.100,3.060,3.497,4.078
PB0179,context_D_high_civic,consensus_civic,2.533,4.490,4.986,4.233,3.679,4.665,2.668,3.343,3.859,3.482,5.572,4.925,5.449,3.888,2.685,2.435
PB0180,context_D_high_civic,consensus_civic,4.580,5.131,4.291,4.672,3.758,4.080,3.297,4.044,3.100,3.297,5.502,3.994,5.664,3.423,3.923,3.672
PB0181,context_D_high_civic,consensus_civic,2.985,3.320,5.065,3.542,4.479,4.124,3.333,3.815,2.748,3.304,4.588,3.260,6.642,2.728,3.732,2.480
PB0182,context_D_high_civic,consensus_civic,4.641,3.514,4.730,4.776,4.071,3.776,3.750,4.242,3.916,3.499,4.670,4.478,6.289,2.922,3.284,2.330
PB0183,context_D_high_civic,consensus_civic,4.394,3.937,3.323,3.404,3.408,5.280,4.426,4.200,3.594,3.826,4.718,4.335,6.036,3.788,3.301,3.189
PB0184,context_D_high_civic,consensus_civic,3.553,4.440,3.911,4.178,4.611,5.038,3.377,5.558,3.439,3.817,4.794,4.304,6.461,2.846,2.529,2.979
PB0185,context_D_high_civic,consensus_civic,4.380,3.969,4.513,4.035,3.816,4.567,3.533,4.546,3.617,3.069,5.319,4.824,6.325,4.008,2.883,3.597
PB0186,context_D_high_civic,consensus_civic,2.471,3.076,3.379,4.822,3.144,3.513,4.093,4.093,3.224,2.894,5.135,4.571,4.766,4.448,2.737,3.299
PB0187,context_D_high_civic,consensus_civic,3.210,3.679,5.052,3.202,4.175,4.592,2.962,4.195,2.326,3.110,5.171,4.697,6.123,2.553,2.881,3.399
PB0188,context_D_high_civic,consensus_civic,2.956,5.085,4.182,1.518,4.274,4.233,3.177,3.750,1.574,2.701,4.611,4.179,5.127,1.819,3.734,1.631
PB0189,context_D_high_civic,consensus_civic,3.773,4.852,5.278,3.981,4.222,5.035,3.784,4.631,2.811,3.217,5.365,5.732,5.727,3.483,3.699,3.168
PB0190,context_D_high_civic,consensus_civic,3.766,1.892,4.658,3.418,4.840,3.646,3.384,4.709,2.520,2.520,4.752,3.131,4.669,3.317,2.861,2.578
PB0191,context_D_high_civic,consensus_civic,3.076,4.777,3.294,2.152,4.965,5.331,3.255,3.369,2.274,3.751,4.986,4.345,5.318,2.811,2.770,1.434
PB0192,context_D_high_civic,consensus_civic,3.549,4.444,3.762,3.364,2.978,3.283,3.197,3.415,2.598,3.554,4.895,5.007,6.369,3.135,2.649,2.949
PB0193,context_E_polarized,polarized_presidential,4.268,2.804,5.137,3.189,3.704,4.418,3.399,5.072,1.979,4.149,3.716,6.180,5.998,3.673,2.936,3.167
PB0194,context_E_polarized,polarized_presidential,5.174,5.532,3.245,3.610,3.615,3.419,3.673,4.256,3.562,2.959,3.989,4.438,5.211,3.745,2.246,4.073
PB0195,context_E_polarized,polarized_presidential,4.503,5.000,4.066,3.375,3.712,4.389,3.989,4.221,3.786,3.985,3.119,4.940,5.891,2.781,2.734,3.492
PB0196,context_E_polarized,polarized_presidential,3.523,4.124,3.479,3.322,3.833,4.245,2.477,3.860,3.204,4.654,3.369,3.950,5.386,3.110,2.987,3.504
PB0197,context_E_polarized,polarized_presidential,5.041,5.001,3.756,4.105,5.085,4.591,2.541,4.718,3.178,3.706,2.970,5.306,5.256,3.600,1.676,2.591
PB0198,context_E_polarized,polarized_presidential,3.453,3.783,3.527,3.600,5.516,4.812,3.330,6.106,2.629,3.133,3.235,4.072,5.514,3.300,3.040,1.763
PB0199,context_E_polarized,polarized_presidential,4.807,4.340,4.178,2.349,2.888,4.197,3.990,5.370,2.381,3.278,2.984,3.586,6.688,3.373,1.785,2.472
PB0200,context_E_polarized,polarized_presidential,4.940,3.026,4.121,3.751,2.869,3.912,4.449,4.886,3.698,2.594,3.589,5.368,6.541,2.960,2.477,2.925
PB0201,context_E_polarized,polarized_presidential,4.007,3.840,3.087,3.225,5.053,3.721,3.135,4.792,3.106,3.769,3.620,3.651,4.831,2.710,2.479,3.751
PB0202,context_E_polarized,polarized_presidential,3.894,4.302,4.249,3.508,4.138,4.159,2.971,4.300,3.117,4.437,3.817,3.727,5.227,3.695,3.540,1.272
PB0203,context_E_polarized,polarized_presidential,4.812,3.696,3.460,4.433,4.258,4.088,3.313,4.124,3.498,3.450,3.206,5.528,5.324,3.461,2.054,2.878
PB0204,context_E_polarized,polarized_presidential,3.907,3.857,4.997,2.507,4.695,4.727,2.699,4.022,1.956,2.918,3.814,3.611,6.047,2.961,3.140,1.559
PB0205,context_E_polarized,polarized_presidential,4.420,5.017,4.987,3.001,4.882,4.808,3.963,4.420,2.417,3.505,3.962,4.785,6.388,3.393,2.512,2.712
PB0206,context_E_polarized,polarized_presidential,4.525,2.353,3.856,3.193,4.573,4.938,3.399,4.257,2.867,4.452,3.941,4.873,6.373,3.797,1.946,3.147
PB0207,context_E_polarized,polarized_presidential,4.321,3.885,4.782,1.641,3.997,4.381,3.496,4.789,2.236,2.722,4.185,4.892,5.728,3.570,2.904,2.736
PB0208,context_E_polarized,polarized_presidential,3.975,4.874,2.899,4.083,4.122,4.653,3.602,4.148,4.045,3.305,3.844,3.070,5.369,3.912,2.796,3.413
PB0209,context_E_polarized,polarized_presidential,3.262,5.431,3.801,3.958,4.062,4.567,2.664,4.216,2.832,3.268,3.180,5.681,4.231,3.172,2.396,3.766
PB0210,context_E_polarized,polarized_presidential,3.985,4.176,3.958,3.750,3.295,5.761,3.819,4.555,2.816,3.714,3.122,4.494,5.693,3.074,2.122,2.543
PB0211,context_E_polarized,polarized_presidential,3.859,5.162,3.359,3.149,5.054,4.657,3.277,4.283,3.644,3.345,3.230,5.007,6.130,2.843,3.252,1.509
PB0212,context_E_polarized,polarized_presidential,3.914,4.590,2.344,4.634,2.800,3.019,3.295,3.467,3.473,3.143,3.572,5.171,3.930,3.567,3.459,2.761
PB0213,context_E_polarized,polarized_presidential,4.374,4.510,5.578,3.711,4.360,4.167,3.970,5.039,2.635,4.379,3.657,5.408,6.259,3.108,2.537,4.235
PB0214,context_E_polarized,polarized_presidential,2.570,3.852,4.691,4.275,5.598,4.308,2.691,4.941,2.402,3.858,3.214,4.597,5.686,1.664,2.902,3.402
PB0215,context_E_polarized,polarized_presidential,3.496,4.626,3.952,1.908,6.044,4.119,5.035,4.275,1.368,4.849,3.495,3.124,5.878,3.110,3.103,1.000
PB0216,context_E_polarized,polarized_presidential,4.096,5.115,4.689,4.466,3.261,3.986,3.604,5.283,3.963,3.033,3.345,5.428,5.520,2.732,3.659,3.492
PB0217,context_E_polarized,polarized_presidential,3.933,4.196,4.210,2.784,4.955,5.711,2.954,3.546,1.632,4.118,3.766,3.108,5.871,2.210,3.167,2.464
PB0218,context_E_polarized,polarized_presidential,4.907,4.609,3.699,2.226,3.725,4.005,3.735,4.311,2.710,2.555,2.981,4.674,5.655,2.148,2.718,1.521
PB0219,context_E_polarized,polarized_presidential,4.255,4.894,4.674,3.757,4.487,4.186,3.360,4.589,2.831,2.999,3.004,3.919,4.466,2.584,3.713,2.248
PB0220,context_E_polarized,polarized_presidential,5.158,3.779,4.806,3.223,4.744,4.553,3.900,4.927,2.491,2.617,3.527,4.075,5.493,2.796,2.735,2.815
PB0221,context_E_polarized,polarized_presidential,3.173,3.824,4.791,2.778,3.943,4.547,3.216,5.041,3.599,3.903,3.391,5.306,5.051,4.045,2.934,2.924
PB0222,context_E_polarized,polarized_presidential,3.335,4.843,4.091,4.511,3.963,3.722,3.716,4.861,2.101,2.437,3.435,4.423,5.469,2.344,3.022,3.090
PB0223,context_E_polarized,polarized_presidential,3.690,4.070,4.104,4.383,3.077,3.372,3.501,4.529,3.225,2.972,3.386,4.662,5.414,3.873,3.273,3.470
PB0224,context_E_polarized,polarized_presidential,3.491,4.648,3.812,2.811,3.871,4.543,2.994,4.239,3.974,2.105,3.048,4.032,5.514,3.731,2.292,2.406
PB0225,context_E_polarized,polarized_presidential,3.638,5.005,3.380,5.376,5.634,4.241,3.406,4.218,3.935,3.508,3.586,3.635,5.574,2.598,2.126,2.513
PB0226,context_E_polarized,polarized_presidential,4.767,5.146,4.079,4.739,3.708,3.326,2.901,4.533,3.193,3.100,4.093,3.947,6.571,3.022,3.367,3.225
PB0227,context_E_polarized,polarized_presidential,3.792,4.122,4.294,3.979,4.230,5.121,3.135,4.433,2.989,3.143,3.615,4.515,5.263,3.660,2.820,3.341
PB0228,context_E_polarized,polarized_presidential,3.007,4.137,5.092,3.660,4.967,4.809,3.832,3.941,4.275,3.496,3.196,4.436,5.690,3.722,2.073,4.330
PB0229,context_E_polarized,polarized_presidential,2.616,3.768,4.625,3.429,4.129,5.087,2.458,5.052,3.066,2.415,2.665,4.482,5.086,3.361,2.776,4.408
PB0230,context_E_polarized,polarized_presidential,3.476,4.075,5.305,4.445,5.210,4.972,3.337,4.661,3.540,4.147,2.942,4.276,5.542,3.733,2.143,4.263
PB0231,context_E_polarized,polarized_presidential,4.213,4.233,4.442,4.073,2.672,4.376,4.170,4.342,3.576,3.936,2.846,4.880,5.183,3.842,2.793,3.866
PB0232,context_E_polarized,polarized_presidential,3.586,4.874,6.392,5.007,2.612,3.917,4.292,5.151,3.654,3.892,2.551,6.422,6.679,3.141,2.751,4.177
PB0233,context_E_polarized,polarized_presidential,4.752,4.903,4.556,3.723,4.272,4.120,4.456,4.152,2.866,3.741,3.546,4.238,5.884,3.179,3.351,3.109
PB0234,context_E_polarized,polarized_presidential,3.763,4.876,4.297,3.593,4.888,4.290,2.181,5.222,3.588,3.423,3.569,3.956,4.645,3.472,2.646,3.501
PB0235,context_E_polarized,polarized_presidential,3.641,3.755,4.589,3.296,4.085,4.613,1.679,4.324,3.304,2.640,2.790,4.130,4.466,2.347,1.369,3.976
PB0236,context_E_polarized,polarized_presidential,3.753,4.065,4.735,3.703,4.031,4.706,2.314,4.782,3.542,3.787,3.041,4.360,5.969,3.198,1.889,1.761
PB0237,context_E_polarized,polarized_presidential,5.502,3.435,3.754,3.777,4.480,5.891,3.530,5.268,3.303,3.193,3.307,4.992,6.094,2.957,1.658,2.283
PB0238,context_E_polarized,polarized_presidential,3.339,4.322,4.673,2.244,4.097,2.885,4.437,3.573,1.240,3.550,3.647,4.877,4.878,2.668,3.525,2.622
PB0239,context_E_polarized,polarized_presidential,3.812,4.135,3.173,4.184,2.632,4.400,3.251,5.392,3.646,3.675,3.625,6.210,4.674,4.667,2.188,3.105
PB0240,context_E_polarized,polarized_presidential,4.554,3.804,4.184,4.572,4.173,4.177,3.459,4.310,4.156,3.831,4.343,6.896,6.824,3.802,2.393,2.771
PB0241,context_F_transitional,transitional_mixed,2.078,3.738,4.445,4.318,4.634,4.804,2.520,3.532,2.775,4.424,3.532,3.831,6.117,3.478,1.761,4.236
PB0242,context_F_transitional,transitional_mixed,3.856,4.515,4.253,2.224,3.129,4.769,2.845,4.736,3.386,3.150,4.288,5.075,5.865,3.567,2.887,4.403
PB0243,context_F_transitional,transitional_mixed,4.679,3.330,4.038,3.430,2.744,4.017,3.449,3.724,3.022,3.316,3.789,6.232,5.576,2.850,2.928,3.065
PB0244,context_F_transitional,transitional_mixed,3.899,3.733,4.123,3.047,4.445,5.345,3.563,4.711,2.803,4.312,3.826,4.540,6.160,2.456,2.275,2.953
PB0245,context_F_transitional,transitional_mixed,3.494,4.477,4.577,2.392,4.547,4.837,3.389,3.881,3.802,4.891,4.155,3.471,5.040,4.146,2.798,2.719
PB0246,context_F_transitional,transitional_mixed,3.919,5.111,4.718,3.392,3.869,5.177,1.664,4.994,3.130,3.367,4.047,4.175,5.152,2.559,2.238,3.501
PB0247,context_F_transitional,transitional_mixed,3.852,4.855,3.855,3.433,4.535,3.766,3.680,4.680,3.242,3.332,3.503,4.392,4.420,3.680,2.767,3.168
PB0248,context_F_transitional,transitional_mixed,4.008,3.470,2.994,3.316,4.210,4.518,2.216,3.602,3.457,4.146,3.516,5.572,5.776,2.678,2.623,2.092
PB0249,context_F_transitional,transitional_mixed,3.154,2.746,4.000,4.484,2.102,3.822,2.671,4.926,4.094,2.085,3.925,6.197,6.161,4.774,1.593,4.736
PB0250,context_F_transitional,transitional_mixed,5.234,4.224,5.544,2.731,5.368,4.865,4.376,4.860,4.267,3.944,4.434,4.416,5.680,2.109,4.347,3.262
PB0251,context_F_transitional,transitional_mixed,3.036,4.106,3.997,4.612,4.454,4.741,2.920,4.417,3.800,3.960,3.077,6.215,6.065,3.601,2.319,3.477
PB0252,context_F_transitional,transitional_mixed,3.077,3.606,3.343,4.060,3.117,3.341,2.678,4.686,3.316,3.693,3.552,5.303,4.501,4.046,1.409,4.008
PB0253,context_F_transitional,transitional_mixed,5.281,3.981,3.893,4.274,3.872,4.071,3.351,4.279,3.541,3.198,3.678,4.936,5.178,3.491,1.931,3.480
PB0254,context_F_transitional,transitional_mixed,4.004,5.126,3.482,3.882,4.947,5.102,3.972,4.016,4.055,3.915,3.901,4.788,6.684,3.839,2.275,2.862
PB0255,context_F_transitional,transitional_mixed,5.413,4.302,4.884,3.758,4.585,6.123,3.930,5.108,4.024,3.727,3.603,5.251,6.750,3.415,2.577,2.138
PB0256,context_F_transitional,transitional_mixed,4.317,3.634,4.669,4.330,4.423,4.775,3.056,4.291,3.030,3.506,3.170,3.232,6.046,2.439,1.155,3.347
PB0257,context_F_transitional,transitional_mixed,2.521,3.479,3.284,3.243,3.594,4.739,2.844,4.564,3.487,3.588,3.583,6.050,5.741,3.761,1.474,3.259
PB0258,context_F_transitional,transitional_mixed,3.670,5.190,3.587,4.523,3.508,4.090,2.669,4.180,3.787,4.150,3.935,4.051,4.955,3.552,2.403,2.293
PB0259,context_F_transitional,transitional_mixed,3.577,4.780,3.580,3.054,4.367,4.066,3.000,3.973,2.432,2.871,3.693,3.105,5.399,2.093,2.298,2.448
PB0260,context_F_transitional,transitional_mixed,3.332,3.345,4.278,4.300,3.806,4.053,3.231,4.310,4.003,4.596,4.331,5.314,6.061,3.581,2.691,3.032
PB0261,context_F_transitional,transitional_mixed,4.068,5.729,4.215,3.835,1.827,4.640,2.864,4.814,4.634,4.445,3.959,6.085,5.620,3.898,2.296,3.782
PB0262,context_F_transitional,transitional_mixed,4.770,4.026,4.553,3.066,3.978,4.040,5.159,4.787,2.216,3.380,3.969,4.186,5.653,3.593,3.830,3.186
PB0263,context_F_transitional,transitional_mixed,4.373,3.871,4.466,3.341,4.561,4.140,3.926,4.188,4.215,3.136,4.014,4.896,6.028,3.843,2.471,2.153
PB0264,context_F_transitional,transitional_mixed,2.971,5.142,4.556,4.064,4.071,3.931,3.360,5.129,3.272,4.069,3.532,5.167,5.018,3.658,2.777,3.340
PB0265,context_F_transitional,transitional_mixed,3.209,3.808,4.491,4.061,4.132,4.901,2.952,5.087,3.605,3.470,3.146,5.283,5.678,3.968,2.097,3.672
PB0266,context_F_transitional,transitional_mixed,5.091,3.609,3.731,3.086,6.652,5.135,2.855,5.535,2.275,4.261,3.253,3.111,6.116,3.002,1.775,2.250
PB0267,context_F_transitional,transitional_mixed,4.335,3.814,3.212,5.205,3.049,4.101,3.200,5.018,3.217,2.842,3.514,5.760,5.708,3.267,3.122,2.018
PB0268,context_F_transitional,transitional_mixed,3.100,5.153,3.563,4.203,4.708,4.701,1.878,4.411,3.376,4.170,4.061,5.471,5.072,3.761,2.168,4.118
PB0269,context_F_transitional,transitional_mixed,4.799,4.545,5.618,5.133,4.031,5.335,2.989,4.652,3.405,2.921,4.248,4.888,5.680,2.910,3.445,4.781
PB0270,context_F_transitional,transitional_mixed,4.717,2.885,4.192,3.056,4.570,5.413,3.557,3.929,3.395,4.254,4.369,4.469,6.144,3.408,2.491,2.581
PB0271,context_F_transitional,transitional_mixed,3.625,3.231,4.887,4.816,5.025,4.810,3.662,4.649,3.848,4.297,2.897,5.653,4.413,3.837,1.794,3.534
PB0272,context_F_transitional,transitional_mixed,3.388,4.745,3.644,2.007,3.663,4.701,4.602,3.263,2.730,3.458,4.247,4.762,5.927,2.277,3.168,2.895
PB0273,context_F_transitional,transitional_mixed,4.797,4.701,4.680,3.549,2.491,3.840,3.966,6.133,3.518,3.074,3.457,5.424,6.732,3.636,2.643,3.298
PB0274,context_F_transitional,transitional_mixed,4.714,5.111,4.960,2.385,2.857,3.825,2.969,4.550,2.831,2.114,3.900,5.522,5.702,2.779,3.094,2.413
PB0275,context_F_transitional,transitional_mixed,4.417,4.196,4.033,3.587,4.141,4.096,3.823,4.002,4.392,2.561,4.000,4.481,5.104,2.495,1.844,3.089
PB0276,context_F_transitional,transitional_mixed,4.408,4.130,2.871,3.424,4.202,4.558,3.011,4.540,4.023,3.965,3.753,4.483,5.655,4.010,2.089,2.626
PB0277,context_F_transitional,transitional_mixed,3.781,4.820,4.041,3.744,4.407,3.807,4.138,4.283,3.519,2.855,3.761,5.192,5.410,4.066,2.534,4.020
PB0278,context_F_transitional,transitional_mixed,3.057,3.371,4.361,4.062,3.271,4.826,3.702,4.357,2.825,3.378,3.702,3.984,5.954,2.825,2.916,3.190
PB0279,context_F_transitional,transitional_mixed,3.283,3.742,1.981,3.589,3.924,3.630,2.927,4.525,3.838,4.050,3.595,5.524,4.542,4.024,2.804,2.082
PB0280,context_F_transitional,transitional_mixed,4.123,2.412,4.930,3.528,4.259,5.583,4.639,5.440,2.720,3.650,3.956,4.938,7.000,4.263,3.182,3.673
PB0281,context_F_transitional,transitional_mixed,3.720,3.791,4.189,4.870,5.332,5.229,3.437,2.704,3.404,3.791,3.461,4.053,4.958,2.617,2.647,2.929
PB0282,context_F_transitional,transitional_mixed,4.065,3.574,4.611,4.623,5.071,4.459,3.208,5.501,2.740,3.474,3.568,4.206,5.704,2.899,2.082,3.102
PB0283,context_F_transitional,transitional_mixed,4.039,2.822,5.124,2.366,4.002,4.809,3.635,4.352,2.695,2.477,3.345,4.307,6.066,3.197,2.427,2.473
PB0284,context_F_transitional,transitional_mixed,4.613,5.287,4.376,3.364,3.717,4.814,3.288,3.845,3.328,3.544,3.809,5.008,5.123,2.495,2.874,2.500
PB0285,context_F_transitional,transitional_mixed,4.660,3.186,3.187,4.358,4.343,5.066,2.860,4.426,2.833,1.993,3.621,4.139,4.648,3.043,2.094,2.743
PB0286,context_F_transitional,transitional_mixed,4.374,5.154,3.730,2.623,3.586,4.382,3.121,4.591,3.174,2.908,2.956,5.230,5.896,2.253,2.468,2.241
PB0287,context_F_transitional,transitional_mixed,3.522,3.545,3.181,4.753,3.634,4.230,2.794,3.238,3.809,2.410,3.500,4.194,5.504,2.903,2.091,3.189
PB0288,context_F_transitional,transitional_mixed,3.621,3.536,3.147,3.707,5.722,5.061,3.682,3.977,2.661,3.044,3.897,3.805,5.949,2.719,2.388,3.710
