child_id,developmental_context,inhibition_t1,negative_affect_t1,surgency_t1,effortful_control_t1,parenting_support_t1,family_stress_t1,classroom_support_t2,peer_support_t2,institutional_stability_t2,conscientiousness_t2,neuroticism_t2,social_confidence_t2,regulation_skill_t2,reactivity_regulation_balance,environmental_support_index,developmental_risk_index,adaptive_pathway_score
TEM00164,stable_school_context,3.607,3.035,4.454,6.094,2.954,1.185,3.311,5.269,5.187,6.068,1.966,4.136,6.258,0.938,3.797,2.268,5.467
TEM00165,stable_school_context,3.956,2.868,3.530,4.864,4.005,2.409,4.036,4.555,3.385,4.948,1.912,3.953,4.930,1.661,3.860,2.709,3.806
TEM00166,stable_school_context,4.070,3.498,4.487,6.742,3.761,2.638,3.608,4.359,3.738,6.098,3.191,3.956,5.536,1.447,4.303,2.337,5.452
TEM00167,stable_school_context,3.861,4.341,2.780,7.000,3.752,3.227,4.887,5.028,6.574,6.934,3.157,3.206,5.947,1.606,4.524,2.619,5.327
TEM00168,stable_school_context,2.585,2.979,3.033,7.000,4.418,3.156,3.623,4.271,4.715,6.736,2.170,3.255,5.852,0.000,4.031,1.829,5.453
TEM00169,stable_school_context,3.822,2.548,4.248,6.855,4.987,1.832,4.614,3.253,5.169,6.125,1.924,3.626,7.000,0.437,4.743,1.427,6.513
TEM00170,stable_school_context,4.797,2.479,3.951,6.597,3.696,2.284,3.908,5.120,1.835,5.228,2.953,4.011,5.690,0.874,3.760,2.948,5.182
TEM00171,stable_school_context,2.866,2.824,4.736,7.000,5.576,2.771,3.890,4.524,5.532,6.152,1.301,4.799,5.988,0.271,5.070,1.741,5.598
TEM00172,stable_school_context,2.837,1.816,3.653,5.628,4.553,2.463,2.890,5.111,6.287,5.368,1.155,4.044,6.286,0.455,4.429,2.026,5.288
TEM00173,stable_school_context,2.295,2.049,3.705,6.668,4.606,2.040,3.191,4.061,5.922,6.506,1.191,4.617,6.473,0.000,4.908,1.121,6.163
TEM00174,stable_school_context,2.713,2.444,3.897,5.378,3.705,2.601,4.847,4.733,4.232,5.584,2.702,4.406,5.328,0.475,4.401,1.869,5.441
TEM00175,stable_school_context,3.235,2.578,2.757,5.692,4.766,3.967,4.211,4.016,4.246,5.456,2.540,3.746,5.978,1.141,4.425,2.299,4.767
TEM00176,stable_school_context,2.775,1.923,3.405,5.476,5.162,2.240,3.665,3.006,4.502,5.076,2.090,3.666,5.830,0.291,4.533,1.872,5.337
TEM00177,stable_school_context,3.108,2.312,3.693,5.775,4.670,2.184,5.940,5.030,4.565,5.717,1.277,4.714,6.652,0.176,5.344,1.749,5.778
TEM00178,stable_school_context,3.130,2.216,2.923,6.478,5.899,2.513,4.188,4.668,5.559,6.655,1.611,4.127,6.650,0.499,5.513,2.024,6.159
TEM00179,stable_school_context,3.320,2.894,5.294,6.322,4.128,3.077,3.547,2.307,5.213,5.523,2.653,3.312,5.639,0.715,4.346,2.492,5.922
TEM00180,stable_school_context,3.638,2.955,4.778,7.000,4.464,3.233,4.977,3.960,4.441,6.344,2.624,3.984,6.415,0.156,4.305,2.659,5.604
TEM00181,stable_school_context,4.206,3.783,3.758,5.247,4.877,3.496,4.635,4.279,6.135,5.030,2.891,4.016,5.574,1.829,4.603,3.758,4.962
TEM00182,stable_school_context,2.690,3.143,3.346,4.651,3.410,1.240,5.192,3.793,5.245,5.237,1.501,3.886,5.511,0.871,4.461,2.339,4.624
TEM00183,stable_school_context,4.333,4.578,3.380,4.500,5.021,4.291,4.943,3.494,5.659,5.334,4.911,3.120,4.904,2.668,4.694,3.997,3.949
TEM00184,stable_school_context,4.481,5.051,3.723,3.442,3.846,3.991,5.674,3.168,4.385,5.138,4.335,3.712,4.498,3.396,4.299,4.745,3.593
TEM00185,stable_school_context,4.449,4.687,4.034,2.968,4.153,3.352,3.100,3.362,4.834,4.060,3.197,2.671,3.849,3.406,3.928,4.885,3.704
TEM00186,stable_school_context,3.382,3.387,4.181,5.262,4.096,1.000,3.394,4.257,3.727,5.348,2.448,3.910,4.921,1.143,3.874,2.429,5.227
TEM00187,stable_school_context,3.831,3.783,2.690,3.228,4.070,3.552,4.883,3.235,5.486,4.727,3.299,2.658,5.009,2.708,4.084,3.701,3.826
TEM00188,stable_school_context,1.656,3.851,4.332,4.245,5.046,2.877,4.014,4.057,6.237,4.685,2.814,3.904,4.946,0.945,4.721,2.391,4.583
TEM00189,stable_school_context,3.504,2.582,4.947,3.908,4.474,2.527,6.525,3.684,3.884,5.555,2.799,5.087,4.940,1.193,4.588,2.609,4.736
TEM00190,stable_school_context,3.750,3.411,5.060,4.670,1.984,2.030,4.070,3.652,5.345,3.899,3.212,4.283,5.157,1.293,3.790,2.977,5.352
TEM00191,stable_school_context,2.940,4.564,4.287,3.910,3.387,3.535,6.223,4.844,6.043,5.329,3.818,4.731,5.069,2.766,4.627,3.731,4.424
TEM00192,stable_school_context,3.644,3.496,3.635,3.888,5.735,3.326,4.405,4.606,4.947,4.585,3.101,4.531,4.646,2.027,5.031,3.412,4.379
TEM00193,stable_school_context,3.158,3.545,4.562,3.648,4.304,3.424,3.624,5.228,5.430,4.067,2.628,4.357,4.341,1.617,4.583,3.474,4.443
TEM00194,stable_school_context,3.925,4.012,4.072,4.866,4.178,2.152,4.004,3.395,5.076,4.559,2.755,3.279,5.712,1.964,4.158,3.037,4.956
TEM00195,stable_school_context,4.290,3.251,4.289,4.524,4.193,1.868,5.993,4.861,5.493,5.219,2.484,4.774,5.434,1.762,4.852,3.025,5.202
TEM00196,stable_school_context,3.896,4.692,3.828,2.649,3.736,3.455,3.657,4.981,3.766,3.345,2.936,3.765,3.637,3.211,3.988,4.860,3.574
TEM00197,stable_school_context,2.431,4.054,4.423,3.998,2.858,3.000,3.183,3.075,5.254,3.685,3.988,4.593,4.289,1.920,3.739,3.205,4.427
TEM00198,stable_school_context,3.423,4.143,4.151,3.353,4.024,3.428,5.320,4.086,4.450,4.415,2.954,3.851,4.742,2.218,4.612,4.643,4.095
TEM00199,stable_school_context,2.581,4.733,5.994,4.617,3.855,2.340,4.941,3.552,4.464,4.768,3.447,5.220,4.868,2.147,4.526,3.256,4.899
TEM00200,stable_school_context,3.752,4.818,4.949,5.663,4.355,1.625,6.418,3.301,4.376,5.957,2.999,3.958,6.016,2.157,4.763,2.973,5.684
TEM00201,stable_school_context,4.243,5.351,3.820,5.367,5.911,2.875,4.570,3.333,5.247,5.662,3.652,3.855,5.188,2.543,4.609,3.808,5.283
TEM00202,stable_school_context,4.106,4.448,4.428,5.787,5.187,1.734,4.663,2.614,6.008,5.687,2.875,3.769,5.573,1.468,4.316,2.917,5.562
TEM00203,stable_school_context,3.072,4.325,6.394,4.897,6.143,2.675,4.278,5.215,4.623,5.076,2.248,5.545,5.500,1.533,5.162,2.556,4.834
TEM00204,stable_school_context,4.173,4.129,4.795,4.398,6.213,2.195,4.902,4.457,4.726,5.353,2.123,4.012,5.425,2.230,5.416,3.210,4.892
TEM00205,stable_school_context,3.624,4.636,5.925,4.884,4.633,2.323,4.106,4.699,4.298,5.413,2.895,4.342,5.273,2.098,4.573,3.164,5.263
TEM00206,stable_school_context,2.578,3.802,6.115,4.630,3.858,1.486,4.636,5.457,4.004,5.506,2.670,6.023,5.647,0.945,4.448,2.154,5.425
TEM00207,stable_school_context,3.545,4.582,5.127,4.389,3.940,3.042,5.058,3.644,5.547,5.035,3.800,3.246,4.949,2.246,4.263,3.232,4.684
TEM00208,stable_school_context,4.665,4.735,5.432,4.521,4.865,1.594,3.775,3.930,4.161,4.549,3.491,4.311,4.443,2.363,4.068,3.604,4.619
TEM00209,stable_school_context,3.930,5.064,5.277,6.466,5.387,3.790,4.371,3.209,4.637,6.021,3.335,3.776,5.717,1.902,4.527,3.986,5.346
TEM00210,stable_school_context,4.338,5.001,5.209,5.711,4.799,2.947,3.596,2.862,4.432,5.584,3.526,4.086,5.185,1.964,3.852,3.957,5.057
TEM00211,stable_school_context,4.144,3.546,4.887,5.320,5.015,2.506,3.666,2.717,4.874,5.787,2.778,4.106,5.039,2.103,4.460,3.206,4.660
TEM00212,stable_school_context,4.517,4.195,4.305,5.080,2.672,3.562,4.794,6.069,4.973,5.384,4.165,4.200,5.285,2.179,4.628,4.404,4.882
TEM00213,stable_school_context,4.136,5.557,5.657,6.289,3.360,3.680,5.229,5.112,3.960,5.895,2.825,5.625,5.386,2.359,4.054,4.034,5.371
TEM00214,stable_school_context,3.925,4.079,5.451,5.229,6.847,2.222,4.840,2.247,4.041,6.103,3.053,4.982,6.446,1.480,4.847,2.860,5.748
TEM00215,stable_school_context,4.921,4.208,4.941,5.376,3.945,3.198,4.471,3.651,3.922,5.257,3.918,3.990,5.072,2.592,4.013,3.401,4.475
TEM00216,stable_school_context,4.214,4.922,4.647,5.098,3.679,3.238,5.254,2.116,4.989,4.526,3.723,4.163,4.814,3.169,3.772,4.107,4.754
TEM00217,mixed_support_context,5.027,4.171,3.277,3.943,3.958,2.318,3.275,4.019,3.635,4.722,2.844,4.520,4.751,2.570,4.037,3.600,4.293
TEM00218,mixed_support_context,5.626,3.980,3.582,4.105,3.984,3.121,3.002,4.754,3.119,4.453,3.814,3.751,4.034,2.700,3.831,3.905,4.244
TEM00219,mixed_support_context,4.787,4.845,2.408,4.217,1.842,3.512,5.063,3.262,4.023,4.940,4.744,2.064,4.470,2.891,3.295,3.833,3.055
TEM00220,mixed_support_context,6.141,4.860,2.500,3.873,3.767,2.905,3.162,3.522,2.930,3.543,4.540,2.389,3.886,3.251,3.499,4.925,3.335
TEM00221,mixed_support_context,5.421,4.711,2.932,5.055,3.764,2.696,4.289,2.712,4.321,5.270,3.854,3.033,4.781,3.024,3.605,4.288,4.347
TEM00222,mixed_support_context,6.397,5.061,2.425,3.711,3.917,4.400,3.725,4.284,2.149,4.154,4.783,2.849,3.862,3.700,3.764,5.305,3.044
TEM00223,mixed_support_context,6.353,3.729,2.292,4.298,4.672,2.498,3.051,4.216,3.235,4.885,3.429,2.381,4.592,2.672,3.863,4.056,3.826
TEM00224,mixed_support_context,5.996,4.942,3.062,3.126,3.050,2.647,3.562,3.585,4.310,3.750,4.990,2.594,4.224,3.998,3.447,4.820,3.172
TEM00225,mixed_support_context,5.163,4.980,2.910,3.583,3.391,4.422,2.731,3.198,4.599,3.420,4.425,1.986,3.226,3.291,3.422,5.530,3.423
TEM00226,mixed_support_context,6.673,4.462,2.912,4.362,3.918,3.570,2.959,3.144,4.440,3.906,5.222,2.406,4.021,3.758,3.871,5.084,4.066
TEM00227,mixed_support_context,5.044,4.208,1.894,3.620,4.350,3.477,2.409,1.942,3.938,4.533,3.468,1.964,4.667,3.004,3.417,4.230,2.718
TEM00228,mixed_support_context,5.156,5.208,2.415,3.785,3.243,4.194,3.089,4.412,3.048,3.937,5.828,2.812,3.986,3.260,3.376,5.718,3.216
TEM00229,mixed_support_context,6.690,4.982,1.904,3.092,3.201,4.041,3.018,3.634,4.032,3.827,5.189,1.791,2.662,4.141,3.439,5.727,2.530
TEM00230,mixed_support_context,6.137,5.124,3.165,3.804,3.429,3.436,3.716,3.518,4.874,4.623,4.844,3.066,4.369,3.638,3.592,5.344,3.647
TEM00231,mixed_support_context,4.420,4.235,3.398,3.540,3.815,3.930,3.441,3.921,4.933,4.621,4.121,2.673,3.758,3.250,3.730,4.431,2.730
TEM00232,mixed_support_context,5.566,5.713,1.676,4.067,3.896,3.180,3.445,3.511,4.822,4.487,4.944,2.063,4.050,3.562,3.829,4.912,3.498
TEM00233,mixed_support_context,4.167,4.398,2.949,3.190,3.416,4.198,3.701,4.459,3.971,3.519,3.928,3.511,3.510,2.549,3.624,4.024,3.302
TEM00234,mixed_support_context,7.000,3.876,2.745,3.472,4.613,3.625,3.061,3.195,3.405,3.814,5.278,1.634,3.744,3.380,3.498,5.264,3.443
TEM00235,mixed_support_context,5.435,5.493,3.527,2.469,3.858,3.161,2.632,3.583,4.196,3.527,4.705,3.459,3.781,4.135,3.602,5.123,2.925
TEM00236,mixed_support_context,5.239,5.401,3.081,2.686,2.441,3.738,4.440,3.636,2.225,2.799,4.160,2.839,2.706,3.885,2.747,5.570,2.849
TEM00237,mixed_support_context,4.916,6.499,2.837,2.732,3.125,2.555,2.764,3.520,4.142,3.477,4.835,2.442,3.577,3.881,3.224,5.800,3.424
TEM00238,mixed_support_context,4.407,6.853,3.376,2.946,3.783,2.472,3.347,3.373,2.608,3.302,4.945,3.364,3.381,3.600,3.396,5.289,3.256
TEM00239,mixed_support_context,4.182,5.464,3.993,1.842,3.099,2.889,3.776,4.318,3.032,3.509,3.819,3.090,2.827,3.673,3.737,5.321,3.343
TEM00240,mixed_support_context,4.765,6.817,3.357,3.151,4.154,3.324,4.094,4.185,3.767,4.592,5.493,3.563,3.909,4.419,4.140,5.825,3.154
TEM00241,mixed_support_context,4.905,6.647,3.028,2.918,4.459,3.290,3.145,3.108,2.403,3.211,5.421,2.544,3.001,3.832,3.378,5.657,3.044
TEM00242,mixed_support_context,4.935,5.237,3.866,2.563,3.645,3.789,2.626,4.949,5.023,3.245,5.637,3.009,3.217,3.289,3.873,5.681,3.610
TEM00243,mixed_support_context,5.437,6.747,3.803,3.112,3.669,2.898,2.857,3.041,3.386,4.192,5.183,3.165,3.176,4.263,3.119,5.372,3.374
TEM00244,mixed_support_context,4.571,6.417,4.375,2.596,2.616,3.424,3.916,3.904,3.758,3.773,6.218,4.025,2.561,4.223,3.411,5.467,3.135
TEM00245,mixed_support_context,4.431,5.528,4.185,2.992,3.613,3.211,4.277,3.227,4.555,4.500,4.382,3.706,4.378,3.782,3.858,4.636,4.189
TEM00246,mixed_support_context,4.639,6.326,2.793,2.499,2.808,3.614,4.615,1.357,4.317,3.846,5.630,2.809,2.534,3.871,3.481,5.716,2.690
TEM00247,mixed_support_context,3.991,6.090,3.200,4.009,3.222,2.967,5.114,3.333,4.236,4.851,5.691,3.189,4.148,2.927,3.975,5.318,3.715
TEM00248,mixed_support_context,4.776,5.089,2.809,2.588,3.161,1.638,3.656,3.808,3.073,3.868,4.335,3.110,3.028,2.759,3.493,5.071,3.202
TEM00249,mixed_support_context,4.396,5.615,2.498,2.354,3.637,4.170,2.327,5.111,3.239,2.797,4.925,2.341,3.155,4.393,3.668,5.327,2.453
TEM00250,mixed_support_context,5.456,6.224,2.813,3.317,2.773,3.646,2.349,3.384,3.944,3.790,5.537,2.893,2.942,4.235,3.192,5.664,3.145
TEM00251,mixed_support_context,5.782,5.026,3.097,1.947,2.434,3.395,3.559,2.764,4.354,3.452,4.825,2.274,2.023,4.045,3.444,5.658,2.410
TEM00252,mixed_support_context,4.903,4.784,3.353,4.264,4.002,2.475,2.934,3.358,3.453,4.268,4.466,2.340,3.886,2.604,3.542,4.210,3.759
TEM00253,mixed_support_context,3.086,3.011,6.199,4.355,3.226,4.071,3.761,2.621,3.346,5.139,3.031,3.992,4.766,1.690,2.923,3.643,4.011
TEM00254,mixed_support_context,3.346,3.212,5.498,4.247,2.728,2.881,4.029,4.275,4.418,4.285,3.153,5.328,4.264,1.433,3.835,3.091,4.844
TEM00255,mixed_support_context,2.548,2.999,5.148,4.572,2.298,3.419,2.864,2.802,3.992,4.519,3.775,3.777,4.272,1.188,3.270,2.955,4.174
TEM00256,mixed_support_context,3.348,4.127,4.977,3.158,2.509,3.441,2.743,2.577,2.832,3.192,4.065,3.789,2.507,2.590,2.602,3.979,2.790
TEM00257,mixed_support_context,2.808,2.015,5.196,4.211,3.707,3.746,3.954,4.419,3.636,4.419,2.992,5.084,5.846,0.713,3.778,2.798,4.269
TEM00258,mixed_support_context,1.385,1.587,5.934,3.808,3.329,3.878,2.250,2.754,4.442,3.542,1.387,4.043,4.234,0.632,3.533,2.240,4.624
TEM00259,mixed_support_context,2.750,3.506,6.392,3.149,4.801,3.703,4.201,3.492,2.537,3.944,2.744,5.115,3.890,1.758,4.002,3.205,4.203
TEM00260,mixed_support_context,3.325,2.901,5.577,3.899,2.512,3.176,3.628,4.881,4.474,3.444,2.673,4.455,4.660,1.912,3.463,3.174,4.232
TEM00261,mixed_support_context,1.992,3.752,5.835,4.256,2.306,4.666,2.755,3.449,2.485,3.998,2.988,3.767,3.533,1.786,2.653,3.701,3.703
TEM00262,mixed_support_context,3.043,3.116,5.970,4.401,3.783,3.272,4.513,5.136,3.267,4.548,2.208,4.478,4.507,1.167,4.184,2.593,4.527
TEM00263,mixed_support_context,2.068,3.827,5.980,3.232,3.770,3.495,3.674,3.582,3.390,3.793,2.339,4.562,3.271,2.108,3.581,3.477,3.879
TEM00264,mixed_support_context,2.900,3.998,5.369,3.334,2.544,3.309,4.299,3.523,4.320,4.411,4.336,4.244,3.662,1.958,3.429,3.505,3.756
TEM00265,mixed_support_context,2.654,2.888,6.499,5.499,3.715,2.975,3.815,3.565,4.128,4.938,2.682,5.128,5.348,0.723,3.723,2.840,5.067
TEM00266,mixed_support_context,3.493,2.830,4.255,4.298,3.847,3.104,3.269,4.189,3.986,4.896,3.040,4.828,4.157,1.569,4.055,2.875,4.540
TEM00267,mixed_support_context,3.427,3.601,4.959,3.256,1.197,4.724,4.524,1.606,3.563,2.804,4.375,3.720,3.782,2.025,2.791,4.393,3.411
TEM00268,mixed_support_context,1.988,2.675,6.388,3.499,2.468,2.374,3.087,5.050,2.703,3.064,2.680,5.553,3.787,1.099,2.889,2.520,4.258
TEM00269,mixed_support_context,2.719,2.754,5.530,4.101,3.456,2.276,3.786,3.812,3.168,4.626,2.230,4.399,5.121,1.390,3.533,2.650,3.925
TEM00270,mixed_support_context,4.063,3.803,5.156,5.600,2.896,2.562,4.170,3.400,5.521,5.351,3.221,4.150,5.154,1.883,3.792,3.650,5.135
TEM00271,mixed_support_context,4.057,3.402,3.366,5.331,3.912,3.844,2.148,2.337,3.437,3.891,3.139,2.015,4.257,1.689,3.043,3.940,3.796
TEM00272,mixed_support_context,3.751,3.149,4.409,5.699,2.534,4.433,3.672,1.853,4.171,5.567,3.477,3.555,4.869,1.680,3.188,3.013,4.505
TEM00273,mixed_support_context,3.790,3.483,3.926,5.778,2.992,3.831,3.463,3.888,4.078,5.600,2.830,3.234,4.892,1.553,3.600,3.101,4.440
TEM00274,mixed_support_context,4.113,1.887,3.946,5.563,3.246,4.340,3.994,2.767,3.581,4.731,3.103,2.756,5.534,1.030,3.354,2.926,4.420
TEM00275,mixed_support_context,4.090,2.827,4.351,5.156,4.014,3.579,5.103,3.539,3.408,5.735,2.847,4.826,5.485,1.525,3.880,2.984,4.279
TEM00276,mixed_support_context,2.894,1.000,3.450,5.270,4.356,1.640,4.205,2.897,3.915,5.285,1.421,4.169,6.328,0.140,4.152,1.412,5.085
TEM00277,mixed_support_context,3.225,3.410,3.300,5.025,3.794,2.514,4.788,2.808,3.659,5.456,3.318,2.979,5.170,1.266,4.501,2.588,4.958
TEM00278,mixed_support_context,3.307,2.395,3.950,5.272,3.601,4.631,3.111,5.448,3.984,4.503,1.782,3.848,5.189,1.035,3.683,3.020,4.668
TEM00279,mixed_support_context,3.310,2.278,3.677,5.862,3.031,4.666,3.355,2.830,5.543,5.146,2.636,3.133,5.710,0.835,3.607,2.715,4.006
TEM00280,mixed_support_context,2.799,2.582,3.892,6.002,3.702,2.632,2.284,3.715,2.909,5.269,1.609,3.546,5.186,0.815,3.446,2.356,4.708
TEM00281,mixed_support_context,2.799,2.314,4.214,6.477,3.289,2.592,2.886,4.614,2.530,5.874,1.642,4.419,5.717,0.264,3.323,1.541,5.466
TEM00282,mixed_support_context,2.259,2.933,4.783,5.734,3.113,1.828,3.712,3.301,4.129,5.247,2.496,4.374,5.232,0.080,3.923,0.995,5.338
TEM00283,mixed_support_context,3.048,3.339,3.738,5.827,3.820,2.991,2.799,5.070,2.362,5.313,3.036,4.758,5.319,1.280,3.786,2.576,4.425
TEM00284,mixed_support_context,3.917,2.938,4.726,6.575,3.822,2.423,3.811,2.967,4.180,5.468,3.584,3.185,5.817,0.961,3.332,2.120,5.176
TEM00285,mixed_support_context,1.000,2.568,3.797,4.880,3.958,2.746,2.375,2.363,3.881,4.963,1.298,3.768,3.804,0.144,3.431,2.246,4.091
TEM00286,mixed_support_context,2.937,2.642,4.781,5.459,1.999,2.156,2.352,4.229,4.553,5.066,2.561,3.932,4.255,1.155,3.199,2.781,4.724
TEM00287,mixed_support_context,3.024,1.873,3.468,5.527,4.299,4.018,5.001,1.466,2.780,5.291,2.091,3.547,5.368,0.631,3.719,2.263,4.890
TEM00288,mixed_support_context,3.509,2.938,3.652,5.409,3.468,2.378,3.726,3.806,3.295,5.562,2.884,3.569,5.285,1.338,3.402,2.644,4.416
TEM00289,mixed_support_context,4.017,3.436,3.120,5.053,3.949,3.016,4.404,2.304,3.283,5.163,3.736,2.907,4.929,1.521,3.485,3.248,4.207
TEM00290,mixed_support_context,4.134,5.183,4.736,3.447,2.561,4.007,3.804,3.320,3.509,3.633,3.800,4.736,3.730,3.167,3.120,4.280,3.528
TEM00291,mixed_support_context,4.289,2.511,3.635,4.312,3.517,2.254,3.431,3.876,2.891,3.969,2.355,2.234,5.005,1.405,3.511,3.487,4.388
TEM00292,mixed_support_context,4.302,3.561,4.353,4.880,2.472,1.767,2.499,2.951,3.748,4.616,2.977,4.157,4.349,1.555,3.180,3.076,4.305
TEM00293,mixed_support_context,3.289,3.744,4.816,4.615,4.004,3.521,5.099,4.971,4.259,4.936,3.366,4.275,5.472,2.172,4.507,2.975,4.632
TEM00294,mixed_support_context,5.216,4.701,4.095,4.799,3.740,2.741,4.801,4.044,4.380,5.136,3.747,3.785,4.523,2.944,4.166,4.037,4.469
TEM00295,mixed_support_context,5.016,3.277,4.375,5.045,2.994,3.022,3.256,3.106,3.681,5.098,3.915,3.935,5.274,1.739,3.000,3.969,4.989
TEM00296,mixed_support_context,3.393,4.141,4.664,3.564,2.367,3.035,2.499,4.908,4.984,3.273,3.398,4.366,3.469,1.991,3.298,4.178,4.015
TEM00297,mixed_support_context,3.533,3.832,3.475,5.269,3.727,3.336,3.947,4.261,4.559,4.785,3.256,3.049,5.136,1.511,4.261,3.371,4.236
TEM00298,mixed_support_context,2.890,5.117,4.083,3.338,3.331,3.918,3.280,3.487,3.928,3.942,4.152,3.592,3.884,2.635,3.515,4.774,3.361
TEM00299,mixed_support_context,3.921,4.656,3.287,3.992,4.988,2.243,3.141,2.487,2.454,4.535,2.993,2.963,3.799,2.714,3.881,3.519,4.370
TEM00300,mixed_support_context,3.827,4.252,3.885,4.017,3.385,4.390,3.781,4.703,3.752,4.481,4.277,4.195,3.889,2.611,3.666,4.381,4.036
TEM00301,mixed_support_context,4.454,4.483,3.466,3.784,2.859,3.276,2.773,3.205,3.236,4.255,4.039,2.940,3.910,2.420,2.827,4.541,3.146
TEM00302,mixed_support_context,3.384,2.086,4.355,4.071,3.794,2.403,4.348,2.444,3.698,5.215,2.701,3.508,4.671,0.905,3.917,2.417,4.699
TEM00303,mixed_support_context,3.984,5.032,3.876,4.508,2.830,5.014,4.350,2.235,4.394,3.970,4.770,2.424,4.454,2.672,3.586,4.405,3.460
TEM00304,mixed_support_context,4.268,4.612,3.937,4.905,3.985,2.970,2.778,4.283,4.734,5.736,2.897,2.346,4.733,2.363,4.321,3.876,4.626
TEM00305,mixed_support_context,3.924,4.859,4.577,3.303,2.878,2.684,3.811,5.349,2.456,4.399,3.840,3.377,3.725,2.772,3.700,3.795,3.203
TEM00306,mixed_support_context,3.594,3.893,3.463,3.679,4.305,2.846,3.411,1.778,4.273,4.704,2.896,2.454,4.320,1.704,3.611,3.589,3.931
TEM00307,mixed_support_context,4.576,4.090,3.490,4.941,3.423,2.026,3.994,2.814,3.420,5.518,4.193,3.207,5.268,1.735,3.954,3.293,4.534
TEM00308,mixed_support_context,3.969,5.331,5.278,5.400,2.982,4.664,3.553,3.123,3.376,4.545,4.388,3.637,4.388,2.564,3.320,4.694,4.217
TEM00309,mixed_support_context,5.644,4.370,3.856,5.320,2.100,4.393,4.405,3.197,2.445,4.625,4.956,3.449,4.038,2.645,3.085,4.939,4.371
TEM00310,mixed_support_context,3.828,4.727,4.642,5.149,2.550,3.146,3.980,2.267,3.840,4.985,4.047,3.127,5.210,1.846,3.292,3.537,5.052
TEM00311,mixed_support_context,4.962,5.099,4.165,5.030,4.239,4.092,2.984,3.441,1.188,4.505,4.540,2.446,3.499,2.686,2.996,4.730,3.929
TEM00312,mixed_support_context,4.308,5.445,5.414,4.977,5.378,3.764,2.344,3.447,3.468,4.953,4.708,4.428,4.537,2.752,4.015,4.868,4.929
TEM00313,mixed_support_context,4.527,2.777,4.631,5.048,3.174,2.604,2.912,4.118,6.030,4.969,2.428,4.237,5.716,1.541,4.510,2.292,4.841
TEM00314,mixed_support_context,3.756,5.667,5.977,4.149,4.568,4.197,4.066,2.875,2.924,3.893,3.891,4.377,4.414,3.297,4.262,4.773,4.595
TEM00315,mixed_support_context,4.882,5.065,3.945,5.437,3.245,2.507,3.930,4.014,2.514,5.082,4.605,3.580,4.569,1.739,3.563,3.318,4.531
TEM00316,mixed_support_context,4.539,4.364,5.182,5.162,3.539,3.767,3.447,1.651,3.444,4.394,4.552,2.894,4.143,2.957,3.386,3.796,4.199
TEM00317,mixed_support_context,5.149,4.874,4.595,4.427,3.710,3.270,3.901,3.146,3.554,4.570,4.199,3.625,4.243,3.565,3.807,4.651,4.288
TEM00318,mixed_support_context,4.151,3.651,4.740,4.643,3.049,3.119,2.855,3.871,5.535,4.666,3.198,3.730,5.133,2.093,3.881,3.552,4.512
TEM00319,mixed_support_context,3.888,4.258,5.883,4.579,3.958,3.038,2.368,3.704,1.752,4.854,3.562,4.403,3.744,2.335,2.913,3.719,4.799
TEM00320,mixed_support_context,3.578,5.070,6.073,4.956,3.171,1.115,3.483,3.873,4.355,4.695,3.669,4.676,4.668,2.200,4.006,3.100,5.610
TEM00321,mixed_support_context,5.008,5.350,4.757,4.733,2.824,4.508,3.573,3.499,3.853,4.091,4.659,3.530,4.482,2.985,3.423,4.872,3.733
TEM00322,mixed_support_context,3.924,4.568,6.418,5.380,3.062,3.250,3.085,3.639,3.806,4.881,3.614,4.446,4.299,2.365,3.598,4.351,5.068
TEM00323,mixed_support_context,2.965,5.247,4.880,4.311,2.727,4.440,3.927,3.745,4.119,4.540,3.758,3.572,4.179,2.415,3.426,4.515,3.781
TEM00324,mixed_support_context,5.116,3.165,5.662,4.511,4.293,4.090,3.442,2.716,1.000,4.865,3.323,4.623,4.399,2.379,2.978,4.111,4.006
TEM00325,family_stress_context,6.936,4.535,2.826,3.356,3.013,4.065,1.943,2.940,2.804,3.664,4.970,1.687,3.741,3.990,2.742,5.535,2.587
TEM00326,family_stress_context,5.422,4.368,2.901,3.061,3.295,4.821,1.967,2.673,2.581,4.017,4.193,2.429,3.752,3.653,2.854,5.928,2.360
TEM00327,family_stress_context,5.131,5.977,3.013,3.446,3.799,4.259,2.601,2.497,4.725,3.443,4.843,1.903,3.945,3.718,3.484,5.839,3.067
TEM00328,family_stress_context,6.266,5.965,2.201,3.049,2.281,6.152,2.382,2.608,3.444,3.258,6.099,1.592,2.335,4.443,2.374,7.569,1.785
TEM00329,family_stress_context,6.161,4.346,3.650,4.396,3.252,3.664,3.516,2.318,3.337,4.231,4.729,2.170,4.375,3.147,3.285,4.789,3.476
TEM00330,family_stress_context,5.614,4.806,2.271,4.459,2.844,1.518,3.254,3.134,2.259,3.844,4.417,2.926,4.496,3.025,3.121,3.400,4.040
TEM00331,family_stress_context,5.402,4.311,2.407,3.698,2.855,3.805,3.650,4.576,3.274,3.672,4.362,2.513,3.224,3.254,2.979,4.826,2.849
TEM00332,family_stress_context,6.953,3.400,2.843,3.218,2.986,3.567,2.007,3.715,3.973,3.656,5.141,1.089,3.927,3.645,3.345,5.337,2.910
