participant_id,institutional_context,machiavellianism,narcissism,psychopathy,sadism,honesty_humility,conscientious_reliability,fairness_orientation,compassion_kindness,moral_identity,practical_judgment,institutional_accountability,status_reward_pressure,unethical_behavior,prosocial_restraint,harm_indicator,dark_trait_burden,virtue_relevant_tendency,moral_integration_index,dark_accountability_risk
DTV0149,competitive_low_oversight,4.140,3.648,4.182,4.877,3.935,3.925,3.620,3.779,3.389,3.337,1.898,6.075,2.840,3.078,4.287,4.212,3.815,3.514,7.000
DTV0150,competitive_low_oversight,5.084,5.127,5.225,5.279,4.678,4.852,4.484,4.179,4.286,3.384,1.883,5.792,3.455,3.007,4.321,5.179,4.548,4.073,7.000
DTV0151,competitive_low_oversight,4.102,4.173,5.329,4.284,4.200,3.816,4.071,3.979,3.429,2.785,2.374,5.424,2.921,3.324,3.636,4.472,4.017,3.410,6.896
DTV0152,competitive_low_oversight,4.786,4.194,4.395,4.688,4.129,4.194,4.920,4.011,3.985,3.448,1.841,5.014,3.530,2.226,3.292,4.516,4.314,3.916,7.000
DTV0153,competitive_low_oversight,5.343,4.836,4.692,4.917,1.723,2.725,2.731,2.220,2.435,2.512,1.886,5.477,3.618,1.626,4.126,4.947,2.350,2.432,7.000
DTV0154,competitive_low_oversight,5.142,4.986,5.469,5.086,2.978,2.233,3.086,2.967,2.591,2.779,2.029,5.571,4.138,1.694,3.509,5.171,2.816,2.729,7.000
DTV0155,competitive_low_oversight,5.930,6.378,6.332,6.448,1.802,2.389,2.155,2.038,2.566,2.029,1.900,6.218,4.948,1.816,4.935,6.272,2.096,2.230,7.000
DTV0156,competitive_low_oversight,7.000,6.661,6.092,5.650,2.117,2.686,2.246,2.274,2.279,1.884,2.035,5.741,4.835,1.904,4.813,6.351,2.331,2.164,7.000
DTV0157,competitive_low_oversight,6.226,5.971,5.186,5.547,1.585,2.315,2.284,1.847,1.360,1.904,1.952,5.781,4.503,1.490,4.100,5.732,2.008,1.757,7.000
DTV0158,competitive_low_oversight,5.880,5.136,5.409,6.172,1.354,1.819,1.700,2.815,2.182,2.192,2.435,5.790,4.638,1.847,4.796,5.649,1.922,2.098,7.000
DTV0159,competitive_low_oversight,6.274,5.445,4.975,4.990,2.635,2.958,2.324,3.136,2.923,2.033,3.031,5.454,4.510,1.547,4.206,5.421,2.763,2.573,7.000
DTV0160,competitive_low_oversight,5.642,5.438,5.475,5.266,2.240,2.854,2.740,2.728,2.048,2.378,2.676,5.411,4.625,2.390,4.742,5.455,2.641,2.356,7.000
DTV0161,competitive_low_oversight,5.221,5.718,5.732,5.359,2.923,1.626,2.601,2.979,1.947,2.088,1.997,5.256,3.841,1.681,3.635,5.507,2.532,2.189,7.000
DTV0162,competitive_low_oversight,4.367,3.990,5.337,5.289,2.420,2.595,2.850,3.099,2.860,2.522,1.804,5.658,3.872,1.667,3.586,4.746,2.741,2.708,7.000
DTV0163,competitive_low_oversight,4.821,4.188,4.482,4.420,2.828,3.617,3.441,3.979,3.020,2.809,1.900,4.336,3.321,1.935,3.992,4.478,3.466,3.098,7.000
DTV0164,competitive_low_oversight,4.299,3.948,4.522,4.212,3.049,3.651,3.550,4.384,2.385,2.684,1.513,5.113,3.780,2.200,3.277,4.245,3.659,2.909,7.000
DTV0165,competitive_low_oversight,4.570,4.605,4.332,5.273,2.864,2.551,2.741,3.004,2.882,2.649,1.794,5.492,4.448,1.725,4.376,4.695,2.790,2.774,7.000
DTV0166,competitive_low_oversight,4.050,3.861,3.852,2.895,2.608,2.719,2.899,3.850,2.684,2.526,1.728,5.253,3.690,2.614,4.430,3.665,3.019,2.743,6.440
DTV0167,competitive_low_oversight,4.444,4.602,4.499,4.620,2.984,2.866,2.151,1.210,2.504,2.974,1.768,5.209,3.520,1.766,4.289,4.542,2.302,2.593,7.000
DTV0168,competitive_low_oversight,4.346,5.008,4.457,4.813,3.420,2.632,2.464,1.901,3.079,2.632,2.000,5.473,2.686,1.539,4.330,4.656,2.604,2.772,7.000
DTV0169,community_care_context,4.825,2.966,3.054,3.028,3.735,4.113,3.559,4.691,4.113,3.432,5.446,2.826,1.934,3.710,1.000,3.468,4.024,3.857,1.796
DTV0170,community_care_context,5.338,3.573,3.705,3.248,3.397,2.946,4.048,3.899,3.719,2.933,4.413,2.789,1.875,2.920,2.360,3.966,3.572,3.408,3.421
DTV0171,community_care_context,4.872,3.734,2.759,4.086,3.585,3.935,3.756,3.335,3.833,3.459,4.480,3.460,2.558,2.691,1.868,3.863,3.653,3.648,3.245
DTV0172,community_care_context,5.429,5.172,5.701,5.868,3.745,3.487,3.755,3.578,3.421,3.768,4.686,3.648,2.982,2.650,2.714,5.543,3.641,3.610,4.275
DTV0173,community_care_context,4.239,3.489,3.149,2.925,4.554,4.383,4.641,4.309,4.312,4.347,4.977,3.059,1.769,4.347,1.304,3.451,4.472,4.377,2.327
DTV0174,community_care_context,5.317,4.032,4.781,4.118,4.085,3.144,4.914,3.488,3.389,3.398,3.955,2.787,2.915,3.129,2.593,4.562,3.908,3.565,4.630
DTV0175,community_care_context,4.894,3.333,4.921,4.109,4.455,5.401,5.101,4.534,4.430,3.969,4.966,2.826,2.704,4.147,2.109,4.314,4.873,4.424,2.926
DTV0176,community_care_context,4.841,3.499,3.575,4.333,4.730,4.862,4.473,4.082,4.160,4.374,4.976,3.088,1.722,3.836,1.529,4.062,4.537,4.357,2.740
DTV0177,community_care_context,3.911,5.221,4.043,4.136,4.180,4.208,4.656,3.444,3.233,4.539,4.679,3.712,2.845,2.944,2.341,4.328,4.122,3.965,3.348
DTV0178,community_care_context,3.189,4.574,2.507,3.308,3.504,3.584,3.753,3.481,3.412,3.847,4.893,2.733,1.365,3.101,1.251,3.394,3.581,3.613,2.384
DTV0179,community_care_context,3.895,4.992,2.607,3.254,3.850,4.021,3.839,3.926,3.419,3.251,4.882,3.333,1.933,3.319,1.504,3.687,3.909,3.526,2.604
DTV0180,community_care_context,4.024,4.900,3.746,3.784,4.966,4.248,4.320,4.050,4.578,3.912,4.656,2.905,2.099,4.043,1.934,4.113,4.396,4.295,3.214
DTV0181,community_care_context,4.049,5.522,3.973,3.886,4.044,4.242,2.895,3.615,3.655,3.157,4.111,3.274,2.530,2.780,2.993,4.358,3.699,3.504,4.197
DTV0182,community_care_context,2.956,4.922,3.422,2.259,3.569,4.299,3.720,4.394,3.587,3.898,4.861,2.823,2.204,3.529,1.666,3.389,3.996,3.827,2.417
DTV0183,community_care_context,3.962,5.151,3.224,3.573,4.877,5.054,4.369,4.249,4.516,3.740,5.077,3.299,3.105,4.246,2.186,3.978,4.637,4.298,2.549
DTV0184,community_care_context,2.126,4.378,2.255,2.867,3.423,3.960,4.870,4.710,4.110,5.206,4.224,3.072,1.701,3.984,1.522,2.907,4.241,4.519,2.690
DTV0185,community_care_context,3.135,2.444,4.315,3.871,3.663,3.976,3.308,4.490,4.494,3.571,5.138,2.998,1.854,4.083,1.261,3.441,3.859,3.975,2.136
DTV0186,community_care_context,3.501,3.611,4.677,4.338,5.089,4.215,4.557,4.389,4.624,4.117,4.541,2.567,1.082,4.040,1.457,4.032,4.563,4.435,3.305
DTV0187,community_care_context,3.744,3.890,5.676,3.784,4.692,4.662,4.473,3.508,4.114,3.935,4.349,3.121,1.776,4.038,2.474,4.274,4.334,4.127,3.776
DTV0188,community_care_context,3.450,4.489,5.416,4.722,3.563,3.561,4.173,3.259,3.881,3.768,4.594,3.256,2.549,3.646,2.592,4.519,3.639,3.763,3.624
DTV0189,community_care_context,3.366,4.236,5.627,4.412,3.026,3.535,3.668,2.747,3.082,3.890,4.451,2.313,2.365,3.199,2.697,4.410,3.244,3.405,3.747
DTV0190,community_care_context,3.896,3.386,4.412,3.134,4.924,4.396,3.739,3.961,4.016,3.592,4.651,2.906,1.950,3.449,2.469,3.707,4.255,3.954,2.902
DTV0191,community_care_context,3.236,3.254,3.434,3.324,4.513,3.844,4.258,3.939,3.814,4.434,3.878,2.613,2.298,3.031,1.664,3.312,4.139,4.129,3.447
DTV0192,community_care_context,3.150,3.713,3.627,3.111,3.866,3.169,3.882,3.457,2.709,3.455,4.717,3.804,2.095,3.185,1.811,3.400,3.594,3.253,2.588
DTV0193,community_care_context,4.018,4.771,5.124,6.324,2.921,3.343,3.400,3.328,2.936,3.099,4.476,2.537,2.575,2.754,2.852,5.059,3.248,3.094,4.257
DTV0194,community_care_context,4.503,4.252,4.679,5.611,3.200,3.400,3.994,2.868,2.850,4.160,4.884,2.354,2.614,2.671,2.483,4.761,3.366,3.459,3.358
DTV0195,community_care_context,1.827,2.043,2.466,3.099,3.528,3.989,4.150,3.918,4.239,3.331,4.509,2.707,1.000,3.520,1.520,2.359,3.896,3.822,1.959
DTV0196,community_care_context,3.597,3.921,3.821,4.904,3.920,4.548,4.701,5.373,4.877,3.700,4.644,2.703,2.347,4.520,2.015,4.061,4.636,4.404,3.188
DTV0197,community_care_context,3.344,2.935,3.433,4.868,4.921,4.602,3.900,4.426,4.261,3.619,4.447,2.756,1.513,3.683,1.675,3.645,4.462,4.114,3.102
DTV0198,community_care_context,2.869,3.269,3.325,4.599,4.978,4.432,4.314,4.198,4.120,4.230,5.126,2.959,1.000,3.679,1.381,3.515,4.480,4.277,2.196
DTV0199,community_care_context,3.503,3.218,4.077,4.482,3.723,3.773,3.684,3.632,4.342,3.650,4.854,3.054,1.636,3.430,2.185,3.820,3.703,3.898,2.732
DTV0200,community_care_context,3.331,3.265,2.324,4.564,4.832,4.662,4.070,3.741,3.894,4.289,5.110,3.291,1.112,3.909,1.656,3.371,4.326,4.170,2.124
DTV0201,community_care_context,3.576,3.294,3.069,3.656,5.228,5.097,4.829,4.923,4.439,4.482,4.014,3.275,1.387,3.414,1.311,3.399,5.019,4.647,3.382
DTV0202,community_care_context,2.971,3.073,2.858,2.842,4.867,6.411,5.350,6.318,4.943,4.570,4.378,3.197,1.110,3.259,1.496,2.936,5.736,5.083,2.566
DTV0203,community_care_context,2.878,2.498,1.815,2.116,5.939,5.059,5.708,5.716,5.123,5.109,4.344,2.897,1.000,4.764,1.000,2.327,5.606,5.279,2.060
DTV0204,community_care_context,3.620,3.249,3.294,2.453,5.077,3.879,4.498,4.183,4.137,4.363,4.542,3.131,1.349,3.815,1.735,3.154,4.409,4.303,2.584
DTV0205,community_care_context,3.394,4.249,4.209,4.112,5.518,4.865,4.914,5.058,4.057,4.841,4.495,2.996,2.026,4.335,1.554,3.991,5.089,4.662,3.332
DTV0206,community_care_context,4.450,3.443,4.200,3.667,4.618,4.249,5.047,4.376,4.623,4.175,4.855,3.288,1.986,4.163,1.623,3.940,4.573,4.457,2.818
DTV0207,community_care_context,3.756,3.453,3.966,2.979,5.612,5.863,4.814,5.481,3.824,4.589,4.657,2.466,1.243,4.231,1.610,3.539,5.442,4.618,2.763
DTV0208,community_care_context,2.517,2.818,2.828,3.541,5.347,4.922,4.296,4.616,4.130,3.447,4.754,2.916,1.000,3.993,1.000,2.926,4.795,4.124,2.191
DTV0209,community_care_context,3.997,3.618,3.678,3.613,2.964,2.733,2.905,3.009,2.946,2.857,4.592,2.996,2.682,2.897,2.056,3.727,2.903,2.902,2.992
DTV0210,community_care_context,4.599,5.107,4.475,4.877,4.017,3.668,3.024,2.968,2.994,3.730,4.801,3.459,3.482,3.682,2.459,4.764,3.419,3.381,3.493
DTV0211,community_care_context,3.822,3.831,3.419,3.801,4.726,3.959,5.072,4.671,3.705,4.353,5.241,2.878,1.159,3.857,1.519,3.718,4.607,4.222,2.181
DTV0212,community_care_context,4.211,5.064,5.269,4.301,3.772,4.365,4.119,4.007,2.996,4.175,4.607,2.572,2.377,3.608,2.613,4.711,4.066,3.746,3.758
DTV0213,community_care_context,4.333,3.896,4.491,4.664,3.648,3.935,3.952,4.014,3.736,3.547,4.821,3.796,2.908,3.696,2.357,4.346,3.887,3.723,3.156
DTV0214,community_care_context,4.402,4.579,4.698,4.643,4.346,4.243,3.581,3.587,3.835,3.624,4.491,2.948,2.084,3.658,2.495,4.581,3.939,3.799,3.831
DTV0215,community_care_context,4.121,4.700,4.946,4.555,3.672,3.821,4.149,3.953,3.646,3.259,4.984,3.454,2.934,2.390,2.120,4.580,3.899,3.601,3.078
DTV0216,community_care_context,3.988,4.656,3.959,4.571,3.905,4.203,3.931,3.234,3.064,3.363,4.677,2.518,2.097,2.811,2.367,4.294,3.818,3.415,3.324
DTV0217,community_care_context,2.724,3.155,2.762,3.068,4.583,5.085,4.870,4.752,4.592,4.594,4.816,2.740,1.000,4.327,1.137,2.927,4.822,4.669,2.131
DTV0218,community_care_context,3.453,3.358,3.385,4.598,5.786,5.505,5.171,4.089,4.533,4.493,5.049,3.604,1.922,3.891,1.832,3.699,5.138,4.721,2.405
DTV0219,community_care_context,3.455,3.457,2.976,3.734,5.286,5.092,5.010,4.716,4.203,4.192,4.695,3.244,1.493,4.184,1.632,3.406,5.026,4.474,2.617
DTV0220,community_care_context,4.013,3.483,4.158,4.390,4.852,5.189,4.658,4.458,3.798,3.471,4.592,2.637,1.819,3.632,1.508,4.011,4.789,4.019,3.219
DTV0221,community_care_context,3.038,3.616,3.202,4.833,4.928,5.610,6.301,4.787,4.831,4.700,4.894,3.022,1.289,4.279,1.363,3.672,5.407,4.979,2.578
DTV0222,community_care_context,4.225,4.154,2.843,3.357,4.976,4.393,4.743,4.465,4.112,3.369,4.124,2.939,1.548,3.588,1.797,3.645,4.644,4.041,3.494
DTV0223,community_care_context,3.001,3.830,3.796,3.120,5.474,5.275,5.577,4.941,4.482,4.758,4.375,4.021,1.149,3.887,2.045,3.437,5.317,4.852,3.007
DTV0224,community_care_context,2.901,3.509,3.454,3.065,3.596,4.337,4.133,3.905,3.715,3.700,5.099,2.265,1.867,3.654,1.563,3.232,3.993,3.803,2.048
DTV0225,digital_attention_environment,7.000,5.396,6.017,5.235,2.663,2.622,3.000,2.362,2.671,1.743,1.884,5.581,4.763,2.397,4.413,5.912,2.662,2.359,7.000
DTV0226,digital_attention_environment,5.812,4.171,5.391,4.967,3.532,2.060,3.343,2.184,1.907,2.126,2.219,5.173,3.784,1.809,3.717,5.085,2.780,2.271,7.000
DTV0227,digital_attention_environment,4.811,3.901,3.906,4.061,3.203,3.158,2.704,3.155,3.524,2.689,2.914,4.731,3.606,2.885,3.128,4.170,3.055,3.089,5.679
DTV0228,digital_attention_environment,6.028,4.952,5.417,5.013,3.044,3.629,2.531,2.833,2.575,2.104,2.744,5.529,4.157,1.644,4.606,5.352,3.009,2.563,7.000
DTV0229,digital_attention_environment,7.000,6.015,5.356,5.935,2.243,1.977,1.670,2.111,1.352,2.616,2.240,5.748,4.744,1.187,4.836,6.077,2.000,1.989,7.000
DTV0230,digital_attention_environment,6.002,5.296,5.982,6.248,2.504,3.198,2.743,2.825,3.149,2.623,1.859,5.625,4.852,2.283,5.167,5.882,2.817,2.863,7.000
DTV0231,digital_attention_environment,6.094,4.810,4.782,5.230,3.004,2.486,2.215,2.655,2.842,1.981,2.370,5.091,4.288,1.915,3.563,5.229,2.590,2.471,7.000
DTV0232,digital_attention_environment,6.089,4.841,5.208,4.322,3.582,2.863,2.760,3.458,3.405,2.299,2.266,5.811,4.133,2.831,3.885,5.115,3.166,2.957,7.000
DTV0233,digital_attention_environment,5.875,7.000,5.831,5.163,2.281,2.586,3.117,2.843,1.659,1.756,1.887,5.289,4.467,1.825,4.130,5.967,2.707,2.040,7.000
DTV0234,digital_attention_environment,5.429,5.886,4.874,5.247,2.818,3.057,2.993,2.538,2.089,2.011,2.534,5.404,4.378,1.537,3.875,5.359,2.852,2.317,7.000
DTV0235,digital_attention_environment,4.468,6.038,4.153,4.820,1.639,1.667,2.586,2.645,1.934,2.223,1.554,5.406,4.240,1.836,4.499,4.870,2.134,2.097,7.000
DTV0236,digital_attention_environment,5.397,6.015,5.230,5.291,2.394,3.014,2.689,3.110,2.959,2.684,2.151,5.630,4.348,2.150,4.393,5.484,2.802,2.815,7.000
DTV0237,digital_attention_environment,5.345,6.233,5.189,4.918,2.952,3.275,3.416,2.966,2.701,2.472,1.562,4.802,3.974,2.233,3.933,5.421,3.152,2.775,7.000
DTV0238,digital_attention_environment,4.716,5.233,3.728,3.962,2.606,2.462,2.658,2.935,2.233,1.847,2.052,5.558,3.300,1.714,4.068,4.410,2.665,2.248,7.000
DTV0239,digital_attention_environment,5.444,6.179,6.013,4.560,2.618,2.737,3.766,2.555,2.195,2.538,2.218,5.708,4.947,2.212,4.164,5.549,2.919,2.551,7.000
DTV0240,digital_attention_environment,4.421,5.881,4.233,4.995,3.501,4.371,3.642,3.481,2.918,3.405,2.499,5.287,3.530,2.691,3.646,4.883,3.749,3.357,7.000
DTV0241,digital_attention_environment,5.771,6.088,6.475,6.063,2.561,3.338,2.310,2.933,2.491,3.272,1.189,5.856,4.660,2.413,4.355,6.099,2.785,2.850,7.000
DTV0242,digital_attention_environment,5.418,5.250,7.000,5.120,2.678,3.232,1.919,2.659,2.658,2.213,2.399,5.565,4.961,1.771,4.190,5.697,2.622,2.498,7.000
DTV0243,digital_attention_environment,4.565,4.546,4.950,4.230,2.883,2.623,2.773,3.077,2.803,2.739,2.599,5.310,3.198,2.143,3.813,4.573,2.839,2.794,6.709
DTV0244,digital_attention_environment,5.679,5.492,6.022,5.124,2.107,3.696,2.647,2.958,1.659,2.422,2.080,5.395,4.790,1.417,4.456,5.579,2.852,2.311,7.000
DTV0245,digital_attention_environment,5.634,5.677,5.960,5.002,2.191,2.662,2.824,2.745,1.814,1.607,2.280,5.747,4.420,1.623,4.881,5.568,2.605,2.009,7.000
DTV0246,digital_attention_environment,5.610,4.789,6.482,5.634,2.741,2.475,2.615,1.934,2.146,2.016,2.398,5.009,4.142,1.427,4.740,5.629,2.441,2.201,7.000
DTV0247,digital_attention_environment,5.629,5.201,6.978,4.603,2.269,3.280,2.930,3.105,2.043,2.758,2.588,4.946,3.750,1.405,4.633,5.603,2.896,2.566,7.000
DTV0248,digital_attention_environment,4.980,5.545,6.692,5.139,2.915,3.862,3.428,3.674,2.700,2.303,2.589,5.221,3.814,2.463,3.497,5.589,3.470,2.824,7.000
DTV0249,digital_attention_environment,4.714,5.014,5.730,6.693,3.636,3.133,3.383,3.335,2.934,2.751,2.247,5.463,2.828,1.842,3.835,5.538,3.372,3.019,7.000
DTV0250,digital_attention_environment,5.656,4.618,5.446,5.498,2.569,2.715,1.722,1.901,2.398,1.997,2.268,5.800,4.434,1.424,4.279,5.305,2.227,2.207,7.000
DTV0251,digital_attention_environment,5.323,4.280,5.838,6.369,2.578,3.062,3.299,2.951,3.188,2.393,1.544,5.266,3.844,1.883,4.454,5.452,2.973,2.851,7.000
DTV0252,digital_attention_environment,4.315,4.800,4.595,6.160,3.584,4.036,3.861,4.069,4.134,3.105,2.809,4.615,3.319,3.231,3.468,4.968,3.887,3.709,6.939
DTV0253,digital_attention_environment,6.003,5.653,6.434,6.445,2.278,3.185,2.459,2.972,2.158,2.205,2.602,5.794,4.646,2.025,4.757,6.134,2.723,2.362,7.000
DTV0254,digital_attention_environment,4.050,4.440,5.268,6.135,2.254,1.877,2.580,2.490,2.064,1.798,2.960,4.841,3.942,1.719,4.048,4.973,2.300,2.054,6.697
DTV0255,digital_attention_environment,5.187,4.208,4.913,6.320,2.980,1.897,2.450,2.650,2.758,2.293,1.930,4.937,4.611,2.174,4.126,5.157,2.494,2.515,7.000
DTV0256,digital_attention_environment,5.351,5.608,5.980,7.000,2.731,2.562,2.124,2.962,2.886,2.103,2.703,4.971,4.523,1.494,4.370,5.985,2.595,2.528,7.000
DTV0257,digital_attention_environment,5.643,4.000,4.484,4.468,4.399,3.220,4.134,4.020,3.551,3.144,2.306,4.743,3.498,2.740,4.311,4.649,3.943,3.546,7.000
DTV0258,digital_attention_environment,4.412,4.572,5.051,3.400,3.622,4.221,4.079,3.978,3.742,3.738,2.468,5.270,3.182,3.384,3.210,4.359,3.975,3.818,6.585
DTV0259,digital_attention_environment,3.203,4.798,4.112,3.826,3.654,4.238,3.941,4.053,2.918,3.399,2.269,5.197,2.731,2.593,3.334,3.985,3.971,3.430,6.284
DTV0260,digital_attention_environment,3.963,4.372,4.156,3.800,4.478,4.746,4.031,4.761,3.011,3.515,2.069,4.756,2.398,3.353,3.393,4.073,4.504,3.677,6.694
DTV0261,digital_attention_environment,4.158,4.659,4.505,3.969,3.604,4.014,2.989,3.833,3.071,3.731,2.087,4.769,3.586,2.492,4.074,4.323,3.610,3.471,7.000
DTV0262,digital_attention_environment,3.616,3.816,3.152,3.323,4.912,4.409,4.095,4.498,3.450,3.668,2.648,4.836,1.089,2.728,2.960,3.477,4.478,3.865,5.044
DTV0263,digital_attention_environment,3.751,3.439,3.163,3.663,4.339,4.636,3.819,4.059,2.864,3.500,2.359,4.619,2.040,3.486,2.719,3.504,4.213,3.526,5.420
DTV0264,digital_attention_environment,4.406,4.177,4.099,4.783,3.647,3.699,3.399,3.925,3.895,3.344,1.764,5.422,3.013,3.540,4.407,4.366,3.668,3.636,7.000
DTV0265,digital_attention_environment,5.793,6.259,5.122,5.474,2.206,2.340,2.169,2.039,2.137,2.250,2.424,6.174,4.738,1.411,4.281,5.662,2.189,2.192,7.000
DTV0266,digital_attention_environment,5.995,5.267,5.464,5.245,2.158,1.690,2.221,2.114,2.173,2.012,2.240,5.234,4.128,1.516,4.459,5.493,2.046,2.077,7.000
DTV0267,digital_attention_environment,5.873,6.373,5.961,6.183,3.229,2.431,2.696,3.012,2.365,2.712,1.960,5.929,4.604,1.971,4.212,6.098,2.842,2.640,7.000
DTV0268,digital_attention_environment,5.734,5.414,4.866,4.845,1.439,2.227,1.959,1.773,1.237,1.744,2.234,5.737,4.645,1.000,4.120,5.215,1.850,1.610,7.000
DTV0269,digital_attention_environment,5.253,5.139,5.315,5.876,3.978,3.287,3.549,3.356,2.565,2.632,2.887,5.632,4.016,1.950,4.132,5.396,3.543,2.913,7.000
DTV0270,digital_attention_environment,6.498,5.926,6.064,5.736,2.675,3.020,2.310,3.092,2.075,2.119,2.703,5.453,4.478,1.942,4.098,6.056,2.774,2.323,7.000
DTV0271,digital_attention_environment,4.912,5.452,5.456,5.570,1.870,2.163,2.172,2.171,2.322,1.971,2.645,5.072,4.261,1.965,4.358,5.347,2.094,2.129,7.000
DTV0272,digital_attention_environment,4.335,3.779,4.865,4.969,2.519,3.102,2.261,2.674,2.344,2.743,2.660,5.126,4.183,2.307,3.988,4.487,2.639,2.576,6.492
DTV0273,digital_attention_environment,4.620,3.363,3.801,4.881,2.943,3.767,3.086,3.314,2.938,2.310,2.244,4.475,2.595,2.320,2.822,4.166,3.277,2.842,6.605
DTV0274,digital_attention_environment,5.843,4.717,4.540,4.243,3.457,3.901,3.603,4.011,3.315,2.596,2.911,5.376,4.337,2.830,3.537,4.836,3.743,3.218,6.592
DTV0275,digital_attention_environment,4.437,4.458,4.538,4.856,2.674,2.984,2.895,2.825,2.686,2.628,2.147,4.691,3.872,2.328,4.045,4.572,2.844,2.719,7.000
DTV0276,digital_attention_environment,4.039,4.787,4.913,4.304,3.408,3.363,3.557,3.389,3.251,2.728,2.116,4.757,3.073,2.494,4.183,4.511,3.429,3.136,7.000
DTV0277,digital_attention_environment,4.732,4.426,4.552,5.216,3.902,4.108,4.578,3.655,2.820,3.401,2.397,5.155,3.031,3.158,4.792,4.732,4.061,3.427,7.000
DTV0278,digital_attention_environment,4.820,4.350,3.581,4.774,2.954,2.481,2.332,1.790,2.688,1.901,2.150,5.247,3.194,1.871,3.251,4.381,2.389,2.326,7.000
DTV0279,digital_attention_environment,3.822,4.750,5.565,5.437,3.334,3.679,2.171,3.213,3.005,2.808,2.214,4.590,3.178,2.201,3.477,4.894,3.099,2.970,7.000
DTV0280,digital_attention_environment,5.327,4.558,4.840,5.389,2.813,2.040,3.480,3.014,2.563,1.912,1.532,5.054,3.333,1.800,4.829,5.029,2.837,2.437,7.000
DTV0281,professional_ethics_context,5.279,4.981,4.861,5.066,3.839,3.658,4.905,4.654,4.400,3.374,4.328,3.836,2.877,3.410,2.965,5.047,4.264,4.013,4.496
DTV0282,professional_ethics_context,4.769,4.147,3.539,3.867,4.382,4.248,4.285,3.878,4.375,3.729,4.772,3.603,2.154,3.410,1.875,4.081,4.198,4.101,3.031
DTV0283,professional_ethics_context,4.898,4.026,4.919,3.772,3.663,4.055,4.304,4.701,3.580,3.240,4.364,3.336,2.174,2.851,2.488,4.404,4.181,3.667,3.869
DTV0284,professional_ethics_context,5.519,4.692,3.478,4.783,3.800,4.238,4.656,4.188,3.989,3.404,4.174,3.578,2.088,3.142,2.925,4.618,4.221,3.871,4.350
DTV0285,professional_ethics_context,6.652,5.311,4.484,4.200,4.429,4.630,4.182,4.496,4.052,3.471,4.483,3.823,2.779,2.475,3.183,5.162,4.434,3.986,4.330
DTV0286,professional_ethics_context,4.662,4.082,4.986,5.073,4.167,2.911,3.069,3.389,3.382,3.947,4.759,2.775,2.480,2.538,2.758,4.701,3.384,3.571,3.512
DTV0287,professional_ethics_context,5.279,3.954,4.755,4.430,5.159,5.227,4.687,5.162,3.861,4.000,4.712,3.500,2.277,3.542,1.949,4.604,5.059,4.306,3.511
DTV0288,professional_ethics_context,5.553,3.983,3.527,3.244,4.064,4.070,3.913,3.847,4.061,3.113,4.483,3.552,2.903,3.330,2.157,4.077,3.973,3.716,3.420
DTV0289,professional_ethics_context,4.293,5.565,3.620,4.725,4.350,3.735,3.991,4.202,3.520,3.579,4.288,2.839,2.279,3.188,2.015,4.551,4.069,3.723,4.113
DTV0290,professional_ethics_context,3.756,5.037,3.245,3.707,4.063,4.816,3.133,3.774,3.251,3.863,4.166,3.561,1.899,3.467,2.506,3.936,3.946,3.687,3.718
DTV0291,professional_ethics_context,4.353,5.668,4.404,3.676,4.532,4.764,3.463,4.223,3.996,3.427,4.166,3.025,2.229,3.072,2.769,4.525,4.245,3.890,4.275
DTV0292,professional_ethics_context,4.081,4.988,3.755,3.197,4.371,3.779,3.948,4.405,3.537,3.416,5.101,2.887,1.805,3.790,1.641,4.005,4.126,3.693,2.535
DTV0293,professional_ethics_context,3.499,5.623,3.675,4.066,3.723,3.618,3.187,2.927,3.349,3.801,4.444,3.079,2.665,2.846,1.481,4.216,3.364,3.504,3.591
DTV0294,professional_ethics_context,4.465,5.355,4.166,4.058,3.195,4.142,3.769,4.767,3.307,3.623,3.910,3.232,2.139,3.031,2.714,4.511,3.968,3.633,4.647
DTV0295,professional_ethics_context,3.836,5.213,4.064,3.594,4.453,4.397,4.201,4.678,3.961,4.203,4.023,3.186,2.318,4.201,2.641,4.177,4.432,4.199,4.145
DTV0296,professional_ethics_context,3.097,5.053,4.362,3.583,2.761,2.954,2.709,3.200,3.221,3.074,3.989,2.665,2.598,2.406,1.866,4.024,2.906,3.067,4.039
DTV0297,professional_ethics_context,4.338,4.267,5.306,4.306,4.176,3.698,3.822,3.466,3.294,3.033,3.575,3.188,2.263,3.403,2.650,4.554,3.790,3.372,5.200
DTV0298,professional_ethics_context,4.523,3.395,5.352,4.159,3.879,3.498,2.975,3.248,3.287,3.671,4.820,3.544,2.611,3.262,2.161,4.357,3.400,3.453,3.166
DTV0299,professional_ethics_context,4.408,4.106,5.005,4.804,2.896,2.552,3.247,3.084,2.989,2.982,4.109,3.358,2.783,2.413,2.955,4.581,2.944,2.972,4.415
DTV0300,professional_ethics_context,3.167,3.572,4.721,3.108,5.287,4.983,4.480,4.502,3.942,4.546,5.263,3.209,1.128,4.252,1.572,3.642,4.813,4.434,2.108
DTV0301,professional_ethics_context,3.742,4.021,4.887,3.728,4.198,3.289,4.431,3.963,3.980,4.403,4.400,3.880,2.108,3.609,1.826,4.094,3.970,4.118,3.548
