person_id,motivation_context,autonomy_goal,achievement_goal,belonging_goal,security_goal,meaning_goal,status_goal,goal_conflict,goal_ownership,autonomy_support,competence_support,relatedness_support,conscientiousness,persistence_score,adaptive_disengagement,well_being,total_goal_intensity,approach_orientation,avoidance_security_orientation,status_orientation,need_support,motivational_quality,life_direction_coherence
MGD0131,belonging_and_relatedness_context,5.455,4.853,6.807,2.343,6.310,2.446,2.635,4.241,3.541,2.903,4.356,3.471,4.704,3.981,5.003,28.213,5.856,2.343,2.446,3.600,4.717,5.562
MGD0132,belonging_and_relatedness_context,5.395,3.890,6.769,1.546,6.065,1.703,3.157,4.541,3.938,2.874,4.466,3.514,3.289,3.926,4.900,25.369,5.530,1.546,1.703,3.759,4.788,5.502
MGD0133,belonging_and_relatedness_context,4.871,4.242,5.130,2.432,5.922,2.981,3.697,1.775,4.643,3.019,4.317,1.281,1.950,2.955,1.856,25.578,5.041,2.432,2.981,3.993,3.897,4.043
MGD0134,belonging_and_relatedness_context,4.935,4.086,5.021,3.008,4.708,3.235,3.614,1.176,3.655,3.183,5.410,1.770,2.142,2.121,2.263,24.994,4.688,3.008,3.235,4.083,3.322,3.546
MGD0135,belonging_and_relatedness_context,4.570,3.022,5.320,3.147,5.551,3.524,3.501,2.121,4.428,3.209,4.683,1.306,1.710,2.160,2.098,25.134,4.616,3.147,3.524,4.107,3.926,4.054
MGD0136,belonging_and_relatedness_context,4.675,3.933,5.784,3.544,6.374,3.411,3.394,2.604,4.113,3.320,4.834,1.744,2.585,2.393,2.820,27.719,5.191,3.544,3.411,4.089,4.355,4.565
MGD0137,belonging_and_relatedness_context,4.818,4.472,5.686,3.546,5.092,3.739,3.031,1.547,4.351,3.325,5.663,1.430,2.484,2.339,2.447,27.352,5.017,3.546,3.739,4.446,3.695,3.987
MGD0138,belonging_and_relatedness_context,4.253,3.892,5.140,2.796,5.338,3.591,3.628,1.961,4.166,3.100,4.941,1.504,2.376,2.522,2.472,25.010,4.656,2.796,3.591,4.069,3.789,3.951
MGD0139,belonging_and_relatedness_context,4.553,4.937,5.380,3.036,4.862,3.952,2.876,2.287,4.613,3.208,5.295,2.485,2.721,3.543,2.897,26.720,4.933,3.036,3.952,4.372,3.840,4.276
MGD0140,belonging_and_relatedness_context,4.115,4.626,5.278,2.524,5.032,3.722,2.438,1.767,3.558,3.289,5.199,1.805,3.305,3.095,3.099,25.297,4.763,2.524,3.722,4.015,3.605,4.030
MGD0141,belonging_and_relatedness_context,4.695,4.179,5.305,2.839,5.042,4.310,2.951,2.920,4.448,3.595,5.653,3.001,2.974,3.162,3.836,26.369,4.805,2.839,4.310,4.566,4.176,4.545
MGD0142,belonging_and_relatedness_context,3.653,4.910,5.172,3.143,4.458,4.469,2.041,2.594,4.029,3.304,5.009,2.299,3.750,3.235,4.192,25.804,4.548,3.143,4.469,4.114,3.722,4.330
MGD0143,belonging_and_relatedness_context,4.162,4.709,5.364,3.137,4.474,4.289,1.684,2.543,3.564,3.053,5.199,2.725,3.786,2.763,2.956,26.134,4.677,3.137,4.289,3.939,3.652,4.383
MGD0144,belonging_and_relatedness_context,4.025,5.540,5.084,2.383,4.145,4.377,2.403,2.503,4.269,3.003,4.803,2.331,3.337,2.976,3.721,25.553,4.698,2.383,4.377,4.025,3.558,4.243
MGD0145,belonging_and_relatedness_context,4.533,3.381,5.553,3.551,4.302,2.866,2.902,2.803,4.646,2.825,4.278,1.906,1.805,2.258,3.135,24.186,4.442,3.551,2.866,3.917,3.674,4.225
MGD0146,belonging_and_relatedness_context,4.069,2.863,4.771,3.272,5.097,2.894,3.067,2.480,3.884,3.102,4.508,1.519,2.470,2.469,2.460,22.965,4.200,3.272,2.894,3.831,3.803,4.056
MGD0147,belonging_and_relatedness_context,4.272,3.741,5.385,3.607,5.256,3.204,3.002,2.850,4.489,2.264,4.725,1.271,2.401,2.593,3.257,25.467,4.664,3.607,3.204,3.826,3.977,4.402
MGD0148,belonging_and_relatedness_context,3.730,3.874,5.037,2.999,5.052,2.425,2.265,2.618,4.147,2.723,4.461,1.699,2.175,2.943,2.503,23.117,4.423,2.999,2.425,3.777,3.816,4.296
MGD0149,belonging_and_relatedness_context,3.937,3.716,4.795,4.140,4.576,2.498,3.100,2.710,3.874,3.425,5.434,1.264,2.298,2.743,2.871,23.661,4.256,4.140,2.498,4.245,3.844,4.160
MGD0150,belonging_and_relatedness_context,3.807,3.713,5.235,4.067,4.931,2.302,2.861,2.641,3.912,3.687,4.772,2.488,2.858,2.432,2.552,24.055,4.421,4.067,2.302,4.124,3.899,4.245
MGD0151,belonging_and_relatedness_context,4.523,4.682,6.402,2.948,6.012,2.473,2.430,3.784,3.178,3.551,4.582,3.128,4.233,3.464,4.543,27.041,5.405,2.948,2.473,3.770,4.522,5.223
MGD0152,belonging_and_relatedness_context,4.798,3.877,5.631,3.409,5.440,2.317,2.496,3.404,3.968,3.067,4.534,3.572,3.865,3.969,4.397,25.473,4.937,3.409,2.317,3.857,4.234,4.835
MGD0153,belonging_and_relatedness_context,5.426,4.920,5.547,3.432,5.938,2.431,2.590,3.175,3.838,3.008,4.299,3.370,3.982,3.819,3.581,27.693,5.458,3.432,2.431,3.715,4.276,4.933
MGD0154,belonging_and_relatedness_context,5.189,4.162,4.991,2.893,5.921,2.425,2.548,3.795,4.204,2.941,4.810,2.956,4.110,4.250,4.420,25.582,5.066,2.893,2.425,3.985,4.567,5.112
MGD0155,belonging_and_relatedness_context,5.148,4.011,6.001,2.678,6.238,1.695,2.846,3.249,3.822,2.898,4.439,3.603,4.011,3.876,4.001,25.770,5.349,2.678,1.695,3.720,4.402,4.927
MGD0156,belonging_and_relatedness_context,4.448,3.759,5.918,2.732,6.483,2.898,3.352,3.013,4.339,3.015,4.841,2.611,3.390,3.722,4.163,26.238,5.152,2.732,2.898,4.065,4.520,4.749
MGD0157,belonging_and_relatedness_context,4.759,3.979,5.915,2.255,6.413,1.620,3.170,3.823,3.986,2.852,4.927,2.485,3.794,3.412,5.548,24.941,5.267,2.255,1.620,3.922,4.719,5.150
MGD0158,belonging_and_relatedness_context,4.372,3.366,5.809,2.817,5.960,2.650,2.730,3.434,3.612,3.208,5.212,2.686,3.428,3.095,4.116,24.972,4.876,2.817,2.650,4.011,4.468,4.869
MGD0159,belonging_and_relatedness_context,4.589,4.570,6.501,2.182,5.809,2.561,3.332,2.848,3.660,3.354,5.041,3.530,3.367,3.508,3.992,26.212,5.367,2.182,2.561,4.018,4.225,4.671
MGD0160,belonging_and_relatedness_context,4.093,2.845,5.893,2.496,5.738,2.382,3.414,3.442,3.987,2.742,5.106,2.951,3.050,4.472,4.527,23.446,4.642,2.496,2.382,3.945,4.375,4.665
MGD0161,belonging_and_relatedness_context,4.908,3.552,6.401,2.330,5.794,1.823,3.023,3.287,4.201,3.226,4.116,3.692,4.226,3.907,4.816,24.807,5.164,2.330,1.823,3.848,4.310,4.822
MGD0162,belonging_and_relatedness_context,4.251,2.990,5.946,3.085,6.256,1.535,2.892,3.822,3.888,3.274,4.456,1.815,3.096,5.024,4.319,24.063,4.861,3.085,1.535,3.873,4.650,5.031
MGD0163,belonging_and_relatedness_context,4.718,4.401,6.717,2.349,6.635,2.509,3.156,3.922,3.561,3.911,5.031,3.294,4.419,4.353,4.925,27.330,5.618,2.349,2.509,4.168,4.908,5.365
MGD0164,belonging_and_relatedness_context,5.099,3.104,5.713,2.501,5.929,2.398,3.849,2.728,3.418,3.010,5.553,2.536,3.862,3.891,4.090,24.745,4.961,2.501,2.398,3.994,4.217,4.419
MGD0165,belonging_and_relatedness_context,4.998,3.488,5.724,2.207,6.161,1.857,3.877,3.702,4.255,2.967,5.244,2.671,3.499,4.264,3.972,24.435,5.093,2.207,1.857,4.155,4.673,4.935
MGD0166,belonging_and_relatedness_context,5.237,3.804,5.834,1.926,6.883,1.896,3.423,3.640,3.474,3.328,4.507,2.822,3.870,4.402,3.922,25.579,5.439,1.926,1.896,3.769,4.764,5.126
MGD0167,belonging_and_relatedness_context,5.080,3.439,6.047,2.730,6.082,2.428,2.977,3.364,3.454,2.481,4.995,3.322,4.074,4.585,4.357,25.808,5.162,2.730,2.428,3.643,4.363,4.871
MGD0168,belonging_and_relatedness_context,5.115,3.759,6.038,3.152,5.954,2.760,3.193,3.273,3.436,2.029,4.828,2.641,3.556,4.482,4.280,26.777,5.216,3.152,2.760,3.431,4.219,4.780
MGD0169,security_threat_context,4.256,3.760,4.117,5.073,4.834,4.398,2.356,3.245,1.799,2.454,2.181,2.735,4.881,3.197,3.438,26.438,4.242,5.073,4.398,2.145,3.408,4.295
MGD0170,security_threat_context,3.630,4.054,3.362,4.550,4.219,5.219,2.336,3.570,1.808,2.419,2.226,2.667,3.685,3.233,4.034,25.034,3.816,4.550,5.219,2.151,3.313,4.233
MGD0171,security_threat_context,3.380,3.685,4.071,4.684,4.172,4.579,1.484,3.271,1.838,2.398,2.364,2.900,3.932,3.673,3.972,24.571,3.827,4.684,4.579,2.200,3.215,4.226
MGD0172,security_threat_context,4.318,3.908,3.662,5.003,4.434,4.561,2.193,2.947,1.952,3.004,2.747,3.674,3.871,3.071,4.136,25.886,4.080,5.003,4.561,2.568,3.316,4.135
MGD0173,security_threat_context,4.148,3.508,4.336,4.050,4.447,3.721,1.891,3.359,2.448,2.912,2.354,3.092,4.135,2.906,4.145,24.210,4.110,4.050,3.721,2.571,3.459,4.373
MGD0174,security_threat_context,4.270,3.921,4.234,4.382,4.398,4.183,2.088,2.943,1.606,2.459,2.222,2.786,3.241,2.958,3.867,25.389,4.206,4.382,4.183,2.096,3.145,4.133
MGD0175,security_threat_context,2.815,3.460,3.159,5.038,3.352,5.066,3.927,1.000,1.371,2.812,2.166,1.000,1.417,2.215,1.000,22.890,3.196,5.038,5.066,2.117,2.156,2.557
MGD0176,security_threat_context,3.186,4.406,3.179,5.634,3.866,5.401,5.145,1.000,1.188,2.084,2.585,1.499,1.869,1.000,1.000,25.670,3.659,5.634,5.401,1.952,2.273,2.576
MGD0177,security_threat_context,2.614,3.630,2.460,5.471,3.738,5.588,4.323,1.000,1.798,2.877,2.360,2.140,1.867,1.607,1.113,23.501,3.111,5.471,5.588,2.345,2.361,2.540
MGD0178,security_threat_context,3.501,3.901,3.553,5.087,2.786,5.419,4.282,1.000,1.289,2.221,2.627,1.452,1.000,1.463,1.000,24.248,3.435,5.087,5.419,2.046,1.944,2.515
MGD0179,security_threat_context,2.341,4.122,2.604,5.723,3.145,4.538,4.243,1.000,1.039,2.219,2.481,1.376,1.560,1.928,1.000,22.473,3.053,5.723,4.538,1.913,2.019,2.418
MGD0180,security_threat_context,2.678,3.523,3.330,6.926,3.423,5.502,4.983,1.095,1.959,3.094,2.158,1.263,1.575,1.239,1.000,25.382,3.238,6.926,5.502,2.404,2.307,2.502
MGD0181,security_threat_context,2.504,3.946,2.806,5.174,2.525,6.188,4.117,1.000,1.739,2.142,2.337,2.349,2.553,1.624,1.000,23.143,2.945,5.174,6.188,2.073,1.866,2.349
MGD0182,security_threat_context,2.621,4.829,3.525,5.161,1.696,5.495,4.233,1.514,2.049,2.148,1.947,2.073,2.353,2.017,1.889,23.326,3.168,5.161,5.495,2.048,1.753,2.540
MGD0183,security_threat_context,2.295,4.111,3.338,4.971,1.991,5.953,4.259,1.000,1.862,2.875,2.826,2.022,2.184,1.885,1.454,22.658,2.934,4.971,5.953,2.521,1.837,2.315
MGD0184,security_threat_context,2.444,4.131,2.655,5.253,1.835,6.555,3.631,1.000,1.996,2.861,2.506,2.424,2.549,1.740,1.558,22.874,2.766,5.253,6.555,2.454,1.763,2.324
MGD0185,security_threat_context,2.501,4.429,2.915,4.828,2.580,6.225,4.430,1.344,2.158,2.414,2.371,2.094,2.945,1.901,1.248,23.478,3.106,4.828,6.225,2.315,2.079,2.544
MGD0186,security_threat_context,2.889,4.876,2.702,5.439,2.177,6.133,4.230,1.132,1.494,2.538,2.049,2.143,2.501,1.961,1.531,24.216,3.161,5.439,6.133,2.027,1.779,2.420
MGD0187,security_threat_context,3.038,4.218,2.426,6.421,3.476,5.406,3.714,1.667,2.401,2.339,1.878,1.000,1.297,2.001,1.452,24.985,3.290,6.421,5.406,2.206,2.450,2.938
MGD0188,security_threat_context,3.006,2.485,2.714,6.432,2.949,5.026,3.507,1.288,1.687,2.905,2.283,1.476,1.746,1.428,1.000,22.612,2.789,6.432,5.026,2.292,2.176,2.583
MGD0189,security_threat_context,3.209,3.818,3.365,6.681,3.349,5.007,4.495,1.000,1.832,2.768,2.598,1.168,1.452,1.480,1.681,25.428,3.435,6.681,5.007,2.399,2.249,2.586
MGD0190,security_threat_context,1.789,4.389,3.831,5.774,2.963,4.127,3.562,1.525,1.474,2.685,2.307,2.031,2.722,2.250,1.415,22.872,3.243,5.774,4.127,2.155,2.214,2.819
MGD0191,security_threat_context,1.778,3.660,3.466,6.264,3.326,4.929,3.883,1.475,1.742,2.573,1.794,1.654,1.588,1.959,1.489,23.423,3.057,6.264,4.929,2.036,2.279,2.716
MGD0192,security_threat_context,2.164,3.001,3.024,6.138,2.993,5.054,3.939,1.115,1.667,2.483,2.444,1.752,1.841,1.000,1.613,22.374,2.796,6.138,5.054,2.198,2.102,2.441
MGD0193,security_threat_context,3.523,3.795,3.719,5.402,3.967,4.650,3.057,2.544,2.096,2.546,2.722,2.667,3.427,2.842,3.071,25.057,3.751,5.402,4.650,2.455,2.989,3.658
MGD0194,security_threat_context,3.543,3.317,3.520,4.488,3.969,4.865,2.143,2.924,2.485,1.825,2.472,3.428,3.688,3.319,3.300,23.701,3.587,4.488,4.865,2.261,3.051,3.881
MGD0195,security_threat_context,3.302,4.108,4.044,5.066,3.821,4.890,1.929,2.656,2.017,3.416,2.578,3.244,3.544,2.132,2.793,25.231,3.819,5.066,4.890,2.670,3.049,3.899
MGD0196,security_threat_context,2.924,4.325,3.973,5.025,4.017,4.989,2.417,1.997,1.239,2.509,2.433,3.258,2.982,2.553,3.161,25.253,3.810,5.025,4.989,2.060,2.691,3.488
MGD0197,security_threat_context,3.236,4.464,3.954,5.722,3.947,5.356,2.140,3.169,1.789,2.636,2.108,2.765,3.782,3.039,3.440,26.679,3.900,5.722,5.356,2.178,3.098,4.083
MGD0198,security_threat_context,3.330,4.557,4.565,5.472,3.947,4.736,2.505,3.288,1.601,2.584,2.901,3.184,3.598,2.957,3.318,26.608,4.100,5.472,4.736,2.362,3.199,4.171
MGD0199,security_threat_context,2.657,2.660,4.125,5.290,3.539,4.010,2.951,2.510,2.299,2.679,2.252,2.935,2.950,3.205,3.007,22.281,3.245,5.290,4.010,2.410,2.820,3.437
MGD0200,security_threat_context,2.877,3.562,4.360,4.794,3.499,4.294,2.412,1.974,2.080,2.659,2.040,2.365,2.703,2.604,3.275,23.385,3.574,4.794,4.294,2.260,2.578,3.364
MGD0201,security_threat_context,3.427,2.961,4.106,5.164,3.959,4.587,3.083,2.528,1.916,2.073,2.237,3.058,3.276,3.312,3.160,24.203,3.613,5.164,4.587,2.075,2.854,3.558
MGD0202,security_threat_context,2.850,2.663,4.251,4.571,3.999,3.741,2.318,2.133,1.546,1.547,2.015,2.269,3.013,2.736,3.117,22.074,3.441,4.571,3.741,1.702,2.611,3.397
MGD0203,security_threat_context,3.759,3.229,4.889,4.223,4.004,4.057,2.671,2.621,1.804,2.827,2.505,2.374,2.839,3.184,3.942,24.160,3.970,4.223,4.057,2.379,3.001,3.816
MGD0204,security_threat_context,3.624,3.875,4.348,5.194,4.099,5.082,2.997,2.140,1.470,2.149,1.869,2.368,2.745,2.489,2.912,26.223,3.987,5.194,5.082,1.829,2.690,3.511
MGD0205,security_threat_context,3.333,2.702,3.624,4.985,3.957,4.286,2.631,2.310,2.328,2.442,1.578,3.089,3.644,3.167,3.215,22.887,3.404,4.985,4.286,2.116,2.794,3.460
MGD0206,security_threat_context,3.679,3.771,3.363,5.087,4.049,4.461,2.489,1.893,1.378,2.354,2.548,2.816,3.292,3.508,3.537,24.409,3.715,5.087,4.461,2.093,2.679,3.407
MGD0207,security_threat_context,3.780,4.071,3.404,5.565,3.593,4.949,2.833,2.520,1.262,2.568,2.939,2.110,2.718,3.526,2.920,25.361,3.712,5.565,4.949,2.256,2.790,3.602
MGD0208,security_threat_context,4.567,3.319,3.605,5.803,3.733,4.134,3.057,2.724,1.821,2.560,1.946,2.374,3.185,3.732,2.530,25.162,3.806,5.803,4.134,2.109,2.855,3.692
MGD0209,security_threat_context,3.572,3.499,3.678,5.434,3.495,4.005,3.141,1.799,1.000,3.195,1.924,3.076,3.406,3.271,2.198,23.684,3.561,5.434,4.005,2.040,2.445,3.153
MGD0210,security_threat_context,2.989,3.684,3.494,5.207,3.859,4.080,2.608,2.326,1.502,2.239,2.053,2.455,3.508,2.883,2.462,23.312,3.506,5.207,4.080,1.932,2.705,3.473
MGD0211,meaning_oriented_reorientation_context,5.332,4.078,5.432,2.095,6.873,2.992,2.916,4.213,3.673,3.930,4.273,3.019,4.147,4.126,4.947,26.802,5.429,2.095,2.992,3.959,5.015,5.469
MGD0212,meaning_oriented_reorientation_context,5.739,4.868,5.376,3.541,6.590,1.864,2.736,3.719,3.999,3.177,3.506,3.812,4.575,3.636,4.827,27.978,5.643,3.541,1.864,3.560,4.623,5.271
MGD0213,meaning_oriented_reorientation_context,5.743,3.924,6.008,2.917,6.718,2.096,2.456,4.143,4.202,3.125,4.007,3.656,4.296,4.052,4.809,27.408,5.598,2.917,2.096,3.778,4.880,5.523
MGD0214,meaning_oriented_reorientation_context,5.756,5.270,5.040,2.542,6.729,2.431,1.597,4.880,4.021,3.365,4.437,3.657,4.689,4.247,5.022,27.768,5.699,2.542,2.431,3.941,5.183,6.026
MGD0215,meaning_oriented_reorientation_context,5.549,4.141,5.192,2.303,6.747,2.232,3.714,3.938,3.993,3.990,4.569,3.215,4.345,4.549,4.644,26.164,5.407,2.303,2.232,4.184,4.956,5.237
MGD0216,meaning_oriented_reorientation_context,6.084,4.843,5.203,1.832,7.000,1.518,3.027,4.302,4.235,3.084,4.076,3.180,4.281,4.609,4.567,26.481,5.783,1.832,1.518,3.798,5.034,5.607
MGD0217,meaning_oriented_reorientation_context,4.920,4.483,4.838,4.322,5.347,3.534,3.811,1.512,4.518,3.428,4.089,1.149,2.612,1.893,2.222,27.445,4.897,4.322,3.534,4.012,3.624,3.800
MGD0218,meaning_oriented_reorientation_context,5.014,4.649,5.149,3.405,5.768,3.429,3.926,1.803,4.335,3.269,4.516,1.683,2.680,2.260,2.446,27.414,5.145,3.405,3.429,4.040,3.870,4.045
MGD0219,meaning_oriented_reorientation_context,4.741,4.926,4.580,3.419,5.684,2.795,3.642,1.807,4.179,3.746,4.017,2.309,2.567,2.745,2.531,26.144,4.983,3.419,2.795,3.981,3.824,4.018
MGD0220,meaning_oriented_reorientation_context,5.247,4.122,5.075,2.764,5.575,3.472,3.876,1.917,4.203,3.390,3.626,1.118,2.220,2.041,2.616,26.253,5.004,2.764,3.472,3.739,3.744,4.001
MGD0221,meaning_oriented_reorientation_context,5.691,3.629,4.161,3.756,6.315,2.992,3.913,2.371,4.030,3.003,4.073,1.069,2.082,2.836,2.255,26.544,4.949,3.756,2.992,3.702,4.129,4.257
MGD0222,meaning_oriented_reorientation_context,5.302,4.418,4.325,3.548,5.929,3.678,3.641,2.122,4.263,3.127,3.960,1.797,1.878,2.796,2.311,27.201,4.994,3.548,3.678,3.784,3.945,4.167
MGD0223,meaning_oriented_reorientation_context,3.902,5.703,4.478,2.990,4.631,4.292,2.248,2.571,5.305,3.326,3.551,3.085,4.004,2.975,3.226,25.997,4.679,2.990,4.292,4.061,3.754,4.347
MGD0224,meaning_oriented_reorientation_context,4.544,4.873,4.147,2.793,4.763,4.595,2.283,2.401,4.071,3.431,4.290,2.463,3.440,2.462,3.549,25.716,4.582,2.793,4.595,3.931,3.698,4.234
MGD0225,meaning_oriented_reorientation_context,4.283,5.664,5.046,3.468,4.663,4.066,2.534,2.955,4.389,3.530,4.358,3.139,4.080,2.903,3.070,27.189,4.914,3.468,4.066,4.092,3.903,4.562
MGD0226,meaning_oriented_reorientation_context,4.118,4.969,3.846,3.356,4.698,4.190,2.551,2.296,3.587,3.481,4.173,2.063,2.932,2.305,3.151,25.177,4.408,3.356,4.190,3.747,3.580,4.064
MGD0227,meaning_oriented_reorientation_context,4.660,5.562,4.360,2.609,4.184,4.480,2.556,2.595,4.016,3.616,3.535,2.059,4.009,2.807,2.740,25.855,4.692,2.609,4.480,3.722,3.500,4.231
MGD0228,meaning_oriented_reorientation_context,4.072,4.438,4.614,2.992,4.712,4.481,2.600,2.234,3.779,3.018,3.957,2.923,3.142,3.400,3.016,25.310,4.459,2.992,4.481,3.584,3.510,4.030
MGD0229,meaning_oriented_reorientation_context,3.685,4.443,4.133,3.568,5.952,2.870,3.087,3.009,4.511,3.293,3.671,2.053,2.749,2.924,2.653,24.650,4.553,3.568,2.870,3.825,4.262,4.501
MGD0230,meaning_oriented_reorientation_context,4.822,4.458,4.157,4.400,4.762,3.017,2.486,2.252,3.817,3.514,3.527,2.194,2.362,3.402,2.591,25.615,4.550,4.400,3.017,3.619,3.544,4.094
MGD0231,meaning_oriented_reorientation_context,4.228,3.245,3.471,3.647,5.886,3.079,4.051,2.261,4.199,3.046,3.965,1.050,2.411,2.816,2.026,23.555,4.207,3.647,3.079,3.737,3.961,3.898
MGD0232,meaning_oriented_reorientation_context,4.452,3.481,4.088,4.291,5.504,2.772,3.506,2.297,4.385,3.700,4.147,2.537,2.530,2.921,2.474,24.587,4.381,4.291,2.772,4.077,3.959,4.045
MGD0233,meaning_oriented_reorientation_context,4.239,3.748,5.010,4.118,5.203,3.159,3.240,2.892,4.402,4.011,3.844,2.013,2.248,3.132,2.395,25.478,4.550,4.118,3.159,4.085,4.060,4.371
MGD0234,meaning_oriented_reorientation_context,3.799,4.034,5.059,3.896,4.308,3.558,2.199,2.236,3.942,2.984,3.681,1.979,2.976,2.254,2.780,24.653,4.300,3.896,3.558,3.536,3.360,3.985
MGD0235,meaning_oriented_reorientation_context,5.529,5.026,5.262,3.523,5.486,3.313,1.910,3.813,4.125,3.696,3.818,4.192,4.199,3.675,4.090,28.138,5.326,3.523,3.313,3.880,4.393,5.237
MGD0236,meaning_oriented_reorientation_context,5.425,4.892,5.591,2.955,6.646,2.874,3.133,3.350,3.938,3.555,4.141,3.023,4.019,3.414,4.062,28.383,5.638,2.955,2.874,3.878,4.624,5.090
MGD0237,meaning_oriented_reorientation_context,5.590,4.251,5.026,3.429,6.213,3.204,2.270,3.647,4.252,3.327,3.368,2.880,3.996,3.461,4.171,27.713,5.270,3.429,3.204,3.649,4.503,5.149
MGD0238,meaning_oriented_reorientation_context,5.609,4.884,5.032,3.327,6.367,2.318,2.625,3.912,4.605,3.605,3.968,3.964,4.302,3.811,4.365,27.537,5.473,3.327,2.318,4.059,4.779,5.346
MGD0239,meaning_oriented_reorientation_context,5.538,4.386,5.300,2.702,6.557,2.313,2.742,2.983,3.949,3.204,3.657,3.376,3.878,3.506,3.842,26.795,5.445,2.702,2.313,3.603,4.381,4.878
MGD0240,meaning_oriented_reorientation_context,5.722,4.597,6.438,2.643,5.923,3.556,2.555,3.583,4.621,3.946,4.509,3.913,4.539,3.776,4.144,28.879,5.670,2.643,3.556,4.359,4.622,5.260
MGD0241,meaning_oriented_reorientation_context,5.301,3.745,5.089,1.870,5.704,2.037,2.590,4.083,4.954,3.689,4.341,2.745,3.203,4.205,5.070,23.747,4.960,1.870,2.037,4.328,4.705,5.213
MGD0242,meaning_oriented_reorientation_context,5.186,3.975,5.600,2.618,6.482,2.631,2.625,3.792,4.789,3.420,4.176,3.046,3.541,4.002,4.730,26.493,5.311,2.618,2.631,4.128,4.801,5.259
MGD0243,meaning_oriented_reorientation_context,5.039,3.322,5.858,2.924,6.572,2.267,2.973,3.497,3.686,3.292,4.306,2.232,3.191,4.427,4.526,25.983,5.198,2.924,2.267,3.761,4.610,5.010
MGD0244,meaning_oriented_reorientation_context,4.739,3.528,6.159,2.265,6.877,2.623,3.321,3.973,4.678,3.047,4.517,2.961,3.845,4.128,4.593,26.191,5.326,2.265,2.623,4.081,4.977,5.284
MGD0245,meaning_oriented_reorientation_context,5.115,3.991,5.997,2.182,6.912,2.403,3.202,4.114,4.670,3.694,3.796,2.420,3.534,4.705,4.253,26.600,5.504,2.182,2.403,4.053,5.026,5.424
MGD0246,meaning_oriented_reorientation_context,5.844,4.511,5.672,2.275,6.186,2.108,2.285,3.962,4.248,3.545,3.932,2.604,3.950,4.044,5.015,26.598,5.554,2.275,2.108,3.908,4.685,5.407
MGD0247,meaning_oriented_reorientation_context,5.093,3.850,5.393,3.977,6.342,2.851,3.060,4.081,4.846,3.705,5.218,3.945,4.314,4.216,4.169,27.507,5.170,3.977,2.851,4.590,5.004,5.315
MGD0248,meaning_oriented_reorientation_context,5.131,4.120,4.729,3.296,6.509,2.634,2.980,3.674,4.862,3.613,4.852,2.902,3.683,4.685,3.979,26.419,5.122,3.296,2.634,4.443,4.875,5.131
MGD0249,meaning_oriented_reorientation_context,5.511,4.250,5.086,3.079,6.966,3.132,3.012,3.539,3.851,3.707,4.077,3.640,5.053,4.252,4.329,28.023,5.453,3.079,3.132,3.878,4.794,5.165
MGD0250,meaning_oriented_reorientation_context,5.881,4.899,5.207,3.533,5.624,2.706,2.388,3.911,4.321,3.987,3.196,3.019,3.588,4.642,4.031,27.851,5.403,3.533,2.706,3.835,4.456,5.249
MGD0251,meaning_oriented_reorientation_context,5.447,3.476,5.277,3.381,6.193,2.951,2.989,3.339,4.755,3.584,3.618,3.200,3.477,4.413,3.540,26.726,5.098,3.381,2.951,3.985,4.506,4.887
MGD0252,meaning_oriented_reorientation_context,6.085,4.332,5.649,3.913,6.083,2.996,3.325,3.662,4.634,3.747,4.906,3.712,4.623,4.143,4.306,29.059,5.537,3.913,2.996,4.429,4.725,5.166
