person_id,assessment_context,s1,s2,s3,s4,s5,o1,o2,o3,o4,o5,attention_check,careless_response_risk,social_desirability_pressure,self_missing_count,observer_missing_count,self_conscientiousness,observer_conscientiousness,self_other_discrepancy,absolute_self_other_discrepancy,method_effect_index,reliability_context_score,professional_reflection_score
PME00143,professional_workshop_context,4.763,5.013,4.491,5.349,5.815,3.718,3.304,3.867,4.859,3.802,1,1.169,3.105,0,0,5.086,3.910,1.176,1.176,1.635,4.614,5.134
PME00144,professional_workshop_context,4.495,5.184,5.347,5.723,3.952,3.681,3.136,4.551,4.057,4.099,1,0.683,1.166,0,0,4.940,3.905,1.035,1.035,1.037,5.040,4.781
PME00145,organizational_learning_context,6.358,5.926,,5.922,5.840,5.462,5.708,4.998,5.448,5.719,1,1.496,2.930,1,0,6.082,5.467,0.615,0.615,1.924,4.450,4.533
PME00146,organizational_learning_context,6.367,5.772,6.269,5.677,5.664,5.077,4.977,5.794,5.186,5.668,1,1.207,2.744,0,0,5.950,5.341,0.609,0.609,1.330,4.584,4.780
PME00147,organizational_learning_context,6.229,6.655,6.568,6.052,5.759,5.334,4.978,4.971,5.321,,1,1.649,3.263,1,0,6.303,5.250,1.053,1.053,2.233,4.276,4.384
PME00148,organizational_learning_context,6.123,6.032,6.062,6.305,6.066,5.762,5.317,5.620,5.697,5.298,1,1.066,2.500,0,1,6.117,5.599,0.518,0.518,1.345,4.977,4.300
PME00149,organizational_learning_context,5.651,6.059,5.598,5.919,5.823,5.802,5.406,4.837,6.218,5.833,1,0.528,3.088,0,0,5.810,5.619,0.191,0.191,1.187,5.017,4.725
PME00150,organizational_learning_context,6.152,6.350,6.039,5.944,6.269,5.588,5.283,5.143,5.657,5.199,1,1.252,3.874,0,0,6.151,5.374,0.776,0.776,1.969,4.905,4.915
PME00151,organizational_learning_context,6.161,6.483,5.283,5.517,6.272,5.942,5.724,5.558,5.329,6.017,1,1.510,2.811,0,0,5.943,5.714,0.229,0.229,1.443,4.958,4.673
PME00152,organizational_learning_context,5.959,5.921,5.999,5.970,5.887,5.585,5.779,5.966,6.015,5.411,1,0.980,2.051,0,0,5.947,5.751,0.196,0.196,0.753,4.640,4.004
PME00153,organizational_learning_context,6.229,5.515,5.953,6.274,5.544,5.776,4.988,5.422,5.543,5.095,1,1.024,2.581,1,0,5.810,5.365,0.445,0.445,1.567,4.528,4.808
PME00154,organizational_learning_context,6.516,5.959,5.639,6.505,6.571,,5.420,5.302,5.578,5.615,1,3.041,2.984,0,0,6.238,5.471,0.767,0.767,2.216,4.340,4.495
PME00155,organizational_learning_context,6.030,5.988,5.653,5.864,5.590,4.695,5.580,5.463,5.443,5.607,1,1.395,2.976,0,0,5.825,5.358,0.467,0.467,1.671,4.730,4.819
PME00156,organizational_learning_context,5.983,5.955,5.711,5.795,6.636,5.800,,5.686,5.717,5.598,1,1.775,2.091,0,0,6.016,5.725,0.291,0.291,1.333,4.678,4.905
PME00157,organizational_learning_context,4.385,4.080,4.795,,4.359,3.738,4.081,3.882,3.711,3.999,0,2.372,2.110,0,0,4.444,3.882,0.561,0.561,1.410,4.113,4.332
PME00158,organizational_learning_context,4.017,4.213,4.288,4.300,4.333,4.218,,3.537,4.097,3.958,1,1.511,2.254,0,0,4.230,3.944,0.286,0.286,1.212,4.594,3.972
PME00159,organizational_learning_context,4.496,4.336,4.440,4.288,4.270,4.324,3.844,4.182,3.905,4.294,1,1.213,2.842,0,0,4.366,4.110,0.256,0.256,0.648,4.871,3.926
PME00160,organizational_learning_context,3.903,4.184,4.473,4.594,4.323,3.920,4.471,4.307,4.342,3.837,1,1.926,2.747,0,0,4.296,4.175,0.120,0.120,1.729,4.221,4.047
PME00161,organizational_learning_context,4.316,4.616,4.040,3.717,4.488,3.819,3.665,3.555,4.007,4.227,1,1.604,2.468,0,0,4.236,3.855,0.381,0.381,1.891,4.652,4.972
PME00162,organizational_learning_context,4.611,5.001,4.385,4.777,4.468,4.026,3.713,4.230,3.810,3.998,1,1.800,4.203,0,0,4.648,3.955,0.693,0.693,2.238,4.094,4.196
PME00163,organizational_learning_context,4.583,4.142,4.406,4.618,4.611,4.340,4.064,4.288,3.670,4.068,1,1.053,3.124,0,0,4.472,4.086,0.386,0.386,1.479,4.319,4.391
PME00164,organizational_learning_context,4.208,4.512,4.744,4.320,4.362,3.911,4.106,4.035,4.080,4.146,1,1.545,2.768,0,0,4.429,4.056,0.374,0.374,1.418,4.308,4.249
PME00165,organizational_learning_context,4.837,4.548,4.813,4.386,4.910,4.270,3.706,4.547,4.063,4.366,1,1.024,3.276,1,0,4.646,4.190,0.455,0.455,1.495,4.423,4.304
PME00166,organizational_learning_context,4.869,4.681,4.602,4.486,4.551,4.347,4.242,3.907,4.505,3.833,1,0.413,3.551,0,0,4.638,4.167,0.471,0.471,1.607,5.215,4.389
PME00167,organizational_learning_context,4.362,4.752,4.870,4.290,4.286,3.739,4.192,4.646,4.429,3.373,0,1.716,2.991,0,0,4.512,4.076,0.436,0.436,1.728,4.551,4.686
PME00168,organizational_learning_context,4.153,5.022,4.487,4.310,4.196,3.370,4.441,3.936,3.755,3.686,1,1.381,1.592,0,0,4.434,3.837,0.596,0.596,1.400,4.432,4.580
PME00169,organizational_learning_context,2.927,2.911,2.057,3.275,2.781,2.876,2.816,2.251,3.032,2.032,1,1.116,1.866,1,0,2.792,2.602,0.191,0.191,1.096,4.405,4.303
PME00170,organizational_learning_context,3.016,2.836,2.931,2.579,2.972,3.359,3.079,3.105,2.731,3.113,1,1.242,3.114,0,0,2.867,3.077,-0.210,0.210,1.690,4.351,5.089
PME00171,organizational_learning_context,2.862,3.433,3.165,2.962,2.763,2.756,3.009,2.623,3.068,2.392,1,1.372,3.058,0,2,3.037,2.944,0.093,0.093,1.428,4.537,4.609
PME00172,organizational_learning_context,2.556,3.174,2.939,,2.729,2.676,,2.794,3.006,3.174,1,2.105,2.862,0,0,2.735,2.922,-0.187,0.187,1.118,4.097,4.309
PME00173,organizational_learning_context,2.706,2.623,,3.560,2.771,3.252,2.888,3.112,2.635,3.362,1,1.273,2.968,0,0,2.914,3.050,-0.135,0.135,0.826,5.275,4.558
PME00174,organizational_learning_context,3.002,2.997,2.930,3.081,2.678,2.513,2.487,2.636,3.212,2.617,1,1.666,2.868,1,0,2.923,2.693,0.230,0.230,1.403,4.811,4.128
PME00175,organizational_learning_context,3.769,3.491,2.846,3.295,2.599,2.375,3.367,3.000,2.795,3.043,1,1.715,3.307,0,0,3.200,2.916,0.284,0.284,1.464,4.695,4.097
PME00176,organizational_learning_context,2.814,2.902,2.832,2.561,2.867,3.017,2.726,3.028,2.585,2.246,1,1.535,2.601,0,0,2.795,2.720,0.075,0.075,1.233,4.315,4.827
PME00177,organizational_learning_context,2.682,2.507,2.952,3.397,3.109,2.579,2.674,2.734,2.354,3.065,0,0.914,1.964,0,0,2.929,2.681,0.248,0.248,0.635,5.051,4.299
PME00178,organizational_learning_context,2.636,2.908,2.991,3.336,3.490,2.262,2.702,2.385,2.450,2.184,1,1.269,3.588,0,0,3.072,2.397,0.676,0.676,1.882,4.573,4.941
PME00179,organizational_learning_context,3.153,2.492,2.661,2.839,2.851,2.715,2.304,2.797,2.890,2.369,1,1.317,3.484,0,0,2.799,2.615,0.185,0.185,1.432,4.621,4.525
PME00180,organizational_learning_context,,3.148,2.839,3.372,3.453,2.492,3.010,3.324,2.448,2.266,1,1.697,4.020,0,0,3.188,2.708,0.480,0.480,1.879,4.282,4.160
PME00181,organizational_learning_context,6.349,4.712,6.127,5.670,5.840,3.225,,3.330,3.910,3.677,1,1.726,2.969,0,1,5.739,3.440,2.300,2.300,2.700,3.856,5.174
PME00182,organizational_learning_context,5.119,5.681,5.143,5.428,5.869,3.531,3.070,3.572,3.747,3.674,1,2.267,2.242,0,1,5.448,3.462,1.986,1.986,2.897,4.034,4.553
PME00183,organizational_learning_context,6.181,,5.601,5.671,6.643,3.850,3.584,4.351,3.389,3.713,1,1.412,3.433,0,0,6.064,3.777,2.286,2.286,2.405,3.793,4.647
PME00184,organizational_learning_context,6.076,4.888,5.580,5.963,6.058,3.159,4.177,3.198,4.682,3.281,1,1.665,2.845,0,0,5.713,3.700,2.013,2.013,2.637,4.013,4.488
PME00185,organizational_learning_context,5.239,5.303,5.478,5.192,4.852,3.921,3.826,3.248,3.659,2.736,1,1.539,2.709,0,0,5.213,3.478,1.735,1.735,2.035,4.313,4.845
PME00186,organizational_learning_context,6.188,5.329,5.772,5.338,6.360,3.409,3.618,2.752,3.681,3.390,1,1.681,2.769,0,0,5.797,3.370,2.427,2.427,2.699,3.867,4.633
PME00187,organizational_learning_context,6.085,5.843,6.239,5.384,5.623,2.942,3.585,3.830,3.497,3.842,0,1.540,2.890,0,0,5.835,3.539,2.296,2.296,2.353,3.668,4.449
PME00188,organizational_learning_context,4.857,5.492,6.021,5.142,5.084,3.066,3.683,4.150,2.647,3.234,1,1.274,2.667,0,1,5.319,3.386,1.933,1.933,2.285,4.368,4.578
PME00189,organizational_learning_context,6.249,5.940,5.385,6.162,5.818,3.643,,3.977,4.224,3.297,1,2.055,2.809,1,0,5.848,3.753,2.095,2.095,2.608,3.916,4.467
PME00190,organizational_learning_context,5.029,6.149,6.510,,4.956,4.020,3.927,3.910,3.193,3.799,1,0.613,3.995,0,0,5.739,3.770,1.969,1.969,2.033,4.139,4.479
PME00191,organizational_learning_context,5.022,5.754,5.435,6.342,5.279,3.540,3.787,2.719,4.032,3.445,1,0.980,2.335,0,0,5.566,3.505,2.062,2.062,2.210,4.685,4.228
PME00192,organizational_learning_context,,6.166,5.167,4.910,5.005,3.300,4.233,3.771,3.761,4.237,1,1.442,3.487,1,0,5.226,3.860,1.365,1.365,2.269,4.163,4.229
PME00193,organizational_learning_context,3.642,3.400,3.317,3.377,4.051,4.589,5.531,5.403,5.592,4.911,1,1.147,3.221,0,0,3.557,5.205,-1.648,1.648,2.424,4.216,4.573
PME00194,organizational_learning_context,3.432,3.182,3.416,4.239,2.998,5.458,5.288,4.743,4.858,4.886,1,1.079,3.266,0,1,3.453,4.986,-1.533,1.533,1.980,4.398,4.754
PME00195,organizational_learning_context,3.922,3.763,3.815,3.696,3.684,,5.370,4.788,5.079,4.961,1,2.118,2.427,0,0,3.776,5.014,-1.238,1.238,2.024,4.284,4.133
PME00196,organizational_learning_context,3.749,3.445,3.454,3.271,,4.719,5.319,5.101,4.289,5.455,1,0.976,2.814,0,0,3.501,4.977,-1.476,1.476,1.919,4.334,4.763
PME00197,organizational_learning_context,3.210,3.482,2.959,,3.565,5.530,5.001,5.427,4.854,4.640,1,1.045,3.246,1,0,3.457,5.091,-1.634,1.634,1.802,4.280,4.437
PME00198,organizational_learning_context,3.149,2.741,2.621,3.812,3.411,5.294,4.118,5.077,5.227,5.121,1,1.888,2.195,0,0,3.147,4.967,-1.820,1.820,2.258,3.829,4.153
PME00199,organizational_learning_context,,3.104,3.903,3.035,3.427,4.025,,4.806,5.432,4.546,1,2.244,3.730,0,2,3.397,4.516,-1.118,1.118,2.811,4.394,4.420
PME00200,organizational_learning_context,3.891,3.264,3.138,,3.119,5.413,4.235,4.794,4.856,5.347,1,1.807,2.255,0,1,3.356,4.808,-1.452,1.452,1.895,4.293,4.899
PME00201,organizational_learning_context,3.310,3.362,3.548,3.633,3.091,4.514,4.992,4.550,4.813,4.836,1,1.619,2.960,0,0,3.389,4.741,-1.352,1.352,2.173,4.156,4.515
PME00202,organizational_learning_context,3.112,3.070,3.806,2.994,3.190,5.372,4.601,4.686,4.187,4.984,1,1.723,1.807,1,1,3.245,4.807,-1.562,1.562,1.702,4.180,4.465
PME00203,organizational_learning_context,3.240,3.368,3.306,3.744,3.610,5.203,4.403,4.834,4.505,5.564,1,0.963,2.431,1,0,3.475,4.902,-1.427,1.427,1.891,4.262,4.874
PME00204,organizational_learning_context,2.760,3.305,4.500,3.728,3.496,4.848,5.491,5.788,5.121,5.017,1,1.104,3.063,0,1,3.558,5.119,-1.562,1.562,2.252,4.454,4.338
PME00205,organizational_learning_context,4.987,5.346,5.133,5.098,,4.465,4.270,3.944,4.181,2.749,1,1.532,3.872,0,0,5.194,3.922,1.272,1.272,2.712,4.434,4.776
PME00206,organizational_learning_context,5.085,5.611,3.886,4.838,4.013,3.961,3.290,,4.213,4.588,1,1.315,2.655,0,0,4.687,3.926,0.761,0.761,2.001,4.776,5.229
PME00207,organizational_learning_context,3.661,4.676,5.636,4.987,5.289,4.689,4.353,4.132,4.089,,1,2.789,2.673,0,0,4.850,4.439,0.411,0.411,2.130,4.313,4.310
PME00208,organizational_learning_context,5.332,5.361,5.459,5.108,4.123,4.154,5.066,3.053,4.336,4.333,1,0.330,2.962,0,0,5.076,4.188,0.888,0.888,1.987,4.682,4.546
PME00209,organizational_learning_context,5.003,4.415,5.809,4.270,4.531,3.706,4.073,3.439,4.284,,1,1.317,2.391,0,0,4.805,4.031,0.775,0.775,1.357,3.804,4.398
PME00210,organizational_learning_context,4.357,4.295,5.345,5.025,,3.019,3.616,4.036,3.034,3.404,1,0.951,3.428,0,0,4.939,3.422,1.518,1.518,2.392,4.371,4.345
PME00211,organizational_learning_context,4.980,5.288,5.190,4.372,5.516,3.666,3.241,4.221,3.530,4.770,1,0.813,2.524,0,0,5.069,3.886,1.183,1.183,1.662,4.891,4.650
PME00212,organizational_learning_context,4.772,4.382,5.017,5.213,4.583,3.291,5.349,,4.689,4.026,1,1.659,3.018,1,0,4.896,4.448,0.448,0.448,1.553,3.925,4.847
PME00213,organizational_learning_context,5.487,4.708,4.588,4.100,4.987,4.828,4.887,3.460,,3.773,1,1.497,1.800,0,0,4.774,4.178,0.596,0.596,1.245,4.666,4.366
PME00214,organizational_learning_context,4.452,4.332,4.562,4.745,5.613,5.209,4.478,4.263,4.786,3.734,1,2.048,2.451,0,0,4.741,4.494,0.246,0.246,1.721,4.521,4.318
PME00215,organizational_learning_context,4.742,5.380,4.782,5.369,4.679,3.837,4.546,3.814,4.202,3.983,1,1.343,2.944,0,0,4.990,4.076,0.914,0.914,1.495,4.337,4.123
PME00216,organizational_learning_context,4.852,3.906,5.962,4.527,5.060,2.622,3.778,4.586,4.155,4.442,1,2.597,4.183,0,0,4.861,3.916,0.945,0.945,3.003,3.669,4.671
PME00217,high_stakes_selection_context,6.043,6.621,5.353,6.201,6.863,4.873,5.991,5.024,5.833,5.527,1,1.835,5.436,0,0,6.216,5.450,0.766,0.766,2.645,3.716,3.769
PME00218,high_stakes_selection_context,6.069,6.055,6.436,6.530,5.767,5.487,5.713,5.270,5.427,5.385,1,1.861,4.829,1,0,6.201,5.456,0.744,0.744,2.454,3.140,3.977
PME00219,high_stakes_selection_context,6.693,5.918,6.018,6.060,5.981,5.557,,5.855,5.067,5.795,1,2.287,4.833,0,1,6.134,5.589,0.545,0.545,2.550,3.288,3.913
PME00220,high_stakes_selection_context,6.232,6.168,6.684,6.118,5.950,5.233,5.998,5.719,5.749,5.631,1,2.060,5.494,1,0,6.117,5.666,0.451,0.451,2.370,3.301,4.052
PME00221,high_stakes_selection_context,6.546,6.328,5.966,6.175,5.981,5.386,5.530,5.483,5.793,5.811,1,1.261,5.770,0,0,6.199,5.600,0.599,0.599,2.279,3.604,4.249
PME00222,high_stakes_selection_context,6.198,6.410,6.784,6.028,6.225,5.821,5.083,5.646,5.510,5.907,1,2.081,4.994,0,1,6.329,5.721,0.608,0.608,2.503,3.128,3.849
PME00223,high_stakes_selection_context,6.235,6.614,6.429,5.841,6.408,,,5.375,5.630,5.900,1,1.761,5.312,0,0,6.306,5.678,0.627,0.627,2.305,3.385,3.638
PME00224,high_stakes_selection_context,6.357,5.699,6.372,6.734,5.788,5.726,5.624,,5.497,5.346,1,2.990,5.685,0,0,6.190,5.568,0.622,0.622,3.111,3.632,3.504
PME00225,high_stakes_selection_context,6.119,5.963,6.933,5.980,5.703,5.377,4.998,5.424,6.075,5.432,1,2.204,5.829,0,0,6.139,5.461,0.678,0.678,2.805,3.035,3.422
PME00226,high_stakes_selection_context,6.578,6.538,6.349,6.150,6.172,5.798,6.051,5.414,5.437,5.956,1,2.564,4.452,0,1,6.357,5.810,0.547,0.547,2.785,3.130,3.574
PME00227,high_stakes_selection_context,6.513,7.000,5.954,6.084,6.377,5.641,,5.451,5.762,5.516,1,1.610,5.949,0,0,6.386,5.636,0.750,0.750,2.934,3.413,3.681
PME00228,high_stakes_selection_context,6.140,5.835,6.224,6.395,5.779,,5.723,5.550,,5.138,1,2.143,4.561,0,0,6.075,5.434,0.641,0.641,1.963,3.588,3.735
PME00229,high_stakes_selection_context,,,4.957,4.809,4.920,3.765,4.394,4.409,4.423,4.267,1,2.315,6.381,1,0,4.775,4.252,0.524,0.524,3.214,3.728,3.714
PME00230,high_stakes_selection_context,4.358,4.838,4.265,4.534,4.338,3.783,4.123,3.767,4.083,3.810,1,2.727,5.037,0,0,4.466,3.913,0.553,0.553,2.357,2.876,3.096
PME00231,high_stakes_selection_context,5.012,4.609,4.555,4.257,5.137,4.454,3.802,3.589,4.136,4.074,1,2.737,5.675,0,1,4.714,4.063,0.651,0.651,2.521,2.737,3.663
PME00232,high_stakes_selection_context,4.267,4.320,4.601,5.195,5.087,3.803,3.622,3.610,4.194,3.788,1,2.177,5.207,0,0,4.694,3.803,0.891,0.891,2.809,3.297,3.642
PME00233,high_stakes_selection_context,4.641,5.026,5.107,4.328,4.546,4.110,4.038,4.319,3.923,4.353,1,2.174,5.522,0,0,4.730,4.149,0.581,0.581,2.005,3.365,3.999
PME00234,high_stakes_selection_context,4.711,4.565,4.838,4.377,4.859,3.923,4.010,3.914,3.845,3.865,1,1.940,4.701,0,0,4.670,3.911,0.759,0.759,2.161,3.297,3.930
PME00235,high_stakes_selection_context,4.385,4.941,4.784,4.315,4.995,3.719,3.546,4.039,,3.902,1,1.847,5.960,0,0,4.684,3.936,0.748,0.748,2.913,3.414,3.784
PME00236,high_stakes_selection_context,4.235,4.127,4.415,,3.979,3.801,4.138,3.910,4.067,4.380,1,2.160,5.031,0,2,4.274,4.002,0.272,0.272,2.232,3.299,3.814
PME00237,high_stakes_selection_context,4.770,,4.530,4.429,4.804,3.791,3.584,3.970,3.959,4.222,1,2.155,4.627,0,0,4.647,3.905,0.742,0.742,2.733,3.220,3.532
PME00238,high_stakes_selection_context,4.141,4.107,4.851,4.490,5.127,3.469,4.184,4.297,4.194,,1,2.948,5.490,2,1,4.494,4.089,0.405,0.405,3.085,3.621,3.647
PME00239,high_stakes_selection_context,4.405,,4.561,4.653,4.401,4.563,3.759,,4.060,4.141,0,2.509,5.593,0,0,4.459,4.069,0.390,0.390,2.595,3.111,4.492
PME00240,high_stakes_selection_context,4.220,4.828,4.890,4.565,,3.511,3.611,3.873,3.864,4.231,1,2.259,5.855,0,1,4.672,3.870,0.802,0.802,2.841,3.563,3.723
PME00241,high_stakes_selection_context,3.041,3.691,3.719,2.779,3.448,3.150,2.477,2.833,2.094,2.950,1,1.919,5.530,0,0,3.336,2.701,0.635,0.635,2.726,3.525,3.438
PME00242,high_stakes_selection_context,,2.986,2.449,3.089,3.305,2.778,2.630,2.868,2.731,2.171,1,3.290,6.384,0,0,3.060,2.636,0.424,0.424,3.188,2.900,4.044
PME00243,high_stakes_selection_context,3.448,2.649,3.183,3.422,3.215,2.678,2.843,2.245,2.726,2.824,1,1.535,5.507,1,0,3.124,2.663,0.461,0.461,1.994,3.490,4.077
PME00244,high_stakes_selection_context,3.473,3.916,2.577,4.015,2.867,3.349,2.713,2.804,3.171,2.693,1,1.764,5.975,0,0,3.370,2.946,0.424,0.424,2.267,3.935,3.216
PME00245,high_stakes_selection_context,3.883,3.280,2.925,3.455,3.460,3.093,,3.447,2.942,1.966,1,1.734,5.675,0,1,3.401,2.862,0.538,0.538,2.203,3.188,4.285
PME00246,high_stakes_selection_context,,3.008,3.467,3.646,3.066,3.178,2.784,3.220,3.138,2.480,1,2.061,5.081,1,0,3.136,2.960,0.176,0.176,2.294,3.710,3.882
PME00247,high_stakes_selection_context,2.233,2.820,3.189,2.711,2.941,3.507,2.448,2.522,3.272,3.136,1,2.262,4.790,1,0,2.915,2.977,-0.061,0.061,2.575,3.171,3.869
PME00248,high_stakes_selection_context,3.201,3.184,3.313,,3.057,2.921,2.824,2.235,3.024,2.972,1,2.099,4.426,0,1,3.145,2.738,0.407,0.407,2.005,3.114,3.802
PME00249,high_stakes_selection_context,2.853,2.582,3.004,3.141,2.829,2.608,2.765,2.955,2.786,3.057,1,2.087,4.647,0,0,2.882,2.834,0.048,0.048,1.951,3.029,3.320
PME00250,high_stakes_selection_context,3.068,3.121,3.182,3.801,3.331,2.617,2.814,2.599,2.553,2.901,0,1.634,6.036,0,0,3.301,2.697,0.604,0.604,2.723,3.662,4.174
PME00251,high_stakes_selection_context,3.047,3.636,2.865,,3.153,2.336,2.725,2.731,2.696,2.575,1,2.567,5.449,0,1,3.198,2.591,0.607,0.607,2.310,3.188,3.057
PME00252,high_stakes_selection_context,3.567,3.355,3.089,3.317,2.907,2.556,2.667,2.802,3.063,2.945,1,1.860,5.162,0,0,3.247,2.807,0.440,0.440,2.161,3.744,3.962
PME00253,high_stakes_selection_context,5.706,6.641,5.966,5.533,,3.809,3.584,3.332,3.255,2.998,1,2.503,5.271,0,0,6.129,3.396,2.733,2.733,3.779,2.663,4.505
PME00254,high_stakes_selection_context,,5.643,5.275,6.390,,3.306,3.459,2.940,3.316,3.815,1,2.392,4.497,0,1,5.678,3.474,2.204,2.204,3.342,2.724,3.716
PME00255,high_stakes_selection_context,5.830,5.183,5.456,5.961,5.479,3.602,3.628,,3.782,4.094,1,3.548,5.254,0,1,5.582,3.888,1.694,1.694,3.550,2.826,3.415
PME00256,high_stakes_selection_context,5.416,5.499,6.595,,5.595,2.702,3.425,3.031,3.550,3.705,1,2.308,4.869,0,0,5.697,3.283,2.414,2.414,3.319,3.210,3.908
PME00257,high_stakes_selection_context,5.366,6.554,5.011,6.288,4.608,2.982,3.190,3.638,3.226,4.158,1,1.797,5.817,0,1,5.565,3.501,2.064,2.064,3.326,3.008,3.963
PME00258,high_stakes_selection_context,5.929,,6.552,7.000,5.761,3.980,3.811,3.672,3.760,3.012,1,1.712,4.974,0,0,6.227,3.647,2.580,2.580,3.538,2.630,4.416
PME00259,high_stakes_selection_context,6.589,6.431,5.244,5.366,6.143,3.724,3.713,4.308,3.874,4.145,1,3.120,4.888,2,0,6.033,3.953,2.080,2.080,3.345,2.684,3.086
PME00260,high_stakes_selection_context,5.596,5.259,5.094,5.440,,3.713,3.731,3.702,3.636,2.742,1,1.811,7.000,0,0,5.460,3.505,1.955,1.955,3.578,3.182,4.207
PME00261,high_stakes_selection_context,,6.293,5.504,6.140,6.424,3.104,2.991,4.498,3.159,3.975,1,1.255,5.428,0,0,6.079,3.545,2.534,2.534,3.666,3.024,4.478
PME00262,high_stakes_selection_context,5.796,5.936,5.687,6.315,6.223,3.123,3.164,3.456,3.764,4.658,1,1.716,6.346,0,0,5.991,3.633,2.358,2.358,3.594,2.564,4.107
PME00263,high_stakes_selection_context,5.838,6.165,6.535,5.459,5.866,3.697,5.074,3.082,3.518,,1,2.355,4.928,1,0,6.006,3.679,2.327,2.327,3.201,2.872,4.599
PME00264,high_stakes_selection_context,5.189,5.772,5.853,5.779,5.015,3.578,3.316,4.296,,4.000,1,1.724,4.987,0,2,5.522,3.958,1.563,1.563,2.544,3.296,4.156
PME00265,high_stakes_selection_context,3.220,3.393,3.610,4.212,4.227,4.416,4.575,5.438,5.280,4.686,1,1.772,4.162,0,0,3.733,4.879,-1.146,1.146,2.798,3.523,4.443
PME00266,high_stakes_selection_context,3.292,3.906,4.087,3.253,3.612,4.488,4.834,5.126,4.776,5.272,1,1.934,5.049,0,0,3.630,4.899,-1.269,1.269,2.926,3.330,3.769
PME00267,high_stakes_selection_context,3.854,4.114,3.311,4.019,4.736,5.089,4.498,4.987,3.678,,1,2.096,5.846,0,1,4.007,4.386,-0.380,0.380,2.525,3.224,3.945
PME00268,high_stakes_selection_context,2.758,4.093,3.731,3.898,3.067,,5.683,4.918,5.317,4.687,1,2.035,5.243,0,0,3.509,5.163,-1.654,1.654,2.740,3.164,3.918
PME00269,high_stakes_selection_context,4.350,3.882,3.675,4.329,3.930,4.381,5.064,4.502,4.493,,1,1.784,6.324,0,0,4.033,4.664,-0.631,0.631,3.151,3.266,3.645
PME00270,high_stakes_selection_context,3.613,3.547,3.320,2.723,3.425,5.355,5.179,5.413,5.475,4.740,1,2.323,6.348,0,0,3.326,5.232,-1.907,1.907,3.726,3.140,4.366
PME00271,high_stakes_selection_context,3.437,3.875,3.511,3.262,3.480,4.957,5.716,5.310,5.980,4.372,1,1.824,5.574,1,0,3.576,5.267,-1.691,1.691,3.150,3.156,3.762
PME00272,high_stakes_selection_context,3.507,3.578,3.485,3.697,4.193,4.587,5.085,5.004,5.165,5.150,1,2.113,5.301,0,0,3.692,4.998,-1.306,1.306,3.424,3.161,3.437
PME00273,high_stakes_selection_context,3.880,,3.780,4.183,3.249,,5.057,,5.018,5.447,1,2.061,4.482,0,0,3.672,5.038,-1.366,1.366,2.923,3.051,4.366
PME00274,high_stakes_selection_context,3.468,3.230,4.211,,3.550,6.220,4.878,5.090,5.017,4.562,1,2.504,4.643,0,0,3.508,5.153,-1.645,1.645,3.479,2.753,4.099
PME00275,high_stakes_selection_context,3.704,3.722,3.324,4.429,,4.793,5.376,4.517,4.249,5.184,1,2.286,6.156,0,0,3.876,4.824,-0.948,0.948,3.128,3.354,3.962
PME00276,high_stakes_selection_context,3.945,3.699,3.863,,3.998,5.292,5.494,,5.055,5.655,1,2.133,5.078,0,0,3.805,5.321,-1.515,1.515,2.705,2.825,4.259
PME00277,high_stakes_selection_context,5.397,5.184,4.985,5.024,5.512,5.278,4.900,3.776,5.244,3.827,1,1.416,6.154,0,0,5.221,4.605,0.616,0.616,2.710,3.494,4.129
PME00278,high_stakes_selection_context,4.376,,4.899,4.050,4.969,3.991,4.845,4.218,,2.632,1,3.272,5.371,0,0,4.497,4.063,0.434,0.434,2.946,2.829,3.741
PME00279,high_stakes_selection_context,4.675,4.691,6.006,4.547,5.307,5.469,4.833,4.215,5.073,,1,1.948,5.655,0,0,5.045,4.762,0.283,0.283,2.330,3.570,4.245
PME00280,high_stakes_selection_context,5.064,4.832,5.227,4.033,5.690,4.901,3.559,4.750,2.927,3.833,0,2.275,5.392,0,0,4.969,3.994,0.975,0.975,2.683,3.105,3.999
PME00281,high_stakes_selection_context,4.406,5.009,4.579,5.563,5.095,4.832,4.030,4.192,4.556,,1,2.342,4.652,0,0,4.930,4.510,0.420,0.420,2.554,3.318,4.188
PME00282,high_stakes_selection_context,5.405,5.414,4.828,5.933,5.352,5.524,4.029,4.826,4.346,4.762,1,2.715,6.098,0,0,5.386,4.697,0.689,0.689,2.647,2.947,4.264
PME00283,high_stakes_selection_context,,4.827,4.979,5.378,5.250,3.549,4.736,4.114,4.095,4.261,0,2.161,5.575,0,0,5.041,4.151,0.890,0.890,2.593,3.202,3.333
PME00284,high_stakes_selection_context,5.242,6.006,4.905,3.644,5.797,2.889,3.891,3.661,4.386,,1,1.348,7.000,0,0,5.119,3.545,1.574,1.574,3.669,3.594,4.109
PME00285,high_stakes_selection_context,,5.369,5.738,4.258,5.495,2.775,4.640,4.302,4.603,2.969,1,1.795,4.466,0,1,5.194,4.129,1.065,1.065,2.457,4.066,3.790
PME00286,high_stakes_selection_context,6.479,5.169,5.432,5.042,,3.759,4.963,4.354,,2.799,1,0.671,6.118,1,0,5.210,3.964,1.246,1.246,3.022,3.416,4.183
